# Pathway	SID31004	SID31009	SID31021	SID31030	SID31071	SID31112	SID31129	SID31137	SID31159	SID31160	SID31188	SID31219	SID31223	SID31233	SID31236	SID31237	SID31256	SID31267	SID31275	SID31276	SID31282	SID31285	SID31300	SID31328	SID31333	SID31337	SID31343	SID31360	SID31367	SID31379	SID31398	SID31416	SID31424	SID31428	SID31431	SID31446	SID31449	SID31450	SID31452	SID31455	SID31477	SID31489	SID31493	SID31501	SID31512	SID31519	SID31537	SID31549	SID31557	SID31582	SID31637	SID31685	SID31700	SID31705	SID31711	SID31714	SID31723	SID31749	SID31750	SID31766	SID31865	SID31866	SID31868	SID31870	SID31871	SID31872	SID31873	SID31874	SID31875	SID31876	SID31877	SID31878	SID31879	SID31880	SID31881	SID31883	SID31884	SID530002	SID530018	SID530026	SID530028	SID530039	SID530041	SID530050	SID530052	SID530054	SID530055	SID530074	SID530075	SID530119	SID530142	SID530154	SID530163	SID530167	SID530168	SID530172	SID530177	SID530185	SID530215	SID530227	SID530251	SID530258	SID530262	SID530295	SID530297	SID530315	SID530323	SID530331	SID530348	SID530364	SID530368	SID530373	SID530394	SID530398	SID530403	SID530444	SID530450	SID530451	SID530558	SID530600	SID530623	SID530697	SID530705	SID530743	SID530756	SID530840	SID530867	SID530890	SID531128	SID531155	SID531248	SID531274	SID531277	SID531281	SID531333	SID531352	SID531361	SID531382	SID531403	SID531414	SID531416	SID531424	SID531469	SID531663	SID531766	SID531775	SID532305	SID532749	SID532779	SID532796	SID532802	SID532826	SID532832	SID532915
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.55883e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00206e-05	0.0	2.64936e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12787e-05	0.0	0.0	0.0	0.0	0.0	0.000409519	0.0	0.0	0.0	0.0	5.34128e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1CMET2-PWY: folate transformations III (E. coli)	0.00789417	0.00823925	0.00836484	0.0101997	0.00775653	0.00773113	0.00675022	0.00973324	0.00489401	0.00803844	0.00978467	0.00635715	0.00832003	0.00881902	0.00698856	0.00900382	0.0087593	0.00861849	0.00692999	0.00872991	0.0079762	0.00889841	0.00763025	0.00808571	0.00742611	0.00750923	0.00590829	0.0078855	0.00315839	0.00805859	0.00859308	0.00898157	0.00818281	0.0104364	0.00776652	0.00537095	0.0080707	0.00504814	0.00927386	0.00686725	0.00916748	0.00734724	0.0043165	0.00702737	0.00857805	0.00829687	0.0085166	0.0082112	0.00858256	0.006558	0.00490345	0.00578504	0.00584365	0.00331236	0.00614651	0.00536063	0.00773405	0.00609208	0.00804908	0.00801332	0.00886969	0.00854304	0.00505727	0.00853052	0.00916937	0.00836751	0.00849678	0.00876041	0.00858864	0.00564462	0.00878393	0.00935773	0.00476072	0.00798545	0.00798954	0.0060196	0.00658503	0.00880319	0.00860389	0.00689683	0.00917133	0.0089285	0.00797468	0.00723779	0.00796955	0.00679814	0.00672303	0.00837857	0.00386793	0.00786706	0.00886696	0.00705675	0.00812005	0.00697982	0.00820221	0.0090816	0.00846441	0.00627226	0.0060118	0.00905436	0.00892727	0.00809561	0.00869911	0.00732577	0.00743279	0.00560008	0.00565838	0.00971753	0.0083403	0.00729229	0.00757438	0.00728467	0.00869322	0.00866854	0.00653469	0.00868908	0.00808994	0.00688112	0.00915226	0.00692946	0.00858809	0.00860956	0.00805261	0.00969548	0.00560493	0.00398225	0.00804489	0.00828249	0.00769132	0.00830129	0.00835738	0.0030132	0.00808754	0.00519575	0.0098276	0.00757008	0.00717768	0.00963177	0.00662029	0.00833213	0.00815082	0.0123504	0.00854433	0.00842317	0.00881091	0.00718105	0.00974197	0.00870473	0.00776333	0.00852695	0.00722458	0.00913005	0.00813798	0.00704789
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000748837	0.0	0.0	0.000337251	0.0	0.0	0.0	0.0	0.0	0.0	5.14913e-05	0.0	9.69136e-06	0.0	0.0	0.0	0.0	0.000153732	0.000335852	0.0	0.0011913	0.0	0.0	0.0	0.0	0.0	4.11494e-05	0.00026548	0.0	0.000433514	3.51032e-05	0.0	0.0	0.0	2.05726e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000764794	0.0	4.57071e-06	0.0	0.0	0.000559068	1.63161e-05	0.0	7.50253e-06	0.0	0.0	5.47005e-05	0.000550239	0.0	0.0	5.60296e-06	0.0	0.0	0.0	0.000633688	0.0	0.0	0.000810735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.31344e-06	0.000178587	0.0	0.0	0.0	0.0	1.41318e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0006168	0.000268469	0.0	0.0	0.0	0.0	2.3649e-05	0.0	0.0	0.000585377	0.0	0.0	0.000312603	0.0	1.24949e-05	0.0	0.0	4.7202e-05	1.99834e-05	0.000178022	0.0	0.0	3.87632e-05	0.0	0.000112969	0.0	0.000271658	0.0	0.000479915	2.28069e-05	0.000169378	0.0	0.0	0.000220581	0.0	6.72022e-05	0.0	0.0	0.0	0.0	0.000136787	0.0	0.0	0.0	0.0	3.46634e-05	0.0	0.0	2.59465e-05
AEROBACTINSYN-PWY: aerobactin biosynthesis	0.0	0.0	0.0	0.0	0.0	1.37723e-05	0.0	0.0	0.0	0.0	0.0	0.0	4.20589e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.57659e-06	0.0	0.0	0.0	0.0	0.0	0.0	4.54675e-05	2.52803e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000209184	0.0	0.0	0.0	1.83985e-05	0.0	0.0	0.0	2.59179e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.13144e-05	0.000195809	0.0	0.0	1.64514e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.32116e-06	0.0	0.0	1.14589e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.71301e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00142131	8.44518e-06	0.0	0.0	1.01309e-05	0.0	0.0	0.000108544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.22672e-05	0.0	4.40948e-05	0.0	0.0
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000289504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0.000111737	1.09524e-05	1.20102e-05	7.82309e-05	0.0	4.99287e-05	7.2763e-05	0.00010165	0.00129019	0.0	3.45553e-05	0.00059877	4.72663e-05	0.0	8.25043e-05	8.57202e-06	1.49807e-05	0.0	0.000166652	3.30543e-05	1.9026e-05	4.78303e-05	0.0	3.118e-05	0.0	0.000212195	0.000129979	5.2032e-05	5.53672e-05	9.55529e-06	8.56581e-06	0.0	0.0	0.0	0.000200883	0.000234535	0.0	2.06079e-05	3.00245e-05	0.000333597	0.0	0.0	0.000229436	5.69482e-05	0.0	5.24759e-05	1.28077e-05	1.39162e-05	3.04896e-05	1.2713e-05	0.000747703	0.0	0.000477673	9.2614e-05	4.58661e-05	0.000136686	5.31453e-05	0.00019842	0.000128789	1.74363e-05	4.86206e-05	9.92518e-05	0.000266684	2.19399e-05	0.0	6.80015e-05	5.10526e-05	0.000222903	6.23948e-05	0.000522223	0.000131082	1.46144e-05	0.000994499	0.000245444	2.98676e-05	0.000123807	0.000537153	0.0	0.0	1.83872e-05	9.23911e-05	0.0	0.0	0.000131898	0.0	5.86361e-05	4.42778e-05	1.40171e-05	0.00014588	9.59795e-06	0.0	9.68852e-05	2.19426e-05	0.000457209	3.71023e-05	0.0	0.0	0.000386795	8.65741e-06	2.34945e-05	0.00015145	0.0	9.95264e-05	0.0	0.000178315	0.00052456	0.00049961	3.58721e-05	0.0	6.5431e-05	0.0	0.000100139	4.23606e-05	0.0	0.0	0.0	5.74212e-05	0.000313973	9.6869e-05	6.0253e-05	5.53383e-05	3.19063e-05	3.60052e-05	7.63136e-05	0.0	0.000239982	6.67363e-05	0.000292617	7.41881e-05	0.000189339	3.42676e-05	3.5062e-06	0.000262568	0.000283389	0.0003638	0.000398895	0.0	2.60094e-05	0.000142346	0.000260384	0.000274405	0.0	9.44781e-05	0.0	6.54112e-05	9.45349e-05	0.00017223	0.000203274	7.50639e-05	0.000444864	7.59101e-05	0.000153346	0.000275727	7.6817e-05
ANAEROFRUCAT-PWY: homolactic fermentation	0.00511095	0.00647072	0.00459893	0.005116	0.00468752	0.00476157	0.00533817	0.00529067	0.00477635	0.00236106	0.00371504	0.00565084	0.004846	0.00281243	0.00475323	0.00397489	0.00394429	0.00313568	0.00413633	0.00447467	0.00278591	0.0035603	0.00488979	0.00446797	0.00540364	0.00341766	0.00579727	0.00413371	0.00398792	0.0052827	0.00440457	0.00429765	0.00434804	0.00155707	0.00495451	0.00464323	0.00300817	0.00494387	0.00494797	0.00445903	0.00439136	0.00352554	0.0048397	0.00245587	0.00582433	0.00402439	0.00661105	0.00369608	0.00741737	0.00571337	0.00497617	0.00512665	0.00541096	0.00472379	0.00213954	0.00561482	0.00256356	0.00534011	0.00410063	0.00169954	0.0029578	0.00500012	0.00465738	0.005535	0.00481734	0.00541482	0.0051494	0.00380472	0.00358718	0.00472604	0.00307988	0.00376806	0.00501398	0.00568561	0.0050771	0.00425749	0.00571829	0.00228703	0.0066079	0.00696092	0.00347518	0.000103763	0.00614281	0.00574246	0.00654969	0.00743756	0.00466851	0.00801649	0.00449095	0.00711167	0.00290624	0.00504526	0.005741	0.00499215	0.00320203	0.0027551	0.00315757	0.00480006	0.00707464	0.00478561	0.00226353	0.00515977	0.003682	0.00542267	0.00525203	0.00517996	0.00531472	0.00395948	0.00747575	0.00446322	0.00549335	0.005045	0.00397602	0.00361136	0.00353988	0.0034769	0.00495276	0.00529856	0.0036705	0.0047063	0.00396323	0.00347677	0.00439066	0.00416282	0.00434039	0.00477621	0.00534386	0.00391993	0.0056991	0.0046316	0.00362373	0.00433542	0.00378741	0.00526129	0.00269624	0.00558779	0.00388563	0.00381134	0.00497917	0.00404146	0.0051465	0.00261727	0.00454406	0.00572351	0.0048228	0.00415805	0.00524401	0.00395725	0.00398553	0.00471354	0.00424577	0.00554241	0.00371391	0.00565659
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.0100053	0.011225	0.0115995	0.0107099	0.011432	0.0102309	0.0108952	0.0119294999999999	0.00569099	0.0127535	0.0109723	0.00778538	0.00811179	0.0116573	0.010981	0.0117123	0.0107846	0.011998	0.00858953	0.0119129	0.012094	0.0109388	0.0106401	0.0115272	0.0105726	0.00956197	0.00772598	0.0105988	0.00466363	0.011581	0.0106365	0.0124055	0.0115214	0.0144075	0.00987529	0.00647632	0.0124661	0.00655421	0.011072	0.00867291	0.0118432	0.0117928	0.00553639	0.0110986	0.0116869	0.0108787	0.011965	0.0107575	0.00942597	0.010497	0.00604598	0.0100019	0.00860561	0.00513166	0.0127836	0.00710257	0.0126297	0.00973904	0.0106562	0.0126691	0.0121309	0.00836343	0.00653141	0.0107269	0.0114907	0.00934171	0.00993663	0.00987649	0.0107716	0.00637118	0.0109321	0.00973907	0.00590109	0.00805785	0.0108179	0.00690584	0.00775905	0.0120623	0.0105993	0.00969207	0.0106892	0.0131446	0.00931724	0.00942368	0.0110396	0.00961356	0.0109632	0.0109152	0.00530656	0.0100244	0.0123732	0.0101467	0.0106642	0.00940327	0.0116648	0.0118444	0.0126264	0.00813823	0.0100839	0.0155063	0.0106333	0.0110532	0.0114532	0.012877	0.0109805	0.0073772	0.0087681	0.0115441	0.0102823	0.00945259	0.0110029	0.0101277	0.0116383	0.0129066	0.00839054	0.0112057	0.0110039	0.00811545	0.012099	0.00938395	0.0109915	0.0109172	0.00914523	0.00986562	0.00616389	0.00541427	0.0113	0.0104769	0.0096082	0.0109715	0.0144725	0.00518627	0.0097296	0.00642657	0.0118061	0.00903924	0.0121474	0.00969976	0.00811081	0.0113298	0.01032	0.00843875	0.0107735	0.00853275	0.0101515	0.00972393	0.00925572	0.0104794	0.0104428	0.00881584	0.0109666	0.0104322	0.0121061	0.00935312
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.000663204	0.00130004	0.00124894	0.000993584	0.000669824	0.000748307	0.000702535	0.000771175	0.00349572	0.00120552	0.00136131	0.00384587	0.000899816	0.000422637	0.000969873	0.000400436	0.000718589	0.000590935	0.00194787	0.00176001	0.00108474	0.00218972	0.000718784	0.00124869	0.000751826	0.00270987	0.00159529	0.000740035	0.0042943	0.000453193	0.000321137	0.000174957	0.000474426	0.000408265	0.00146379	0.00329914	0.000831636	0.00360732	0.00142406	0.00331547	0.000625371	0.00161191	0.00394555	0.00170854	0.000491795	0.00165005	0.000604944	0.00112842	0.000652214	0.000539622	0.00346777	0.000978467	0.00316096	0.00422055	0.00100542	0.0023121	0.000800595	0.00212712	0.000967745	0.000542204	0.000484731	0.00181409	0.00376467	0.000468884	0.000239673	0.000954795	0.00082341	0.00148515	0.000413384	0.00334561	0.00129661	0.000926644	0.00374624	0.00206904	0.00155316	0.00286853	0.00197964	0.000476568	0.000269011	0.000819094	0.00153133	0.000410841	0.000837917	0.00189595	0.000163079	0.000613948	0.000611165	0.000360274	0.00374453	0.00089803	0.000674772	0.00114091	0.000362834	0.00244982	0.00141727	0.000246764	0.000494227	0.00257998	0.000681225	6.93366e-05	0.0012669	0.000633051	0.00197714	0.00136856	0.000874989	0.00319809	0.00222503	0.000952144	0.000446529	0.000841027	0.000539747	0.00117313	0.000690514	0.000682481	0.00222558	0.000693675	0.000756518	0.00276596	0.00286993	0.00119206	0.00197518	0.000967658	0.00196686	0.00177046	0.00370567	0.0040808	0.000782206	0.00181697	0.00290544	0.00127723	0.000587436	0.00429307	0.00175693	0.00255407	0.00102582	0.00311501	0.00162886	0.000768705	0.00355713	0.00101787	0.00172804	0.000148802	0.0012659	0.000937368	0.000867838	0.00341931	0.00118147	0.00195768	0.00132674	0.00102426	0.000960336	0.00085632	0.00141329	0.00139173
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.0	0.0	0.0	0.0	0.0	0.0	3.20665e-05	0.0	0.000438284	0.0	0.0	0.000314007	0.0	0.0	0.0	0.0	0.0	0.0	7.56773e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000356118	8.20547e-05	0.0	0.000904673	0.0	0.0	0.0	0.0	0.0	9.08565e-05	0.00035462	0.0	0.000756223	0.000112426	0.0	0.0	0.0	0.000554795	0.000153393	0.0	0.0	0.0	0.0	0.0	0.0	0.000567054	0.0	0.000198219	0.0	0.0	0.000438775	5.66299e-06	8.53012e-05	0.0	0.0	0.0	1.77813e-05	0.000515165	4.70708e-05	0.0	0.0	0.0	0.0	0.0	0.000419994	0.0	0.0	0.00102724	9.24007e-05	0.0	0.000341178	0.00017837	0.0	0.0	0.0	0.0	0.0	0.0	4.22314e-05	0.0	0.0	0.0	0.0	0.000990386	0.0	0.0	0.0	0.0	0.000273438	0.0	0.0	0.0	0.0	0.0	0.0	2.49787e-05	0.0	0.0	0.0	0.0	0.000483354	0.000449943	0.0	0.0	0.000230493	0.0	1.55825e-05	0.0	0.0	6.08571e-05	0.0	0.0	0.000269012	0.0	1.5926e-05	0.0	0.0	2.83274e-05	2.20474e-05	0.0	0.00129259	0.0	4.90774e-05	0.0	0.0	0.0	1.59087e-05	1.19129e-05	2.49797e-05	1.4819e-05	9.89299e-05	0.0	0.0	0.000203976	0.0	7.42176e-05	0.0	0.0	0.0	0.0	0.000219115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.56182e-05
