# Pathway	CRC_MR_SBJ01C_17	CRC_MR_SBJ02C_17	CRC_MR_SBJ03H_17	CRC_MR_SBJ04C_17	CRC_MR_SBJ05C_17	CRC_MR_SBJ06C_17	CRC_MR_SBJ07C_17	CRC_MR_SBJ10C_17	CRC_MR_SBJ11C_17	CRC_MR_SBJ12C_17	CRC_MR_SBJ16H_17	CRC_MR_SBJ17H_17	CRC_MR_SBJ18H_17	CRC_MR_SBJ20C_17	CRC_MR_SBJ21H_17	CRC_MR_SBJ22C_17	CRC_MR_SBJ24H_17	CRC_MR_SBJ25C_17	CRC_MR_SBJ26C_17	CRC_MR_SBJ27C_17	CRC_MR_SBJ29C_17	CRC_MR_SBJ31C_17	CRC_MR_SBJ32C_17	CRC_MR_SBJ33C_17	CRC_MR_SBJ34H_17	CRC_MR_SBJ35C_17	CRC_MR_SBJ36C_17	CRC_MR_SBJ37H_17	CRC_MR_SBJ39C_17	CRC_MR_SBJ40C_17	CRC_MR_SBJ42C_17	CRC_MR_SBJ45H_17	CRC_MR_SBJ46H_17	CRC_MR_SBJ47C_17	CRC_MR_SBJ49C_17	CRC_MR_SBJ50C_17	CRC_MR_SBJ51C_17	CRC_MR_SBJ52C_17	CRC_MR_SBJ53C_17	CRC_MR_SBJ55C_17	CRC_MR_SBJ57H_17	CRC_MR_SBJ60H_17	CRC_MR_SBJ61C_17	CRC_MR_SBJ63H_17	CRC_MR_SBJ64C_17	CRC_MR_SBJ65H_17	CRC_MR_SBJ67H_17	CRC_MR_SBJ68H_17	CRC_MR_SBJ69H_17	CRC_MR_SBJ73H_17	CRC_MR_SBJ74H_17	CRC_MR_SBJ75H_17	CRC_MR_SBJ77H_17	CRC_MR_SBJ78H_17	CRC_MR_SBJ79H_17	CRC_MR_SBJ80H_17	CRC_MR_SBJ81H_17	CRC_MR_SBJ82H_17	CRC_MR_SBJ83H_17	CRC_MR_SBJ84H_17
1CMET2-PWY: folate transformations III (E. coli)	0.00843391	0.00745783	0.00811922	0.00922326	0.00887532	0.00623564	0.00805288	0.00884543	0.00736994	0.00854707	0.0076852	0.00958694	0.00866336	0.00700097	0.00859051	0.00942957	0.0047255	0.0074356	0.00824666	0.00697874	0.00838518	0.00830097	0.00848897	0.00831542	0.00897073	0.0080615	0.00747199	0.00784308	0.0076566	0.00721294	0.00656897	0.00785053	0.00699185	0.00772547	0.00863099	0.00834252	0.00754528	0.00762895	0.00790332	0.00873405	0.00835586	0.00846442	0.00542303	0.00729769	0.00872252	0.00897513	0.00824147	0.00774518	0.0082283	0.00836676	0.0083677	0.00779359	0.0085403	0.00775863	0.00723297	0.00860977	0.00750305	0.00897176	0.00752217	0.00918149
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0.0	0.0	0.0	0.0	0.0	0.00010016	0.0	0.0	5.45307e-05	2.04618e-05	0.0	1.39172e-05	0.0	3.49968e-05	0.0	0.0	0.0	9.41771e-05	9.8485e-06	0.0	0.0	0.0	0.0	4.46573e-05	0.0	0.0	3.76999e-05	0.0	0.0	9.67994e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.54202e-05	0.0	0.0	9.29941e-05	0.0	0.0	0.0	0.0	0.0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0.0	2.59932e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27501e-05	0.0	3.9306e-06	0.0	0.0	0.0	0.000180023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.72669e-05	0.000185271	2.20574e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.99079e-05	7.20537e-05	1.53378e-05	0.0	3.26737e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0.000253563	0.000120746	9.59094e-05	3.11433e-05	0.000149654	0.000347864	0.000162243	4.45729e-05	0.000100939	3.69315e-05	0.0	6.50821e-05	0.000209188	0.000192609	0.000318311	0.000138288	0.000354289	0.000121563	0.000118492	0.000137492	7.99354e-05	0.0	2.87174e-05	3.69102e-05	6.07269e-05	0.000131058	0.000155536	0.0	1.77767e-05	9.38536e-05	0.000133137	0.000151386	5.22633e-05	2.81675e-05	0.0	0.000180535	0.000102538	2.8161e-05	2.25787e-05	0.0	0.0	5.39422e-05	0.000187708	0.000164773	0.000124337	0.000153583	7.09552e-05	7.04316e-05	0.000214975	0.000125719	0.000162578	0.000129416	6.96656e-05	0.0	0.000336602	2.66473e-05	0.000105942	0.0	0.0	0.000146703
ANAEROFRUCAT-PWY: homolactic fermentation	0.00389624	0.00520006	0.00476848	0.0037760099999999	0.00504777	0.00508275	0.00528677	0.00387602	0.00601224	0.00426607	0.00453145	0.0057659	0.00380465	0.00565822	0.00288705	0.00315155	0.00458592	0.00365395	0.00411695	0.00585154	0.00456786	0.00459944	0.00421573	0.0032939	0.00387491	0.00510354	0.00410139	0.00360162	0.0046355	0.00453823	0.00453712	0.00543329	0.00539716	0.00556763	0.0029862	0.00543959	0.00442454	0.0039519	0.00522179	0.00388333	0.0048628	0.0029442	0.0043292	0.0054662	0.0040786	0.00416566	0.00425153	0.00576069	0.00424516	0.00404273	0.00356851	0.0052318	0.00521827	0.00507907	0.00554533	0.00509221	0.00622036	0.00396368	0.00310983	0.00365716
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.00957089	0.0102022	0.0106196	0.0119143	0.00915455	0.00815501	0.00876525	0.0109806	0.00887154	0.0110209	0.0102932	0.00914344	0.0104209	0.009376	0.0104619	0.0110269	0.00615717	0.00965273	0.00951778	0.00942183	0.0101248	0.00951772	0.0102665	0.0106824	0.0109602	0.00996002	0.0103847	0.0113604	0.0104465	0.00998492	0.00903627	0.0103003	0.00937027	0.00901067	0.0112107	0.0102165	0.0100949	0.0105976	0.0110056	0.0104579	0.0107067	0.0103264	0.00693487	0.00833864	0.0100601	0.0115543	0.0110255	0.00982155	0.00935291	0.0106101	0.0110388	0.00881101	0.011273	0.00978176	0.00964858	0.0107831	0.0087306	0.0104851	0.0117977	0.00991184
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.00315519	0.00159873	0.000832373	0.000762591	0.00189669	0.00385486	0.00288614	0.00200382	0.00173025	0.00149659	0.00127289	0.000589795	0.00170864	0.00141291	0.00104605	0.000929978	0.00386421	0.00268252	0.00147563	0.00110013	0.00237078	0.000750694	0.00217896	0.00115801	0.00147871	0.000348079	0.0024536	0.000890604	0.000564631	0.00100511	0.00184628	0.00124768	0.00149155	0.00104446	0.00119585	0.00114134	0.00340909	0.00194907	0.00128981	0.00190763	0.00144129	0.00109399	0.00396974	0.00168139	0.00116514	0.00114983	0.0017066	0.000879197	0.00177749	0.00162435	0.00160519	0.00183554	0.00257917	0.000971723	0.00142017	0.00161422	0.000626872	0.000693689	0.00106776	0.00126338
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.0	0.0	0.0	0.0	0.0	0.000635811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.66307e-06	0.0	0.0	0.0	8.34121e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000129304	0.0	0.0	0.0	5.4269e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.51084e-06	0.0	7.24328e-05	0.0	0.0	2.33426e-05	0.0	0.0	0.0	0.0	0.0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0.00321078	0.00104733	0.00185701	0.00031614	0.00398541	0.000844436	0.00294102	0.00192568	0.00252962	0.000917683	0.00141873	0.00473634	0.0039921	0.00195356	0.00253544	0.00213116	0.00229281	0.000835617	0.0024386	0.000820002	0.00166525	0.00201785	0.00232592	0.000372136	0.00211183	0.00178957	0.000733368	0.00104039	0.00277669	0.000390411	0.0013008	0.00258695	0.000908512	0.000671757	0.000108341	0.00135244	0.00103482	0.00156942	0.000336832	0.00134379	0.00132861	0.00134089	0.00178828	0.00372099	0.00240209	0.00208201	0.000900376	0.00102682	0.00355413	0.00145374	0.00187287	0.00116955	0.00246231	0.00349296	0.00142025	0.0022731	0.00322596	0.00297507	0.000834889	0.00374853
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.00904591	0.0106131	0.00789082	0.0131639	0.00845635	0.00873918	0.00760363	0.00945923	0.00941277	0.0109078	0.0106644	0.00734658	0.00917624	0.00984651	0.011088	0.0105621	0.0061659	0.0120248	0.00879464	0.0105069	0.0102069	0.0100658	0.00921246	0.011604	0.011821	0.00974637	0.0101656	0.012252	0.0102345	0.0118428	0.00870967	0.00949877	0.00834309	0.0117234	0.0100143	0.0121607	0.00965909	0.0120518	0.0105293	0.0111807	0.0120311	0.0102636	0.00677366	0.00691392	0.0109018	0.0120224	0.0102823	0.00953809	0.00897047	0.0119315	0.0119968	0.0099801	0.0110324	0.00888406	0.0101916	0.0111984	0.0086175	0.0104579	0.00983003	0.00899543
