# Pathway	CCMD11006829ST-21-0	CCMD12232071ST-21-0	CCMD13071240ST-21-0	CCMD13934959ST-21-0	CCMD14479708ST-21-0	CCMD18872694ST-21-0	CCMD19497912ST-21-0	CCMD23101338ST-21-0	CCMD25511638ST-21-0	CCMD25963797ST-21-0	CCMD26709089ST-21-0	CCMD26925580ST-21-0	CCMD34381688ST-21-0	CCMD35802077ST-21-0	CCMD40701343ST-21-0	CCMD42428553ST-21-0	CCMD45988061ST-21-0	CCMD46222674ST-21-0	CCMD46947453ST-21-0	CCMD48236717ST-21-0	CCMD50071957ST-21-0	CCMD51864103ST-21-0	CCMD60079086ST-21-0	CCMD63399960ST-21-0	CCMD64503764ST-21-0	CCMD64776337ST-21-0	CCMD72895164ST-21-0	CCMD74930188ST-21-0	CCMD79987997ST-21-0	CCMD82866709ST-21-0	CCMD86114146ST-21-0	CCMD86707194ST-21-0	CCMD87156761ST-21-0	CCMD88272491ST-21-0	CCMD90311071ST-21-0	CCMD93344354ST-21-0	CCMD95433940ST-21-0	CCMD96553385ST-21-0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST	CCMD10032470ST-11-0	CCMD10191450ST-11-0	CCMD15562448ST-11-0	CCMD17410933ST-11-0	CCMD18579000ST-11-0	CCMD18829815ST-11-0	CCMD19168690ST-11-0	CCMD21593359ST-11-0	CCMD21703880ST-11-0	CCMD22852639ST-11-0	CCMD23541216ST-11-0	CCMD25475945ST-11-0	CCMD26625622ST-11-0	CCMD27463710ST-11-0	CCMD27867141ST-11-0	CCMD28738636ST-11-0	CCMD29706695ST-11-0	CCMD30626189ST-11-0	CCMD30627121ST-11-0	CCMD31009081ST-11-0	CCMD31134579ST-11-0	CCMD32288175ST-11-0	CCMD32965613ST-11-0	CCMD35081859ST-11-0	CCMD35633353ST-11-0	CCMD35801800ST-11-0	CCMD37575804ST-11-0	CCMD38158721ST-11-0	CCMD39157124ST-11-0	CCMD39882286ST-11-0	CCMD41202658ST-11-0	CCMD41521570ST-11-0	CCMD42956136ST-11-0	CCMD45004878ST-11-0	CCMD45812507ST-11-0	CCMD46727384ST-11-0	CCMD49025643ST-11-0	CCMD49461418ST-11-0	CCMD49942357ST-11-0	CCMD50300306ST-11-0	CCMD50529145ST-11-0	CCMD50538120ST-11-0	CCMD51154251ST-11-0	CCMD51228890ST-11-0	CCMD52117727ST-11-0	CCMD52145360ST-11-0	CCMD53508245ST-11-0	CCMD53522274ST-11-0	CCMD54057834ST-11-0	CCMD56948710ST-11-0	CCMD59540613ST-11-0	CCMD59583015ST-11-0	CCMD65222621ST-11-0	CCMD65406197ST-11-0	CCMD66848156ST-11-0	CCMD67373733ST-11-0	CCMD68973846ST-11-0	CCMD71242853ST-11-0	CCMD71915439ST-11-0	CCMD72666896ST-11-0	CCMD72690923ST-11-0	CCMD73128545ST-11-0	CCMD74592084ST-11-0	CCMD75147712ST-11-0	CCMD76222476ST-11-0	CCMD76409700ST-11-0	CCMD79349503ST-11-0	CCMD85481373ST-11-0	CCMD85661207ST-11-0	CCMD89107682ST-11-0	CCMD89306485ST-11-0	CCMD89643949ST-11-0	CCMD89967135ST-11-0	CCMD92404903ST-11-0	CCMD93755960ST-11-0	CCMD95431029ST-11-0	CCMD95676152ST-11-0	CCMD98198513ST-11-0	CCMD98531134ST-11-0	CCMD98702133ST-11-0	CCMD99440714ST-11-0	CCMD99929634ST-11-0
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.75888e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1CMET2-PWY: folate transformations III (E. coli)	0.00831858	0.0088011	0.00905965	0.00807411	0.00851049	0.00893904	0.00783936	0.00807155	0.00830993	0.00969716	0.00881922	0.00855132	0.00805166	0.00800771	0.00880541	0.00798935	0.00888244	0.00889881	0.00895226	0.00874914	0.00860775	0.00764151	0.0092497	0.00824345	0.0088441	0.00774071	0.00867098	0.00751762	0.0097747	0.00865468	0.00679858	0.00751769	0.00835505	0.00959491	0.00863503	0.00901633	0.00826456	0.00850795	0.0073513	0.00829839	0.0081451	0.00708464	0.00727896	0.00834471	0.00543311	0.00526685	0.00774281	0.00840918	0.00866766	0.00844902	0.0074841	0.00786114	0.00913149	0.009601	0.0059479	0.00945953	0.00940389	0.00927722	0.00906746	0.00926421	0.00826644	0.0110146	0.00768554	0.00751711	0.00666479	0.00885349	0.0066687	0.00851385	0.00897368	0.00769768	0.00825387	0.00960519	0.00846429	0.00757498	0.00851141	0.00534597	0.00862591	0.00805891	0.00923759	0.00752545	0.00917886	0.0078651	0.00759615	0.00700378	0.00474735	0.00760689	0.00706791	0.00877922	0.00849518	0.00807229	0.00928843	0.00952029	0.0077643	0.00889687	0.00758729	0.00859658	0.00804981	0.00812655	0.00990318	0.00858154	0.00895017	0.00877091	0.00917569	0.00878598	0.00882094	0.00687204	0.0102372	0.00868206	0.00919605	0.00835462	0.00490117	0.00771718	0.00727147	0.00952679	0.00784765	0.00758132	0.00866809	0.00741149	0.00711157	0.00735522	0.00878409	0.00958953	0.00766105	0.00806897	0.0094266
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.94586e-05	2.28595e-05	0.0	7.93231e-05	0.0	0.0	0.0	0.0	0.0	6.68475e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.37639e-05	0.00053048	0.0	1.05857e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000487463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.17181e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.96366e-05	3.13518e-05	0.0	0.0	0.0	0.0	2.36597e-05	7.05797e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.15938e-06	6.83289e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00054789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0.0	0.0	0.0	9.12597e-05	0.0	0.0	0.0	2.3418e-05	0.0	0.0	0.0	0.0	6.60407e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.57334e-05	0.0	0.0	0.000100298	0.0	0.0	0.0	0.0	1.43908e-05	3.40266e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.2596e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.83138e-06	0.0	0.0	0.0	0.0	0.0	1.6923e-05	0.0	0.0	5.6024e-05	0.0	0.0	1.54263e-05	0.000140694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1826e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000114745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000270186	0.0	0.0	2.79521e-05	0.0	0.0	0.0	0.0	0.0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0.000184689	9.46496e-05	0.000284562	0.000162804	9.51442e-05	0.000109301	0.000336634	0.000173331	2.34616e-05	0.000109215	2.95949e-05	0.000226217	7.48964e-05	0.000133419	0.000155585	9.36091e-05	0.000287744	2.82843e-05	3.08455e-05	3.82235e-05	0.00046979	6.70743e-05	0.000269601	0.000405332	0.000236868	0.000318637	5.94206e-05	0.000309232	0.000197256	0.000124766	0.000137757	0.00035339	0.0	0.000160452	0.000141823	0.000257518	0.00010312	0.000267138	4.1161e-05	0.000222667	0.000107197	0.000134175	1.59113e-05	0.00029587	8.81149e-05	0.000426284	2.62597e-05	0.000138017	5.63161e-05	0.000248004	9.99239e-05	0.0	9.69658e-05	0.000159504	0.000388847	0.000156355	9.35499e-05	0.000171831	0.000329722	0.0	0.0	0.0	0.000119104	5.63413e-05	0.000302643	0.000102064	0.000177174	3.32005e-05	0.000100792	5.61763e-05	0.000194474	0.000132858	0.0	0.000235171	0.000129062	2.40138e-05	0.0	0.000420026	0.000251337	0.000260574	0.00012588	0.000345237	0.000101328	5.37365e-05	8.30438e-05	0.000196635	5.17467e-05	8.39957e-05	6.10901e-05	0.000151935	4.43764e-05	0.0	0.000120235	5.22929e-05	1.78837e-05	6.28934e-05	0.00037683	8.06616e-05	2.42563e-05	9.7012e-05	0.0	0.000101413	0.00024862	5.33675e-05	0.000177735	0.000121552	2.37868e-05	0.0	0.0	0.000174727	0.00026225	0.000396712	0.000247544	0.000146245	0.000108659	5.98207e-05	0.0	8.81714e-05	0.0	0.000129222	0.000102023	8.38635e-05	0.0001937	0.000142985	0.0
ANAEROFRUCAT-PWY: homolactic fermentation	0.00478386	0.00479068	0.00419261	0.00421572	0.00443873	0.00393456	0.0047932	0.00562354	0.00425201	0.00455181	0.00411737	0.00348798	0.00402498	0.00398797	0.00444544	0.00564191	0.00467639	0.00409614	0.00335462	0.00316675	0.00460817	0.00499275	0.00527705	0.00429896	0.00452429	0.00422162	0.00469224	0.00367507	0.00491902	0.00516584	0.00488661	0.00376752	0.00429994	0.00299437	0.0036474	0.00390084	0.00257514	0.0045368	0.00394371	0.00342662	0.00405357	0.00432741	0.00416602	0.00424537	0.00357606	0.00437766	0.00304295	0.00361914	0.00468553	0.00430312	0.00442469	0.00490337	0.00284129	0.0035146	0.00493518	0.00336818	0.00512876	0.00302034	0.00349183	0.00372944	0.00447133	0.00308885	0.00567516	0.00398241	0.00535543	0.00356453	0.00290839	0.0036461	0.00398713	0.00486234	0.0045664	0.00312547	0.00264435	0.00402368	0.0040249	0.00412138	0.00472655	0.00232567	0.00448348	0.00306991	0.00278637	0.00333014	0.00345938	0.00347757	0.00215593	0.00292873	0.00615185	0.0051503	0.00340514	0.00392729	0.00419565	0.00301503	0.00510493	0.00439987	0.00401622	0.00410492	0.00443496	0.00357404	0.00399199	0.00429736	0.00391143	0.00365997	0.00655963	0.00388979	0.00349071	0.00347698	0.00654063	0.00272619	0.00340206	0.00349002	0.00470511	0.00496055	0.00531019	0.00251248	0.00263053	0.00520261	0.00417869	0.0052946	0.00352788	0.00438804	0.00296772	0.00442466	0.00507692	0.00504094	0.0046456
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.00892843	0.0105684	0.011533	0.0105975	0.0095975	0.0105803	0.00884878	0.0101463	0.0101093	0.01106	0.0100664	0.0113861	0.00973784	0.00971963	0.0103503	0.011573	0.0102615	0.0108082	0.010473	0.00946776	0.00892045	0.0109529	0.0114889	0.00909035	0.010148	0.0088238	0.0104176	0.00695563	0.00997263	0.0108306	0.00835197	0.00935302	0.0103627	0.0097399199999999	0.0102674	0.0110775	0.0105315	0.00939304	0.0108817	0.00778193	0.0101717	0.0106014	0.00980787	0.00978345	0.0115497	0.00665466	0.0108873	0.00996598	0.00967	0.00878959	0.00919801	0.00933934	0.00841363	0.0105673	0.00691174	0.0104399	0.010757	0.00933863	0.00924434	0.0100234	0.008496	0.0117445	0.0110258	0.00971607	0.00778035	0.0106496	0.0102603	0.0101928	0.00933038	0.0102384	0.010267	0.011195	0.0103021	0.00962136	0.0105063	0.00815544	0.0109225	0.0111152	0.0103371	0.00938314	0.00973338	0.0104475	0.0121583	0.0116208	0.0122788	0.0107676	0.00882883	0.00910611	0.0109314	0.00942663	0.0110389	0.0104523	0.0104935	0.00935158	0.0111878	0.00977638	0.00972223	0.0108531	0.0122773	0.00907499	0.0102333	0.0103826	0.00971999	0.00875243	0.010574	0.0105944	0.00906454	0.00712776	0.01083	0.0105323	0.00627673	0.0107917	0.0101569	0.00877368	0.0120482	0.0102837	0.00823419	0.0101655	0.00951173	0.00967403	0.011348	0.011201	0.00969596	0.0102056	0.0118855
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.00152397	0.00207831	0.00124904	0.00173404	0.00183639	0.00258257	0.000211743	0.00176287	0.000791371	0.00138663	0.0015753	0.000748425	0.00147747	0.00147289	0.00198582	0.00149156	0.000212619	0.00197053	0.000993806	0.00133313	0.00227255	0.000309912	0.00108076	0.00240246	0.00197146	0.00202541	0.00130037	0.00263106	0.000825481	0.00242381	0.00182916	0.00193195	0.0004962	0.00124304	0.00206281	0.000576702	0.00261078	0.000620263	0.000611105	0.000776227	0.00141024	0.00120636	0.00102836	0.00104984	0.000810816	0.0030451	0.00181421	0.00175255	0.00113479	0.000655305	0.00180527	0.000936329	0.00132795	0.00167533	0.00359015	0.00205198	0.00133603	0.00152782	0.00112675	0.0019058	0.000724951	0.00233726	0.00163397	0.00185223	0.00317486	0.00178483	0.000657975	0.00171077	0.00216312	0.00133861	0.00130615	0.00180542	0.0015066	0.00230446	0.00110147	0.00111164	0.000816435	0.00216135	0.00258018	0.0022104	0.000544596	0.0015661	0.000911455	0.00131356	0.000185686	0.000615948	0.00136285	0.0026113	0.000484455	0.00128949	0.0015081	0.00264543	0.00112215	0.000886296	0.00106301	0.000682043	0.00183288	0.0010232	0.00203437	0.00125931	0.00390078	0.00133578	0.000280309	0.00179017	0.00127851	0.00224775	0.00103926	0.000747623	0.00146507	0.00166151	0.00401743	0.00156066	0.00146552	0.000948547	0.00129237	0.00199715	0.00244816	0.00100842	0.000569037	0.00194319	0.0017475	0.00103103	0.000954164	0.00249114	0.000967098
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.44547e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000112564	0.0	1.52363e-05	0.000155035	0.0	0.000131245	0.0	0.000231585	0.0	0.0	0.0	2.06154e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010855	0.000879215	0.0	1.82201e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000538304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000147423	0.000189536	1.22639e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000169687	0.0	0.0	0.0	0.0	8.55793e-05	0.000119349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.15044e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000978649	5.84044e-05	0.0	0.0	0.0	0.0	0.0	4.98182e-05	0.0	4.29818e-05	0.0	0.0	0.0	0.0	0.0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0.00395652	0.00413556	0.00221835	0.00335524	0.00178711	0.00355481	0.00202577	0.0010528	0.00432869	0.00198902	0.00439173	0.00324847	0.000630756	0.0032894	0.00584479	0.00214572	0.00309362	0.00217587	0.00239139	0.00164351	0.00380795	0.00123997	0.00502328	0.00334997	0.0046808	0.00234946	0.00455172	0.00421269	0.00682866	0.00164206	0.00164325	0.00390441	0.00137415	0.00479022	0.00420972	0.00459994	0.00285793	0.00732118	0.00369019	0.00173388	0.00459608	0.00359847	0.0045822	0.00452138	0.000330538	0.00246995	0.0025869	0.00207583	0.00432229	0.00612093	0.00368285	0.00232108	0.00211411	0.00283653	0.00172992	0.0050409	0.00220623	0.00210425	0.0048919	0.0022915	0.000570117	0.00164346	0.000986592	0.00171683	0.00213651	0.00230983	0.00175998	0.00109845	0.00468603	0.00242025	0.00385707	0.00281136	2.74717e-05	0.00117523	0.00135479	0.00131862	0.00117415	0.00168261	0.00351839	0.00169995	0.00208878	0.00419671	0.00130246	0.000969242	0.000588973	0.00144058	0.00236947	0.00496388	0.00225497	0.00341004	0.00218638	0.00341186	0.00315934	0.00352367	0.0025168	0.00124989	0.002338	0.0024574	0.000675411	0.00375579	0.0026322	0.00284806	0.00461494	0.00079136	0.00327587	0.00170901	0.00704377	0.00120365	0.00190124	0.00307582	0.00248857	0.00227521	0.00133075	0.000491947	0.000681098	0.00117562	0.00256586	0.00385735	0.00154875	0.00121954	0.00281392	0.00337135	0.00335227	0.00293447	0.000897952
