# Pathway	SAMN08335126	SAMN08335128	SAMN08335135	SAMN08335136	SAMN08335138	SAMN08335140	SAMN08335141	SAMN08335033	SAMN08335037	SAMN08335038	SAMN08335039	SAMN08335042	SAMN08335047	SAMN08335049	SAMN08335050	SAMN08335053	SAMN08335057	SAMN08335058	SAMN08335060	SAMN08335062	SAMN08335063	SAMN08335065	SAMN08335066	SAMN08335067	SAMN08335068	SAMN08335069	SAMN08335071	SAMN08335072	SAMN08335074	SAMN08335078	SAMN08335079	SAMN08335919	SAMN08335922	SAMN08335923	SAMN08335924	SAMN08335925	SAMN08335930	SAMN08335931	SAMN08335932	SAMN08335934	SAMN08335935	SAMN08335936	SAMN08335937	SAMN08335941	SAMN08335942	SAMN08335943	SAMN08335127	SAMN08335129	SAMN08335130	SAMN08335131	SAMN08335132	SAMN08335133	SAMN08335134	SAMN08335137	SAMN08335139	SAMN08335142	SAMN08335143	SAMN08335144	SAMN08335034	SAMN08335035	SAMN08335036	SAMN08335040	SAMN08335041	SAMN08335043	SAMN08335044	SAMN08335045	SAMN08335046	SAMN08335048	SAMN08335051	SAMN08335052	SAMN08335054	SAMN08335055	SAMN08335056	SAMN08335059	SAMN08335061	SAMN08335064	SAMN08335070	SAMN08335073	SAMN08335075	SAMN08335076	SAMN08335077	SAMN08335080	SAMN08335081	SAMN08335082	SAMN08335083	SAMN08335920	SAMN08335921	SAMN08335926	SAMN08335928	SAMN08335929	SAMN08335933	SAMN08335938	SAMN08335939	SAMN08335940	SAMN08335944	SAMN08329222	SAMN08329225	SAMN08329227	SAMN08329229	SAMN08330723	SAMN08330730	SAMN08330739	SAMN08330746	SAMN08330748	SAMN08330749	SAMN08330751	SAMN08330752	SAMN08335119	SAMN08335022	SAMN08335024	SAMN08335025	SAMN08335028	SAMN08335031	SAMN08335032	SAMN08335084	SAMN08335085	SAMN08335086	SAMN08335089	SAMN08335091	SAMN08335096	SAMN08335097	SAMN08335099	SAMN08335102	SAMN08335108	SAMN08335113	SAMN08329223	SAMN08329224	SAMN08329226	SAMN08329228	SAMN08329230	SAMN08330722	SAMN08330724	SAMN08330725	SAMN08330726	SAMN08330727	SAMN08330728	SAMN08330729	SAMN08330731	SAMN08330732	SAMN08330733	SAMN08330734	SAMN08330735	SAMN08330736	SAMN08330737	SAMN08330738	SAMN08330740	SAMN08330741	SAMN08330742	SAMN08330743	SAMN08330744	SAMN08330745	SAMN08330747	SAMN08330750	SAMN08335115	SAMN08335116	SAMN08335117	SAMN08335118	SAMN08335120	SAMN08335121	SAMN08335122	SAMN08335123	SAMN08335124	SAMN08335125	SAMN08335145	SAMN08335146	SAMN08335147	SAMN08335148	SAMN08335149	SAMN08335023	SAMN08335026	SAMN08335027	SAMN08335029	SAMN08335030	SAMN08335087	SAMN08335088	SAMN08335090	SAMN08335092	SAMN08335093	SAMN08335094	SAMN08335095	SAMN08335098	SAMN08335100	SAMN08335101	SAMN08335103	SAMN08335104	SAMN08335105	SAMN08335106	SAMN08335107	SAMN08335109	SAMN08335110	SAMN08335111	SAMN08335112	SAMN08335114
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27961e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.80147e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.61384e-06	0.0	0.0	0.0	4.26498e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.87682e-05	0.0	9.02394e-05	0.0	0.0	0.0	3.45667e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9264e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000184788	0.0	0.0	0.0	0.0	0.0	2.03583e-05	0.0	0.0	0.0	3.5336e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.58295e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.72388e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.75586e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1CMET2-PWY: folate transformations III (E. coli)	0.00993922	0.0120936	0.0084858	0.00857797	0.0124374	0.00930401	0.00536475	0.00798997	0.00476789	0.00630332	0.00941094	0.0088152	0.00970039	0.00965767	0.0077679	0.00819292	0.00841097	0.0096943	0.00695698	0.00950957	0.00892899	0.0087195	0.00948469	0.00906402	0.0093983	0.00665651	0.00856927	0.00941036	0.00547449	0.0062872	0.00858167	0.0103435	0.00869145	0.00883765	0.00694814	0.00793808	0.00840817	0.00947154	0.00873045	0.007063	0.00945727	0.00969867	0.00699621	0.00894042	0.00710931	0.00810724	0.00601038	0.0110469	0.0112506	0.00744948	0.0101814	0.00777151	0.0120328	0.00665862	0.00846856	0.00979098	0.00960279	0.00877821	0.0117666	0.00721469	0.0101963	0.00647665	0.00844736	0.00803858	0.00706747	0.00535826	0.00794302	0.0069489799999999	0.00915819	0.0089765	0.00900369	0.00915785	0.0070032	0.00819257	0.00421612	0.00921795	0.0085111	0.00818043	0.00462948	0.0116185	0.00993729	0.00791005	0.00906045	0.00585168	0.00959139	0.0122519	0.00856688	0.0104074	0.00946025	0.00777731	0.0125855	0.00899076	0.00831039	0.00505326	0.00841945	0.00895876	0.0061114	0.00567128	0.00957483	0.0126017	0.0103584	0.0132625	0.00926618	0.0096081	0.00894608	0.01098	0.00961082	0.00880876	0.00833572	0.00499682	0.00772647	0.00935902	0.00942225	0.00872895	0.00912642	0.00783681	0.00817865	0.00726946	0.00967608	0.0100387	0.0061771	0.00952227	0.00675581	0.00793159	0.00670423	0.00914535	0.00849406	0.00968658	0.00964382	0.008197	0.00945133	0.00991946	0.00919006	0.0084532	0.00537116	0.00142431	0.0101249	0.00876809	0.00911383	0.00965181	0.00689593	0.0102668	0.0117011	0.0101211	0.00926357	0.00469678	0.00929613	0.0103442	0.00849329	0.0101754	0.0106737	0.0107417	0.00817903	0.0054427	0.00791514	0.00716903	0.00914917	0.010642	0.00959655	0.0114648	0.00711097	0.010564	0.00692998	0.00650957	0.0107149	0.00920736	0.00626081	0.00828451	0.00972898	0.00640108	0.0072457	0.00727445	0.00850332	0.00724363	0.0083427	0.00572155	0.00510976	0.00937589	0.00418915	0.00775671	0.00938202	0.00849534	0.00875191	0.00672391	0.00525083	0.00892985	0.00641165	0.00801507	0.0059407	0.00646843	0.00730684	0.00853268	0.00717126
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	1.47481e-05	0.0	0.0	2.50971e-05	0.0	0.0	4.52799e-05	4.17918e-05	9.87135e-05	3.43105e-05	1.3799e-05	4.24782e-05	0.0	9.6223e-05	2.5873e-05	6.13122e-05	1.75466e-05	0.0	0.000276094	3.18181e-05	3.28496e-05	5.79104e-05	0.0	9.12584e-05	0.0	2.76924e-05	0.000129293	4.31269e-05	0.0	4.09583e-05	0.0	0.0	3.70339e-05	2.95436e-05	4.34468e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000119547	1.87965e-05	0.0	0.0	8.71991e-06	3.62202e-05	8.15507e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000111209	0.0	9.35369e-05	7.93194e-06	0.000132162	0.000208193	5.46028e-05	5.47989e-05	1.08997e-05	0.0	4.63506e-06	6.44895e-05	0.000184743	3.04319e-05	0.000761723	0.0	0.0	0.0	0.00065891	3.35164e-05	0.0	0.0	4.53626e-05	0.0	0.0	5.93053e-05	6.32385e-05	0.0	0.0	0.0	3.89046e-05	0.0	4.83031e-05	6.96176e-06	0.0	2.11132e-05	0.000199968	0.000435945	0.0	0.0	0.0	0.0	5.43505e-05	0.0	1.54581e-05	0.0	0.0	0.000509971	0.0	3.37655e-06	8.53979e-05	0.0	6.01257e-05	0.000111664	0.000111716	0.000153133	2.45316e-05	0.000155694	0.0	0.000157104	0.000140927	0.0	5.25216e-05	3.6812e-05	0.000177337	0.0	0.0	0.0	1.31002e-05	1.05295e-05	0.0	0.0	2.59471e-05	0.0	0.0	2.81318e-05	0.0	1.15238e-05	0.0	0.0	0.0	9.64487e-06	0.0	0.0	8.12447e-05	0.0	0.0001824	0.0	6.76965e-05	0.0	0.0	0.0	5.54035e-05	0.000664961	0.0	0.0	0.0	0.0	9.05712e-05	0.0	4.36613e-05	0.0	3.69691e-05	0.0002243	0.0	0.0	0.0	1.141e-05	4.93364e-05	0.000467171	0.000479534	0.000152927	7.15054e-05	9.51425e-05	6.86416e-06	7.34434e-06	0.000701851	2.42299e-05	0.000312295	7.20892e-05	0.0	7.0425e-05	0.0	0.000176727	0.000429565	0.0	0.0	0.0	0.000588815	2.97268e-05	7.3738e-05	0.000104036	0.000258049
AEROBACTINSYN-PWY: aerobactin biosynthesis	0.0	3.04412e-05	8.77959e-05	0.0	0.0	0.0	0.0	7.07825e-05	2.89957e-06	1.3635e-05	7.56798e-06	3.45908e-06	8.26062e-06	0.0	2.20978e-05	5.09831e-06	8.34778e-05	7.34783e-06	0.0	6.15605e-06	6.06866e-05	0.0	0.0	6.70819e-06	0.0	0.0	0.0	1.37899e-05	0.0	2.63751e-05	0.0	8.19424e-05	0.0	5.18682e-05	3.2019e-05	0.0	0.0	0.0	0.0	8.26687e-05	0.0	0.0	0.0	0.0	6.86893e-06	6.91911e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.29821e-05	0.0	8.4285e-05	0.0	0.0	0.0	0.0	0.0	0.0	6.04466e-05	0.0	5.61599e-05	1.15591e-05	1.21254e-05	0.0	0.00020653	0.0	4.42169e-06	3.38103e-05	0.0	0.00018868	3.25675e-05	0.0	0.0	9.54198e-06	0.000106978	0.000611759	8.40202e-05	0.0	0.0	0.0	2.07337e-05	0.0	0.0	0.0	8.21493e-05	0.000289453	0.0	6.10738e-05	0.0	0.000386293	2.79067e-05	1.06131e-05	0.0	0.0	0.0	0.0	7.72955e-05	0.0	0.0	4.58787e-05	0.0	2.27812e-05	0.0	0.0	0.000492293	2.09383e-05	6.4727e-06	0.0	0.0	4.84066e-05	0.0	0.000209031	1.95944e-05	2.42531e-05	0.000279371	0.0	0.0	7.22086e-06	1.21512e-05	1.1072e-05	2.06676e-05	5.91058e-06	0.0	0.000170201	0.0	0.0	1.72715e-05	0.0	0.0	3.48411e-05	1.65868e-05	0.0	0.0	0.0	1.99488e-05	0.0	0.0	0.0	0.0	2.50791e-05	0.0	0.0	0.0	0.0	0.0	7.11135e-05	0.0	0.0	0.0	0.0	0.000720796	0.0	0.000213534	0.0	0.0	0.0	0.0	6.63104e-05	0.0	0.000595157	0.0	0.0	6.17991e-06	0.0	0.000137365	0.0	4.44644e-06	0.000559056	0.0	0.0	0.0	0.0	0.000393282	0.000653349	0.0	0.000655695	0.0	0.0	0.0	0.0	1.16091e-05	0.000461764	0.0	0.0	9.97521e-05	0.000410995	4.98477e-05	0.000156041	8.99872e-05	0.0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0.000214689	4.36577e-05	3.71786e-05	0.000167659	0.0	2.69247e-05	8.50179e-05	3.95235e-05	2.67325e-05	7.94125e-05	0.000118682	9.19061e-05	2.63443e-05	9.90572e-06	0.0	0.000165962	0.000290048	0.000283313	0.00011542	0.000203108	4.70538e-05	3.40883e-05	0.000123683	0.000147316	1.94615e-05	7.24486e-05	0.000116028	0.000169767	3.90157e-05	0.000106926	3.91868e-05	6.33548e-05	0.000115093	1.77495e-05	0.000231218	0.000219779	2.35919e-05	0.00026526	6.23838e-05	9.98047e-05	0.00024037	0.000218533	3.49314e-05	0.000264189	0.000107036	0.000213256	6.53278e-05	4.61988e-05	7.06985e-05	8.40871e-05	1.26996e-05	6.83323e-05	0.000214634	1.17335e-05	1.90684e-05	6.48997e-05	2.14156e-05	3.3895e-05	6.49147e-05	0.0	0.000265453	2.17354e-05	0.000155222	0.0	0.000122956	1.74863e-05	0.000221305	1.90172e-05	9.22235e-06	2.25948e-05	8.02517e-05	7.5057e-05	4.19989e-05	0.000123667	9.05543e-05	0.000119837	0.00016938	0.000407558	0.000282977	7.77071e-05	6.13461e-05	8.46769e-05	0.0001134	2.52957e-05	0.000106233	0.000153267	9.8311e-05	0.000179684	0.0	5.262e-05	6.00751e-05	0.000154515	0.000113786	5.5948e-06	0.000212412	0.000105732	0.000846348	0.000293158	8.90667e-05	9.1738e-05	0.000124921	4.75649e-05	0.000198063	9.1846e-05	0.0	0.000248642	1.48691e-05	0.000196479	9.53494e-05	0.000102622	0.000201204	0.000164189	0.0	0.000117134	8.33858e-06	6.7951e-05	0.000211708	0.000145847	0.000142215	1.62154e-05	0.000100527	2.17988e-05	8.32968e-05	0.00015648	3.91495e-05	0.00013964	0.000159299	0.0	6.79983e-05	0.000224261	7.02336e-05	6.39247e-05	9.42776e-05	6.94643e-05	4.89757e-05	0.0	2.14636e-05	3.84597e-05	0.000178487	2.01162e-05	8.35074e-05	2.09238e-05	2.59398e-05	5.88237e-05	0.000113455	2.33359e-05	0.000269589	7.46271e-05	1.13497e-05	7.029e-05	0.000154903	2.88009e-05	0.000110414	7.19423e-06	0.000140718	0.0	1.89817e-05	4.33924e-05	0.000127138	7.37719e-05	3.99162e-05	9.61884e-05	0.0	5.16883e-05	2.49334e-05	0.000155622	3.27557e-05	0.0	2.83183e-05	0.000214034	1.51807e-05	0.000178629	5.11978e-05	0.000304426	0.00016198	0.000134654	1.53825e-06	4.9751e-05	9.48836e-05	0.000231422	0.000389426	2.81242e-05	9.00234e-05	2.95462e-05	2.24469e-05	0.000210648	9.02181e-05	0.000118612	5.53912e-05	1.16279e-05	6.35844e-05	0.000203978	0.00014541
ANAEROFRUCAT-PWY: homolactic fermentation	0.00277286	0.00242817	0.00451968	0.0050456	0.00261163	0.00181744	0.00202635	0.00207914	0.00402721	0.00233437	0.00259779	0.00431949	0.00223115	0.00269023	0.00366473	0.0033244	0.00331568	0.00322369	0.00455968	0.00416312	0.00419632	0.00254664	0.00473027	0.00252685	0.00265677	0.00442097	0.00550711	0.00206665	0.00116313	0.0043189	0.00208245	0.00381088	0.00482108	0.00354031	0.00350548	0.00581994	0.00229797	0.0029348	0.00500925	0.00484359	0.00301638	0.00297616	0.0021845	0.00440822	0.00350673	0.00284456	0.00354147	0.00293017	0.00331118	0.0033567	0.0033884	0.00285289	0.00323917	0.00150755	0.00499141	0.00336783	0.00135832	0.00344321	0.00279062	0.00201781	0.00305393	0.00182697	0.00312208	0.00404716	0.00306702	0.00308394	0.00408496	0.00440552	0.00312833	0.00444168	0.00395475	0.003058	0.00312231	0.00375675	0.00457058	0.00457576	0.00407872	0.00305789	0.00383019	0.00230907	0.00242932	0.00330784	0.00287252	0.00190996	0.000981607	0.00307974	0.00198579	0.00400816	0.00307792	0.00320051	0.00246777	0.00365971	0.00356388	0.00469395	0.00412292	0.00477861	0.00484467	0.00454818	0.00461639	0.00263421	0.00383655	0.00401504	0.00382849	0.00292499	0.00358285	0.00365913	0.00429901	0.0038078	0.00481497	0.00463342	0.00437245	0.00324142	0.00302223	0.00459815	0.00319805	0.00372272	0.00437471	0.00470065	0.00400734	0.00342475	0.00525351	0.00493081	0.00459075	0.00448636	0.00455983	0.00294975	0.00454722	0.00427258	0.00286058	0.00618778	0.00277768	0.00342693	0.00267529	0.00571067	0.00128153	0.000366649	0.00401153	0.001329	0.00524671	0.00312673	0.00443598	0.00244608	0.00213107	0.00339425	0.00321354	0.00129607	0.00345268	0.0039326	0.00413937	0.0045006	0.00268413	0.00365911	0.00424235	0.00431574	0.00261599	0.00349861	0.00419599	0.00311187	0.00375965	0.00386639	0.00276244	0.00432973	0.00382001	0.00433081	0.00367304	0.004011	0.00452137	0.00368892	0.003314	0.00397361	0.00511065	0.00510217	0.00336584	0.00443695	0.00193654	0.00452384	0.00467431	0.00350997	0.00412494	0.00367102	0.00520561	0.00323126	0.00315976	0.00361614	0.00441981	0.00474493	0.00222645	0.00494138	0.00375292	0.00268311	0.0047596	0.00371596	0.00417012
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.00838422	0.00952189	0.00851027	0.0100337	0.00918534	0.0155794	0.0118959	0.00946052	0.00525385	0.00602627	0.00923999	0.0089585	0.00910382	0.00576825	0.00752064	0.00815399	0.00904822	0.00897897	0.00699312	0.0093526	0.0091183	0.00884383	0.00971939	0.00885272	0.00977113	0.00787716	0.00884875	0.0106205	0.00851984	0.00897461	0.00785021	0.0101651	0.00950238	0.0113181	0.00997059	0.00861715	0.00868983	0.0107216	0.0109237	0.0087096	0.00988646	0.0086969	0.00933915	0.00892967	0.00972517	0.0101159	0.00880933	0.00864638	0.0109212	0.00832613	0.00914525	0.0101846	0.00931335	0.0101677	0.00835513	0.0100852	0.0117321	0.0090572	0.00810453	0.0062458	0.00799278	0.00858868	0.00743426	0.0089558	0.00769848	0.00682123	0.009103	0.00733514	0.00772296	0.00812422	0.00910997	0.0090752	0.0077458	0.00927357	0.00634864	0.00902532	0.00932852	0.00863301	0.00524256	0.0110987	0.010171	0.00911324	0.00883476	0.00624456	0.0113323	0.00890015	0.00773501	0.00981557	0.00744184	0.00831661	0.00791847	0.0102659	0.00911145	0.0062005	0.00953519	0.0082331	0.00720439	0.00698977	0.0100213	0.00779616	0.0109025	0.00958951	0.00878101	0.00963744	0.00904135	0.0108417	0.00987964	0.00737216	0.00942791	0.00617234	0.00917166	0.00901396	0.00960156	0.00774335	0.00603125	0.00865468	0.00923368	0.00743133	0.00988607	0.00789961	0.00697307	0.0107429	0.00723506	0.0075458	0.00699349	0.00820554	0.00828844	0.0101225	0.00843117	0.0100942	0.00971989	0.00958436	0.0108969	0.00894532	0.00902164	0.000889074	0.00796625	0.00804662	0.0106282	0.00964455	0.00637878	0.0100404	0.00784922	0.00948129	0.00917888	0.0047795	0.00977396	0.00993467	0.00847173	0.0102771	0.0111194	0.0114897	0.0103405	0.00594561	0.00887655	0.00734262	0.00781213	0.00737301	0.00821157	0.00933486	0.00751035	0.0100043	0.00625909	0.00692411	0.00994622	0.00936191	0.00659361	0.00819754	0.00844313	0.00642506	0.00757751	0.00774111	0.00880218	0.00680371	0.00824924	0.00644506	0.00596323	0.00941396	0.00504133	0.00891689	0.00964361	0.00837395	0.00965758	0.00800111	0.00575226	0.00779517	0.00810855	0.0096404	0.0057761	0.00958472	0.00738893	0.00875945	0.00721964
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.00112101	0.000852489	0.00160091	0.00147748	0.000691918	0.000629214	0.00169806	0.00139016	0.00330352	0.00154826	0.00123454	0.00188875	0.000584808	0.0016703	0.00249209	0.00145589	0.00250384	0.00122068	0.00315601	0.00168606	0.00154457	0.00179009	0.000720499	0.00196332	0.000896689	0.00228769	0.00169353	0.00134035	0.000521023	0.00195649	0.000866152	0.00141821	0.00103813	0.000854361	0.000953605	0.000431856	0.000397292	0.0014333	0.000518444	0.00167522	0.000696444	0.000920937	0.000604703	0.00116431	0.0019562	0.00118487	0.000526946	0.000862906	0.00092958	0.00181943	0.00126994	0.000659527	0.00127616	0.000336858	0.00194801	0.000641904	0.000511577	0.000805156	0.000336717	0.000512981	0.00177361	0.00103402	0.00179521	0.00184823	0.00181471	0.00232238	0.00297057	0.00243624	0.00170488	0.00131659	0.00144394	0.00211193	0.00220423	0.00181839	0.00351459	0.000724762	0.0020838	0.00196694	0.00435478	0.00138962	0.00119157	0.00101765	0.00152713	0.000731198	0.00114762	0.00137473	0.000825013	0.00201507	0.0025577	0.000978362	0.000965981	0.00191118	0.00181581	0.00387232	0.00303581	0.00107692	0.00251609	0.00287588	0.000529244	0.00104436	0.000613235	0.000709079	0.00167318	0.00099476	0.000849107	0.00275063	0.000716665	0.00254475	0.00159109	0.00344547	0.00215641	0.00131103	0.00158662	0.00217077	0.00220829	0.00205962	0.0021891	0.0025584	0.00102984	0.00208792	0.00248148	0.00108771	0.0031823	0.00262961	0.00348283	0.00113691	0.0020667	0.000868309	0.0011303	0.000769167	0.00113629	0.00042641	0.00151252	0.00102883	0.000710025	0.000229131	0.000281858	0.000205579	0.0009982	0.000204465	0.00278099	0.000946634	0.0007511	0.00129236	0.00157303	0.000371534	0.00203625	0.000368859	0.00141519	0.00112107	0.000585799	0.000168152	0.0012612	0.00262106	0.00106938	0.00184988	0.00087345	0.00172343	0.00156788	0.000472887	0.00131039	0.000277917	0.00275416	0.00243528	0.00244	0.000900515	0.002835	0.00196748	0.00173826	0.00282641	0.00287764	0.00174785	0.00174325	0.00268031	0.00157366	0.00270346	0.0029709	0.00126398	0.00447387	0.00220784	0.00194716	0.00124099	0.00192706	0.00327514	0.00351068	0.000809879	0.000451512	0.00236581	0.00312457	0.000931404	0.00237253	0.00199166	0.00298868
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	7.44653e-05	0.0	0.000324359	2.16976e-05	0.0	0.0	0.000131008	6.3986e-05	0.00120691	0.000116269	4.50997e-05	0.000171723	0.0	0.000185551	0.000169394	5.1337e-05	0.000226154	0.0	0.00029279	6.69332e-05	8.68265e-05	0.000238109	0.0	8.39125e-05	0.0	1.29844e-05	2.71684e-05	4.6589e-05	0.0	3.48297e-05	0.0	0.0	0.000129764	9.31221e-05	1.5374e-05	0.0	0.0	0.0	0.0	2.86863e-05	0.0	0.0	0.0	0.0	0.000117726	2.89149e-05	0.0	0.0	7.96768e-06	5.15579e-05	0.000144392	0.0	3.72451e-05	0.0	3.40856e-05	0.0	0.0	0.0	0.0	7.18539e-06	0.000191288	1.56142e-05	5.18314e-05	0.00011464	0.000343145	0.000398129	0.000413311	0.000206555	0.0	4.35461e-05	1.31828e-05	8.92681e-05	0.000454356	9.11915e-05	0.00156775	0.0	3.75085e-05	0.0	0.000830163	0.000126494	0.0	0.0	0.0	3.20317e-05	0.0	6.38951e-05	2.38075e-05	0.0	0.0	0.0	0.000112892	0.0	0.000129559	0.000842618	0.0	8.26757e-05	0.000256814	0.000902293	0.0	3.14174e-05	0.0	0.0	8.6088e-05	1.77644e-05	4.63405e-05	0.0	0.0	0.000138104	1.94327e-05	0.00121407	0.000134689	5.39131e-05	0.000120507	7.75349e-05	0.000293289	0.000515303	4.56833e-05	0.000365226	0.0	0.000193597	0.000422391	0.0	0.000521636	0.000145974	0.000235608	0.0	0.0	0.0	0.0	0.0	8.24009e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00100466	1.15947e-05	0.000105791	0.0	8.99708e-05	0.0	0.0	0.0	0.0	1.15199e-05	0.0	0.0	4.25089e-05	0.00112634	1.04553e-05	0.000452529	0.0	0.0	6.65801e-05	0.0	9.52196e-05	0.0	0.0	5.26831e-05	0.0	0.0	0.000477055	0.000349807	0.000303345	0.000518558	0.000346828	0.00029181	8.20978e-05	0.000621103	2.81521e-05	0.000587997	0.000961016	3.52013e-05	0.000929956	4.26471e-05	0.0	0.000118737	0.0	0.000366852	0.000122347	0.0	0.0	0.0	0.00059188	6.80555e-05	0.000281562	2.0677e-05	0.000382844
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0.00752451	0.011469	0.00767389	0.00710499	0.0111789	0.00303102	0.000571221	0.00484845	0.00418644	0.00240961	0.00704916	0.00687787	0.00516906	0.00680913	0.00484997	0.00540947	0.00441069	0.0063913	0.00369304	0.006147	0.00693177	0.00439379	0.00706565	0.00547405	0.00528844	0.00328148	0.0061544	0.00582575	0.00167047	0.0027083	0.00258001	0.0078045	0.00415122	0.000176393	0.00311939	0.00619515	0.00123325	0.00557317	0.00591371	0.00108251	0.00459975	0.00465701	0.00152255	0.00480936	0.00403371	0.00428826	0.00184042	0.00832242	0.0057501	0.00253876	0.00775751	0.00270837	0.00597002	0.00278326	0.00573782	0.00677446	0.00483867	0.00385084	0.00970854	0.000652277	0.00626173	0.000457748	0.00209382	0.00650347	0.0015532	0.00148405	0.00271445	0.00480611	0.00666594	0.00613684	0.00582953	0.00481467	0.00402944	0.00437879	0.00209798	0.00594304	0.00278773	0.00367409	0.00193998	0.00807619	0.00600409	0.002109	0.00268228	0.00163162	0.00662316	0.00875245	0.00253208	0.00522413	0.00780504	0.00178024	0.010017	0.00284317	0.00473629	0.00231194	0.000352895	0.00650913	0.00351949	0.00177578	0.00635035	0.0125182	0.00539045	0.00569218	0.00559963	0.00329892	0.00716772	0.00408508	0.00458365	0.0044321	0.00138327	0.00190478	0.00123187	0.00274577	0.00671122	0.00450642	0.00596092	0.00573614	0.00345733	0.00420813	0.00663946	0.00731807	0.00357359	0.00579259	0.0016682	0.00538742	0.00334552	0.00338421	0.0030635	0.00606446	0.0033614	0.00627521	0.00697641	0.00813216	0.00200148	0.0060209	0.00268567	0.000503759	0.00770762	0.00433644	0.00453586	0.00429894	0.00433214	0.00893319	0.00939114	0.00481401	0.00391341	0.000457815	0.00436993	0.00671263	0.00597085	0.00399201	0.00633226	0.00532987	0.00359033	0.00359307	0.001169	0.00562529	0.00910759	0.00157743	0.00357195	0.0087387	0.00379842	0.00642625	0.00486576	0.00337613	0.00589788	0.00639318	0.00461183	0.00420831	0.00779055	0.00462917	0.00302962	0.00652362	0.00534356	0.0035729	0.00149892	0.00409199	0.00316649	0.00789826	0.00170107	0.00510367	0.00568701	0.00562536	0.00399887	0.00461637	0.00247916	0.00275711	0.00139752	0.00131033	0.00389345	0.00118596	0.00448374	0.00228819	0.00278835
