# Pathway	SAMN21877043	SAMN21877044	SAMN21877045	SAMN21877046	SAMN21877047	SAMN21877048	SAMN21877049	SAMN21877050	SAMN21877051	SAMN21877052	SAMN21877053	SAMN21877054	SAMN21877055	SAMN21877056	SAMN21877057	SAMN21877058	SAMN21877059	SAMN21877060	SAMN21877061	SAMN21877062	SAMN21877063	SAMN21877064	SAMN21877065	SAMN21877066	SAMN21877067	SAMN21877068	SAMN21877069	SAMN21877070	SAMN21877071	SAMN21877072	SAMN21877073	SAMN21877074	SAMN21877075	SAMN21877076	SAMN21877077	SAMN21877078	SAMN21877079	SAMN21877080	SAMN21877081	SAMN21877082	SAMN21877083	SAMN21877084	SAMN21877085	SAMN21877086	SAMN21877087	SAMN21877088	SAMN21877089	SAMN21877090	SAMN21877091	SAMN21877092	SAMN21877093	SAMN21877094	SAMN21877095	SAMN21877096	SAMN21877097	SAMN21877098	SAMN21877099	SAMN21877100	SAMN21877101	SAMN21877102	SAMN21877103	SAMN21877104	SAMN21877105	SAMN21877106	SAMN21877107	SAMN21877108	SAMN21877109	SAMN21877110	SAMN21877111	SAMN21877112	SAMN21877113	SAMN21877114	SAMN21877115	SAMN21877116	SAMN21877117	SAMN21877118	SAMN21877119	SAMN21877120	SAMN21877121	SAMN21877122	SAMN21877123	SAMN21877124	SAMN21877125	SAMN21877126	SAMN21877127	SAMN21877128	SAMN21877129	SAMN21877130	SAMN21877131	SAMN21877132	SAMN21877133	SAMN21877134	SAMN21877135	SAMN21877136	SAMN21877137	SAMN21877138	SAMN21877139	SAMN21877140	SAMN21877141	SAMN21877142	SAMN21877143	SAMN21877144	SAMN21877145	SAMN21877146	SAMN21877147	SAMN21877148	SAMN21877149	SAMN21877150	SAMN21877151	SAMN21877152	SAMN21877153	SAMN21877154	SAMN21877155	SAMN21877156	SAMN21877157	SAMN21877158	SAMN21877159	SAMN21877160	SAMN21877161	SAMN21877162	SAMN21877163	SAMN21877164	SAMN21877165	SAMN21877166	SAMN21877167	SAMN21877168	SAMN21877169	SAMN21877170	SAMN21877171	SAMN21877172	SAMN21877173	SAMN21877174	SAMN21877175	SAMN21877176	SAMN21877177	SAMN21877178	SAMN21877179	SAMN21877180	SAMN21877181	SAMN21877182	SAMN21877183	SAMN21877184	SAMN21877185	SAMN21877186	SAMN21877187	SAMN21877188	SAMN21877189	SAMN21877190	SAMN21877191	SAMN21877192	SAMN21877193	SAMN21877194	SAMN21877195	SAMN21877196	SAMN21877197	SAMN21877198	SAMN21877199	SAMN21877200	SAMN21877201	SAMN21877202	SAMN21877203	SAMN21877204	SAMN21877205	SAMN21877206	SAMN21877207	SAMN21877208	SAMN21877209	SAMN21877210	SAMN21877211	SAMN21877212	SAMN21877213	SAMN21877214	SAMN21877215	SAMN21877216	SAMN21877217	SAMN21877218	SAMN21877219	SAMN21877220	SAMN21877221	SAMN21877222	SAMN21877223	SAMN21877224	SAMN21877225	SAMN21877226	SAMN21877227	SAMN21877228	SAMN21877229	SAMN21877230	SAMN21877231	SAMN21877232	SAMN21877233	SAMN21877234	SAMN21877235	SAMN21877236	SAMN21877237	SAMN21877238	SAMN21877239	SAMN21877240	SAMN21877241	SAMN21877242
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.94324e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.45383e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.15817e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.09906e-05	0.0	0.0	0.0	0.0	2.8941e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14DICHLORBENZDEG-PWY: 1,4-dichlorobenzene degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.26246e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1CMET2-PWY: folate transformations III (E. coli)	0.00742633	0.00948198	0.00805186	0.00746083	0.0134999	0.00594386	0.00916785	0.00919996	0.00704649	0.0080193	0.00883261	0.00887307	0.0106357	0.00745032	0.00732436	0.00827231	0.00312033	0.00834626	0.00911307	0.00387377	0.00773545	0.00801448	0.00990986	0.00922012	0.00855588	0.0105136	0.00831224	0.0113391	0.0106142	0.00657829	0.00919103	0.0112978	0.00314464	0.00718298	0.00848519	0.0101119	0.00453398	0.00719182	0.00846209	0.00983787	0.010616	0.00807782	0.00956827	0.00669519	0.00915847	0.00777823	0.00380965	0.00842124	0.00888676	0.00561708	0.0104603	0.00602923	0.00833573	0.00903626	0.00830625	0.00821304	0.00959264	0.00915477	0.00717783	0.00922764	0.00852839	0.0102621	0.00792735	0.00922744	0.00868743	0.00427866	0.00913688	0.00908538	0.0078016	0.012711	0.00820855	0.00802111	0.00753061	0.0161954	0.00661283	0.00870441	0.00624165	0.00597834	0.0132366	0.0113131	0.00797876	0.00904614	0.00745432	0.00395187	0.00827773	0.00770032	0.00343349	0.00771844	0.0108392	0.00791028	0.00792703	0.00802811	0.0126788	0.0102395	0.0118676	0.0098842	0.00813183	0.00753796	0.00699949	0.00739378	0.0075713	0.0068494	0.00761242	0.00693349	0.00457829	0.00614382	0.00753496	0.00435402	0.00612713	0.00755642	0.00968392	0.00793932	0.00738519	0.0088219	0.00665229	0.00997047	0.00581372	0.00557828	0.00574198	0.00408259	0.00901152	0.0107501	0.00853096	0.00920406	0.00811963	0.00954408	0.0092554	0.00885039	0.00831063	0.00845658	0.00729959	0.0104002	0.00558201	0.00865246	0.00845878	0.00848943	0.00844702	0.00663006	0.00714213	0.0105458	0.00263895	0.00837228	0.0103698	0.00901335	0.00740767	0.00612192	0.00404838	0.00541529	0.00802145	0.00951164	0.00924448	0.00854849	0.00863988	0.00879129	0.00576835	0.00869712	0.00846752	0.00761646	0.00877459	0.00939842	0.00952345	0.00839978	0.0110932	0.00927739	0.00976123	0.00838133	0.0105559	0.00674295	0.00755542	0.00858368	0.00606014	0.0108112	0.00887125	0.00951159	0.00804183	0.00846219	0.0104565	0.00845087	0.00683825	0.00666347	0.00837539	0.00870844	0.00984861	0.00612319	0.00933035	0.0090606	0.00828956	0.00730999	0.00979278	0.00946848	0.00820785	0.00698312	0.0110324	0.0095687	0.00951034	0.00940481	0.00918136	0.00844687	0.0126167	0.00862816
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	3.48194e-05	0.0	0.0	0.0	4.61127e-06	3.71086e-05	8.40294e-05	0.0	0.000269227	0.0	3.53017e-05	0.0	3.79711e-05	0.0	1.01808e-05	0.0	0.0	0.0	0.0	1.22392e-05	0.0	3.79499e-06	0.0	3.84274e-05	1.69866e-05	6.17105e-06	2.24039e-06	0.0	0.0	2.28175e-05	0.0	0.0	0.00127763	0.0	5.53504e-05	3.66696e-05	0.0	0.0	0.0	9.20043e-06	0.0	0.0	0.0	0.0	0.0	4.41392e-06	0.00160338	5.26509e-05	6.17271e-05	1.61381e-06	0.0	0.000178968	2.27285e-05	5.29765e-05	1.09166e-05	1.62118e-05	0.0	0.0	2.1032e-05	0.0	0.000111005	0.0	0.0	0.0	0.0	0.00018834	0.0	0.0	0.0	6.60896e-05	0.0	0.0	0.0	1.13023e-05	0.0	5.33183e-05	0.000232575	7.19057e-05	0.0	0.0	0.0	7.01961e-06	0.0	0.00102177	2.34059e-05	0.0	0.0	0.0	0.0	6.20972e-06	1.20079e-05	2.16318e-05	0.0	1.9094e-05	3.69819e-05	0.0	0.0	0.0	0.0	3.73192e-05	5.66681e-05	0.00015898	2.46372e-05	0.000215213	0.0	0.0	0.0	0.00050303	0.000117681	1.9278e-05	0.0	5.76641e-05	1.94048e-05	3.70227e-06	0.000484044	1.65514e-05	0.000594887	6.87136e-05	0.0	0.00107575	0.0	2.56596e-05	0.0	2.14921e-05	0.0	3.71375e-05	0.0	0.0	0.0	0.0	0.000239359	0.0	0.000373433	4.40284e-05	0.0	0.00018688	0.0	0.000196852	0.0	8.72016e-06	0.0	0.0	0.0	1.68117e-05	0.0	0.0	1.20976e-05	0.000443401	0.000240694	1.8501e-05	0.0	6.00265e-06	6.95987e-06	0.0	2.92481e-05	0.000176549	0.0	3.84758e-05	0.0	0.0	0.0	2.16312e-05	5.02312e-05	0.0	0.0	0.0	1.25967e-05	0.000305221	4.44851e-05	3.23855e-05	0.0	5.99796e-06	0.0	2.16864e-05	0.0	0.0	4.10929e-05	0.0	0.0	0.0	0.0	2.94155e-05	2.33347e-05	0.0	0.0	0.0	0.000155376	3.9991e-05	0.000225757	4.35993e-06	0.0	0.000163351	0.0	0.0	0.0	3.63836e-05	5.07491e-06	0.000196738	0.0	0.000107194
AEROBACTINSYN-PWY: aerobactin biosynthesis	0.00044693	0.0	0.0	0.0	0.0	0.0003374	7.60046e-05	0.0	0.0	0.0	0.0	0.0	3.66422e-05	5.86283e-06	2.49142e-05	7.45743e-05	0.0	0.0	1.59407e-05	0.0	1.42134e-05	6.11884e-06	1.16869e-05	7.02159e-05	0.0	3.43519e-05	7.9908e-05	0.0	0.0	1.72832e-05	0.0	0.0	3.2798e-05	3.02294e-05	0.0	0.0	0.0	0.0	0.0	2.30183e-05	0.0	0.000125098	4.47934e-05	7.4786e-06	0.0	0.0	0.0	4.4709e-05	0.000142547	9.43424e-05	0.0	0.0	5.64962e-06	4.30347e-05	8.48164e-05	0.0	0.0	1.15835e-05	4.13426e-06	5.9201e-06	0.000100504	0.0	0.0	2.74478e-05	7.25945e-05	0.0	6.15467e-05	0.0	0.000128916	0.0	2.67351e-05	0.0	0.0	2.34749e-05	0.0	0.000104888	0.000808148	0.000102071	0.0	0.0	0.0	0.0	0.0	0.000646059	0.000109925	0.0	0.0	0.0	0.0	8.86113e-05	1.26515e-05	2.24737e-05	0.000175751	3.06011e-05	0.0	6.74044e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.000111541	0.000272905	0.00046959	0.00025969	0.0	0.000254395	0.000131491	2.29581e-05	0.0	9.63167e-06	4.92566e-05	0.0	0.000473046	3.55216e-05	5.03391e-05	9.95404e-05	0.0	0.00107133	0.0	1.69924e-05	4.01475e-05	8.69549e-06	0.0	4.92145e-05	0.0	0.0	6.0849e-06	7.81369e-05	7.78291e-06	1.58124e-05	0.000647667	0.0	0.000122482	0.0	8.30571e-05	1.36152e-05	6.9506e-05	1.90788e-05	0.0	0.0	4.63688e-06	0.0	0.0	3.76864e-06	0.0	5.52246e-05	0.000137036	4.19421e-06	9.02195e-05	0.0	9.00022e-06	1.67575e-05	0.0	0.0	0.0	0.000143257	0.000148797	0.0	5.88944e-06	2.97562e-05	4.98916e-06	0.0	0.0	7.27392e-05	5.61676e-06	6.49484e-05	0.0	0.000156072	4.22765e-05	0.0	0.0	1.4697e-05	0.0	3.11761e-05	0.0	0.0	0.000549862	8.03333e-05	7.8387e-06	6.50483e-06	0.0	0.0	8.14595e-06	8.63363e-05	0.000473274	1.97868e-05	0.0	0.0	0.0	0.000507601	0.0	0.0	0.0	0.000148993	5.13516e-06	0.000224544	0.0	5.10323e-05
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	6.26801e-06	0.000338604	6.72072e-05	0.0	2.65489e-05	1.35516e-05	7.28289e-05	0.000224026	8.38539e-05	8.65466e-05	4.15278e-05	0.000163789	7.29165e-05	0.000154824	1.53118e-05	0.0	0.0	0.000128326	9.20266e-05	2.47735e-05	2.213e-05	8.90827e-05	1.93946e-05	0.0	0.000319738	4.36926e-05	3.19602e-05	5.41027e-05	0.000138918	0.000242399	8.08712e-05	0.000195526	2.03122e-05	0.000117429	0.000218679	0.000133694	0.0	7.30587e-05	0.00024339	0.000385944	7.00446e-05	0.000178427	1.63963e-05	4.63988e-05	0.000197888	0.000101974	0.0	0.00012523	0.000129009	0.000282386	0.000159339	0.000270166	0.000206876	7.28837e-05	3.21916e-05	6.43708e-05	0.00014909	0.000361751	0.000221078	4.68952e-05	6.50834e-05	0.000244758	5.6142e-06	9.38378e-05	8.25552e-06	2.54e-05	0.000296351	0.000214828	1.09087e-05	0.000110165	0.00017583	3.68051e-05	0.00023005	0.000172557	0.00024025	0.000181726	3.4148e-05	4.68049e-05	4.44574e-05	3.13937e-06	0.0	0.000218802	5.5713e-05	0.000288814	0.000253089	0.000164022	4.67668e-05	0.000304576	8.3663e-05	1.09631e-06	0.000242364	4.81e-06	1.17043e-05	0.000305099	0.000168371	2.41e-05	7.42215e-05	9.80866e-05	8.28348e-05	0.000102178	0.000127884	0.0	3.59725e-05	0.000172712	7.11784e-05	0.000167198	0.0	0.0	0.0	0.000218859	0.000260243	0.000187165	3.70414e-05	3.29092e-05	0.000281937	6.87174e-05	3.3149e-05	0.000173043	0.0	2.4584e-05	3.4896e-05	0.000144794	1.30904e-05	5.13496e-06	0.0	0.000516275	7.44358e-05	0.00012454	0.000140216	6.98125e-05	7.22608e-05	8.87673e-05	1.0788e-05	1.76338e-05	0.0	0.000213544	1.37052e-05	1.46157e-05	6.9133e-05	1.62231e-05	0.0	0.000100199	0.00023193	0.000262886	5.89396e-05	0.000199727	2.22393e-05	2.90747e-05	9.72214e-05	8.60367e-05	0.000162919	1.88935e-05	0.000168315	0.000154276	6.41107e-05	3.20195e-05	2.28526e-05	8.32641e-06	0.000129696	0.00025328	0.000114421	0.000106443	2.73331e-05	3.11931e-05	9.17387e-05	1.48026e-05	0.000178219	1.17728e-05	0.0	8.55681e-05	0.000174435	8.48051e-05	5.04812e-05	0.000177996	9.14463e-05	8.96662e-06	0.000140714	0.000181226	0.0	9.35718e-05	0.000149766	0.000234189	3.59751e-05	0.000109375	7.86431e-05	1.09237e-05	0.000134328	5.57275e-06	6.68267e-05	0.000170928	6.21333e-05	2.16838e-05	0.000134632	0.000160073	0.000220919	8.7399e-05	0.000212685	0.000260666	1.12119e-05	0.000118036
ANAEROFRUCAT-PWY: homolactic fermentation	0.00409417	0.00467093	0.00246991	0.00202698	0.00293063	0.00467276	0.00279576	0.00418589	0.00480563	0.00319109	0.00423583	0.00430998	0.00338994	0.00583685	0.00447684	0.00629309	0.00385823	0.0052898	0.00295558	0.00215855	0.00386285	0.00429129	0.00551007	0.00438402	0.00496145	0.00219988	0.00485062	0.002717	0.00283926	0.00385477	0.00462975	0.00284246	0.00380062	0.00458024	0.00330018	0.00400741	0.0014022	0.00505182	0.00404486	0.00409848	0.00357627	0.00256676	0.0065249	0.0044356	0.00533995	0.00492798	0.00434872	0.00392952	0.00370768	0.00405614	0.00217302	0.00462874	0.00691051	0.00227192	0.00343234	0.00248355	0.00152588	0.00599844	0.00322499	0.00434155	0.00495311	0.00394871	0.00334942	0.00416601	0.00447443	0.00439083	0.00268824	0.00326469	0.00452777	0.00494657	0.00523545	0.00449609	0.00470401	0.00239456	0.00371571	0.00397543	0.00420189	0.00210103	0.00263192	0.00333827	0.00195305	0.00362917	0.00372934	0.00446026	0.00501028	0.00508692	0.000875022	0.00472071	0.00319894	0.00699399	0.00320547	0.00411738	0.00219741	0.00363002	0.00381378	0.00144004	0.00378964	0.00309375	0.00418209	0.00370989	0.00535784	0.00529364	0.00381757	0.00530629	0.00453284	0.0052297	0.00719449	0.00430201	0.00639497	0.00579101	0.00384304	0.00437163	0.00588236	0.0045384	0.00512546	0.00448878	0.004118	0.00335072	0.00329186	0.00520002	0.00249167	0.00438688	0.00323054	0.00365164	0.00220148	0.00464338	0.00439165	0.00389841	0.0062278	0.00455041	0.00515091	0.00321907	0.00428204	0.00458451	0.00404543	0.00473389	0.00338219	0.00463388	0.00601264	0.00400157	0.00885937	0.00497326	0.00383308	0.00421056	0.00503907	0.00751575	0.00433351	0.00464746	0.00337911	0.00394951	0.00408602	0.0052274	0.00522498	0.00201748	0.00170487	0.00357815	0.00525498	0.00362982	0.00405311	0.00641315	0.00653517	0.00533775	0.00334732	0.00498243	0.00325825	0.00427535	0.00411214	0.00422696	0.00263326	0.00400566	0.00251513	0.00381074	0.00391133	0.0027352	0.00463524	0.00362054	0.00385583	0.00411221	0.00470032	0.00459053	0.00320227	0.00688713	0.00350861	0.00228337	0.0032724299999999	0.00382207	0.00416681	0.00421936	0.00243826	0.00326583	0.00291978	0.00400459	0.00336592	0.00345543	0.00457237	0.00369538	0.00432757	0.0032591	0.00302381	0.00304023
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.00833434	0.0115868	0.00582896	0.00796922	0.00889125	0.00688273	0.00679666	0.00940941	0.00839026	0.00893543	0.00924365	0.00665482	0.00934616	0.00905199	0.00724799	0.0115824	0.00490055	0.0100821	0.00995468	0.00645229	0.0101506	0.0101734	0.00989607	0.00839888	0.0084426	0.00575874	0.00909748	0.010745	0.00816501	0.00961514	0.0115147	0.00900531	0.00474848	0.0101355	0.0103522	0.0100084	0.006948	0.0124231	0.00989635	0.00737994	0.00902532	0.012351	0.0102628	0.00996743	0.0119144	0.00997977	0.00482316	0.0100135	0.0110446	0.0107323	0.0121372	0.00670928	0.0110302	0.00729096	0.00882776	0.00705881	0.0100784	0.010059	0.0103492	0.00915228	0.00895781	0.0097569	0.0090944	0.00937265	0.00713512	0.00508682	0.0075913	0.0115274	0.00902805	0.00934481	0.00979639	0.00932876	0.00869144	0.00829075	0.0107939	0.00927816	0.00650167	0.00938468	0.00472232	0.00781718	0.0103935	0.0100549	0.0110959	0.00538759	0.0094109	0.00922792	0.00473098	0.0114729	0.00969992	0.00866693	0.0107523	0.00921622	0.00551468	0.0105284	0.00981731	0.00852662	0.00763705	0.0111222	0.0121514	0.0101012	0.00995639	0.00983889	0.00686678	0.00820629	0.00601205	0.00806066	0.011251	0.00717672	0.0081083	0.0097458	0.00816074	0.00849078	0.00761116	0.00994166	0.00850556	0.00933824	0.00583141	0.0107	0.00630422	0.0060012	0.011004	0.00845491	0.00843427	0.00918833	0.00720215	0.0102105	0.00917404	0.0104262	0.0106325	0.00872667	0.00788268	0.00837071	0.0070747	0.00762669	0.00953561	0.00766693	0.00949788	0.00715106	0.00912492	0.00874147	0.0121095	0.00981517	0.00861917	0.00929774	0.0104355	0.0099652	0.00488851	0.00679074	0.00733721	0.00847765	0.00954036	0.00983869	0.00975574	0.00876652	0.00611168	0.00749742	0.00956162	0.00839987	0.00775542	0.00997796	0.0107159	0.00889193	0.00894477	0.0109672	0.0116569	0.00881907	0.00835484	0.00756377	0.00693174	0.00911566	0.0090149	0.00689845	0.0124434	0.00942105	0.00733333	0.00798305	0.0105008	0.011848	0.00748118	0.00839644	0.0104679	0.0106885	0.00758868	0.00677879	0.00794603	0.0102865	0.00718091	0.00910589	0.0062607	0.00920792	0.00985966	0.00704165	0.00932307	0.0110031	0.0104557	0.00902413	0.0101794	0.00721321	0.00621608	0.00781651
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.00245461	0.000951954	0.00181804	0.000532732	0.000579551	0.00297123	0.00107144	0.000589156	0.00306853	0.00147944	0.00110053	0.000222655	0.00110532	0.000675364	0.00320776	0.00102205	0.00422311	0.000645803	0.00115011	0.000981248	0.000841065	0.000667682	0.000409821	0.000675141	0.000925548	0.00078242	0.00197679	0.00100909	0.000754433	0.00108924	0.000299929	0.000338524	0.00351671	0.00197214	0.00150403	0.00189933	0.000195245	0.00241132	0.000887979	0.00116889	0.0011832	0.00142918	0.000575529	0.000614264	0.0009348889999999	0.00073046	0.00382834	0.00163584	0.00209328	0.0021148	0.00117595	0.00387545	0.00151423	0.00145357	0.00102037	0.00145312	0.000501249	0.000825118	0.00123885	0.000661526	0.00104729	0.000857285	0.000279352	0.00171615	0.0016504	0.00378871	0.00152833	0.000734535	0.00239442	0.0018	0.00183615	0.000354542	0.0011014	0.00072201	0.000698411	0.00158139	0.00299817	0.00108184	0.00201467	0.000187454	0.000408397	0.000552832	0.000384314	0.00392242	0.00183494	0.00150943	0.000221381	0.000746086	0.000805073	0.00110026	0.00101308	0.00123065	0.00188463	0.00117825	0.00133261	0.000721992	0.000914775	0.000778306	0.000642359	0.0013997	0.00149868	0.00238077	0.00231715	0.00356223	0.00351203	0.00307053	0.0	0.00271053	0.00223594	0.0015635	0.00135214	0.0017397	0.00206889	0.000479178	0.00305306	0.000722523	0.0030181	0.00119439	0.00253707	0.00364153	0.00119936	0.000766913	0.00125422	0.00113559	0.000596327	0.00139782	0.00125735	0.00213803	0.000989353	0.00215482	0.00170682	0.000677561	0.00317349	0.00132078	0.00109776	0.00265312	0.00143454	0.00203956	0.00183455	0.00099327	0.000321185	0.000669859	0.000618243	0.00101509	0.000571835	0.000417888	0.00345441	0.00240553	0.00249211	0.00190492	0.00163215	0.000777534	0.00195698	0.00135524	0.000675037	0.00203456	0.000280817	0.00222299	0.00260574	0.000336991	0.000582474	0.00136327	0.0020311	0.00048186	0.000687692	0.00127122	0.00106533	0.00317581	0.0022121	0.00212887	0.0015102	0.00196352	0.000220042	0.000999762	0.000300121	0.00151726	0.00160546	0.000624577	0.00362909	0.00243585	0.000670563	0.00142942	0.00121584	0.00138189	0.000485371	0.00106766	0.00241568	0.00137545	0.00211113	0.000644429	0.00129669	0.00333782	0.000623299	0.00117884	0.000432234	0.00174939	0.000427466	0.00224221	0.000762972	0.0016909
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	7.09485e-05	0.0	0.000523517	1.12463e-05	0.0	0.000515313	0.000103392	0.0	0.0	0.0	0.000109169	0.0	4.30569e-05	0.0	0.000390289	0.0	0.002265	0.0	0.0	1.69285e-05	4.01937e-05	0.0	6.17983e-06	0.0	6.76673e-05	0.0	0.0	0.0	4.97727e-05	2.87293e-05	0.0	0.0	0.000952139	2.0478e-05	8.28645e-05	5.34609e-05	0.0	0.0	1.8705e-05	0.0	0.0	9.15875e-05	0.0	5.29972e-06	0.0	0.0	0.000831532	9.56524e-05	5.89999e-05	9.29925e-05	0.0	0.000329256	2.90492e-05	3.16943e-05	1.26808e-05	9.02813e-05	0.0	0.0	7.62181e-06	0.0	0.000219481	0.0	0.0	2.22641e-05	0.0	0.0023988	6.41319e-05	0.0	0.0	0.000156611	5.31098e-05	0.0	0.0	0.0	0.0	7.87053e-05	0.00126751	5.00579e-05	0.0	0.0	0.0	5.75044e-06	0.0	0.00178771	5.20366e-05	7.9578e-06	0.0	1.19082e-05	1.34868e-05	0.000126957	0.0	0.000190376	0.000122987	8.24969e-05	0.0	0.0	0.0	0.0	0.0	2.48148e-05	0.000107922	0.000347408	0.000474806	0.000396185	0.0	0.0	0.0	0.000540929	0.000485938	0.00024751	2.76877e-05	0.000182836	0.000482818	0.0	0.000236097	1.03281e-05	0.000648186	0.000104299	0.00129208	0.00187421	9.14233e-06	1.14343e-05	9.03986e-05	4.74832e-05	0.0	8.62228e-05	0.0	0.0	0.0	1.81707e-05	0.000155561	0.0	0.000531217	8.673e-05	0.0	0.000145191	0.0	0.000245521	0.0	0.0	0.0	0.0	1.51516e-05	2.55605e-05	7.88097e-05	2.05154e-05	0.00269537	0.000764387	0.000327721	3.16569e-05	8.30322e-05	7.31302e-06	5.99984e-06	0.0	9.04681e-06	0.000216419	0.0	0.00030304	0.000107933	0.0	0.0	0.0	0.000194698	0.0	0.0	5.05571e-05	0.0	0.000596041	9.30204e-05	5.88257e-05	4.11184e-05	0.0	0.0	0.0	0.0	0.00012064	2.92541e-05	0.0	0.0	0.000269789	0.0	3.48648e-05	1.83086e-05	8.46367e-05	0.0	0.0	0.000372903	1.52158e-05	0.000259326	4.1071e-06	5.33572e-06	0.000343352	1.00038e-05	0.0	0.0	3.56644e-05	0.0	0.0	1.51254e-05	0.000163386
