# Pathway	SZAXPI003409-8	SZAXPI003410-3	SZAXPI003411-6	SZAXPI003412-1	SZAXPI003413-4	SZAXPI003414-3	SZAXPI003415-12	SZAXPI003416-4	SZAXPI003417-4	SZAXPI003418-8	SZAXPI003419-6	SZAXPI003420-4	SZAXPI003421-5	SZAXPI003422-11	SZAXPI003423-8	SZAXPI003424-12	SZAXPI003425-1	SZAXPI003426-11	SZAXPI003427-1	SZAXPI003428-6	SZAXPI003429-3	SZAXPI003430-5	SZAXPI003431-1	SZAXPI003432-12	SZAXPI003433-7	SZAXPI003434-7	SZAXPI003435-11	SZAXPI003436-7	SZAXPI003437-3	SZAXPI015209-133	SZAXPI015210-17	SZAXPI015211-166	SZAXPI015212-113	SZAXPI015213-15	SZAXPI015214-19	SZAXPI015215-20	SZAXPI015216-169	SZAXPI015217-140	SZAXPI015218-16	SZAXPI015219-129	SZAXPI015220-136	SZAXPI015221-142	SZAXPI015222-123	SZAXPI015223-158	SZAXPI015224-13	SZAXPI015225-18	SZAXPI015226-14	SZAXPI015227-13	SZAXPI015228-14	SZAXPI015229-15	SZAXPI015230-16	SZAXPI015231-17	SZAXPI015232-18	SZAXPI015233-19	SZAXPI015234-20	SZAXPI015235-21	SZAXPI015237-23	SZAXPI015238-24	SZAXPI015239-25	SZAXPI015240-26	SZAXPI015241-27	SZAXPI015242-30	SZAXPI015243-31	SZAXPI015244-32	SZAXPI015245-33	SZAXPI015246-34	SZAXPI015247-35	SZAXPI015248-36	SZAXPI015249-37	SZAXPI015250-39	SZAXPI015251-41	SZAXPI015252-43	SZAXPI015253-44	SZAXPI015254-45	SZAXPI015255-46	SZAXPI015256-47	SZAXPI015257-56	SZAXPI015258-57	SZAXPI015259-62	SZAXPI015260-74	SZAXPI015261-75	SZAXPI015262-79	SZAXPI015263-84	SZAXPI015264-87	SZAXPI015265-88	SZAXPI015266-89	SZAXPI015267-102	SZAXPI015268-109	SZAXPI015269-94	SZAXPI015270-90	SZAXPI015271-93	SZAXPI015272-108	SZAXPI015273-95	SZAXPI015274-111	SZAXPI017451-16	SZAXPI017452-17	SZAXPI017453-19	SZAXPI017454-20	SZAXPI017455-21	SZAXPI017456-23	SZAXPI017457-24	SZAXPI017458-25	SZAXPI017459-26	SZAXPI017460-27	SZAXPI017461-32	SZAXPI017462-33	SZAXPI017463-36	SZAXPI017464-37	SZAXPI017465-43	SZAXPI017466-84	SZAXPI017467-87	SZAXPI017468-88	SZAXPI017580-90	SZAXPI017581-93	SZAXPI017582-94	SZAXPI017583-102	SZAXPI017584-108	SZAXPI017585-109	SZAXPI017586-111	SZAXPI017587-113	SZAXPI017588-123	SZAXPI017589-133	SZAXPI017590-136	SZAXPI017591-140	SZAXPI017592-142	SZAXPI017593-158	SZAXPI017594-166	SZAXPI017595-169
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	7.04355e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.4762e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5499e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.02207e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.80233e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5523e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1CMET2-PWY: folate transformations III (E. coli)	0.00604457	0.00700376	0.00570167	0.00878332	0.00810671	0.00962773	0.00556537	0.00756424	0.00476031	0.00558104	0.00981307	0.0105476	0.00660377	0.00623016	0.00834472	0.00929503	0.00662174	0.00449561	0.00880502	0.00995639	0.00817474	0.00647778	0.00791372	0.00350681	0.00757945	0.00763582	0.00773452	0.00619705	0.00621288	0.00968388	0.00767902	0.00760811	0.00565194	0.00831354	0.00843264	0.00784085	0.00908257	0.0109124	0.00703258	0.00686889	0.0103292	0.00835144	0.0070343	0.00804702	0.00680281	0.00814816	0.00745805	0.00680138	0.00868109	0.00342578	0.00805553	0.00719548	0.00625881	0.00629692	0.00650276	0.00750906	0.0081197	0.00456853	0.0107215	0.00896109	0.0067675	0.00676119	0.00470353	0.00777591	0.00835356	0.00590116	0.00746753	0.00589063	0.00661166	0.00822672	0.00825601	0.00667259	0.00670912	0.00814666	0.00663682	0.0101277	0.0083981	0.00817388	0.00672975	0.00445777	0.00901631	0.00949815	0.0097958	0.00822489	0.00895806	0.00952425	0.00384958	0.00898877	0.00874342	0.00994429	0.00700368	0.0090641	0.00654409	0.006267	0.00498022	0.00737236	0.00730259	0.00543706	0.00644956	0.00533341	0.00994214	0.00668874	0.00836928	0.00838243	0.0087805	0.0082576	0.00976637	0.00849628	0.00936296	0.00904845	0.00841446	0.00637237	0.00975078	0.00795237	0.00874241	0.0101343	0.0100286	0.00738141	0.00825219	0.00599093	0.00638543	0.0088213	0.00391005	0.00788746	0.00747257	0.0085516	0.00885803	0.00430489
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0.00015566	0.00013571	1.59863e-05	3.22336e-05	9.99091e-06	0.0	0.0	9.5095e-06	4.84014e-06	0.000674248	0.0	4.58728e-05	0.000195967	0.000216583	0.0	0.0	4.14219e-05	0.000972346	0.0	0.000190769	0.0	0.0	8.32246e-05	0.00114161	5.27677e-05	3.54625e-05	1.95912e-05	1.75294e-05	0.0	0.0	0.0	0.0	0.000166586	0.000142936	6.83951e-05	1.94063e-05	0.0	0.0	0.0	0.000140495	0.0	0.0	2.11424e-05	0.0	8.32981e-06	4.74601e-05	3.56417e-05	0.000194055	8.02686e-06	0.00113	0.0	1.88706e-05	0.00034672	0.000105071	0.000115413	6.26361e-05	7.02007e-06	0.000912404	1.2178e-05	2.81275e-05	0.000164326	0.0	8.78076e-05	8.25484e-05	2.09604e-05	4.36709e-05	0.000227771	6.00713e-05	0.000106851	0.0	3.10739e-05	0.0	0.000174623	1.35617e-05	0.000249465	0.0	2.55878e-05	1.10418e-05	0.0	0.000713421	0.0	0.0	0.0	0.0	0.0	0.0	0.00116454	2.43344e-05	0.0	0.0	0.0	0.0	0.0	0.000333993	9.63428e-05	0.0	0.0	0.000146534	0.0	1.85758e-05	0.0	5.38163e-05	0.0	0.0	0.0	0.0	0.0	0.0	3.29272e-05	0.0	0.0	0.0	0.0	5.25071e-05	0.0	0.0	4.06896e-05	0.000165055	8.06142e-06	0.000357786	0.000194416	0.0	0.0	0.0	0.0	8.49712e-06	8.17485e-06	0.000812687
AEROBACTINSYN-PWY: aerobactin biosynthesis	1.67598e-05	0.00032585	1.67057e-05	3.5296e-05	0.0	0.0	0.0	1.86518e-05	0.0	6.67203e-06	0.0	0.0	7.74354e-05	0.0	0.0	0.0	0.0	1.35787e-05	6.26566e-05	3.97757e-05	2.9041e-05	0.0	1.94859e-05	0.0	0.0	8.35467e-05	1.82336e-05	3.1995e-05	0.000302993	4.92315e-06	8.4294e-05	4.11399e-05	1.42886e-05	0.0	1.51081e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.46867e-05	0.0	0.0	0.0	6.16981e-05	2.92548e-05	0.0	0.000947211	0.0	0.000156365	0.000183693	6.30909e-05	4.18055e-05	2.72851e-05	0.000140237	0.0	0.0	0.0	5.83043e-05	0.000131653	5.2945e-06	0.000244778	2.90868e-05	5.34205e-05	0.000433103	0.0	0.0	0.0	0.000138267	0.0	0.0	4.65936e-05	1.52136e-05	0.0	0.0	0.0	7.08289e-05	0.0	0.000105827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.46669e-05	0.0	0.0	0.0	0.0	0.0	0.00072813	0.0	0.000447688	5.06228e-06	0.0	0.00064342	0.0	0.0	0.0	0.0	6.66332e-05	0.0	0.0	0.0	2.84698e-05	0.0	0.0	0.0	0.0	0.000227776	7.10892e-05	0.0	9.72026e-05	0.0	0.0	0.0	0.000167248	0.0	0.00115163	0.0	0.000195194	1.087e-05	0.0	0.0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0.000266268	0.000649457	6.26671e-05	0.0002184	0.000188728	0.000144433	0.000685621	5.34823e-05	0.00014346	0.000573413	0.0	8.19034e-05	0.000228399	0.000220461	0.000138663	0.000285339	0.000289814	7.21868e-05	5.32727e-05	0.0	8.38577e-05	2.35246e-05	4.97685e-05	9.05557e-05	0.000156124	8.25873e-05	0.000114059	0.000228211	0.00010143	4.54587e-05	0.000188707	0.000180085	4.29866e-05	7.56354e-05	8.63015e-05	0.000102445	0.000273965	0.000107297	4.63197e-05	5.26403e-05	0.0	0.000428811	0.000257421	2.20281e-05	8.95055e-05	0.000212507	0.000122105	0.000206798	1.96483e-05	1.29761e-05	4.30398e-05	0.000208846	4.62845e-05	0.000130298	0.000499759	8.45501e-05	1.64326e-05	0.000440008	9.98152e-05	0.000156063	0.00049506	0.000202227	0.000125318	0.000326898	8.01877e-05	6.6397e-05	0.000295527	0.000134477	0.000141296	4.84534e-05	0.000240859	6.50986e-05	0.000173509	0.000135111	0.000214313	0.00013306	5.94256e-05	0.000102491	0.000144215	0.000163489	0.000247252	6.3096e-05	0.000130807	1.62924e-05	3.78798e-05	0.0	0.000216811	6.40748e-05	7.95461e-05	4.57937e-05	5.71351e-05	0.000147135	8.0989e-05	0.000331222	0.0	3.98415e-05	0.00061572	7.59074e-05	0.000157701	0.000879521	5.25026e-05	0.000319958	1.13793e-05	0.000253797	0.000119228	7.98757e-05	0.000194139	9.80771e-05	0.000140878	1.43665e-05	6.93486e-05	7.88373e-05	0.000175284	0.000403878	2.86686e-05	0.000147476	0.000112458	0.000243539	0.000132709	0.000442607	0.000359999	0.000134007	0.000295967	0.0	0.000343854	0.000119867	4.79684e-05	0.000218871
ANAEROFRUCAT-PWY: homolactic fermentation	0.00528453	0.00504522	0.00646897	0.00436116	0.00457708	0.00421632	0.00588568	0.00692649	0.00482325	0.00450914	0.00420885	0.00399284	0.00618506	0.00421791	0.00614621	0.00470163	0.00458516	0.00497001	0.00403735	0.00413154	0.00543611	0.00501438	0.00582527	0.004371	0.00473961	0.00542758	0.00608755	0.00621787	0.00515338	0.0035652	0.0039158	0.00591905	0.00406632	0.00427561	0.00431971	0.00377277	0.00507317	0.00443235	0.00563742	0.0042787	0.00263404	0.0060186	0.00439867	0.00501706	0.00430349	0.00533865	0.0042019	0.00508501	0.00461482	0.00373242	0.00332443	0.00318386	0.00488913	0.00526254	0.00524505	0.00477156	0.00433979	0.00491914	0.00337422	0.00375506	0.00523993	0.00417198	0.00461262	0.00549168	0.00331111	0.00368807	0.00504984	0.00450572	0.00657271	0.00574285	0.00470437	0.00410851	0.00576925	0.00649326	0.00505276	0.00241259	0.0035417	0.00534436	0.00352168	0.00482893	0.00553054	0.00501983	0.00437862	0.00429207	0.00507795	0.00415699	0.00477825	0.00422646	0.00450957	0.00407116	0.00568411	0.00495226	0.00512426	0.00480861	0.00532107	0.00400107	0.00517219	0.00579568	0.00786117	0.00532774	0.00364722	0.00437876	0.00574333	0.00507056	0.00415844	0.00476421	0.00490941	0.00411649	0.00760878	0.00485591	0.00288977	0.00325186	0.00429114	0.00553388	0.00427951	0.00434376	0.00367581	0.00538269	0.00417599	0.00465444	0.00509741	0.00393072	0.00482606	0.00440805	0.00434881	0.00531991	0.00480748	0.00464045
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.00758349	0.00885094	0.00894582	0.0103581	0.0101357	0.00848519	0.00795577	0.010264	0.00564769	0.00616241	0.00935276	0.00654863	0.00827653	0.00812984	0.00966864	0.0113997	0.0070301	0.005684	0.00956543	0.00808339	0.00868019	0.00958939	0.00967902	0.00525296	0.00899868	0.00948923	0.0107015	0.00828001	0.00903933	0.00806743	0.0099442	0.00888405	0.00800425	0.00961174	0.00670855	0.00829757	0.0107524	0.00816022	0.0103875	0.00911591	0.0103943	0.0102951	0.00934677	0.0108317	0.0113944	0.0106756	0.00911047	0.00926382	0.0102882	0.00505644	0.01064	0.00692776	0.00689612	0.00772444	0.00842543	0.00980438	0.0081337	0.00570448	0.00875011	0.00884703	0.00900144	0.0101032	0.00567972	0.00895511	0.0105163	0.0109871	0.00932994	0.00945159	0.0102841	0.0110668	0.0086774	0.00837714	0.00924313	0.00935988	0.00868459	0.00812418	0.0105259	0.0115239	0.00876453	0.00574618	0.00946081	0.01128	0.00838041	0.00982181	0.0116775	0.0106513	0.00543248	0.00999415	0.0112557	0.0108347	0.00946246	0.0106459	0.00831769	0.00763408	0.00599739	0.0110581	0.00758579	0.00713796	0.0100038	0.00744489	0.0111396	0.0103417	0.0102976	0.0109496	0.00840027	0.00979454	0.0104456	0.0100255	0.0102137	0.0102572	0.00942209	0.00973548	0.00956301	0.00998618	0.00885103	0.00905169	0.00817806	0.00867628	0.0101009	0.00675253	0.00779389	0.0102375	0.00559289	0.0130046	0.00978999	0.00954598	0.0119164	0.00539683
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.00352193	0.0025237	0.000620921	0.00111076	0.00113822	0.00198155	0.00310932	0.00126442	0.00364389	0.00328949	0.000303453	0.00144448	0.00251569	0.00321491	0.000910318	0.0010179	0.00350233	0.0032025	0.00259658	0.00237206	0.00141882	0.00120089	0.00207912	0.00432653	0.00150377	0.00173259	0.00113805	0.00185307	0.00289816	0.000483356	0.00223186	0.00177625	0.00156945	0.00197072	0.00217256	0.00166652	0.00105029	0.00143226	0.00120375	0.00302001	0.000726009	0.00115118	0.00168963	0.00064573	0.00151784	0.00173932	0.00134017	0.00308228	0.000445995	0.00419904	0.000645109	0.00192003	0.00256836	0.00241596	0.00293671	0.00161894	0.00198415	0.00429808	0.000443112	0.00172564	0.00363814	0.00264587	0.00384057	0.00274691	0.00149564	0.00189598	0.00340888	0.0014173	0.00134571	0.00113544	0.00257352	0.00146705	0.00274305	0.00213768	0.00351525	0.000455184	0.00110982	0.00149783	0.00181191	0.00395703	0.00140867	0.000872643	0.00125482	0.00174915	0.000796746	0.00121187	0.00423362	0.00142423	0.00137504	0.000381401	0.000461067	0.00146366	0.00361349	0.00359203	0.00361288	0.00161848	0.00318317	0.00347093	0.000852956	0.00424381	0.00247504	0.0022514	0.000269207	0.000768068	0.00163069	0.000617749	0.000583042	0.000760569	0.000818882	0.00084181	0.00113794	0.00178047	0.000996608	0.00224738	0.00165747	0.000560623	0.0013996	0.00250554	0.00141661	0.0037039	0.0034203	0.000809523	0.00438503	0.00098639	0.00196891	0.00105491	0.00126955	0.00392417
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.00104091	0.000283732	1.79908e-05	0.0	3.75353e-05	0.0002899	0.000738594	6.98675e-05	0.00147778	0.000805689	0.0	3.00119e-05	0.000243091	8.36863e-05	0.0	0.0	0.000743406	0.00132205	0.0	0.000280576	6.15224e-05	1.59257e-05	2.78972e-05	0.00162432	1.81095e-05	9.19077e-05	2.33824e-05	7.85223e-05	0.0	0.0	2.14271e-05	1.83381e-05	7.70047e-06	0.0	0.000194109	0.00012401	0.0	0.0	2.85117e-05	0.000143415	0.0	8.38107e-06	8.81905e-06	0.0	1.46939e-05	6.88165e-05	5.46173e-05	0.000252621	0.0	0.00222663	0.0	0.00027282	0.000344362	9.93549e-05	0.000306756	7.4333e-05	9.22102e-05	0.0009621	9.47894e-06	3.76629e-05	0.000515158	0.0	0.00155719	2.41688e-05	3.95751e-05	9.65865e-05	0.000387063	3.45314e-05	0.000155192	4.51732e-05	3.97858e-05	3.68737e-05	0.000184611	1.92744e-05	0.000407109	0.0	0.0	1.39425e-05	2.30734e-05	0.00132305	0.0	0.0	0.0	0.0	0.0	2.38427e-05	0.0015827	7.45749e-05	2.62217e-05	0.0	0.0	0.0	0.0	0.000281587	0.000917353	0.0	0.000277717	0.000809901	2.94766e-05	0.000653644	0.0	8.0481e-05	0.0	0.0	5.7483e-05	0.0	0.0	0.0	0.0	2.66969e-05	0.0	0.0	0.0	0.0	3.07319e-05	0.0	1.73542e-05	0.000298356	1.86073e-05	0.000293391	0.000388544	0.0	0.0	0.0	9.7291e-05	0.0	0.0	0.00133707
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0.00211587	0.00317153	0.000190653	0.00219705	0.0021722	0.00509689	0.00217847	0.00457197	0.00290903	0.00185801	0.00728721	0.00382704	0.00275337	0.00194814	0.00519654	0.00084601	0.00277625	0.00291139	0.00477896	0.00126554	0.00488815	0.00110399	0.00440571	0.00263069	0.00601592	0.00422667	0.00185445	0.00206191	0.00124444	0.00733205	0.00217122	0.00288607	0.000197144	0.00319052	0.00557428	0.00166982	0.00215909	0.00257056	0.00132893	0.00164576	0.000391802	0.00302875	0.00435952	0.000630341	0.000201831	0.00228271	0.00295413	0.000561606	0.00511359	0.00213104	0.00339234	0.00218253	0.00383817	0.0014162	0.00119186	0.0019933	0.00593757	0.0022879	0.00952178	0.00652824	0.00123389	0.00330256	0.00285566	0.00137127	0.00286917	0.00124829	0.00516327	0.00097543	0.000572508	0.00133878	0.00470101	0.0011953	0.000532267	0.00458489	0.00257842	0.00749424	0.00171427	0.00141465	0.00268684	0.0026549	0.0070011	0.00478169	0.00174624	0.00265523	0.0056638	0.00747804	0.00258746	0.00404826	0.00148903	0.00539931	0.002807	0.00610757	0.000981698	0.00237351	0.00281962	0.00262547	0.00230071	0.0017382	0.00184736	0.00150521	0.0058342	0.00215533	0.00131556	0.00283886	0.00480894	0.00554938	0.0060338	0.00645751	0.00212404	0.00372562	0.00214185	0.00191373	0.00657251	0.00101609	0.00695818	0.00720964	0.00431385	0.00555365	0.00535727	0.00307849	0.0021405	0.00301763	0.00303882	0.000766168	0.000581282	0.00233896	0.00169881	0.00262134
