# Pathway	CCIS00146684ST-4-0	CCIS00281083ST-3-0	CCIS02124300ST-4-0	CCIS02379307ST-4-0	CCIS02856720ST-4-0	CCIS03473770ST-4-0	CCIS03857607ST-4-0	CCIS05314658ST-4-0	CCIS06260551ST-3-0	CCIS07277498ST-4-0	CCIS07539127ST-4-0	CCIS07648107ST-4-0	CCIS08668806ST-3-0	CCIS09568613ST-4-0	CCIS10706551ST-3-0	CCIS10793554ST-4-0	CCIS11015875ST-4-0	CCIS11019776ST-4-0	CCIS11354283ST-4-0	CCIS11362406ST-4-0	CCIS11558985ST-4-0	CCIS12370844ST-4-0	CCIS12656533ST-4-0	CCIS13047523ST-4-0	CCIS14449628ST-4-0	CCIS15704761ST-4-0	CCIS15794887ST-4-0	CCIS16326685ST-4-0	CCIS16383318ST-4-0	CCIS16561622ST-4-0	CCIS17669415ST-4-0	CCIS19142497ST-3-0	CCIS20795251ST-4-0	CCIS21126322ST-4-0	CCIS21278152ST-4-0	CCIS22275061ST-4-0	CCIS22416007ST-4-0	CCIS22906510ST-20-0	CCIS22958137ST-20-0	CCIS23164343ST-4-0	CCIS24254057ST-4-0	CCIS24898163ST-4-0	CCIS25399172ST-4-0	CCIS27304052ST-3-0	CCIS27927933ST-4-0	CCIS28384594ST-4-0	CCIS29210128ST-4-0	CCIS29688262ST-20-0	CCIS31434951ST-20-0	CCIS32105356ST-4-0	CCIS32452666ST-4-0	CCIS33816588ST-4-0	CCIS34055159ST-4-0	CCIS34604008ST-4-0	CCIS35092938ST-4-0	CCIS35100175ST-4-0	CCIS36699628ST-4-0	CCIS36797902ST-4-0	CCIS37250421ST-4-0	CCIS38765456ST-20-0	CCIS40244499ST-3-0	CCIS41222843ST-4-0	CCIS41288781ST-4-0	CCIS41548810ST-4-0	CCIS41692898ST-4-0	CCIS41806458ST-4-0	CCIS44093303ST-4-0	CCIS44676181ST-4-0	CCIS44743950ST-4-0	CCIS44757994ST-4-0	CCIS45571137ST-3-0	CCIS45793747ST-4-0	CCIS46047672ST-4-0	CCIS46467422ST-4-0	CCIS47284573ST-4-0	CCIS47745468ST-4-0	CCIS48174381ST-4-0	CCIS48507077ST-4-0	CCIS48579360ST-4-0	CCIS48725289ST-4-0	CCIS50003399ST-4-0	CCIS50148151ST-4-0	CCIS50369211ST-20-0	CCIS50471204ST-4-0	CCIS50561855ST-4-0	CCIS51595129ST-4-0	CCIS51667829ST-4-0	CCIS52234160ST-4-0	CCIS52370277ST-4-0	CCIS53043478ST-4-0	CCIS53355328ST-4-0	CCIS53557295ST-4-0	CCIS54027808ST-4-0	CCIS55230578ST-4-0	CCIS55531770ST-4-0	CCIS56503244ST-3-0	CCIS58234805ST-4-0	CCIS59132091ST-4-0	CCIS59903910ST-4-0	CCIS61287323ST-4-0	CCIS62605362ST-3-0	CCIS62794166ST-4-0	CCIS63448910ST-4-0	CCIS63468405ST-4-0	CCIS63910149ST-4-0	CCIS64773582ST-4-0	CCIS64785924ST-20-0	CCIS65479369ST-4-0	CCIS70398272ST-4-0	CCIS71301801ST-4-0	CCIS71578391ST-4-0	CCIS72607085ST-4-0	CCIS74239020ST-4-0	CCIS74726977ST-3-0	CCIS76563044ST-4-0	CCIS76845094ST-20-0	CCIS77100899ST-4-0	CCIS77252613ST-4-0	CCIS78100604ST-4-0	CCIS78318719ST-4-0	CCIS79210440ST-3-0	CCIS80834637ST-4-0	CCIS81139242ST-4-0	CCIS81710917ST-20-0	CCIS81735969ST-20-0	CCIS81887263ST-4-0	CCIS82146115ST-4-0	CCIS82507866ST-3-0	CCIS82944710ST-20-0	CCIS83445808ST-4-0	CCIS83574003ST-4-0	CCIS83870198ST-4-0	CCIS84543192ST-4-0	CCIS85214191ST-3-0	CCIS87116798ST-4-0	CCIS87167916ST-4-0	CCIS87252800ST-4-0	CCIS87290971ST-4-0	CCIS87605453ST-4-0	CCIS88007743ST-4-0	CCIS88317640ST-4-0	CCIS90164298ST-4-0	CCIS90166425ST-4-0	CCIS90443472ST-4-0	CCIS90903952ST-3-0	CCIS91228662ST-4-0	CCIS93040568ST-20-0	CCIS94417875ST-3-0	CCIS94496512ST-4-0	CCIS94603952ST-4-0	CCIS95097901ST-4-0	CCIS95409808ST-4-0	CCIS96387239ST-4-0	CCIS98482370ST-3-0	CCIS98512455ST-4-0	CCIS98832363ST-4-0
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.49184e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.00938e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8317e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1CMET2-PWY: folate transformations III (E. coli)	0.00873093	0.00792651	0.00854236	0.00932337	0.00662703	0.00738782	0.010025	0.00768174	0.0055106	0.00826869	0.00802603	0.00771507	0.0090854	0.00508641	0.00905383	0.00888736	0.00694328	0.0062071	0.00889511	0.00632787	0.0109932	0.00758599	0.00856768	0.00870678	0.00748744	0.00669186	0.0089021	0.00772784	0.00694935	0.00922387	0.00777836	0.00887005	0.00653688	0.00841841	0.00729387	0.00840948	0.00838536	0.00912663	0.00876217	0.00719662	0.0098458	0.00588376	0.00953197	0.00737283	0.00507777	0.00668058	0.00870595	0.00882632	0.0069749	0.00737822	0.00763113	0.0071573	0.00400138	0.00838612	0.00779425	0.00850591	0.00576396	0.00675941	0.00725489	0.00773032	0.00813025	0.00914902	0.00655118	0.00813654	0.00811488	0.00670103	0.00847521	0.00877809	0.00744713	0.00531437	0.00804526	0.0072774	0.00708204	0.00880093	0.00788738	0.00785076	0.00758947	0.00948172	0.00934167	0.00837923	0.00764467	0.00869372	0.00906795	0.00857117	0.00709435	0.00734099	0.00855634	0.00566726	0.00759391	0.00852728	0.00821955	0.00763996	0.00725296	0.00754062	0.00941998	0.00874461	0.00809067	0.0092710999999999	0.00711056	0.00609565	0.00815075	0.0070922	0.00704318	0.00595627	0.0085413	0.00816352	0.0085454	0.00730367	0.00838449	0.00913403	0.00838695	0.00722271	0.00813207	0.00872365	0.00813594	0.00818025	0.00919132	0.00880321	0.00802365	0.00678699	0.00711531	0.00797025	0.00891771	0.00502549	0.00874595	0.00816217	0.00906803	0.00867887	0.00797444	0.0078176	0.00913085	0.0069237	0.00807919	0.00758377	0.00715905	0.00658437	0.00961708	0.00781177	0.00885998	0.00622776	0.0072508	0.00744497	0.00829008	0.00945823	0.00812538	0.00888386	0.00792344	0.00843225	0.00776534	0.00775356	0.00821764	0.00772825	0.00715392	0.00819841	0.00695048	0.008607
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0.0	0.0	0.0	0.0	0.0	4.33208e-05	0.0	0.0	8.60644e-05	0.0	0.0	0.0	0.0	1.9336e-05	0.0	0.0	0.0	0.0	0.0	2.63823e-06	0.0	0.0	1.33115e-05	0.0	0.0	5.21715e-05	0.0	0.0	7.85027e-05	0.0	6.81195e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.97726e-05	0.0	0.0	4.68038e-05	1.80115e-05	0.0	0.0	0.000118082	0.0	0.0	0.0	1.19057e-05	8.60644e-05	0.0	5.94297e-06	0.0	0.0	0.000115867	0.0	0.0	0.0	1.54262e-05	0.0	1.12148e-05	2.29018e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.52588e-05	0.0	0.0	0.0	0.0	0.0	1.85548e-05	0.0	0.0	0.0	4.42178e-05	0.0	0.0	0.0	0.0	8.47269e-06	0.000164287	0.0	0.0	3.28254e-05	0.0	2.80821e-05	0.000567489	1.14723e-05	0.000247261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.21423e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010668	0.0	0.0	0.0	3.2397e-05	0.0	0.0	0.0	0.0	0.0	3.19244e-05	0.0	0.0	0.0	1.33135e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34125e-05	0.0	0.0	0.0	0.0	0.0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0.0	0.0	0.0	0.0	0.000315752	0.0	0.0	6.92349e-05	0.000251169	0.0	0.0	0.0	0.0	0.000120266	0.0	0.0	0.000207995	0.000109541	0.0	0.0	0.0	0.0	0.0	0.0	3.53718e-05	0.0	0.0	0.0	8.30101e-05	0.0	1.79293e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.19014e-05	0.0	0.0	2.58927e-05	0.0	0.0	0.0	0.0	5.86257e-05	3.43029e-05	0.0	0.0	0.0	0.0	0.000485144	0.0	3.17049e-05	0.000120837	0.0	0.0	0.00019008	0.0	2.55514e-05	0.0	0.0	0.0	1.36554e-05	0.000672857	0.0	0.000126758	0.000160206	0.0	1.51139e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.65383e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.11713e-05	0.0	3.93503e-05	0.0	0.0	0.0	4.19122e-05	0.0	0.0	4.7141e-05	0.0	0.0	0.0	0.0	0.0	0.000174976	0.0	0.0	0.0	9.90429e-05	8.57574e-06	1.58215e-05	1.67813e-05	0.0	0.0	0.0	0.0	0.0	4.89736e-06	0.0	0.0	0.0	0.0	1.85686e-05	0.0	0.0	0.0	0.0	0.0	0.000287245	3.99629e-05	0.0	0.0	0.000373492	8.07973e-05	0.0	0.0	0.0	0.0	3.45099e-05	0.0	0.0	9.1016e-05	0.0	2.7364e-05	0.000118	0.0	0.0	0.0	0.0
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	0.0	0.0	0.0	0.0	0.000184859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.56934e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.39148e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0147e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0.0	0.0	0.000156413	2.69154e-05	0.000679326	0.000201863	0.0	0.000172983	0.000410546	0.000128095	7.00612e-05	0.000358174	0.0	0.000537238	8.28265e-05	1.64196e-05	0.000360511	0.000137055	7.54011e-05	0.000418379	0.00019734	0.0	0.0001275019999999	0.000128374	0.000144454	0.0	0.0	0.0	0.000142835	4.45359e-05	0.000145035	0.0	0.0	0.0	0.0	1.96756e-05	0.0	0.000248276	0.000106504	0.00022181	3.28198e-05	0.000168044	0.000137335	6.56633e-05	1.69241e-05	0.000106314	0.000389756	0.0	0.000179118	0.000113376	0.000167642	0.000229097	0.000201105	3.43787e-05	4.64154e-05	0.000162192	0.000511972	0.000264551	0.000147382	0.00021206	4.96104e-05	2.99559e-05	2.00092e-05	0.000301301	0.000411463	4.7131e-05	0.000211143	0.0	0.000107066	0.000266286	0.00013937	0.000305728	0.000253	0.0	0.00022628	0.000119905	7.93498e-05	0.000140677	0.0	0.000179432	0.0	8.22961e-05	1.62714e-05	0.000178095	6.68995e-05	0.000134667	9.71874e-06	0.000292669	0.000118482	8.46326e-05	2.96164e-05	0.000137544	3.43135e-05	0.000308984	5.50909e-05	0.0	8.79526e-05	0.0	0.000209755	0.000103272	0.000202573	0.000119311	3.23513e-05	0.000168482	0.0	0.000185701	0.0	0.000108087	0.0	0.000129027	0.000173657	7.49601e-05	3.17996e-05	7.26654e-05	6.13475e-05	0.000231327	4.88658e-05	9.34986e-05	0.000181399	0.000143231	0.000328078	0.000103965	0.000131144	0.000102927	0.000179555	0.000170038	6.44786e-06	0.000100475	0.0	0.000207719	0.000286647	0.000100516	8.95494e-05	0.000474881	1.31837e-05	6.47374e-05	0.000113886	0.00029439	0.000149317	0.000294449	0.000215991	0.0	0.000161108	0.000177168	5.28074e-05	0.000154976	0.0	0.0	0.000120822	0.000160038	0.000147625	0.00017676	7.60031e-05	0.000138255	0.000283926	0.0
ANAEROFRUCAT-PWY: homolactic fermentation	0.0044126	0.00288514	0.00364196	0.00434032	0.00436031	0.00491501	0.00286487	0.00500556	0.00511107	0.00525883	0.00529314	0.00586037	0.0048166	0.00534012	0.00293597	0.00502824	0.0050098	0.00537047	0.00403721	0.00592273	0.00401058	0.0	0.00437192	0.00385569	0.00536609	0.00447196	0.00483989	0.0050056	0.00541653	0.00451749	0.00565724	0.0030632	0.00695756	0.00374987	0.0034897	0.00368019	0.0043116	0.00463668	0.00468853	0.00493984	0.00456622	0.00356513	0.00337573	0.00500324	0.00950627	0.00483277	0.00339205	0.00513473	0.00437708	0.00534747	0.00388535	0.00511498	0.00430657	0.00290003	0.00564752	0.00429861	0.00473773	0.00588097	0.00345792	0.00456793	0.00518965	0.00334777	0.00551097	0.00454875	0.00478697	0.00784598	0.00445532	0.00365123	0.00346887	0.00491249	0.00623758	0.00447917	0.00494489	0.00391278	0.00513358	0.00546066	0.00506433	0.00398279	0.00354838	0.00384157	0.00464364	0.0044267	0.00201037	0.00384287	0.00265583	0.00342052	0.0047794	0.00465425	0.00569682	0.00475702	0.00520442	0.00538012	0.00574901	0.00494808	0.00374641	0.00477705	0.00613913	0.00393419	0.00477632	0.00479107	0.00433112	0.00510601	0.00630428	0.00465782	0.00378474	0.00417614	0.00567626	0.00631846	0.00441101	0.00662421	0.00460123	0.00452666	0.00304514	0.00333556	0.00357027	0.00512816	0.00314481	0.00371946	0.00406827	0.00486342	0.00589245	0.00530766	0.00389178	0.00610175	0.00431023	0.00427019	0.00402202	0.00306034	0.00582796	0.00473487	0.00401294	0.00433669	0.00410595	0.00524057	0.00540849	0.00343825	0.00432409	0.00515324	0.0053692	0.00516426	0.00640617	0.00481779	0.00381173	0.00347457	0.00373978	0.00369392	0.00554921	0.00506355	0.00445467	0.00380056	0.00429312	0.00392196	0.00449479	0.00473402	0.00586841	0.00413655
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.0106476	0.00939322	0.0107657	0.00972405	0.00826783	0.0100974	0.0108368	0.010267	0.00756686	0.0109609	0.00961174	0.0105675	0.010622	0.00726734	0.0120343	0.0108215	0.00879719	0.0102924	0.01074	0.00781649	0.0104389	0.00686466	0.00848914	0.0111861	0.00871906	0.00872698	0.0105877	0.00961304	0.00867961	0.0103439	0.0107401	0.0119541	0.0095052	0.0115387	0.00818145	0.0123069	0.010303	0.0100788	0.00984896	0.00988353	0.00960232	0.00944966	0.00703475	0.00997906	0.0124408	0.0108088	0.00904196	0.00959212	0.00899166	0.0118642	0.00932723	0.00911892	0.00519148	0.0111455	0.0106756	0.00848424	0.00846184	0.00869448	0.0112552	0.00956423	0.00958988	0.0111587	0.00816102	0.0103485	0.0103564	0.0103501	0.00962967	0.0118088	0.00959434	0.00647445	0.0113354	0.00998084	0.00916551	0.0103925	0.0101799	0.00971387	0.0114974	0.0105341	0.0119738	0.0108272	0.0107406	0.00974893	0.0117341	0.0105752	0.0112192	0.0104561	0.0108271	0.00835969	0.00931511	0.0097591	0.0120422	0.0110844	0.00966912	0.009365	0.0114559	0.0107126	0.0100597	0.0108477	0.00934223	0.00653638	0.0101855	0.00774895	0.00799076	0.00764764	0.0105665	0.00986559	0.0100501	0.00997176	0.0100727	0.00982963	0.0104063	0.00712325	0.0104083	0.0107012	0.0109222	0.0100151	0.0106845	0.0102434999999999	0.0101548	0.00941135	0.00872878	0.0107645	0.0111953	0.00768304	0.00950076	0.00981378	0.0108892	0.00900326	0.0120967	0.00876787	0.00957736	0.00866327	0.0116804	0.00939965	0.0105516	0.00571702	0.00928508	0.00971194	0.00991934	0.00759481	0.00955984	0.00922973	0.00981851	0.0107464	0.0105865	0.00936962	0.00932632	0.00986859	0.0101549	0.00991395	0.0103244	0.0104448	0.0116879	0.0110758	0.00891607	0.0108464
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.00126587	0.00143726	0.00159163	0.00124873	0.0028305	0.00186981	0.000927317	0.00194064	0.00368457	0.00124277	0.000933139	0.00182366	0.000920595	0.00341906	0.00109629	0.00151196	0.00233362	0.0019429	0.001037	0.00286117	0.00154946	0.0	0.000805388	0.000687409	0.00191846	0.00272233	0.000819364	0.00129121	0.0025167	0.00273184	0.00252798	0.000364462	0.00101377	0.0013386	0.00190797	0.00141981	0.00291789	0.00148902	0.00158307	0.00146522	0.000348724	0.000629791	0.00129841	0.0015818	4.00945e-05	0.00103536	0.00132481	0.000679461	0.00176439	0.00157587	0.00199643	0.00131335	0.00394822	0.00151494	0.000716878	0.00167135	0.00272041	0.00208762	0.00158339	0.00183772	0.00140204	0.00134072	0.00305955	0.00162352	0.00192756	0.0010347	0.000765596	0.00135747	0.00133208	0.00340705	0.0015314	0.00277015	0.00222205	0.00063598	0.00166305	0.00140492	0.00139577	0.00137371	0.00141811	0.00186801	0.00107717	0.00143644	0.0	0.00198761	0.00117575	0.0010856	0.00110218	0.00249229	0.00137433	0.00182008	0.0010207	0.00196146	0.000938827	0.00239021	0.00055826	0.00126159	0.00107817	0.000732606	0.00233479	0.00375639	0.0023239	0.00239023	0.00109782	0.00324519	0.00172705	0.00159929	0.00110673	0.00105696	0.000825868	0.000726098	0.00161752	0.00230804	0.00155848	0.00155405	0.00167001	0.00218785	0.000989327	0.00188183	0.00169025	0.00159574	0.00406316	0.000825287	0.00044148	0.00236551	0.00153247	0.00192265	0.00138489	0.000526199	0.00170275	0.00242416	0.00126154	0.00153664	0.00166358	0.00276422	0.00169056	0.00202335	0.00145592	0.000808709	0.000635153	0.00300349	0.00138256	0.00119194	0.00174729	0.0017723	0.0015765	0.00114011	0.0	0.00181767	0.00187767	0.00157174	0.00174449	0.00185828	0.00110086	0.00131124	0.00267258	0.00101724
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.0	0.0	0.0	0.0	0.0	8.42097e-05	0.0	7.59865e-06	6.5126e-05	0.0	0.0	0.0	0.0	7.59285e-05	0.0	0.0	0.000142895	0.0	2.06876e-05	0.000727198	0.0	0.0	0.0	0.0	0.0	0.000434394	0.0	0.0	0.000166958	0.0	0.0	0.0	0.0	0.0	0.000325168	0.0	0.0	0.0	0.0	0.00017786	0.0	0.0	3.25916e-05	0.0	0.0	0.0	0.0	0.0	0.000104655	1.65352e-05	0.000328371	5.03943e-05	0.00191967	0.0	0.0	0.0	2.57097e-05	0.000127903	9.3275e-05	1.12392e-05	0.0	0.0	0.000331783	0.0	0.0	9.26882e-05	0.0	0.0	7.01123e-06	0.000617446	0.0	0.0	0.0	0.0	0.0	0.000204878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000247865	0.0	0.0	0.000628834	0.0	0.0	0.0	0.0	9.19055e-06	0.000292073	0.0	0.0	0.0	3.22033e-05	5.38393e-05	0.00071181	4.94382e-05	0.000431845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.07971e-05	0.0	0.0	0.0	0.0	0.0	5.18835e-05	0.0	8.06073e-05	0.000193328	0.0	0.0	0.000339244	0.000239726	0.0	0.0	0.0	0.0	0.000376984	0.0	3.56862e-05	2.75694e-05	3.46588e-05	0.0	0.0	0.0	0.0	0.0	0.000213034	9.7623e-05	0.0	1.54009e-05	0.0	0.0	0.0	0.0	0.0	2.23234e-05	0.0	1.99226e-05	0.0	0.0	0.0	0.0	0.0
