# Pathway	ATZ_IGR_091	ATZ_142_V1	ONCO_ATZ121-26102019-V1	ATZ_IGR_0047_A	ONCOIGR_ATZ144-031219-V1	ONCO_ATZ103-09102019-V1	ONCO_ATZ116-22102019-V1	ATZ_042_V1	ATZ_190_V1	ONCO_ATZ021-30042019-V1	ATZ_IGR_070	ATZ_IGR_0063_B	ONCO_ATZ101-07102019-V1	ATZ_IGR_140	ATZ_IGR_134	ATZ_IGR_071	ATZ_169_V1	ATZ_IGR_104	ATZ_IGR_0087_B	ATZ_IGR_0114_B	ATZ_IGR_092	ATZ_200_V1	ATZ_216_V1	ATZ_186_V1	ONCO_ATZ125-31102019-V1	ATZ_097_V1	ATZ_213_V1	ATZ_202_V1	ATZ_IGR_0089_A	ATZ_161_V1	ATZ_176_V1	ATZ_180_V1	ATZ_196_V1	ATZ_145_V1	ATZ_IGR_0003_A	ATZ_175_V1	ONCO_ATZ033-06062019-V1	ATZ_164_V1	ATZ_IGR_100	ATZ_215_V1	ONCO_ATZ154-19122019-V1	ATZ_206_V1	ATZ_IGR_080	ONCO_ATZ053-05072019-V1	ATZ_171_V1	ATZ_IGR_132	ONCO_ATZ126-05112019-V1	ATZ_IGR_095	ATZ_179_V1	ATZ_211_V1	ATZ_120_V1	ONCO_ATZ155-16122019-V1	ATZ_199_V1	ATZ_129_V1	ATZ_117_V1	ATZ_026_V1	ATZ_IGR_0038_A	ATZ_IGR_051	ATZ_IGR_111	ATZ_IGR_085	ATZ_IGR_0005_B	ATZ_IGR_067	ONCO_ATZ108-16102019-V1	ATZ_168_V1	ATZ_194_V1	ATZ_IGR_041_V1	ATZ_IGR_0107_B	ATZ_189_V1	ATZ_IGR_046_V1	ONCO_ATZ105-14102019-V1	ATZ_IGR_0045_A	ONCOIGR_ATZ124-301019-V1	ATZ_IGR_099	ONCO_ATZ130-05112019-V1	ONCOIGR_ATZ212-160220-V1	ATZ_IGR_143	ATZ_165_V1	ATZ_IGR_149	ATZ_167_V1	ATZ_112_V1	ONCO_ATZ156-16122019-V1	ONCO_ATZ059-12072019-V1	ATZ_122_V1	ONCOIGR_ATZ218-040320-V1	ONCO_ATZ170-27122019-V1	ATZ_187_V1	ONCOIGR_ATZ209-140220-V1	ATZ_198_V1	ONCO_ATZ166-24122019-V1	ATZ_IGR_035	ATZ_IGR_136	ATZ_193_V1	ATZ_197_V1	ATZ_037_V1	ATZ_173_V1	ATZ_IGR_024_V1	ATZ_159_V1	ATZ_IGR_068	ATZ_IGR_039	ATZ_044_V1	ATZ_IGR_138	ATZ_208_V1	ONCOIGR_ATZ128-311019-V1	ATZ_IGR_0019_B	ATZ_IGR_150	ATZ_IGR_109	ATZ_178_V1	ATZ_183_V1	ATZ_158_V1	ONCO_ATZ127-30102019-V1	ATZ_IGR_131	ONCOIGR_ATZ048-300519-v1	ONCOIGR_ATZ106-151019-V1	ONCOIGR_ATZ050-020719-V1	ATZ_188_V1	ATZ_IGR_0008_B	ONCO_ATZ025-09052019-V1	ATZ_IGR_049_V1	ATZ_162_V1	ONCOIGR_SID_GRC_90000040	ATZ_IGR_0064_B	ATZ_IGR_0023_B	ATZ_IGR_110	ATZ_IGR_0093_A	ATZ_IGR_032_V1	ATZ_IGR_084	ATZ_IGR_151	ATZ_204_V1	ATZ_181_V1	ONCO_ATZ061-19072019-V1	ATZ_177_V1	ONCOIGR_SID_GRC_90000002	ATZ_146_V1	ATZ_IGR_0004_A	ONCO_ATZ147-05122019-V1	ATZ_096_V1	ATZ_191_V1	ATZ_IGR_036_V1	ATZ_IGR_0007_B	ONCOIGR_ATZ172-060120-V1	ATZ_IGR_072	ONCO_ATZ058-12072019-V1	ATZ_IGR_0090_B	ATZ_IGR_0123_B	ATZ_IGR_0016_A	ONCO_ATZ020-18042019-V1	ONCOIGR_ATZ182-230120-V1	ONCO_ATZ163-20122019-V1	ATZ_031_V1	ONCO_ATZ034-05062019-V1	ATZ_214_V1	ATZ_203_V1	ONCO_ATZ057-11072019-V1	ATZ_IGR_055	ATZ_184_V1	ATZ_195_V1	ONCO_ATZ139-21112019-V1	ONCO_ATZ054-09072019-V1	ATZ_IGR_0056_A	ONCO_ATZ081-21082019-V1	ATZ_IGR_060	ONCO_ATZ153-18122019-V1	ONCO_ATZ098-27092019-V1
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.31914e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21058e-05	0.0	0.0	0.0	1.60241e-05	1.14605e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.8566e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42985e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.41017e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.4888e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.10472e-06	0.0	0.0	0.0	0.0	5.0511e-06
1CMET2-PWY: folate transformations III (E. coli)	0.00841857	0.00862396	0.00876614	0.0120743	0.00823044	0.00731252	0.00616414	0.00336458	0.00377137	0.00612167	0.00793472	0.00922369	0.00683592	0.00655091	0.0071388	0.00868222	0.00644023	0.00720263	0.00728121	0.00708269	0.00835111	0.00561036	0.00590721	0.00679194	0.00826972	0.00665853	0.0093017	0.00650949	0.00695127	0.00667391	0.00784902	0.00359772	0.00853989	0.00747878	0.00634693	0.00531039	0.00694653	0.00705691	0.00767046	0.00633534	0.00865982	0.00844138	0.00531718	0.0077704	0.00617728	0.00918444	0.00781312	0.00726002	0.00914391	0.00729665	0.00814509	0.00520143	0.00483739	0.00946918	0.00844909	0.00918866	0.00735736	0.00943862	0.00644474	0.0107368	0.00659933	0.00875835	0.00789229	0.00802146	0.00946944	0.00822131	0.00846375	0.00806941	0.00893537	0.00646219	0.00692089	0.00792368	0.0089777	0.00756401	0.00406801	0.00581682	0.00920454	0.00537884	0.00927916	0.00559676	0.00999971	0.00762519	0.00399058	0.00820808	0.00768235	0.00762067	0.00806368	0.00758715	0.0082659	0.00713376	0.0080556	0.00899043	0.0058448	0.00882069	0.00873434	0.00785715	0.00887297	0.00964099	0.00754495	0.00796707	0.0078667	0.00813488	0.00410605	0.00984808	0.00907074	0.00697692	0.00801767	0.00851015	0.00844379	0.00856742	0.00659136	0.0078247	0.00940348	0.0056833	0.00750058	0.00760343	0.00789244	0.0086216	0.00799293	0.00706108	0.00902598	0.008335	0.00843059	0.00929805	0.00760899	0.00780979	0.0083884	0.00794693	0.00887553	0.00809504	0.00663802	0.0034381	0.00912136	0.00581224	0.00764057	0.00706861	0.00816351	0.00904742	0.00595509	0.00733208	0.00849566	0.00467532	0.00647058	0.00933755	0.0083958	0.00879649	0.00806664	0.00570042	0.00880713	0.00778716	0.00931617	0.00482023	0.00745317	0.00802317	0.00685611	0.00853951	0.00827953	0.00792911	0.00588107	0.00718324	0.00864876	0.00796676	0.00676588
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0.0	0.0	0.0	0.0	0.0	9.70002e-05	6.63093e-05	0.0	0.00160216	0.0	0.0	0.0	0.0	0.0	3.25758e-05	8.33856e-05	0.0	0.000141633	7.08704e-05	0.0	3.65706e-05	0.0	0.00040445	0.0	0.0	0.000173432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.48562e-05	0.0	0.000243808	0.0	0.0	0.000152367	4.18577e-05	2.74451e-05	0.0	0.0	0.0	0.0	0.0	0.000116426	2.6676e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000160428	0.0	0.0	0.0	0.0	0.0	0.0	8.02314e-05	0.0	0.0	0.0	0.0	0.000132514	0.0	0.0	0.0	0.0	0.0	0.0	0.000133187	0.0	0.000671281	0.0	5.09065e-05	0.000732009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.59185e-05	7.49131e-06	0.0	0.0	4.97326e-05	0.00100544	0.0	0.0	0.0	2.94013e-05	4.40215e-05	0.0	0.0	0.000183842	0.0	0.0	0.0	0.0	1.39153e-05	0.0	1.0985e-05	0.0	0.0	5.77453e-05	0.0	5.20994e-05	0.0	0.0	3.72378e-05	0.0	1.84639e-05	0.0	0.000116415	0.000105729	0.0	2.07783e-05	0.0	0.0	0.0	0.0	0.0	0.000204412	3.51119e-05	3.58696e-06	2.15928e-06	0.000496065	0.0	0.0	1.08648e-05	0.000127639	2.2144e-05	0.0	0.0	0.0	0.000873614	0.0	0.0	0.000184974	0.0	0.0	1.66625e-06	0.000786353	1.0142e-05	0.0	0.0	0.0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0.0	0.0	0.00011	0.0	0.0	0.0	0.0	0.00150768	0.0	0.0	1.64202e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000116235	1.97142e-05	0.0	0.0	0.0	1.61261e-05	0.0	0.0	0.0001669	0.0	0.000146848	1.68227e-05	0.000396508	0.0	0.00131911	0.0	0.0	0.000134016	0.0	0.0	2.71185e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.82347e-06	5.16329e-05	0.000150932	4.23984e-05	0.000826052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.12849e-05	0.0	0.0	0.0	1.81036e-05	2.60895e-05	0.0	0.0	5.37008e-05	0.0	0.0	0.0	0.0	0.0	0.000321816	0.0	0.0	0.0	0.0	9.27367e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000299597	1.26506e-05	0.0	5.7148e-05	0.0	0.0	9.38921e-05	5.3344e-06	0.0	0.0	0.000474993	0.0	0.0	1.46996e-05	0.0	0.0	0.0	0.0	0.000108898	0.000260373	0.0	0.0	1.8452e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.61999e-05	0.0	7.96441e-06	7.5018e-05	5.01795e-05	0.000150537	0.00115619	0.0	0.0	0.0	0.0	1.48063e-05	0.0	0.000345499	0.000414389	0.0	0.0	1.54776e-05	0.0	0.0	6.0644e-05	0.0	0.000546677	0.0	9.32239e-06	0.0	0.0	0.0	1.20777e-05	0.0	0.0	0.0	0.0	0.0	2.35354e-06	0.0	0.0	0.0
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000223472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2764e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0.000236215	0.000104089	8.37595e-05	0.000171481	0.000202513	0.0	7.17824e-05	0.0	0.0	0.000498793	5.15573e-05	0.000337573	0.000255592	8.72432e-05	0.0	8.96447e-05	2.69617e-05	0.000355107	4.67869e-05	0.000200067	0.000143482	0.000642502	0.0	0.00034176	5.51014e-05	0.000156808	2.65536e-05	0.000257732	0.0	0.000316078	1.62311e-05	1.62507e-05	0.00011313	0.000278253	1.49868e-05	3.73296e-05	2.25321e-05	0.0	6.69735e-05	6.83069e-05	0.000125832	2.94692e-05	3.38538e-05	4.52089e-05	0.000210627	0.000121097	0.0	0.000435363	0.00034004	5.46809e-05	5.40804e-05	0.000678149	0.0	0.000233439	3.03265e-05	0.000242219	4.50835e-05	3.10298e-05	0.000638955	0.00011479	0.000177374	9.27814e-05	2.89794e-05	0.000141873	0.000386018	0.000140934	7.01083e-05	9.2502e-05	0.000109711	1.60409e-05	0.000223838	1.37739e-05	0.000732853	7.86104e-05	0.0	7.3966e-05	0.000301014	0.000198727	9.62224e-05	0.000206365	0.000115115	3.22519e-05	4.85261e-05	0.00012756	5.26222e-05	0.0	2.43548e-05	0.000153961	0.00035465	0.0	6.06903e-05	0.000214134	0.000125262	0.000138189	9.15527e-05	0.000175574	0.000227774	9.39532e-05	0.000133895	0.000115818	0.000190874	5.88637e-05	1.51929e-05	0.000384213	0.000142325	0.000125639	0.000131234	7.06939e-05	1.82965e-05	0.000253358	0.000276226	0.000115136	9.77889e-05	0.000833436	0.000106391	0.000151177	0.000121131	0.000214578	4.0368e-05	0.000209201	0.000221394	0.000152387	0.000207551	4.0408e-05	9.80526e-05	0.000522075	0.00010802	9.85537e-05	0.000149436	3.18274e-05	0.000463171	2.11023e-05	8.17364e-05	6.49546e-05	8.32141e-05	0.000228443	0.000184439	0.000129047	0.000486235	8.1552e-05	0.00011337	0.00020671	0.000302902	9.97073e-05	1.65117e-05	0.000375863	0.000169656	0.000217725	7.14022e-05	0.000155441	0.0	0.000216881	6.62328e-05	0.000302593	0.000268808	0.000140097	2.02476e-05	0.000104015	0.000298005	0.000168512	0.000228906	0.000149857	0.000124568
ANAEROFRUCAT-PWY: homolactic fermentation	0.00424909	0.00485698	0.00372045	0.00387007	0.00348073	0.00573504	0.00374421	0.00387499	0.00411745	0.0060006	0.00395762	0.00487721	0.00418808	0.00489979	0.00655138	0.00431975	0.00499156	0.00425581	0.0037918	0.00452492	0.00375626	0.00528002	0.00374304	0.00428964	0.00452044	0.00460022	0.00393334	0.0047796	0.00615344	0.00434406	0.00510543	0.00475392	0.00436699	0.00489399	0.00305021	0.00456762	0.00431675	0.0047468399999999	0.00280877	0.00428746	0.00372804	0.00540068	0.0051721	0.00522718	0.00631613	0.00262686	0.00577753	0.0036886	0.00535339	0.00448294	0.00368893	0.00428275	0.00598053	0.00587802	0.00560162	0.00463736	0.00406627	0.0051168	0.00415047	0.00267655	0.00541393	0.00500663	0.00379846	0.00353767	0.00473281	0.00465339	0.00425367	0.0041178	0.00436203	0.00644379	0.00573592	0.00582516	0.0027529	0.00332268	0.0040697	0.00393582	0.00379822	0.00459828	0.0035866	0.0048155	0.00381917	0.00302339	0.00392746	0.00450716	0.00456769	0.00390886	0.0052193	0.0039513	0.00552536	0.0058211	0.00536735	0.0024916	0.00444867	0.00508765	0.00360102	0.00377405	0.00257841	0.00407727	0.00321407	0.00548236	0.00599864	0.00477064	0.00392299	0.00307546	0.00282467	0.00563481	0.00406254	0.0048548	0.00431459	0.00513272	0.00484274	0.00402021	0.00548206	0.00497632	0.00500041	0.00384573	0.0036104	0.00429516	0.00290146	0.00566797	0.00360851	0.00480307	0.00420296	0.00414334	0.00331508	0.00421491	0.00339353	0.00368733	0.00452336	0.00397963	0.00474503	0.00402173	0.00316308	0.00638406	0.00480976	0.00552025	0.00286135	0.00454024	0.00559035	0.00387077	0.00295769	0.0045924	0.00457221	0.00310386	0.00345853	0.00557181	0.0039689	0.00438767	0.00345862	0.00427545	0.00734435	0.00422274	0.00644764	0.00303087	0.0044482	0.00469578	0.00578422	0.00481208	0.00454917	0.00449486	0.00352047	0.00454222	0.00443326
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.00939515	0.00923098	0.00991723	0.00855076	0.010034	0.00824485	0.0103095	0.00438141	0.0052739	0.00758892	0.00907516	0.00966249	0.00998273	0.0104244	0.00891056	0.00896582	0.00949466	0.0079302	0.00766373	0.00759481	0.00862098	0.00697789	0.00621342	0.0092243	0.0106339	0.00661932	0.00834171	0.0073486	0.00899365	0.00823846	0.00766469	0.00507186	0.00871028	0.00977551	0.00842942	0.00667597	0.00899918	0.00809471	0.0112884	0.0064966	0.0103745	0.0110251	0.00734639	0.00831173	0.00810375	0.00990904	0.0104213	0.00878932	0.0093763	0.00759882	0.00807077	0.00568177	0.00830757	0.00920518	0.00955139	0.00884516	0.00799147	0.00960519	0.00761253	0.00924434	0.00862701	0.00972999	0.0108771	0.00985298	0.0107122	0.00787552	0.00868735	0.00984444	0.00928221	0.00863576	0.00811626	0.0100541	0.0103607	0.00973995	0.00469043	0.00944476	0.00833025	0.00576804	0.0103079	0.00639503	0.00953289	0.0107213	0.00529324	0.0100063	0.00903268	0.0108658	0.01035	0.0104248	0.00912458	0.00961728	0.00952716	0.00977766	0.0071037	0.00751304	0.00917322	0.0087918	0.0112215	0.00962228	0.00900291	0.0102979	0.00885212	0.0086098	0.00512159	0.00882194	0.00957879	0.0102262	0.00832286	0.0086489	0.0107464	0.0106716	0.0087346	0.00796107	0.0103161	0.00739928	0.00980756	0.00885535	0.00945181	0.00818156	0.0104427	0.00938623	0.00875421	0.0100886	0.00847865	0.0101228	0.0090939	0.00860723	0.0078407	0.00900417	0.00865398	0.00734816	0.00752531	0.0050304	0.00996245	0.00904681	0.00983684	0.00720715	0.0101183	0.00991428	0.00738658	0.00898827	0.00938067	0.00561583	0.00691276	0.0086739	0.0098739	0.00969438	0.00909838	0.00621316	0.0106961	0.00984132	0.0110499	0.00587962	0.00845044	0.0101435	0.00854634	0.00942863	0.0099912	0.00878484	0.00665932	0.00865838	0.00828169	0.0105394	0.00691746
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.000694083	0.000680667	0.00145422	0.000564676	0.00236069	0.0020621	0.00185101	0.00407881	0.00336775	0.00236226	0.00164588	0.00143024	0.00245599	0.000561534	0.0011361	0.000922344	0.00154696	0.00250624	0.00189604	0.00203063	0.00200738	0.00278208	0.00206553	0.00291126	0.00234916	0.00244014	0.00142432	0.00215889	0.00187552	0.00256424	0.000892484	0.0036513	0.000577841	0.00113268	0.00259837	0.00323367	0.000270497	0.00188222	0.00141064	0.00269782	0.000158551	0.00150938	0.00278368	0.00202738	0.00164213	0.0012177	0.00111024	0.00222991	0.000831424	0.00217401	0.00206649	0.00350768	0.00187336	0.000702324	0.00185912	0.00139104	0.00112626	0.000423144	0.00336605	0.000958809	0.00195334	0.000191947	0.000541132	0.00129722	0.00211969	0.002052	0.000285141	0.00103165	0.00152417	0.00061295	0.00205575	0.00108851	0.00242041	0.00115388	0.00353972	0.00146623	0.00111207	0.00323654	0.00153115	0.00365701	0.000678819	0.00130869	0.00300728	0.000736894	0.00208516	0.000345538	0.00109818	0.000867344	0.00168829	0.000920098	0.000987995	0.00227949	0.00224606	0.000654715	0.00124026	0.00136034	0.00197994	0.00134552	0.0015844	0.00151909	0.00170132	0.00148738	0.00353883	0.000764058	0.00105663	0.00157592	0.00142645	0.00178288	0.00139746	0.00143774	0.00345677	0.00221275	0.0014512	0.00349015	0.00164851	0.00127473	0.00157561	0.00175233	0.00132455	0.000549164	0.00201529	0.00142925	0.0027238	0.000222064	0.00119723	0.0030865	0.00134822	0.000861811	0.00146253	0.00162503	0.00182792	0.00396847	0.00146937	0.000447078	0.000997618	0.00152506	0.00145172	0.00157187	0.00187086	0.00256682	0.00136739	0.00279412	0.00287507	0.00114375	0.00155909	0.00160588	0.00156686	0.00298425	0.00202647	0.00137396	0.000399743	0.00306293	0.000289747	0.00265871	0.00247749	0.00014377	0.00126903	0.000898423	0.00313652	0.00160889	0.00114982	0.000403722	0.00322455
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.0	0.0	0.0	0.0	0.0	0.000313759	3.80082e-05	0.0	0.00261361	0.000351381	0.0	2.58828e-05	0.000228726	0.0	0.0	5.7019e-05	0.0	8.69081e-05	0.000189614	0.0	2.821e-05	0.000415113	0.00055322	0.000194156	0.0	0.00050612	0.0	0.00052005	0.000482393	0.000564539	0.0	0.0	0.0	0.0	8.4344e-05	0.0	0.0	0.000174352	0.0	0.000731163	0.0	0.0	0.000303269	5.05595e-05	0.0	0.0	0.0	0.000205946	6.42458e-05	0.0	0.0	0.000237212	0.0	0.0	0.0	8.33952e-05	0.0	0.0	0.000610487	0.0	0.0	0.0	0.0	0.0	0.0	0.000247204	0.0	0.0	0.0	0.0	0.000297294	0.0	4.79464e-05	6.74505e-05	2.72883e-05	0.000193927	0.0	0.00138145	0.0	0.000803243	1.70631e-05	2.28188e-05	0.000952537	0.0	6.56212e-05	0.0	0.0	0.0	0.0	0.0	0.0	5.92205e-05	1.25212e-05	0.0	4.85059e-05	0.000113103	0.0	4.41209e-05	8.15498e-06	0.0	0.0	0.0	0.00141379	0.0	0.0	0.0	0.0	9.21059e-05	0.0	1.89123e-05	0.000136029	0.0	0.0	0.000386827	0.0	0.000154348	0.0	0.000110285	0.0	0.0	0.000136352	0.0	7.16831e-05	0.0	0.0	0.000357464	0.0	4.19742e-05	0.0	0.000110222	0.000501402	0.000747496	0.0	0.0	3.91103e-05	0.0	0.0	0.0	0.000268131	8.02215e-06	0.0	0.00194357	0.000736206	0.0	0.0	0.00012981	0.000130294	7.58195e-05	0.0	0.0	0.0	0.000696258	0.0	8.61282e-05	3.435e-05	0.0	0.0	2.90756e-06	0.000798585	0.00018296	0.0	0.0	0.00068142
