# Pathway	VF421	LILT_VF378	VF399	LILT_VF334	VF419	LILT_VF300_T016	LILT_VF73_16	VF417	LILT_VF318	LILT_VF270_T017	LILT_VF360	LILT_VF234_T017	VF403	VF425	LILT_VF106_16	LILT_VF120_16	LILT_VF155_T017	LILT_VF207_T017	LILT_VF379	LILT_VF100_T016	LILT_VF176_T017	LILT_VF394	LILT_VF174_T017	LILT_VF363	LILT_VF71_16	LILT_VF142_T017	LILT_VF145_T017	VF401	VF402	LILT_VF65_16	LILT_VF232_T017	VF412	LILT_VF77_16	LILT_VF95_16	LILT_VF385	LILT_VF392	LILT_VF377	LILT_VF29_16	LILT_VF208_T017	LILT_VF348	LILT_GF15_16	LILT_VF281_T017	LILT_VF114_T017	LILT_VF154_T017	LILT_VF240_T017	VF400	LILT_VF107_16	LILT_VF264_T017	LILT_VF313	LILT_VF222	VF406	LILT_VF328	LILT_VF217_T017	VF423	LILT_VF166_T017	LILT_VF251_T017	LILT_VF315	VF404	LILT_VF167_T017	LILT_VF273_T017	LILT_VF138_T017	LILT_VF109_16	LILT_VF63_16	LILT_GF11_16	LILT_VF311	LILT_VF110_16	LILT_GF04_16	LILT_VF05_16	LILT_VF306	LILT_VF75_16	LILT_VF74_16	LILT_VF303	LILT_VF337	LILT_VF12_16	LILT_VF41_16	LILT_VF76_16	LILT_VF78_16_A	LILT_VF243	LILT_VF01_16	LILT_VF14_16	LILT_VF34_16	LILT_VF298	LILT_VF81_16	LILT_VF39_16	LILT_VF84_16	LILT_VF31_16	LILT_VF10_T016	LILT_VF43_16	LILT_VF339	LILT_VF380	LILT_VF82_T016	LILT_VF279_T016	LILT_VF326	LILT_VF370	LILT_VF28_T016	LILT_VF18_T016	LILT_VF262_T016	LILT_VF265_T016	LILT_VF189_T016	LILT_VF40_16	LILT_VF140_T016	LILT_VF255_T016	LILT_VF261_T016	LILT_VF06_16	LILT_VF170_T016	LILT_VF259_T016	LILT_VF00TL_16	LILT_VF335	LILT_VF171_T016	LILT_GF06_16	LILT_VF293	LILT_VF206_T016	LILT_VF212_T016	LILT_VF263_T016	LILT_VF351	LILT_VF192_T017	LILT_VF314	VF416	LILT_VF02_T016	LILT_VF04_16	LILT_VF07_16	LILT_VF30_16	LILT_VF32_T016	LILT_VF35_16	LILT_VF37_16	LILT_VF38_16	LILT_VF47_16	LILT_VF50_16	LILT_VF55_T017	LILT_VF56_16	LILT_VF60_T016	LILT_VF62_T017	LILT_VF66_T017	LILT_VF67_16	LILT_VF69_16	LILT_VF70_16	LILT_VF90_16	LILT_VF97_16	LILT_VF102_T017	LILT_VF172_T017	LILT_VF197_T017	LILT_VF214_T016	LILT_VF301_T016	VF397	LILT_VF382	LILT_GF12_16	LILT_VF236_T017	LILT_GF16_T017	LILT_GF17_16	LILT_GF18_T016	LILT_VF216_T017	LILT_VF346	LILT_VF362	LILT_VF390	LILT_VF391	VF359	VF388	VF458	VF444	VF446	VF440	VF453	VF445	VF449	VF465	VF459	VF439	VF450	VF452	VF448	VF463	VF461	VF462	VF455	VF464	VF469	VF443	VF347	VF442	VF274	VF322
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3533e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.18646e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1CMET2-PWY: folate transformations III (E. coli)	0.0116712	0.00681977	0.00970181	0.00680877	0.0016998	0.00679028	0.00666863	0.00215172	0.00602154	0.00899275	0.00431216	0.00636655	0.00135317	0.00342638	0.00427874	0.00727692	0.0078671	0.0066115	0.00341733	0.00829221	0.00878224	0.00940121	0.0114516	0.00950643	0.00480521	0.00609025	0.00829485	0.00386457	0.00436252	0.0081065	0.0111686	0.00990922	0.0103482	0.00831333	0.00600707	0.0036574	0.00786623	0.00899454	0.00391243	0.00868482	0.00819272	0.00820995	0.00656121	0.00408194	0.00469511	0.00832966	0.00555199	0.00823264	0.00647488	0.0102167	0.00482868	0.00486153	0.00482986	0.00871412	0.00612183	0.0110999	0.00632095	0.00349474	0.00891174	0.00478608	0.00812091	0.00441004	0.004868	0.00665039	0.00808514	0.00821181	0.00657198	0.00693352	0.00618346	0.0151267	0.00747204	0.0047998	0.00845654	0.0101916	0.00617813	0.00760615	0.00863218	0.00869508	0.00829305	0.00409362	0.00647239	0.00790427	0.00535137	0.00902439	0.00830505	0.00667108	0.010297	0.00639433	0.00607095	0.00741469	0.00649191	0.00965561	0.00429005	0.00570436	0.00936593	0.00920063	0.00848413	0.00895022	0.00691577	0.0102618	0.0111873	0.0080032	0.00683393	0.00768315	0.0106413	0.00796368	0.00587688	0.00782204	0.0063665	0.0046912	0.00534672	0.00777893	0.0078396	0.0079883	0.0110781	0.00773681	0.00427602	0.00804954	0.00955035	0.00525765	0.00762498	0.00651724	0.00873809	0.00903544	0.00877321	0.0069076	0.00566602	0.00820084	0.00954156	0.00486838	0.00943106	0.00829018	0.0073132	0.0110217	0.00595158	0.00510925	0.00729252	0.00404629	0.00824962	0.0109935	0.00782258	0.00418308	0.00634871	0.00694226	0.00845108	0.0074684	0.00602085	0.0104594	0.00834534	0.00286611	0.00338835	0.00352507	0.00824283	0.0037656	0.00378214	0.00466188	0.00359526	0.00812776	0.0082441	0.00871175	0.00857597	0.00645498	0.00894277	0.00385035	0.00953101	0.00594035	0.00797787	0.00776061	0.00733877	0.00938952	0.00637691	0.00577736	0.00769753	0.00920387	0.00481766	0.00931984	0.00771039	0.00307948	0.00760093	0.00799627	0.00920022
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0.0	2.7866e-05	0.0	0.000119806	0.0	0.000261866	0.000140741	0.0	5.8059e-05	8.28342e-05	0.000839134	0.0	0.0	0.000550663	0.0	9.40164e-05	0.0	0.0	0.000210041	0.0	0.0	0.0	0.0	0.0	0.0	0.000318863	1.68301e-05	0.000654629	0.000899248	0.000199123	0.0	0.0	0.0	0.000130009	4.1207e-05	0.000569485	0.0	0.0	5.0934e-05	5.56318e-05	5.43717e-05	0.0	0.000425094	0.000610604	0.0	0.0	0.0	0.0	0.0	0.0	0.000444556	4.36048e-05	0.0	0.0	0.0	0.0	0.000443629	2.32147e-05	3.28533e-05	4.018e-05	0.0	0.0	0.0	6.73857e-05	0.0	0.0	0.0	0.0	0.000298473	0.0	0.0	0.00023312	0.0	0.0	0.000186925	0.0	0.0	0.0	0.0	0.0	8.27726e-06	0.0	0.0	0.0	3.67089e-05	0.0	0.0	0.000144544	0.0	0.0	0.0	0.0	0.00141279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.32307e-05	0.0	0.0	0.0	0.000157045	1.9836e-05	0.0	1.38134e-05	0.0	0.0	0.0	0.0	0.0	0.000131456	0.0	0.000338936	1.64885e-05	0.0	1.16129e-05	0.0	0.0	0.0	0.0	0.000158562	0.0	0.0	0.0	0.0	6.29641e-05	0.0	0.0	0.0	0.0	3.7019e-05	0.0	9.65076e-05	0.0	0.0	0.0	0.0	0.000998538	0.000353078	0.000227423	6.10302e-05	2.19196e-05	0.000139759	0.0	6.78314e-05	4.12529e-05	0.00112275	0.0011337	0.0	0.00120618	0.000938354	0.000496856	0.000263716	1.92114e-05	0.0	9.26072e-06	0.0	0.000392159	5.38829e-05	4.78121e-06	0.0	9.61631e-05	0.0	4.19184e-05	0.0	0.0	0.000397788	0.0	4.97096e-05	0.0	0.000443853	0.0	4.24787e-05	0.000162753	0.0	0.0	4.37093e-06
AEROBACTINSYN-PWY: aerobactin biosynthesis	0.0	0.0	0.0	0.000141157	0.0	0.0	1.38739e-05	0.0	5.43972e-05	9.65643e-05	0.0	0.0	1.36203e-05	2.38388e-05	0.0	0.000128038	0.0	0.0	0.00100986	1.68754e-05	0.0	0.0	0.0	1.94906e-05	0.0	7.26283e-05	0.0	0.0	0.000998192	0.0	6.36394e-05	0.0	1.03018e-05	0.0	0.000289942	0.000723112	6.3854e-05	0.0	2.67893e-06	0.0	0.0	8.07817e-05	6.31282e-05	1.91704e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000146795	2.17098e-05	0.000581033	0.0	0.0	0.0	0.0	8.02377e-05	0.0	0.000245648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000256056	0.000236178	0.0	0.0	0.0	0.0014936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000362956	0.000534608	0.0	0.0	0.0	0.0	0.0	0.0	9.73187e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000508996	0.0	0.0	0.0	0.0	0.0	5.82256e-05	0.0	2.8536e-05	0.0	5.26599e-06	0.0	0.000231498	0.0	0.0	0.000340834	0.0	0.000622759	0.0	0.0	1.08464e-05	0.0	0.0	0.0	0.0	2.63372e-05	0.0	0.000179568	0.00064812	0.0	0.0	0.000280066	0.0	0.0	0.000219849	0.000121109	0.0	0.000279446	0.0	0.0	5.75569e-05	0.00280391	0.0	0.0	0.00257931	0.000421194	0.0	0.000185064	8.58819e-05	0.0	0.000110078	0.0	0.0	4.7523e-06	0.000130941	0.0	0.000258614	2.45538e-05	3.49927e-05	6.92518e-05	4.52279e-05	0.0	0.0	4.74336e-05	4.2882e-05	0.0	0.0	0.0	0.00031117	2.84842e-05	0.0	5.59119e-05
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000102343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.41099e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	3.46883e-05	3.18439e-05	0.000169147	0.000112102	0.0	0.000379256	0.000165828	0.000844121	6.6959e-05	0.000206785	0.0	0.000263261	0.0	1.81882e-05	0.0	0.000216353	0.0	0.000346107	0.0	0.00011794	0.000158871	0.0	9.57501e-05	0.000318896	0.0	0.000148537	0.000178683	0.0	5.22818e-05	0.00031046	0.000245568	0.000224261	0.000179646	0.000318587	0.000259511	0.0	0.000261911	0.000114322	0.0	0.000123991	0.000161335	0.0	5.57663e-05	0.000176558	0.000410052	7.14279e-05	0.00037014	0.000190929	0.000189007	0.000121129	6.13673e-05	0.000763091	1.00338e-05	0.0	3.33207e-05	0.00020213	0.000122628	1.45228e-05	4.61939e-05	0.000482589	0.0	0.0	0.0	8.29497e-05	6.99854e-05	0.00013092	0.000125713	0.0	0.0	1.74398e-05	2.60556e-05	6.90404e-05	0.000132521	0.000193042	0.000154189	0.000407959	0.000176474	0.000241911	7.48776e-05	0.000262105	0.000134933	0.0	0.0	9.14945e-05	0.000144514	0.00012688	1.1186e-05	0.00023435	0.000425961	7.40803e-05	0.0	2.3351e-05	0.000191535	0.000222441	0.000153463	3.49592e-05	4.79772e-05	0.000277492	0.000249689	0.00013766	7.47586e-05	0.000149577	0.000254986	0.000264547	7.67133e-05	7.4181e-05	5.36483e-05	0.000347269	4.05983e-05	4.87991e-05	8.74102e-05	0.000249707	9.10115e-05	5.25956e-05	4.5917e-05	0.000181899	0.000175233	0.00018807	5.81862e-05	0.000357538	9.03006e-05	0.000167318	0.000221184	0.000111686	8.78999e-05	4.91723e-05	0.000174986	0.000199468	0.0	1.93361e-05	0.000189694	8.3075e-05	7.23784e-05	9.05203e-05	0.000150033	0.0	7.14098e-05	3.33219e-05	7.82504e-05	0.0	0.000306119	0.0	0.000486774	0.000248941	0.000314291	0.000151679	0.000356399	0.0	0.000267516	7.63225e-05	8.01815e-06	0.0	0.0	0.00138832	0.00036194	0.000236697	0.0	0.000214973	0.0	0.0	5.93284e-05	0.00025802	0.000177222	0.0	7.08197e-05	0.0	0.000122642	0.000155198	0.000268226	0.00012091	0.000205653	1.47303e-05	0.000317567	6.68951e-05	0.0	0.000141078	2.93137e-05	1.21636e-05	0.000674317	0.000276084	3.21095e-05
ANAEROFRUCAT-PWY: homolactic fermentation	0.0037109	0.00480442	0.00441716	0.00380981	0.00525612	0.00495686	0.00339134	0.0037071	0.00404743	0.00400585	0.00401849	0.00475037	0.00239962	0.00419425	0.00446533	0.00458774	0.00463875	0.00436746	0.00365843	0.00401633	0.00291145	0.00387838	0.00291922	0.00482761	0.00399226	0.00371761	0.00585585	0.0044859	0.00455001	0.00305179	0.0034599	0.00414102	0.00358639	0.00328728	0.0037854	0.00390289	0.0048263	0.00428037	0.00370234	0.00306412	0.00362147	0.00323855	0.00409696	0.00405986	0.0041427	0.00421908	0.00390609	0.00552594	0.00459248	0.0043644	0.00444661	0.00349392	0.00498743	0.00428367	0.00318732	0.00358743	0.00364022	0.0044487	0.00543629	0.00391476	0.00448743	0.0027651	0.00487734	0.00554026	0.00375639	0.00313031	0.00487904	0.00298909	0.00489117	0.00277733	0.0029079	0.00373491	0.00393025	0.0020577	0.00374727	0.00395345	0.00529646	0.00460434	0.00393055	0.00372195	0.00557838	0.00333631	0.00223549	0.00528017	0.00393506	0.00532884	0.0035736	0.00339595	0.00467361	0.004518	0.00111458	0.00392274	0.00458705	0.00403079	0.00418004	0.00475578	0.00489463	0.00433403	0.00400498	0.00270328	0.00147616	0.0033369	0.00419191	0.00452561	0.00382445	0.00453316	0.00313987	0.00454859	0.00488002	0.00427734	0.00278218	0.00256075	0.00394776	0.00538655	0.00431434	0.0041859	0.00458708	0.00509383	0.00423949	0.00506117	0.00295282	0.00451241	0.00465939	0.00547794	0.00381966	0.00489242	0.00420977	0.00291041	0.00329039	0.00294678	0.00278868	0.00365944	0.00585782	0.00228191	0.00288526	0.00155402	0.00432049	0.00395213	0.00437244	0.00159812	0.00358749	0.00365127	0.00459919	0.00533976	0.00457034	0.00418019	0.00434103	0.0047063	0.00349981	0.00389928	0.00349069	0.00379245	0.00488943	0.00417332	0.00393286	0.00447437	0.00268258	0.00380588	0.00617208	0.00414445	0.00391035	0.00405024	0.0035142	0.00369727	0.00307247	0.00476046	0.00519185	0.00395492	0.00485013	0.00369023	0.00471255	0.00405704	0.00564002	0.00306087	0.00438388	0.00367853	0.0038856	0.00312185	0.00587418	0.00410908	0.00438497
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.00923196	0.00911092	0.00927651	0.00770341	0.00793564	0.00706895	0.00730357	0.00659445	0.00769834	0.0076142	0.00462185	0.00697425	0.00740942	0.00555894	0.00536204	0.00818258	0.0100173	0.0083657	0.0049428	0.00785801	0.0102612	0.0081287	0.00482499	0.00871855	0.00544702	0.00584516	0.00860399	0.00515262	0.00560028	0.00568553	0.00658862	0.00941053	0.00884453	0.0075878	0.00643413	0.00483597	0.00708346	0.00859555	0.00491347	0.00595637	0.006881	0.00708351	0.00654828	0.00507558	0.00502984	0.00840668	0.00598344	0.00824521	0.00717698	0.00846892	0.00602051	0.0043365	0.00637828	0.00763609	0.00640049	0.00816451	0.00617958	0.00645621	0.00878872	0.00755598	0.00839487	0.00447372	0.00936466	0.00845219	0.0102908	0.00654697	0.00823936	0.0098706	0.00696149	0.0100316	0.00679872	0.00649395	0.00857794	0.00815877	0.00842552	0.00810297	0.0097851	0.00944069	0.00719381	0.00527785	0.00950404	0.00968838	0.0130548	0.00983707	0.00973144	0.00823552	0.00886336	0.0141127	0.00901082	0.0073752	0.00356131	0.0071108	0.00564412	0.00603239	0.00805603	0.0094092	0.00988907	0.00953619	0.00700232	0.00770857	0.00527248	0.00965385	0.0112961	0.00910937	0.0107509	0.00763882	0.0090818	0.00686393	0.00896369	0.00584702	0.0121808	0.00890797	0.00621714	0.00980899	0.00949446	0.0080473	0.00597132	0.00860729	0.0124502	0.00636153	0.00714023	0.00787788	0.00946092	0.0119725	0.00701225	0.00983517	0.00626418	0.00721748	0.00612029	0.00466649	0.00955958	0.00893796	0.00817838	0.00629022	0.00709896	0.00499722	0.00704749	0.00550682	0.00728283	0.0117489	0.00766994	0.0045474	0.00681936	0.00771113	0.00793819	0.00823824	0.00654999	0.00974857	0.00630151	0.00940203	0.00533966	0.00427193	0.00878774	0.00495294	0.00472708	0.00590725	0.0068953	0.00843722	0.00985005	0.0082362	0.0088753	0.0070949	0.0105132	0.00844758	0.00982327	0.00650824	0.00961376	0.00818178	0.00806654	0.00765835	0.00690459	0.00630131	0.0091589	0.00626892	0.00570041	0.00948602	0.0069829	0.00646131	0.0091518	0.00912442	0.00741616
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.00121183	0.00113743	0.00162205	0.00240977	0.00156934	0.00268545	0.00235031	0.0	0.00263124	0.00186069	0.00366706	0.00311788	0.000964582	0.00252059	0.00348095	0.00224772	0.000339296	0.00285704	0.00349235	0.00143751	0.00212913	0.000879062	0.000723264	0.00216807	0.00347089	0.00326415	0.00104933	0.00251763	0.0032492	0.00358659	0.000974676	0.00122728	0.00119336	0.00185526	0.00301188	0.0035877	0.00170634	0.000820236	0.00449279	0.002593	0.000734635	0.000969999	0.00295128	0.0029628	0.00407604	0.001415	0.00304149	0.000432943	0.00243862	0.000543926	0.00223948	0.0035455	0.0028551	0.0	0.00229296	0.000685117	0.00341431	0.00110816	0.00109028	0.00205757	0.000926904	0.00363822	0.00024609	0.00334733	0.00109492	0.00132939	0.000184429	0.000147131	0.00225908	0.000220581	0.00178208	0.00197168	0.00117718	0.000261215	0.00294323	0.00277764	0.00225766	0.000716436	0.00201326	0.00448656	0.00059018	0.000672977	0.000295994	0.000917878	0.00301852	0.00171298	0.00122489	0.0020717	0.000140238	0.000975158	0.0	0.000130615	0.00304795	0.00295156	0.000998513	6.20464e-05	0.00144403	0.000550371	0.000647814	0.0	0.000902549	0.00173815	0.00105588	0.00175671	0.00344078	0.00233823	0.00214181	0.00273922	0.00114644	0.00257447	0.00140254	0.000734485	0.000341066	0.00117094	0.000553663	0.0022689	0.0037889	0.00117988	0.000537563	0.00351644	0.000819735	0.00169187	0.00119915	0.000641861	0.00177259	0.000223549	0.00314531	0.00142035	0.000678793	0.00354724	0.00232707	0.000849819	0.0	0.000445842	0.00105524	0.0	0.0014052	0.00374152	0.00204	0.000183887	0.00237789	0.0040692	0.00269825	0.0016636	0.00206037	0.000433625	0.00308176	0.000343668	0.00127046	0.000993623	0.00388197	0.00396922	0.000754722	0.00354108	0.00378575	0.00219934	0.0012933	0.00255915	0.0	0.00116639	0.00181613	0.00269344	0.00157051	0.000918637	0.00154304	0.00204471	0.00191932	0.00165191	0.00220411	0.00101042	0.00288293	0.0026682	0.00151477	0.00103721	0.00249638	0.00188996	0.00219512	0.001033	0.00137906	0.00181181	0.00115148
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.0	1.60054e-05	0.0	0.000152541	7.59451e-05	0.0	0.0001287	0.0	0.0	0.000124009	0.000813746	2.14184e-05	0.0	0.000408842	0.000326447	2.25475e-05	0.0	9.92057e-06	0.00117315	0.0	0.0	0.0	0.0	7.34456e-05	0.000760047	0.000120457	1.56749e-05	0.00112952	0.00135781	5.37154e-05	4.1445e-05	0.0	0.0	0.00023257	0.000249822	0.000334928	2.66788e-05	0.0	1.49791e-05	0.000598138	0.0	0.0	0.000782033	0.00107099	0.0	0.0	6.73668e-05	0.0	0.0	0.0	0.000594803	0.000350352	0.0	0.0	0.0	0.0	0.000148574	0.0	7.28723e-05	0.000411219	4.72479e-05	0.00262383	0.0	0.00023774	6.54295e-05	0.0	0.0	0.0	0.000324798	0.0	0.0	2.54344e-05	0.0	0.0	0.00027009	0.000192224	0.0	0.0	0.0	0.0	1.14888e-05	0.0	0.0	0.0	8.38746e-05	0.0	0.0	0.000391164	0.0	0.0	0.0	0.0	0.000499385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.17597e-05	6.27266e-05	0.0	0.000124747	0.0	0.000149579	7.30919e-05	0.000154318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000237719	0.00160253	5.54608e-05	2.88707e-05	0.000460314	0.0	0.000135499	0.0	0.0	0.000207583	0.0	0.0	0.0	0.0	0.000237001	0.0	0.0	0.0	0.0	2.336e-05	0.0	4.64277e-05	0.0	0.0	0.0	0.000278403	0.000184094	0.0	0.000135497	9.74628e-05	1.21254e-05	0.000129106	0.0	0.0	0.000189243	0.00163463	0.000875341	0.0	0.00119397	0.000805095	0.000655052	0.000302389	0.0	0.0	4.79885e-06	0.0	0.000408143	8.94276e-05	0.000184875	0.0	0.000207465	5.801e-05	6.29777e-05	8.69291e-05	0.0	0.000675271	0.0	3.95671e-05	0.0	0.000584174	0.0	0.000586512	0.000223406	0.0	0.0	3.48674e-05
