# Pathway	C10	C15	C41	C46	C6	C9	C11	C12	C16	C18	C19	C1	C20	C21	C22	C23	C24	C25	C26	C28	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C3	C40	C42	C43	C44	C45	C4	C5	C7	H15_1	H18_1	H2_1	H25_1	H26_1	H41_1	H42_1	H50_1	H5_1	H60_1	H61_1	H8_1	H9_1	H32_1	H49_1	H59_1	H78_1	H83_1
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	1.71358e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.01668e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1CMET2-PWY: folate transformations III (E. coli)	0.00776207	0.0089365	0.00751252	0.00910191	0.00984395	0.0101673	0.00575712	0.00914797	0.00809899	0.00942792	0.00790845	0.00981267	0.00827152	0.00988671	0.00929124	0.00689688	0.00665634	0.00858254	0.00824855	0.0107969	0.00876558	0.00886955	0.00550867	0.00976387	0.00659916	0.00967082	0.00859785	0.00801234	0.0104392	0.00703499	0.00924164	0.00803706	0.00919879	0.0090099	0.0102758	0.00931901	0.00875112	0.00957648	0.00852284	0.00772071	0.00939249	0.00514889	0.00916736	0.00658304	0.00590924	0.00614425	0.00976931	0.00518356	0.00894609	0.00883181	0.0105303	0.00341265	0.00563451	0.00422057	0.00601	0.0084817	0.0107065
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	6.05074e-06	0.0	0.0	0.0	0.0	2.98884e-05	0.000535228	0.0	1.05465e-05	0.0	0.0	0.0	0.0	0.0	1.09536e-05	3.1506e-05	0.000632946	1.62684e-05	0.0	0.0	1.77559e-05	0.0	0.000456934	0.0	0.000473969	0.0	8.95891e-06	0.0	0.0	0.000333586	0.0	2.31506e-05	0.0	1.89276e-05	7.72925e-06	1.90918e-05	0.0	2.34553e-05	0.0	0.0	0.0	0.0	0.0	0.000125852	0.0	0.000166315	0.0	1.01573e-05	7.5427e-05	0.0	0.0	0.0	0.000452809	0.0	0.00049338	0.0	0.0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000117956	0.0	0.0	0.0	0.0	0.0	3.68733e-05	0.000329592	0.0	1.27567e-05	0.0	1.17944e-05	0.0	0.0	0.0	0.0	0.000265478	7.72308e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.22936e-05	0.0	0.0	0.0	0.0	0.0	9.64922e-06	0.0	0.000890703	0.0	9.74739e-06	0.000440249	0.0	1.11147e-05	0.0	0.000153748	0.0	0.000109988	0.0	0.0	0.0	5.57308e-06	8.49671e-06	0.0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	6.97777e-05	2.86822e-05	4.71585e-05	2.27155e-05	4.98137e-05	0.00012102	0.000186249	0.000131153	0.000179624	5.45861e-05	8.75751e-05	5.1046e-05	1.9386e-05	7.52529e-05	0.000105702	0.00037433	0.000116399	0.000140052	4.39895e-05	3.4304e-05	1.32891e-05	0.000268611	0.000176668	1.96643e-05	0.000307088	0.000192954	2.08097e-05	7.45517e-05	6.07881e-05	3.01083e-05	0.000443549	0.0002387	3.31241e-05	0.00020821	1.54743e-05	0.000148742	1.43404e-05	0.000126092	7.30654e-05	0.000130058	2.92496e-05	8.32946e-05	9.54018e-05	0.000157276	0.0	0.000485274	4.74016e-05	8.21284e-05	1.66302e-05	4.10283e-05	0.000150497	0.0	0.000101114	0.0	4.58463e-05	8.96893e-05	4.6699e-05
ANAEROFRUCAT-PWY: homolactic fermentation	0.00323123	0.00410299	0.00320725	0.00274638	0.00427954	0.0040308	0.00464743	0.00490369	0.00456014	0.00379671	0.00294535	0.00340897	0.00276287	0.00324497	0.00361971	0.00447107	0.00408645	0.00475161	0.00272922	0.0035131	0.0045991	0.00461104	0.00390238	0.00335427	0.00468973	0.00349379	0.00178376	0.00214954	0.00347263	0.00466895	0.00531051	0.00368064	0.00311629	0.0035905	0.00352893	0.00283543	0.00220659	0.00454945	0.00236974	0.0037234	0.00375612	0.00467751	0.00451202	0.00336238	0.00531204	0.00503057	0.00298239	0.0045112	0.00388671	0.0045508	0.0043623	0.00660116	0.00459231	0.00634376	0.00412469	0.00401015	0.003087
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.0103479	0.0104775	0.0118992	0.0129001	0.00929243	0.0103905	0.00615558	0.00900021	0.00895266	0.0121497	0.0116762	0.00964929	0.012389	0.00975802	0.00953366	0.00772858	0.00647699	0.00850644	0.0116993	0.00919207	0.00964961	0.00899459	0.0067018	0.00727148	0.00737595	0.00987712	0.0112397	0.0109406	0.00954588	0.00801207	0.00868365	0.00844856	0.0118289	0.0102501	0.0102727	0.00925601	0.0119142	0.00946285	0.0121949	0.00873725	0.0104041	0.00600887	0.00957437	0.00736093	0.00743822	0.00767604	0.00857748	0.00587509	0.00759851	0.0107	0.00989176	0.0102423	0.00698489	0.0111158	0.00679172	0.0111494	0.00931471
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.00154371	0.000520599	0.000774385	0.000621543	0.00190435	0.000843108	0.00353015	0.000309353	0.00221831	0.00103741	0.00116106	0.000513846	0.00107268	0.00115018	0.00108306	0.00261646	0.00296972	0.00244488	0.00108867	0.000733143	0.000771587	0.00101559	0.00301743	0.00118298	0.00281406	0.00120333	0.000835102	0.00165671	0.000823742	0.00408366	0.00158805	0.00226721	0.00162567	0.00126454	0.00182185	0.0019773	0.00060008	0.000759064	0.00142195	0.00141391	0.000672147	0.00291136	0.000886406	0.00184907	0.00167934	0.00253359	0.0011009	0.00317824	0.00139526	0.00122986	0.00147081	0.000458934	0.00281987	0.0	0.00272954	0.00092842	0.00130544
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.0	0.0	0.0	0.0	1.20039e-05	4.12503e-05	0.000515796	0.0	0.00027858	0.0	3.95078e-06	0.0	0.0	0.0	5.76336e-05	0.0	0.000894135	3.40151e-05	6.2742e-06	1.61115e-05	1.11316e-05	5.42551e-06	0.000390162	0.0	0.000585457	0.0	0.0	0.0	0.0	0.000987994	0.0	7.16025e-05	0.0	0.0	9.88139e-06	5.52005e-05	0.0	4.10877e-05	0.0	0.000150395	0.0	0.000637351	0.0	0.0	4.61498e-05	0.000727921	1.74578e-05	0.000563176	0.000100959	0.0	0.0	0.0	0.000348952	0.0	0.000583862	0.0	0.0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0.000332244	0.00147632	0.00227863	0.000625776	0.00678939	0.00882024	0.00253976	0.00429288	0.00273533	0.00069678	0.00102438	0.00213313	0.000415577	0.000586556	0.00159037	0.00183476	0.00385597	0.00173342	0.0011124	0.00113514	0.00648211	0.0034073	0.00231065	0.000772294	0.00295639	0.00383348	0.000357144	0.00285292	0.000833644	0.000544856	0.00411133	0.00169797	0.000435886	0.000937848	0.00134241	0.00189741	0.00222028	0.00558866	0.00178318	0.00111071	0.000583578	0.00295177	0.00269761	0.00129346	0.00203949	0.000987332	0.00184484	0.00313535	0.00571466	0.00101936	0.00203809	0.00045786	0.0020869	0.00540632	0.00165792	0.00169956	0.00246282
