clade_name	GupDM_JP	GupDM_JG	GupDM_A4	GupDM_JM	GupDM_A13	GupDM_JK	GupDM_JI	GupDM_A7	GupDM_A2	GupDM_A_11	GupDM_JC	GupDM_JN	GupDM_JJ	GupDM_JO	GupDM_A1	GupDM_JE	GupDM_A12	GupDM_JL	GupDM_A14	GupDM_A8	GupDM_A3	GupDM_A10	GupDM_A5	GupDM_A_15	GupDM_JH	GupDM_JD	GupDM_A9	GupDM_A6	GupDM_JB	GupDM_JA	GupDM_HAK	GupDM_HAJ	GupDM_HAI	GupDM_HAH	GupDM_HAG	GupDM_HAL	GupDM_HAM	GupDM_HAN	GupDM_HAO	GupDM_HAP	GupDM_HAR	GupDM_HAT	GupDM_HDF	GupDM_HDB	GupDM_HCY	GupDM_HCL	GupDM_HCU	GupDM_HCV	GupDM_HCQ	GupDM_HCR	GupDM_HCS	GupDM_HCT	GupDM_HCM	GupDM_HCN	GupDM_HCO	GupDM_HCP	GupDM_HP	GupDM_HS	GupDM_HR	GupDM_HBR
k__Bacteria	99.87062	99.81507	100.0	99.78564	79.78126	99.9402	99.82091	100.0	98.43838	100.0	99.56535	99.7541	99.35939	99.85838	96.77288	99.90732	100.0	98.40025	100.0	100.0	97.10258	100.0	98.6249	100.0	100.0	99.48202	100.0	100.0	99.96566	98.46627	99.48647	100.0	100.0	100.0	99.89901	90.6147	100.0	100.0	99.02943	99.93042	100.0	100.0	100.0	99.92889	99.79936	99.9943	99.98586	100.0	99.9382	99.89172	100.0	100.0	99.98693	99.93045	100.0	99.96643	99.81639	98.25836	100.0	99.91426
k__Archaea	0.12938	0.18493	0.0	0.19963	20.21874	0.0598	0.16793	0.0	1.56162	0.0	0.40633	0.22873	0.34159	0.13727	3.22712	0.09143	0.0	1.40698	0.0	0.0	2.89742	0.0	1.3751	0.0	0.0	0.3772	0.0	0.0	0.03434	1.3528	0.50081	0.0	0.0	0.0	0.10099	9.3853	0.0	0.0	0.97057	0.06958	0.0	0.0	0.0	0.07111	0.20064	0.0057	0.01414	0.0	0.0618	0.10828	0.0	0.0	0.01307	0.06955	0.0	0.02691	0.18361	1.74164	0.0	0.08574
k__Bacteria|p__Firmicutes	48.75204	58.60985	78.59252	15.89301	37.90672	32.13398	24.67185	51.96991	34.39768	34.64905	20.74402	15.71836	37.32475	24.70837	25.99839	43.17956	40.81513	36.29812	8.871	3.07366	33.06105	50.30566	56.37232	2.9888	10.13113	31.31277	37.13281	44.82709	23.93272	35.72186	27.84867	38.37561	21.73336	18.76307	11.53153	24.72729	35.54225	48.48943	18.53388	11.52229	2.7958	12.4343	15.74114	44.70087	30.62981	12.40111	39.89114	24.52048	47.19136	62.16042	43.80643	91.36439	28.99927	64.47396	25.18889	70.75076	15.54908	28.49977	13.44741	44.46216
k__Bacteria|p__Bacteroidetes	43.57965	33.22103	8.78954	80.34616	6.21533	61.86813	69.40865	34.35685	61.7397	56.77938	74.36121	80.51765	55.12829	69.9649	38.77079	48.73312	22.31437	52.88596	85.16809	3.06904	55.00624	8.08509	37.4544	3.32301	87.30081	59.38568	57.84432	54.57232	73.02632	53.43047	63.13186	59.64765	76.94618	78.19114	87.58248	56.83739	41.25941	46.01868	77.19385	86.92167	96.96739	82.25143	81.61986	44.20089	59.26084	86.8032	49.17263	73.93536	39.97202	35.5879	53.59982	2.22339	67.22963	22.52813	73.35092	22.35428	78.96156	55.33678	85.92987	42.78471
k__Bacteria|p__Actinobacteria	0.36312	0.66142	0.81624	0.61693	1.22972	0.50915	0.129	0.61479	0.09808	0.01942	0.03626	0.64725	0.17835	0.12051	7.63805	0.00372	2.55456	0.06354	0.39908	39.54827	1.5955	4.74491	2.42774	37.67741	1.56606	0.09212	0.79283	0.14009	0.13027	0.04331	0.87711	0.95994	0.99682	0.93592	0.10258	2.17563	6.4147	3.69919	1.61029	0.30401	0.00489	0.36273	1.49473	10.07913	1.93243	0.57404	1.36745	0.8262	7.88072	0.14163	0.13447	4.26192	1.64044	4.83988	0.78914	3.1925	0.14575	0.3555	0.101	11.59636
k__Bacteria|p__Verrucomicrobia	0.84638	0.02428	11.51878	1.58123	0.0	1.47136	2.26092	0.0	0.00601	0.04203	2.82343	1.55832	2.9251	1.93895	0.01847	2.04318	0.05929	2.59782	0.0	0.0	5.92262	0.09743	0.00156	0.0	0.0	4.8399	0.0	0.0	0.00391	2.45926	0.0	0.0	0.0	0.0	0.0	0.0	1.36383	0.0	0.0	0.0	0.0	0.0	0.2364	0.0	0.0	0.0	0.0	0.03508	1.87293	0.0	0.01006	0.0	0.03915	0.09562	0.03473	1.33689	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota	0.1091	0.18493	0.0	0.19963	20.21874	0.02375	0.16793	0.0	1.56162	0.0	0.40633	0.22873	0.34159	0.13727	3.22712	0.03703	0.0	1.22821	0.0	0.0	2.89742	0.0	1.3751	0.0	0.0	0.3772	0.0	0.0	0.03434	1.21197	0.50081	0.0	0.0	0.0	0.10099	9.3853	0.0	0.0	0.97057	0.06958	0.0	0.0	0.0	0.07111	0.20064	0.0057	0.01414	0.0	0.0618	0.10828	0.0	0.0	0.01307	0.06955	0.0	0.02691	0.07541	1.74164	0.0	0.08574
k__Bacteria|p__Proteobacteria	5.02576	6.46442	0.10607	1.30004	34.41026	2.62287	3.00458	13.05675	2.08092	8.36692	1.49872	1.25419	3.24641	2.79435	24.20563	3.68062	33.86127	0.1467	5.56183	53.63265	1.1802	36.76691	1.11618	55.22522	1.00201	3.52135	4.21739	0.4605	2.43117	0.04107	3.83426	0.85718	0.32364	0.9721	0.68242	6.58009	13.79777	1.6556	1.69141	1.18246	0.23192	3.01486	0.90786	0.41656	7.85825	0.21595	9.55464	0.57591	2.95524	1.92796	1.18004	2.12763	2.01674	0.33151	0.54701	2.32807	1.30394	12.42317	0.52172	0.46596
k__Bacteria|p__Candidatus_Melainabacteria	0.64671	0.11271	0.0	0.0	0.0	0.96967	0.01312	0.0	0.11599	0.02443	0.0	0.0	0.06801	0.01714	0.0	1.66745	0.0	5.98108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03689	0.0	0.0	0.01251	6.37992	0.57745	0.0	0.0	1.13777	0.0	0.19671	0.74951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0223	0.0	0.0	0.00132	0.0	0.0	7.6269	0.01181	0.00393	0.0	0.49598	0.0	0.0
k__Bacteria|p__Lentisphaerae	0.07772	0.05109	0.0	0.04826	0.0	0.03329	0.02724	0.0	0.0	0.02329	0.10171	0.05833	0.33617	0.00967	0.0228	0.06749	0.0	0.35016	0.0	0.0	0.01279	0.0	0.25444	0.0	0.0	0.21881	0.0	0.0	0.0	0.30569	0.1091	0.0	0.0	0.0	0.0	0.09759	0.86323	0.0	0.0	0.0	0.0	0.78773	0.0	0.0	0.0	0.0	0.0	0.0	0.046	0.06974	0.05608	0.0	0.06169	0.0	0.0	0.0	0.06693	0.01763	0.0	0.0
