clade_name	SAMN19291048	SAMN19291049	SAMN19291051	SAMN19291050	SAMN19291019	SAMN19291044	SAMN19291037	SAMN19291040	SAMN19291030	SAMN19291039	SAMN19291023	SAMN19291034	SAMN19291029	SAMN19291028	SAMN19291032	SAMN19291035	SAMN19291026	SAMN19291041	SAMN19291021	SAMN19290998	SAMN19291000	SAMN19291002	SAMN19291011	SAMN19291054	SAMN19291056	SAMN19291060	SAMN19291061	SAMN19290994	SAMN19291013	SAMN19290981	SAMN19290990	SAMN19290979	SAMN19291004	SAMN19290988	SAMN19290996	SAMN19290999	SAMN19291006	SAMN19291053	SAMN19290989	SAMN19290993	SAMN19290980	SAMN19291059	SAMN19291062	SAMN19290991	SAMN19291017	SAMN19291018	SAMN19291055	SAMN19291058	SAMN19291008	SAMN19291052	SAMN19290986	SAMN19290978	SAMN19290997	SAMN19291001	SAMN19291009	SAMN19290987	SAMN19290992	SAMN19290995	SAMN19291005	SAMN19291012	SAMN19291014	SAMN19291027	SAMN19291007	SAMN19291010	SAMN19291016	SAMN19291015	SAMN19290982	SAMN19290983	SAMN19290984	SAMN19291063	SAMN19291003	SAMN19291020	SAMN19291025	SAMN19291033	SAMN19291036	SAMN19291043	SAMN19291024	SAMN19291046	SAMN19291022	SAMN19291031	SAMN19291042	SAMN19290985	SAMN19291038	SAMN19291045	SAMN19291047	SAMN19290917	SAMN19290937	SAMN19290944	SAMN19290951	SAMN19290913	SAMN19290936	SAMN19290933	SAMN19290908	SAMN19290902	SAMN19290947	SAMN19290955	SAMN19290898	SAMN19290931	SAMN19290971	SAMN19290973	SAMN19290977	SAMN19290946	SAMN19290953	SAMN19290969	SAMN19290899	SAMN19290905	SAMN19290934	SAMN19290920	SAMN19290926	SAMN19290941	SAMN19290961	SAMN19290965	SAMN19290935	SAMN19290950	SAMN19290956	SAMN19290911	SAMN19290912	SAMN19290918	SAMN19290923	SAMN19290930	SAMN19290903	SAMN19290916	SAMN19290919	SAMN19290921	SAMN19290914	SAMN19290922	SAMN19290943	SAMN19290959	SAMN19290963	SAMN19290976	SAMN19290938	SAMN19290957	SAMN19290960	SAMN19290975	SAMN19290929	SAMN19290932	SAMN19290970	SAMN19290909	SAMN19290910	SAMN19290949	SAMN19290962	SAMN19290964	SAMN19290900	SAMN19290940	SAMN19290968	SAMN19290972	SAMN19290915	SAMN19290924	SAMN19290925	SAMN19290927	SAMN19290967	SAMN19290942	SAMN19290948	SAMN19290928	SAMN19290939	SAMN19290954	SAMN19290958	SAMN19290974	SAMN19290906	SAMN19290907	SAMN19290904	SAMN19290901	SAMN19290952
k__Bacteria	100.0	99.97604	100.0	99.99219	100.0	100.0	100.0	98.75886	100.0	100.0	99.79598	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99887	100.0	100.0	100.0	100.0	99.99962	100.0	100.0	100.0	99.8086	100.0	95.96869	100.0	100.0	100.0	100.0	100.0	100.0	99.83275	100.0	99.91724	99.88416	100.0	100.0	100.0	99.80796	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.89434	100.0	99.88036	100.0	99.96708	100.0	100.0	100.0	100.0	100.0	100.0	99.98547	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99171	99.91194	99.99816	100.0	100.0	99.98916	100.0	100.0	99.19949	100.0	100.0	99.98989	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.75808	100.0	99.76671	100.0	99.9967	100.0	99.99768	99.99806	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.88948	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.87705	100.0	100.0	99.99951	100.0	97.77784	99.48028	100.0	100.0	100.0	100.0	100.0	100.0	99.02453	99.99795	99.99995	100.0	100.0	100.0	99.98518	100.0	99.18354	100.0	100.0	100.0
k__Archaea	0.0	0.02396	0.0	0.00781	0.0	0.0	0.0	1.24114	0.0	0.0	0.20402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19118	0.0	4.03131	0.0	0.0	0.0	0.0	0.0	0.0	0.16725	0.0	0.08276	0.11584	0.0	0.0	0.0	0.19204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10566	0.0	0.0	0.0	0.03063	0.0	0.0	0.0	0.0	0.0	0.0	0.01453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06734	0.0	0.0	0.0	0.0	0.0	0.0	0.80051	0.0	0.0	0.01011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24192	0.0	0.23329	0.0	0.0	0.0	0.0	0.00194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12295	0.0	0.0	0.0	0.0	2.22216	0.51972	0.0	0.0	0.0	0.0	0.0	0.0	0.97547	0.00205	5e-05	0.0	0.0	0.0	0.0	0.0	0.81646	0.0	0.0	0.0
k__Bacteria|p__Firmicutes	60.54506	73.3646	43.08501	32.23971	79.30606	19.90528	81.04007	84.26453	59.80177	86.49524	90.27418	93.39751	91.25347	68.99396	16.42917	54.66968	56.46684	63.43722	90.05893	36.22118	73.11199	55.47588	60.19395	92.13083	39.12283	91.2168	56.12547	68.04889	82.37581	11.44079	58.15044	86.47744	56.29984	18.51922	36.86943	70.70006	52.883	52.63374	59.74423	87.50587	93.31975	32.81729	53.06488	1.25329	88.70849	95.74672	72.42147	90.92541	30.90516	57.90619	72.94391	69.60221	59.95443	3.11728	73.96493	35.54313	83.96117	41.7639	41.70718	69.33595	97.59812	62.81179	53.89516	39.99357	61.62161	95.46899	71.48599	95.22194	5.25664	55.16103	12.6226	96.20031	80.13451	66.65516	92.9054	78.11164	97.34413	48.62298	80.22311	45.90286	71.36626	77.37503	57.27762	76.2468	56.14344	65.41074	43.15778	76.18511	19.6286	75.0521	51.52268	51.07794	50.28382	22.63189	32.24845	63.17898	15.02489	24.75356	53.71063	54.03094	67.55773	61.77698	19.2439	36.79821	60.35717	14.11078	27.11511	59.73299	28.20774	62.94827	45.71028	42.83807	78.30462	51.86003	26.62577	8.34696	28.40011	57.38925	24.96883	27.29896	66.92336	46.06882	34.23628	42.86774	57.94365	34.37657	66.33602	20.12694	43.93557	78.77626	77.55204	52.60774	37.60915	24.87709	25.51667	35.49451	69.96656	41.69537	86.60739	46.27731	29.47969	40.38834	78.0633	54.81631	45.56233	41.2923	7.47557	33.71901	44.66811	46.48107	61.93155	79.21817	38.77504	23.47409	22.28711	47.23496	18.28696	62.86176	61.70255	65.94727	51.22111	20.24553	73.95828
k__Bacteria|p__Bacteroidetes	13.98602	9.73914	27.23193	32.46072	15.52597	0.63087	9.07343	4.88311	18.41699	5.38323	7.24976	1.68494	6.39452	0.16703	0.17053	3.10985	0.18494	0.91084	2.85167	61.82944	8.43709	7.63795	6.62437	5.94359	59.60989	5.5415	39.87042	7.35334	15.67848	0.40215	38.27493	2.5429	15.17911	42.97891	61.45789	29.04206	39.02982	43.89531	27.43581	6.89687	4.58611	66.46926	43.11969	0.49408	8.22624	2.82013	24.36959	5.76665	67.22778	18.2578	22.65049	19.51705	14.95155	1.18158	24.73616	63.66746	9.90051	43.55063	56.46116	26.30771	1.23715	2.19881	41.9212	59.32115	35.55759	0.08067	2.865	0.04705	1.95443	27.13342	1.90141	2.19703	18.4913	31.02622	0.17949	19.30676	1.88765	49.55987	16.80475	8.55029	16.59863	13.51732	1.8788	0.40639	6.26522	26.00504	50.86286	11.42079	65.46504	22.12099	47.10474	40.47262	45.08579	74.29782	43.31702	31.52177	36.94971	72.86784	37.11137	38.21578	23.54173	33.56399	41.47162	59.25681	31.17983	58.34758	62.38839	34.3364	64.92431	30.91059	8.15121	24.14881	19.77172	43.17049	67.07662	38.59332	28.34881	40.757	29.69219	59.3568	31.08373	49.83996	58.35581	41.39736	35.59164	58.43335	29.31157	53.57997	52.52804	17.27835	14.69967	36.29841	60.66531	57.28483	63.07222	62.10801	27.37634	26.63158	9.29876	50.10321	68.67201	35.115	8.67553	31.54485	43.73696	44.83277	61.94272	50.43968	38.85769	33.23998	30.67474	12.09668	42.68873	13.73318	70.5182	48.36592	13.77722	12.13466	20.25478	25.90618	43.72143	59.08826	20.52703
k__Bacteria|p__Actinobacteria	0.32536	1.47847	0.10475	0.5305	3.40385	57.03935	5.36268	4.81239	0.89436	1.21921	0.32776	1.48727	1.80464	22.52777	6.3779	1.57345	0.77639	35.14339	2.43041	0.29702	1.13753	0.25886	0.62361	0.39771	0.78324	2.70494	3.04283	0.89603	0.61043	0.8639	1.00838	4.05856	0.20271	0.25471	0.12258	0.04624	0.18346	0.73672	1.22233	1.1492	1.27404	0.11528	0.86503	0.01019	1.03487	0.89771	2.01333	2.56528	0.14844	0.8839	0.85156	0.61018	1.30754	0.00829	0.49224	0.1736	1.14404	0.01583	0.0601	2.18388	0.77682	2.90744	3.21532	0.36175	0.96325	1.77577	1.37023	3.39153	0.45355	0.50075	0.0383	1.29114	0.31198	0.98057	0.96034	1.9114	0.40144	0.15608	1.79988	1.05689	8.84656	1.97657	6.6403	11.69337	0.29492	3.01636	2.41396	7.19198	4.55917	0.7733	0.23168	4.15334	1.3885	0.67263	0.19004	0.3467	3.41332	0.242	5.76573	1.07383	2.77111	1.23043	4.48082	3.19255	4.96575	0.35181	0.46239	0.16026	1.76546	0.44739	6.94433	1.29966	0.50544	1.20536	2.65301	0.07278	0.61616	0.24625	0.3775	0.1761	0.50703	1.27308	1.47967	6.57984	3.80581	2.16263	0.50488	3.44261	0.28048	0.95203	0.14394	0.20591	0.1431	0.35289	2.21825	0.41975	0.3971	0.50367	1.89156	0.39908	0.02472	2.52229	3.0977	5.01592	0.67277	0.20125	0.12024	0.17551	0.88028	1.0596	0.43234	1.81498	9.04723	7.14046	0.14634	1.05011	0.21202	24.00386	0.11613	2.82642	0.64363	0.27106	4.47142
k__Bacteria|p__Verrucomicrobia	23.06885	3.0435	0.1493	0.48794	0.0	0.0	0.0	2.14012	0.0	0.24485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1007	0.0	0.09917	11.16021	0.0	0.0	0.0	0.0	0.0	0.2188	0.0	0.0	0.0	0.0	26.5094	0.00228	0.0	0.0	0.0	0.0	0.43615	3.21242	0.61289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1555	0.03581	0.0	0.0	0.17116	0.0	0.65449	0.0	0.0	0.0	0.0	1.35076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0877	0.0	0.0	0.92926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30731	0.0	0.03238	0.0	0.0	0.0	0.0	0.17017	0.0	0.0	0.0	0.00082	0.0	0.0	0.00729	0.12425	0.0	0.13187	0.01299	3.94578	3.5631	2.16745	0.0	7e-05	0.0	0.0	4.52466	0.0	0.60813	4.19146	0.00135	0.0	0.0	0.04893	0.0	0.0	0.0	0.0	0.0	0.07617	0.0	0.28554	1.08518	0.0	1.34402	0.37715	0.97837	0.0	0.0	0.0	0.0	8.60309	0.0	3.43762	3.53144	0.0	0.41055	0.16079	0.63722	0.0	0.0	0.0	0.0	2.69106	4.81625	0.0	0.0	0.0	0.01442	0.0	0.0	0.0	0.06009	0.01966	0.0	0.0	0.0	0.0	1.80019	2.24171	0.0	0.0	0.38935
k__Archaea|p__Euryarchaeota	0.0	0.02396	0.0	0.00612	0.0	0.0	0.0	1.24114	0.0	0.0	0.20402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19118	0.0	4.03045	0.0	0.0	0.0	0.0	0.0	0.0	0.16725	0.0	0.08276	0.11584	0.0	0.0	0.0	0.19204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10566	0.0	0.0	0.0	0.0262	0.0	0.0	0.0	0.0	0.0	0.0	0.01453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06734	0.0	0.0	0.0	0.0	0.0	0.0	0.80051	0.0	0.0	0.01011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24192	0.0	0.23329	0.0	0.0	0.0	0.0	0.00194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12295	0.0	0.0	0.0	0.0	2.22216	0.51972	0.0	0.0	0.0	0.0	0.0	0.0	0.97547	0.00205	5e-05	0.0	0.0	0.0	0.0	0.0	0.81646	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria	2.04691	8.07285	29.3866	34.23662	1.49474	20.80445	4.35785	1.80112	20.27286	6.57186	1.89113	3.37806	0.51996	7.90351	76.97467	40.54378	42.1089	0.04196	4.50427	1.65236	17.10925	25.3304	32.48686	1.44088	0.47006	0.11133	0.93964	23.36977	1.32063	87.06281	2.5337	1.01559	1.75715	38.20616	1.53385	0.19448	6.15497	2.38499	6.57663	1.07975	0.07397	0.46148	2.60625	98.20794	1.93807	0.17922	1.14682	0.66164	1.56007	22.83052	2.9527	10.21878	23.57765	95.5765	0.14006	0.48387	4.8149	14.52274	1.74829	0.73796	0.33184	31.75078	0.94488	0.27282	1.41015	2.50752	24.14142	0.67021	92.27577	17.14222	84.44805	0.131	1.0254	1.3048	5.86266	0.5126	0.28094	1.65277	1.09701	43.3604	2.55757	7.06574	33.61445	11.5464	37.10324	5.49482	3.48755	4.11964	10.14376	1.838	1.11157	4.2057	1.69001	2.31193	24.09258	1.9142	44.56712	1.6568	3.27494	1.73765	2.55994	0.94645	34.31479	0.74905	2.97926	2.63958	5.47541	5.47785	3.39193	1.45271	39.15228	31.58084	1.37459	3.6278	3.464	52.95582	42.63071	1.59058	44.91648	12.46849	1.10537	2.38336	4.70419	8.52421	1.2574	4.44413	2.67558	22.62977	3.09721	2.98393	6.92951	0.75561	1.5667	14.02925	5.63089	1.60997	1.81584	30.18125	1.30038	3.18212	1.82358	21.80424	9.97619	2.00863	3.34103	13.58522	27.55074	15.65524	15.54238	18.96174	6.86286	5.63382	6.90882	55.58776	4.73278	2.93872	67.69184	0.90686	16.01856	2.05462	3.60616	15.95351	0.59123
k__Archaea|p__Crenarchaeota	0.0	0.0	0.0	0.0017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria	0.0	4.23208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
