clade_name	CRC_MR_SBJ01C_17	CRC_MR_SBJ02C_17	CRC_MR_SBJ03H_17	CRC_MR_SBJ04C_17	CRC_MR_SBJ05C_17	CRC_MR_SBJ06C_17	CRC_MR_SBJ07C_17	CRC_MR_SBJ10C_17	CRC_MR_SBJ11C_17	CRC_MR_SBJ12C_17	CRC_MR_SBJ16H_17	CRC_MR_SBJ17H_17	CRC_MR_SBJ18H_17	CRC_MR_SBJ20C_17	CRC_MR_SBJ21H_17	CRC_MR_SBJ22C_17	CRC_MR_SBJ24H_17	CRC_MR_SBJ25C_17	CRC_MR_SBJ26C_17	CRC_MR_SBJ27C_17	CRC_MR_SBJ29C_17	CRC_MR_SBJ31C_17	CRC_MR_SBJ32C_17	CRC_MR_SBJ33C_17	CRC_MR_SBJ34H_17	CRC_MR_SBJ35C_17	CRC_MR_SBJ36C_17	CRC_MR_SBJ37H_17	CRC_MR_SBJ39C_17	CRC_MR_SBJ40C_17	CRC_MR_SBJ42C_17	CRC_MR_SBJ45H_17	CRC_MR_SBJ46H_17	CRC_MR_SBJ47C_17	CRC_MR_SBJ49C_17	CRC_MR_SBJ50C_17	CRC_MR_SBJ51C_17	CRC_MR_SBJ52C_17	CRC_MR_SBJ53C_17	CRC_MR_SBJ55C_17	CRC_MR_SBJ57H_17	CRC_MR_SBJ60H_17	CRC_MR_SBJ61C_17	CRC_MR_SBJ63H_17	CRC_MR_SBJ64C_17	CRC_MR_SBJ65H_17	CRC_MR_SBJ67H_17	CRC_MR_SBJ68H_17	CRC_MR_SBJ69H_17	CRC_MR_SBJ73H_17	CRC_MR_SBJ74H_17	CRC_MR_SBJ75H_17	CRC_MR_SBJ77H_17	CRC_MR_SBJ78H_17	CRC_MR_SBJ79H_17	CRC_MR_SBJ80H_17	CRC_MR_SBJ81H_17	CRC_MR_SBJ82H_17	CRC_MR_SBJ83H_17	CRC_MR_SBJ84H_17
k__Bacteria	100.0	98.97498	99.9082	99.96084	99.99965	99.88937	96.86387	98.90562	100.0	99.35149	99.99067	100.0	100.0	99.40372	99.68985	99.99166	100.0	96.93489	100.0	98.50463	100.0	100.0	99.31348	99.9539	100.0	100.0	100.0	100.0	100.0	91.14292	97.81597	98.16644	100.0	96.71094	99.79233	99.19711	98.91806	99.18174	99.74284	98.74651	98.80821	100.0	100.0	100.0	99.9116	99.72104	99.06401	100.0	100.0	99.96036	99.5623	100.0	100.0	100.0	100.0	99.93202	100.0	100.0	99.96769	100.0
k__Archaea	0.0	1.02502	0.0918	0.03916	0.00035	0.11063	3.13613	1.09438	0.0	0.51836	0.00045	0.0	0.0	0.59628	0.31015	0.00834	0.0	3.06511	0.0	1.49537	0.0	0.0	0.68652	0.0461	0.0	0.0	0.0	0.0	0.0	8.8545	2.18387	1.83356	0.0	3.28906	0.20767	0.80289	1.08194	0.81826	0.25716	1.25349	1.19179	0.0	0.0	0.0	0.0884	0.27896	0.93599	0.0	0.0	0.03964	0.4377	0.0	0.0	0.0	0.0	0.06798	0.0	0.0	0.03231	0.0
k__Bacteria|p__Firmicutes	52.896	85.88575	36.71004	88.64862	49.91935	68.95224	54.68564	63.6613	71.2255	90.97711	74.70386	39.27069	52.67421	59.86377	73.86012	77.4919	50.34429	77.18458	70.48409	57.01682	75.85112	59.26707	64.05235	93.04047	76.85	64.13596	74.62861	80.54551	75.54576	77.38619	78.157	67.37134	65.24623	64.9624	44.45874	65.03537	70.88408	75.03408	83.24598	84.40748	71.92298	62.41495	65.1555	52.87128	61.96804	77.01651	65.57701	78.38146	63.01656	83.15651	78.04046	59.90626	68.76693	60.99207	71.18536	74.12141	46.39815	72.34623	56.79576	58.10877
k__Bacteria|p__Bacteroidetes	37.96711	7.92882	45.46396	7.01755	33.99364	15.50627	34.90537	29.18469	20.2715	7.29915	13.9301	48.00825	41.37689	24.40474	23.27571	18.68136	23.00281	13.0396	25.62775	23.44059	22.01102	31.04301	30.70087	3.62348	16.58537	22.82991	18.99772	16.32299	17.71032	7.09716	12.81772	20.67455	30.21968	16.14605	28.40642	17.49618	20.50673	16.07332	15.19016	11.51467	16.93218	35.18116	21.97895	39.67914	30.47798	14.54111	24.36438	8.75841	31.64227	14.21584	13.30418	21.80118	26.23203	33.38046	15.03887	18.43059	26.90658	23.63479	41.28953	37.82951
k__Bacteria|p__Actinobacteria	7.1961	3.80574	15.63686	2.84093	9.36191	9.3952	3.98384	3.16406	6.8824	0.56759	10.92899	10.58241	4.13301	13.70086	1.98039	2.95667	8.31785	2.86787	2.94329	13.60814	1.18951	4.0694	2.79093	2.2583	5.52854	12.5862	4.70861	2.56748	4.7931	4.77186	2.28653	9.10841	3.1578	13.67102	1.6757	16.10169	2.8838	6.62641	0.7192	2.24102	9.09511	1.97187	1.25754	6.50966	6.28157	7.20073	8.28722	10.78899	2.18006	1.94236	6.99645	15.33816	2.93117	4.23968	11.7763	6.87562	25.72052	3.10855	1.31605	2.3566
k__Bacteria|p__Verrucomicrobia	0.0	0.20817	0.11352	0.29756	5.28605	0.7102	2.24631	1.03957	0.0	0.0	0.0	0.0	0.0	0.20541	0.10408	0.06875	0.0	1.65215	0.0	1.2245	0.0	0.28594	0.04972	0.01537	0.85112	0.0	0.0	0.18883	1.38576	0.10706	2.79867	0.57245	0.0	0.70321	0.00664	0.0055	1.215	0.62341	0.08138	0.02174	0.39277	0.0	0.0	0.09401	0.03355	0.00456	0.02101	1.09689	0.58699	0.16321	0.21351	1.41728	0.04123	0.07221	0.0	0.0	0.0	0.45335	0.0	0.3944
k__Archaea|p__Euryarchaeota	0.0	1.02502	0.0918	0.03916	0.00035	0.11004	3.13613	1.09402	0.0	0.51836	0.00045	0.0	0.0	0.59628	0.31015	0.00834	0.0	3.06511	0.0	1.49537	0.0	0.0	0.68652	0.0461	0.0	0.0	0.0	0.0	0.0	8.30992	2.18387	1.83356	0.0	1.42443	0.20767	0.72663	1.08194	0.81826	0.25716	1.25349	1.19179	0.0	0.0	0.0	0.0884	0.27767	0.92071	0.0	0.0	0.03964	0.0	0.0	0.0	0.0	0.0	0.06798	0.0	0.0	0.03231	0.0
k__Bacteria|p__Proteobacteria	1.92419	0.98277	1.97737	0.84655	1.17542	5.22104	0.91506	1.15659	1.59532	0.47263	0.41083	2.12882	1.81589	1.18835	0.46954	0.77665	18.33506	1.74595	0.93617	1.05148	0.9316	5.22682	1.61638	0.93081	0.16567	0.43843	1.5999	0.33729	0.55711	1.65892	1.59034	0.43969	1.37082	0.62824	25.12254	0.45924	3.02142	0.81405	0.49186	0.4929	0.39343	0.41797	11.55086	0.81352	1.04709	0.65035	0.74875	0.87505	2.57367	0.45283	0.42922	1.53713	1.54419	1.31114	1.97667	0.47508	0.97182	0.45201	0.5512	1.01
k__Archaea|p__Crenarchaeota	0.0	0.0	0.0	0.0	0.0	0.00059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37532	0.0	0.0	0.0	1.46924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00129	0.0	0.0	0.0	0.0	0.4377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria	0.0	0.01806	0.0	0.30629	0.24753	0.0	0.0	0.0447	0.0	0.00041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00232	0.0	0.0	0.0	0.0848	0.0	0.00802	0.23242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06268	0.0	0.0	0.0	0.0	0.47473	0.0	0.00929	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Lentisphaerae	0.0	0.0	0.00342	0.0	0.00635	0.01587	0.07529	0.34057	0.0	0.02129	0.00709	0.0	0.0	0.0	0.0	0.0	0.0	0.19339	0.0	0.07908	0.01486	0.00098	0.10324	0.04526	0.01276	0.00238	0.0	0.0	0.0	0.09504	0.01047	0.0	0.0	0.30536	0.10678	0.05909	0.07663	0.00292	0.01426	0.03373	0.0647	0.0	0.00608	0.02294	0.04491	0.0	0.06565	0.03563	0.0	0.00859	0.0	0.0	0.00971	0.00052	0.0	0.00076	0.0	0.0	0.00663	0.00502
k__Bacteria|p__Candidatus_Saccharibacteria	0.00106	0.00731	0.00303	0.00334	0.00455	0.00781	0.0	0.0	0.02528	0.00353	0.0098	0.00983	0.0	0.00221	0.0	0.01578	0.0	0.02645	0.00339	0.0	0.00189	0.0023	0.0	0.0	0.00385	0.00712	0.02639	0.0	0.00794	0.00609	0.00171	0.0	0.001	0.0	0.00445	0.00031	0.0	0.00755	0.0	0.0313	0.00703	0.01405	0.01855	0.00131	0.00646	0.00668	0.0	0.00089	0.00044	0.00243	0.01232	0.0	0.0	0.00391	0.01352	0.00084	0.00293	0.00507	0.00853	0.00096
k__Bacteria|p__Firmicutes|c__Clostridia	48.02866	72.43558	31.289878994226346	86.80925	41.20065	65.46464	41.74449	60.45895	63.72203	87.37709	72.45764	34.59867	45.06331	54.72132	71.97962	71.57	38.4613	74.16942	63.12564	48.4311	70.94164	40.73934	61.10384	84.75139	71.16399	55.15907	68.35434	73.93042	69.78556619648543	73.5339	73.21398	65.31401	45.06404	62.55954	34.5826	61.35069	63.52336	70.01492	71.7948	74.32089	70.06111	58.39265	61.79966	39.37513	58.58461	73.93931	57.78709	67.27878	59.2696	77.54537	75.11149	54.91591	63.94663372328559	49.2957	67.45619	70.46738	41.8562	69.99714	52.123	54.71288
