clade_name	CCMD11006829ST-21-0	CCMD12232071ST-21-0	CCMD13071240ST-21-0	CCMD13934959ST-21-0	CCMD14479708ST-21-0	CCMD18872694ST-21-0	CCMD19497912ST-21-0	CCMD23101338ST-21-0	CCMD25511638ST-21-0	CCMD25963797ST-21-0	CCMD26709089ST-21-0	CCMD26925580ST-21-0	CCMD34381688ST-21-0	CCMD35802077ST-21-0	CCMD40701343ST-21-0	CCMD42428553ST-21-0	CCMD45988061ST-21-0	CCMD46222674ST-21-0	CCMD46947453ST-21-0	CCMD48236717ST-21-0	CCMD50071957ST-21-0	CCMD51864103ST-21-0	CCMD60079086ST-21-0	CCMD63399960ST-21-0	CCMD64503764ST-21-0	CCMD64776337ST-21-0	CCMD72895164ST-21-0	CCMD74930188ST-21-0	CCMD79987997ST-21-0	CCMD82866709ST-21-0	CCMD86114146ST-21-0	CCMD86707194ST-21-0	CCMD87156761ST-21-0	CCMD88272491ST-21-0	CCMD90311071ST-21-0	CCMD93344354ST-21-0	CCMD95433940ST-21-0	CCMD96553385ST-21-0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST	CCMD10032470ST-11-0	CCMD10191450ST-11-0	CCMD15562448ST-11-0	CCMD17410933ST-11-0	CCMD18579000ST-11-0	CCMD18829815ST-11-0	CCMD19168690ST-11-0	CCMD21593359ST-11-0	CCMD21703880ST-11-0	CCMD22852639ST-11-0	CCMD23541216ST-11-0	CCMD25475945ST-11-0	CCMD26625622ST-11-0	CCMD27463710ST-11-0	CCMD27867141ST-11-0	CCMD28738636ST-11-0	CCMD29706695ST-11-0	CCMD30626189ST-11-0	CCMD30627121ST-11-0	CCMD31009081ST-11-0	CCMD31134579ST-11-0	CCMD32288175ST-11-0	CCMD32965613ST-11-0	CCMD35081859ST-11-0	CCMD35633353ST-11-0	CCMD35801800ST-11-0	CCMD37575804ST-11-0	CCMD38158721ST-11-0	CCMD39157124ST-11-0	CCMD39882286ST-11-0	CCMD41202658ST-11-0	CCMD41521570ST-11-0	CCMD42956136ST-11-0	CCMD45004878ST-11-0	CCMD45812507ST-11-0	CCMD46727384ST-11-0	CCMD49025643ST-11-0	CCMD49461418ST-11-0	CCMD49942357ST-11-0	CCMD50300306ST-11-0	CCMD50529145ST-11-0	CCMD50538120ST-11-0	CCMD51154251ST-11-0	CCMD51228890ST-11-0	CCMD52117727ST-11-0	CCMD52145360ST-11-0	CCMD53508245ST-11-0	CCMD53522274ST-11-0	CCMD54057834ST-11-0	CCMD56948710ST-11-0	CCMD59540613ST-11-0	CCMD59583015ST-11-0	CCMD65222621ST-11-0	CCMD65406197ST-11-0	CCMD66848156ST-11-0	CCMD67373733ST-11-0	CCMD68973846ST-11-0	CCMD71242853ST-11-0	CCMD71915439ST-11-0	CCMD72666896ST-11-0	CCMD72690923ST-11-0	CCMD73128545ST-11-0	CCMD74592084ST-11-0	CCMD75147712ST-11-0	CCMD76222476ST-11-0	CCMD76409700ST-11-0	CCMD79349503ST-11-0	CCMD85481373ST-11-0	CCMD85661207ST-11-0	CCMD89107682ST-11-0	CCMD89306485ST-11-0	CCMD89643949ST-11-0	CCMD89967135ST-11-0	CCMD92404903ST-11-0	CCMD93755960ST-11-0	CCMD95431029ST-11-0	CCMD95676152ST-11-0	CCMD98198513ST-11-0	CCMD98531134ST-11-0	CCMD98702133ST-11-0	CCMD99440714ST-11-0	CCMD99929634ST-11-0
k__Bacteria	99.86088	99.99185	99.99924	99.9991	99.83674	99.21846	99.73453	99.87598	99.6103	99.65033	99.99865	99.99982	99.99242	99.98379	100.0	98.58522	99.33972	94.25737	99.99954	99.98881	99.97716	99.99998	99.9599	99.99991	99.99079	99.91888	99.9993	99.98942	100.0	89.45398	81.00677	99.99905	83.68516	99.97822	100.0	100.0	99.99944	99.99766	100.0	99.99813	99.99948	100.0	100.0	100.0	100.0	98.34888	99.9981	93.05065	100.0	99.99449	99.99921	96.58279	99.98475	98.72139	99.99917	100.0	99.18479	100.0	99.99784	99.61641	99.94906	99.35829	99.98875	99.2257	99.9993	99.94309	100.0	99.52906	99.96368	100.0	99.94595	99.92772	99.69211	99.94584	96.67922	100.0	100.0	100.0	99.4602	100.0	100.0	99.99151	99.98752	99.27236	99.62845	100.0	99.17733	99.99473	99.86057	99.99582	100.0	99.93393	99.91146	99.95812	100.0	100.0	100.0	99.90687	99.29315	99.38992	100.0	100.0	100.0	99.45027	100.0	99.99893	100.0	99.99616	99.71571	99.42522	99.99281	100.0	100.0	99.99302	98.30399	98.9678	100.0	99.99803	99.98842	99.65497	100.0	99.81727	99.9996	99.98816	99.97692
k__Archaea	0.13912	0.00815	0.00076	0.0	0.16326	0.78154	0.26547	0.1237	0.38938	0.34967	0.00135	0.00018	0.00066	0.01621	0.0	1.41478	0.66028	5.74263	0.00046	0.0002	0.02284	2e-05	0.0401	9e-05	0.00921	0.08112	0.0007	0.01058	0.0	10.54602	18.99323	0.00095	16.31484	0.02169	0.0	0.0	0.00056	0.00171	0.0	0.00187	0.00052	0.0	0.0	0.0	0.0	1.65112	0.00168	6.94935	0.0	0.0	0.00079	3.41721	0.01503	1.17203	0.00083	0.0	0.81521	0.0	0.00216	0.38359	0.0	0.64171	0.01125	0.7743	0.0007	0.0	0.0	0.47094	0.00983	0.0	0.05405	0.07228	0.30312	0.05416	3.2912	0.0	0.0	0.0	0.53893	0.0	0.0	0.0	0.01248	0.72764	0.0	0.0	0.82267	0.00527	0.13943	0.00418	0.0	0.0	0.08854	0.04188	0.0	0.0	0.0	0.09313	0.70685	0.61008	0.0	0.0	0.0	0.54973	0.0	0.00107	0.0	0.00384	0.28429	0.57478	0.00719	0.0	0.0	0.00698	1.69601	1.0322	0.0	0.0	0.01158	0.34503	0.0	0.18273	0.0	0.0	0.02308
k__Bacteria|p__Firmicutes	49.9924	68.76181	73.96835	68.73801	62.90519	68.19459	41.82028	76.33252	60.21193	78.10307	59.60804	66.24552	57.06467	69.40776	40.46808	75.81006	72.519	65.09053	81.88322	34.93415	52.54296	70.08156	54.38721	51.61533	59.44101	61.67152	67.72384	44.58477	28.48031	60.03607	59.83809	60.07019	62.10202	41.61235	54.13276	60.55575	66.34619	38.11677	30.65618	62.24549	62.18906	58.40501	60.16718	61.2779	82.46262	62.00266	76.9909	66.58273	67.55734	49.56246	37.36927	68.01911	73.38268	65.70695	68.27412	53.71218	68.35298	72.4038	56.47499	72.37776	44.75046	76.29848	71.02695	55.12728	64.30391	69.11777	76.50353	78.99607	54.0576	70.30949	69.78817	62.35585	71.03209	49.9777	67.25759	82.90275	86.00814	80.45744	60.52875	58.60852	36.51588	56.97531	51.74408	75.73782	90.11517	63.45483	59.03847	50.75397	73.40087	60.43005	67.42327	72.4701	69.01863	44.64416	71.20647	73.04668	66.05057	66.30333	71.10772	44.90015	66.76216	43.45493	55.49635	76.93144	57.19132	83.58936	19.8009	33.40141	75.92636	70.63633	65.57484	75.32935	73.34133	57.31678	61.74377	74.98022	22.61148	74.48656	78.48355	64.87623	70.47742	51.17797	69.90166	69.10157	68.4461
k__Bacteria|p__Bacteroidetes	43.74866	23.79129	22.88897	28.20941	20.02308	27.04628	52.12984	18.23769	30.23398	13.19098	37.71645	26.99956	40.97957	22.72178	58.8906	16.73779	23.63107	21.67764	14.61282	59.50967	40.6133	12.28285	38.01431	35.81064	37.78211	27.72394	29.96832	49.3594	53.58451	13.23553	15.16902	32.17589	19.48201	56.29861	37.84675	35.25646	21.32013	61.0311	64.74176	26.10642	35.04716	27.37101	37.29217	34.11813	8.42512	22.27649	17.69931	17.56866	29.67533	49.24464	44.63329	24.70224	18.7438	28.1323	17.72865	37.96961	27.05727	21.53316	37.12591	24.79044	47.57481	20.82739	22.43	39.67597	28.64641	29.09634	16.84282	8.22258	42.31488	19.43882	28.59896	34.70098	23.15526	45.33332	23.82961	8.55639	8.67147	16.85105	34.79373	30.68837	59.75196	31.6333	45.19395	17.72805	5.13417	28.00526	17.24144	44.74785	24.21356	32.34819	30.1472	24.13078	23.82362	43.1678	19.56756	15.52749	24.818	27.5519	23.31042	49.67538	23.7272	49.887	27.90722	17.93094	37.80663	11.36909	59.15276	62.55915	16.45307	24.56742	15.00932	18.94318	10.25721	36.23584	32.73757	16.08341	37.16808	22.40591	13.15363	21.79207	25.2453	41.28652	24.30885	27.05487	27.78084
k__Bacteria|p__Actinobacteria	2.04094	2.71852	1.53174	1.22719	2.05914	1.09537	5.54476	1.48368	2.64652	1.57248	1.13994	4.28614	0.28637	4.24667	0.16691	1.81548	2.46089	6.19671	2.65497	2.47326	2.85509	3.8338	0.50642	1.32849	1.01311	1.05227	0.21757	1.51668	0.17499	1.64934	4.49603	2.0043	0.62307	0.66058	2.04141	1.00533	1.61785	0.3188	3.57978	3.65468	2.65114	11.97917	1.03888	2.39998	6.17004	1.16652	4.78202	2.24305	0.46987	0.77309	7.87834	1.69075	2.72144	0.38609	1.86712	0.97704	2.3709	1.46182	4.03712	1.03105	6.65702	0.42217	4.63147	0.39184	0.49877	0.30452	2.80171	2.28611	1.30617	8.92592	0.18903	1.80912	2.91524	0.78112	4.07504	5.37321	1.76509	1.19778	1.75174	7.87737	2.70657	2.06426	0.92036	4.59164	3.34897	4.38376	17.85057	0.32043	0.59582	4.04434	0.07135	1.49633	4.88327	3.19666	8.30987	2.58583	6.53573	2.90878	1.01283	1.55697	2.06335	3.0631	15.52229	0.94125	0.50331	4.4041	0.05328	1.42731	3.71884	1.65985	1.09084	3.81701	15.71301	3.8163	0.90443	6.03079	4.59223	1.80493	2.01166	10.20345	2.09826	6.16348	2.09801	1.77911	2.68903
k__Bacteria|p__Verrucomicrobia	0.00428	2.11088	0.00093	0.00038	8.98034	0.00439	0.00045	0.42741	4.07476	4.92648	0.56366	1.46994	0.01067	0.87846	0.01805	1.92804	0.00547	0.01098	0.0	0.00171	0.26623	0.01983	0.0	2.9151	0.04931	6.46568	0.73236	0.07641	17.68506	2.54946	0.30888	0.0	0.00573	0.01834	0.03299	0.0	1.181	0.0024	0.0066	4.41348	0.0	0.00303	0.0	0.0	0.77606	0.0	0.01175	2.52554	0.57579	0.0	0.0	1.09331	1.76298	1.99451	0.26586	0.53228	0.54281	1.77076	0.0	0.0	0.00049	1.00579	0.02994	1.06782	0.00808	0.00178	1.16161	7.65771	0.21119	0.03598	0.00079	0.00356	0.0	0.73875	0.0	0.0	1.12498	0.0	0.13291	0.00469	0.0	0.0004	1.15878	0.01165	0.0333	0.0	0.30851	1.10781	0.2489	0.00535	0.86377	0.59683	0.74547	0.43257	0.03812	6.86297	0.40935	0.26174	0.21397	1.01844	1.99073	0.00138	0.0	0.75963	1.9608	0.00089	0.0	0.0	1.94521	0.45477	0.02417	0.15903	0.0	0.04425	0.10334	1.07657	28.55807	0.30805	2.63449	0.42296	0.0	0.24651	0.00099	0.08215	0.40631
k__Archaea|p__Euryarchaeota	0.13912	0.00815	0.00076	0.0	0.16326	0.05925	0.26547	0.1237	9e-05	0.34967	0.00135	0.00018	0.00066	0.01621	0.0	0.28161	0.65392	5.74263	0.00046	0.0002	0.02284	2e-05	0.0401	9e-05	0.00921	0.08112	0.0007	0.00497	0.0	10.09367	18.99323	0.00095	16.31484	0.02169	0.0	0.0	0.00056	0.00171	0.0	0.00187	0.0	0.0	0.0	0.0	0.0	1.65112	0.00168	6.78139	0.0	0.0	0.00079	0.58834	0.00679	0.20029	0.00083	0.0	0.27413	0.0	0.0	0.38324	0.0	0.64171	0.01125	0.7743	0.0	0.0	0.0	0.47094	0.00983	0.0	0.05405	0.07228	0.30312	0.05416	3.2912	0.0	0.0	0.0	0.53893	0.0	0.0	0.0	0.01248	0.00304	0.0	0.0	0.05356	0.00527	0.0	0.00418	0.0	0.0	0.08854	0.04134	0.0	0.0	0.0	0.09313	0.08047	0.0	0.0	0.0	0.0	0.04593	0.0	0.0	0.0	0.0	0.28429	0.11481	0.00719	0.0	0.0	0.00698	0.01672	0.74546	0.0	0.0	0.01158	0.02463	0.0	0.18273	0.0	0.0	0.02308
k__Bacteria|p__Proteobacteria	2.03974	2.06709	0.91282	1.72459	4.43026	1.27197	0.13441	1.63272	1.46332	1.41344	0.96695	0.99438	1.6442	2.56744	0.38776	1.75762	0.50501	1.21468	0.79033	2.91077	2.22322	12.67925	5.86948	7.55519	1.58472	2.79924	1.32857	4.11044	0.06068	4.04926	0.48725	2.14974	1.24805	1.35381	5.86574	3.17597	2.18785	0.50666	0.99959	3.30027	0.10905	2.23586	1.49955	2.18971	2.07333	12.6369	0.43723	2.90767	1.71111	0.4143	6.8069	0.58334	2.62831	1.77642	11.7594	2.6994	0.79451	2.82966	2.35982	0.62716	0.96628	0.52288	1.55626	1.63203	6.04675	0.70137	2.58727	1.87545	1.96006	1.23327	0.55109	0.55336	2.48715	2.67864	0.92933	1.2767	2.08981	0.4987	1.17928	2.64161	1.02103	5.31187	0.06298	0.50434	0.91266	3.21679	2.40953	2.17609	0.65113	3.14309	1.19628	1.14547	1.09339	7.99264	0.79767	1.60398	2.17841	2.12971	1.77526	2.04981	2.79596	2.67745	0.8273	2.50474	1.6759	0.60155	3.30939	2.56192	1.58707	1.68582	16.13316	1.14116	0.6835	1.07949	1.86653	0.76064	6.84909	0.90652	3.00021	1.71651	2.06408	0.78633	3.68677	1.56115	0.65463
k__Archaea|p__Crenarchaeota	0.0	0.0	0.0	0.0	0.0	0.72229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00823	0.97174	0.0	0.0	0.0	0.0	0.00216	0.0	0.0	0.0	0.0	0.0	0.0007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56238	0.0	0.0	0.0	0.0	0.0	0.00107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67929	0.0	0.0	0.0	0.0	0.3204	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria	0.33725	0.47758	0.4566	0.00567	0.15465	0.19445	0.00267	0.00256	0.60968	0.0	0.0	0.0	0.0	0.09198	0.0	0.00908	0.00703	0.01733	0.01816	0.12725	0.07824	1.05848	1.16739	0.14064	0.0	0.0	0.01279	0.00217	0.0	0.5087	0.0	0.37409	0.201	0.0	0.0	0.0	4.57547	0.0	0.0	0.0	0.0	2e-05	0.0	0.0	0.00022	0.0	0.00147	0.00275	0.0	0.0	0.0	0.03582	0.13602	0.43728	0.07067	4.07548	0.0	0.0	0.0	0.0	0.0	0.0005	0.28268	0.50672	0.44224	0.28687	0.0	0.00128	0.00143	0.03182	0.79551	0.02568	0.02654	0.26239	0.0	0.0	0.0	0.01291	0.72235	0.06233	0.00236	3.99555	0.0	0.0	0.07956	0.83459	1.00663	0.83992	0.31451	0.0	0.00812	0.06198	0.00563	0.20601	0.0	0.08189	0.0	0.48692	0.0	0.09314	2.3456	0.00492	0.20328	0.01942	0.07742	0.00057	0.0	0.04086	0.06592	0.32157	2.09963	0.58637	0.0	0.0	0.0	0.0	3e-05	0.0	0.33642	0.0	0.1015	0.0	0.00046	0.39762	0.0
