clade_name	SAMN08335126	SAMN08335128	SAMN08335135	SAMN08335136	SAMN08335138	SAMN08335140	SAMN08335141	SAMN08335033	SAMN08335037	SAMN08335038	SAMN08335039	SAMN08335042	SAMN08335047	SAMN08335049	SAMN08335050	SAMN08335053	SAMN08335057	SAMN08335058	SAMN08335060	SAMN08335062	SAMN08335063	SAMN08335065	SAMN08335066	SAMN08335067	SAMN08335068	SAMN08335069	SAMN08335071	SAMN08335072	SAMN08335074	SAMN08335078	SAMN08335079	SAMN08335919	SAMN08335922	SAMN08335923	SAMN08335924	SAMN08335925	SAMN08335930	SAMN08335931	SAMN08335932	SAMN08335934	SAMN08335935	SAMN08335936	SAMN08335937	SAMN08335941	SAMN08335942	SAMN08335943	SAMN08335127	SAMN08335129	SAMN08335130	SAMN08335131	SAMN08335132	SAMN08335133	SAMN08335134	SAMN08335137	SAMN08335139	SAMN08335142	SAMN08335143	SAMN08335144	SAMN08335034	SAMN08335035	SAMN08335036	SAMN08335040	SAMN08335041	SAMN08335043	SAMN08335044	SAMN08335045	SAMN08335046	SAMN08335048	SAMN08335051	SAMN08335052	SAMN08335054	SAMN08335055	SAMN08335056	SAMN08335059	SAMN08335061	SAMN08335064	SAMN08335070	SAMN08335073	SAMN08335075	SAMN08335076	SAMN08335077	SAMN08335080	SAMN08335081	SAMN08335082	SAMN08335083	SAMN08335920	SAMN08335921	SAMN08335926	SAMN08335928	SAMN08335929	SAMN08335933	SAMN08335938	SAMN08335939	SAMN08335940	SAMN08335944	SAMN08329222	SAMN08329225	SAMN08329227	SAMN08329229	SAMN08330723	SAMN08330730	SAMN08330739	SAMN08330746	SAMN08330748	SAMN08330749	SAMN08330751	SAMN08330752	SAMN08335119	SAMN08335022	SAMN08335024	SAMN08335025	SAMN08335028	SAMN08335031	SAMN08335032	SAMN08335084	SAMN08335085	SAMN08335086	SAMN08335089	SAMN08335091	SAMN08335096	SAMN08335097	SAMN08335099	SAMN08335102	SAMN08335108	SAMN08335113	SAMN08329223	SAMN08329224	SAMN08329226	SAMN08329228	SAMN08329230	SAMN08330722	SAMN08330724	SAMN08330725	SAMN08330726	SAMN08330727	SAMN08330728	SAMN08330729	SAMN08330731	SAMN08330732	SAMN08330733	SAMN08330734	SAMN08330735	SAMN08330736	SAMN08330737	SAMN08330738	SAMN08330740	SAMN08330741	SAMN08330742	SAMN08330743	SAMN08330744	SAMN08330745	SAMN08330747	SAMN08330750	SAMN08335115	SAMN08335116	SAMN08335117	SAMN08335118	SAMN08335120	SAMN08335121	SAMN08335122	SAMN08335123	SAMN08335124	SAMN08335125	SAMN08335145	SAMN08335146	SAMN08335147	SAMN08335148	SAMN08335149	SAMN08335023	SAMN08335026	SAMN08335027	SAMN08335029	SAMN08335030	SAMN08335087	SAMN08335088	SAMN08335090	SAMN08335092	SAMN08335093	SAMN08335094	SAMN08335095	SAMN08335098	SAMN08335100	SAMN08335101	SAMN08335103	SAMN08335104	SAMN08335105	SAMN08335106	SAMN08335107	SAMN08335109	SAMN08335110	SAMN08335111	SAMN08335112	SAMN08335114
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.98632	100.0	100.0	100.0	100.0	100.0	100.0	99.95561	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99806	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99763	100.0	100.0	99.99646	100.0	100.0	100.0	100.0	100.0	99.99983	100.0	100.0	100.0	100.0	100.0	100.0	99.99974	99.99929	99.96735	100.0	100.0	100.0	100.0	100.0	99.99557	100.0	99.99439	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.93616	100.0	100.0	100.0	100.0	100.0	100.0	99.78505	100.0	99.90509	100.0	100.0	100.0	100.0	100.0	100.0	99.9897	100.0	100.0	100.0	100.0	100.0	100.0	99.95611	100.0	99.77623	99.85923	99.64879	100.0	99.90162	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.95655	100.0	100.0	100.0	99.89442	100.0	100.0	100.0	100.0	100.0	99.86745	100.0	100.0	99.99924	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99851	100.0	100.0	100.0	100.0	99.63177	99.88629	99.94785	100.0	100.0	99.97859	100.0	100.0	99.78145	99.94759	100.0	100.0	100.0	100.0	99.93646	100.0	100.0	100.0	100.0	100.0	100.0	99.38131	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99434	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.68741	99.7239
k__Archaea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01368	0.0	0.0	0.0	0.0	0.0	0.0	0.04439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00237	0.0	0.0	0.00354	0.0	0.0	0.0	0.0	0.0	0.00017	0.0	0.0	0.0	0.0	0.0	0.0	0.00026	0.00071	0.03265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06384	0.0	0.0	0.0	0.0	0.0	0.0	0.21495	0.0	0.09491	0.0	0.0	0.0	0.0	0.0	0.0	0.0103	0.0	0.0	0.0	0.0	0.0	0.0	0.04389	0.0	0.22377	0.14077	0.35121	0.0	0.00057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00149	0.0	0.0	0.0	0.0	0.36823	0.11371	0.05215	0.0	0.0	0.02141	0.0	0.0	0.21855	0.05241	0.0	0.0	0.0	0.0	0.06354	0.0	0.0	0.0	0.0	0.0	0.0	0.61869	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31259	0.2761
k__Bacteria|p__Firmicutes	24.05721	10.37242	23.60336	39.10703	16.31695	17.07524	17.07252	31.646	23.36277	14.29707	13.34767	32.41887	45.96576	17.89585	41.45103	44.97293	58.5034	35.23737	40.54211	33.44774	28.29555	46.61506	39.12797	31.62539	48.88491	50.61829	29.81606	59.63718	25.15295	71.61667	23.74575	43.36246	52.22989	90.42679	63.52153	42.89178	27.72507	64.63196	51.08567	75.66225	62.83873	45.31022	32.32259	48.1106	73.20928	58.05779	17.39247	23.19439	36.31697	20.5234	15.8807	24.83508	31.14397	11.8776	29.57912	35.10524	6.47344	36.61124	19.73746	18.04487	26.88076	14.45545	44.35613	25.24943	16.39212	20.82181	73.00533	21.03493	36.70197	34.96352	49.36396	28.15811	13.86482	51.67656	26.27838	40.29085	67.71372	39.26604	62.82964	41.13793	28.84315	31.35681	46.95736	19.08935	48.29739	50.66095	21.08801	19.00291	27.58068	37.72265	19.77389	63.18501	56.48677	51.949	93.6748	18.53609	32.4747	32.51653	37.80521	8.66262	15.93694	17.8661	33.68145	35.1363	18.23248	41.69183	42.38878	29.7356	62.48122	47.55761	55.16143	41.26367	28.79708	44.94083	13.15783	14.69126	53.78163	57.66712	36.75014	11.50895	35.43971	29.99546	37.38662	35.05153	53.17621	24.90371	28.37336	37.86049	10.00687	51.75444	17.94185	17.50543	42.81542	31.81	3.80122	1.43571	9.66174	5.59681	46.61381	34.16189	22.7323	8.63037	3.31195	43.32048	23.7797	8.71156	12.11355	21.40455	23.03144	65.18568	57.53728	51.56233	56.21887	9.41239	35.32529	6.76634	22.05033	68.47634	22.68006	20.87947	12.49592	19.15832	17.4346	33.94187	43.77478	29.24959	18.56095	24.10396	14.67671	27.67798	53.94244	23.71982	49.45105	43.78506	50.24893	19.74133	11.44273	15.41828	68.92689	39.55017	52.28394	31.3707	30.34542	29.00211	41.36537	39.44051	36.22836	63.2724	18.19737	24.17214	41.42923	38.54979	46.66224
k__Bacteria|p__Bacteroidetes	70.97598	84.03587	72.93779	59.05554	82.45409	80.13936	81.46071	65.80735	47.88609	83.74333	59.659	63.15706	52.10731	79.2281	54.42055	52.956	37.6269	59.28621	50.21455	59.12844	69.81991	50.18055	59.40429	65.932	46.89846	38.87665	67.68893	38.42021	73.8038	23.35998	75.39335	51.91167	41.52029	0.13014	28.78816	48.37324	69.94123	32.26577	47.36014	16.02875	33.47965	52.5823	66.71547	47.43717	23.68336	37.75834	82.13309	70.86086	60.12218	76.65578	83.05596	67.1122	65.08698	80.50428	65.52758	63.41299	79.40232	59.8141	78.87269	78.74841	68.8239	84.55231	53.80287	67.43413	80.30282	74.17006	20.86929	74.79214	61.75588	59.23257	46.6012	62.54404	71.85753	42.95589	52.96748	58.60353	30.42939	59.45668	9.26507	55.83172	49.24157	67.26043	49.54498	79.3463	48.15027	46.68965	76.08121	79.50696	70.03932	59.00373	72.59483	35.09673	39.53865	27.50504	1.01305	70.17985	63.64473	57.67435	58.16817	88.61905	56.62773	80.08744	62.35789	60.2569	74.58995	56.61262	50.97422	62.75798	35.82767	34.96515	37.95267	56.90384	62.79433	46.62364	78.80247	80.93697	37.86513	36.74941	58.64518	84.01755	52.24773	68.6587	56.70293	59.4095	36.83515	69.82316	62.65213	60.65623	79.76311	47.557	80.75806	77.93695	55.63489	63.96314	93.85338	95.66902	89.8789	92.813	46.13073	65.38864	67.6506	75.59553	95.97156	53.17122	69.34087	90.50755	76.80226	68.23894	63.80379	31.10768	40.00536	46.68461	37.59588	73.00774	34.68702	87.94176	71.57089	26.74125	75.32322	72.15687	85.45862	69.93296	65.68425	62.35804	52.41169	65.99893	72.4496	70.95486	73.57074	60.206	37.95052	69.39784	45.57365	47.69554	48.7072	69.79521	65.50634	82.05343	0.25153	57.59615	45.65676	61.03093	65.91551	63.10885	42.54178	53.72059	62.1841	34.33546	52.64773	70.10887	50.98033	58.05156	47.47758
k__Bacteria|p__Actinobacteria	0.10741	0.17382	0.34372	0.34074	0.15692	0.3474	0.08153	0.22883	5.42829	0.54018	0.19546	0.61264	0.43211	0.2489	0.62243	0.39234	1.22973	1.48216	0.14732	0.0774	0.22368	0.76715	0.36414	0.11632	1.9596	5.98549	0.2284	0.47004	0.21541	2.80166	0.08901	0.23329	1.21121	1.82068	2.15542	1.29902	0.70776	0.26299	0.58032	6.65798	1.9807	0.37651	0.35605	0.18257	0.42256	1.67252	0.07161	0.07169	0.50265	1.14053	0.10702	1.17278	0.37157	0.51026	0.79124	0.08623	0.10443	0.46494	0.0528	0.18859	0.39847	0.04141	0.12289	0.05639	0.31689	1.71847	0.41416	0.07249	0.10637	4.49737	0.60467	0.46846	0.09545	1.00628	0.03774	0.15749	0.58674	0.12971	3.70945	1.17293	0.26472	0.23133	0.16349	0.35689	0.53304	0.60326	0.12717	0.23462	0.01787	0.09997	0.08933	0.53892	1.0723	0.1167	3.73696	7.18333	0.06907	0.04401	0.08279	1.10264	0.54151	0.86712	0.05236	0.3715	0.44028	0.13534	0.37296	0.04599	0.15922	4.11154	2.07297	0.09405	2.96641	0.57062	0.1222	0.05091	5.17265	0.21101	2.79816	0.12794	1.47942	0.31149	0.26037	0.83552	3.64944	1.02841	0.01589	0.15882	0.06133	0.11119	0.10243	0.17362	0.07109	0.184	0.11301	0.11612	0.05691	0.0787	0.94925	0.12438	0.03697	0.11419	0.04262	0.0343	0.07108	0.23066	0.13852	1.65163	0.44229	0.12156	0.4758	0.29637	1.3908	0.07034	0.3139	0.28708	0.63891	0.23959	0.04073	0.02967	0.17219	0.19029	0.43348	0.86645	0.19743	0.02381	0.55698	0.25252	1.49152	0.42981	0.57428	1.87449	0.34266	0.31521	0.09072	0.02368	0.00903	0.02211	0.12611	0.06711	0.12726	0.24859	0.23193	2.28715	0.07603	0.11042	0.18146	0.10221	0.17831	4.70941	0.23429	0.27468	0.32969
k__Bacteria|p__Verrucomicrobia	0.0	0.01703	0.02449	0.00369	0.0	0.0	0.0	0.02888	0.0	0.00161	0.0	0.0	0.0	0.0	0.0	0.0	0.01278	0.00834	0.10674	0.0	0.0	0.07623	0.3519	0.0	0.00064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.52346	0.00036	0.00014	0.25448	0.13827	0.18604	0.0	0.02075	0.01169	0.0	0.06363	0.0	0.0	0.0	0.0	0.02389	0.0157	0.02264	0.01875	0.01736	0.0067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00975	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04411	0.00439	0.0	0.0	0.0	0.00712	0.0	0.53578	0.0	0.0	0.0	0.46577	0.0	0.0	0.0	0.0	0.0	0.09666	0.0	0.03399	0.0	0.0	1.05714	0.0	0.0	0.83236	0.0	0.00163	0.05531	3.98896	0.00965	0.00359	2.27463	0.0	0.0	0.0	0.00121	0.0	1.98301	0.80206	0.0	0.00032	0.0	0.0	0.0	0.0	0.0	0.0	0.72412	0.00076	0.01566	4.88054	0.0	0.0	0.0	0.00155	0.03758	0.00633	0.0	0.0	0.0	0.0	0.0	2.90066	0.00856	0.01792	0.0	0.0	0.0	0.0	0.0	0.0	6.06115	0.0	1.20972	0.0	0.00301	1.27834	0.0	0.00312	0.0	0.01528	0.64679	0.0	0.0	0.00421	3.53895	0.0	0.01873	0.0	0.0	0.0	1.6336	0.0	0.0	0.86818	0.0	0.35191	0.0	0.10669	0.0	0.0	0.0	0.0	0.06191	0.0	0.0	0.0	0.0	1.67479	0.0	0.0	0.00155	0.0	0.02793	0.0	0.26589	0.31828
k__Archaea|p__Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01368	0.0	0.0	0.0	0.0	0.0	0.0	0.04439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00176	0.0	0.0	0.00354	0.0	0.0	0.0	0.0	0.0	0.00017	0.0	0.0	0.0	0.0	0.0	0.0	0.00026	0.00071	0.01515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06384	0.0	0.0	0.0	0.0	0.0	0.0	0.21495	0.0	0.06284	0.0	0.0	0.0	0.0	0.0	0.0	0.0103	0.0	0.0	0.0	0.0	0.0	0.0	0.04389	0.0	0.22377	0.14077	0.35121	0.0	0.00057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00149	0.0	0.0	0.0	0.0	0.11428	0.11371	0.05215	0.0	0.0	0.02141	0.0	0.0	0.21855	0.05241	0.0	0.0	0.0	0.0	0.06354	0.0	0.0	0.0	0.0	0.0	0.0	0.61869	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31259	0.2761
k__Bacteria|p__Proteobacteria	2.27866	2.08568	1.84705	1.47151	1.04537	1.42285	1.38513	1.7937	23.0594	1.32001	4.53119	3.77999	1.41723	2.55698	3.37616	1.59507	2.3761	3.07477	7.98813	2.87983	0.62512	2.30498	0.69725	2.30666	1.28269	4.28217	2.22992	1.45804	0.75121	2.08013	0.70162	4.2288	4.80962	0.60775	4.82329	7.28041	1.35705	2.36795	0.75928	1.59794	1.65511	1.68734	0.56661	2.9888	2.6513	2.50811	0.38148	0.78565	3.01874	1.60431	0.90291	6.52174	3.36486	2.32003	4.01508	1.3847	1.83907	2.8606	1.32084	0.85127	3.81689	0.85028	1.70249	6.52807	2.96592	3.24933	1.89245	4.02177	1.25498	1.24176	1.36307	0.88108	4.03103	4.16974	20.6997	0.81345	1.24116	1.11413	23.97792	1.71781	5.4037	1.14099	2.56112	1.05416	2.97939	2.04207	2.23675	1.19193	2.26698	2.94006	1.42956	1.04331	2.76741	18.27361	0.79762	2.80541	3.6225	8.50022	2.82626	1.58409	19.0889	1.1297	3.73621	1.80087	2.71926	1.40424	5.14797	4.83606	1.29267	12.9215	4.18627	1.32379	5.32851	5.77241	6.30037	4.29809	3.11255	4.74105	1.65559	3.57833	7.37745	0.96412	5.21952	3.64966	6.23074	2.65059	2.45812	1.32357	2.08272	0.57592	1.19612	3.75773	1.29058	3.83114	2.16827	2.7686	0.31673	1.4579	2.25369	0.30983	9.36502	3.9907	0.67387	1.28119	2.92267	0.54758	4.8627	2.32135	12.72248	1.15067	1.64081	0.84743	3.09622	17.49842	2.2848	4.69321	5.66424	1.18535	1.65599	1.18653	0.85136	7.16604	16.40949	2.64109	3.32856	3.36635	8.0934	2.79639	3.33036	8.45866	5.56604	4.30916	3.99942	7.39782	0.78086	10.38494	21.72952	2.44026	29.65747	2.68245	1.90432	4.9292	1.67908	4.84546	11.86493	2.31182	1.17379	2.26748	14.34219	0.41947	6.78719	2.24777	4.63376
k__Bacteria|p__Candidatus_Melainabacteria	0.002	0.0	0.0	0.0	0.00214	0.00383	0.0	0.0	0.00084	0.0017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00197	0.0	0.0	0.76741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57225	0.0	0.00062	0.0	0.0	0.0	0.01346	0.0	0.0	1.13514	0.0	0.0	0.00217	0.00508	0.0	0.03974	0.0	0.0	0.0	0.00171	0.0	0.00253	0.003	0.0	0.0	2.13739	0.00148	0.0	0.0	0.0	0.00547	0.0	2.70617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00258	0.0	0.0	0.0	2.24301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.02067	0.0	0.0	0.0	0.0	0.00426	0.0	0.00275	0.11896	0.0026	0.0	0.0	0.0	0.0	0.0	0.0	0.5393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.68705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00156	0.0	0.00574	27.20072	0.00139	0.0	2.30518	0.00385	0.00228	0.0	0.00272	0.00129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04271	0.0
k__Bacteria|p__Lentisphaerae	0.0	0.0	0.0	0.0	0.0	0.10701	0.0	0.0	0.0	0.00113	0.0	0.0	0.00101	0.0	0.0	0.0	0.08773	0.00923	0.0	0.0	0.0	0.0	0.04875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16249	0.0	0.02726	0.14156	0.00031	0.32598	0.01397	0.0	0.00236	0.0	0.0	0.07762	0.0	0.0	0.00708	0.0	0.0	0.01583	0.0	0.0	0.01031	0.0	0.0	0.0	0.0	0.24267	0.0	0.0025	0.0	0.01814	0.0	0.0	0.00065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00222	0.00172	0.0	0.0	0.0	0.0	0.0	0.14071	0.0	0.0	0.0	0.0	0.0	0.0	0.01755	0.0	0.00128	0.0	0.0	0.0	0.0	0.0	0.0	0.00049	0.0	0.0	0.0	0.0	2.34779	0.0	0.09644	0.01276	0.0	0.04552	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11136	0.0	0.0	0.0	0.0	0.0	0.28733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12611	0.06781	0.0	0.0	0.30478	0.0	0.593	0.0	0.10796	0.30883	0.0	0.12604	0.0	0.0	0.0154	0.0	0.0	0.0	0.0	0.0	0.00871	0.00243	0.05018	0.0	0.0	0.0	0.0	0.41926	0.0	0.0	0.0	0.01036	0.0	0.0	0.0	0.0	0.0	0.00191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11758	0.27028
