clade_name	SAMN21877043	SAMN21877044	SAMN21877045	SAMN21877046	SAMN21877047	SAMN21877048	SAMN21877049	SAMN21877050	SAMN21877051	SAMN21877052	SAMN21877053	SAMN21877054	SAMN21877055	SAMN21877056	SAMN21877057	SAMN21877058	SAMN21877059	SAMN21877060	SAMN21877061	SAMN21877062	SAMN21877063	SAMN21877064	SAMN21877065	SAMN21877066	SAMN21877067	SAMN21877068	SAMN21877069	SAMN21877070	SAMN21877071	SAMN21877072	SAMN21877073	SAMN21877074	SAMN21877075	SAMN21877076	SAMN21877077	SAMN21877078	SAMN21877079	SAMN21877080	SAMN21877081	SAMN21877082	SAMN21877083	SAMN21877084	SAMN21877085	SAMN21877086	SAMN21877087	SAMN21877088	SAMN21877089	SAMN21877090	SAMN21877091	SAMN21877092	SAMN21877093	SAMN21877094	SAMN21877095	SAMN21877096	SAMN21877097	SAMN21877098	SAMN21877099	SAMN21877100	SAMN21877101	SAMN21877102	SAMN21877103	SAMN21877104	SAMN21877105	SAMN21877106	SAMN21877107	SAMN21877108	SAMN21877109	SAMN21877110	SAMN21877111	SAMN21877112	SAMN21877113	SAMN21877114	SAMN21877115	SAMN21877116	SAMN21877117	SAMN21877118	SAMN21877119	SAMN21877120	SAMN21877121	SAMN21877122	SAMN21877123	SAMN21877124	SAMN21877125	SAMN21877126	SAMN21877127	SAMN21877128	SAMN21877129	SAMN21877130	SAMN21877131	SAMN21877132	SAMN21877133	SAMN21877134	SAMN21877135	SAMN21877136	SAMN21877137	SAMN21877138	SAMN21877139	SAMN21877140	SAMN21877141	SAMN21877142	SAMN21877143	SAMN21877144	SAMN21877145	SAMN21877146	SAMN21877147	SAMN21877148	SAMN21877149	SAMN21877150	SAMN21877151	SAMN21877152	SAMN21877153	SAMN21877154	SAMN21877155	SAMN21877156	SAMN21877157	SAMN21877158	SAMN21877159	SAMN21877160	SAMN21877161	SAMN21877162	SAMN21877163	SAMN21877164	SAMN21877165	SAMN21877166	SAMN21877167	SAMN21877168	SAMN21877169	SAMN21877170	SAMN21877171	SAMN21877172	SAMN21877173	SAMN21877174	SAMN21877175	SAMN21877176	SAMN21877177	SAMN21877178	SAMN21877179	SAMN21877180	SAMN21877181	SAMN21877182	SAMN21877183	SAMN21877184	SAMN21877185	SAMN21877186	SAMN21877187	SAMN21877188	SAMN21877189	SAMN21877190	SAMN21877191	SAMN21877192	SAMN21877193	SAMN21877194	SAMN21877195	SAMN21877196	SAMN21877197	SAMN21877198	SAMN21877199	SAMN21877200	SAMN21877201	SAMN21877202	SAMN21877203	SAMN21877204	SAMN21877205	SAMN21877206	SAMN21877207	SAMN21877208	SAMN21877209	SAMN21877210	SAMN21877211	SAMN21877212	SAMN21877213	SAMN21877214	SAMN21877215	SAMN21877216	SAMN21877217	SAMN21877218	SAMN21877219	SAMN21877220	SAMN21877221	SAMN21877222	SAMN21877223	SAMN21877224	SAMN21877225	SAMN21877226	SAMN21877227	SAMN21877228	SAMN21877229	SAMN21877230	SAMN21877231	SAMN21877232	SAMN21877233	SAMN21877234	SAMN21877235	SAMN21877236	SAMN21877237	SAMN21877238	SAMN21877239	SAMN21877240	SAMN21877241	SAMN21877242
k__Bacteria	100.0	100.0	99.99196	100.0	100.0	100.0	100.0	100.0	99.92955	100.0	100.0	99.95098	100.0	100.0	100.0	99.92394	99.99873	99.82363	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99951	100.0	95.54012	100.0	99.9197	100.0	100.0	100.0	99.99931	100.0	100.0	99.7971	100.0	100.0	100.0	99.9985	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99941	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99236	99.99978	100.0	99.98981	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.91391	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99377	100.0	100.0	100.0	100.0	100.0	100.0	99.85534	100.0	100.0	99.99983	100.0	99.99921	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99964	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99538	100.0	100.0	100.0	99.99712	99.99769	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Archaea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07045	0.0	0.0	0.04902	0.0	0.0	0.0	0.07606	0.0	0.17637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.45988	0.0	0.0803	0.0	0.0	0.0	0.00069	0.0	0.0	0.2029	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00081	0.00022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14466	0.0	0.0	0.00017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00462	0.0	0.0	0.0	0.00288	0.00231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes	22.98721	62.8317	10.38205	10.16173	8.17516	40.28616	21.00617	41.49561	60.89285	24.91594	13.33687	28.75639	28.41073	69.1033	32.76757	27.18444	6.32262	64.26422	29.7554	14.81431	37.09968	54.71385	23.0225	15.2541	53.90929	29.2954	46.4643	32.85061	16.01508	49.10814	43.44532	20.81251	8.81562	61.04273	63.93069	43.46822	6.80808	63.03831	36.76438	31.90358	12.42513	9.91737	5.27514	51.89568	45.82524	41.82187	16.3084	50.43157	55.58447	85.68939	49.21315	42.74195	53.36943	26.68068	11.52782	10.42516	24.93254	46.35634	51.97719	33.35978	10.62432	24.036	22.20171	45.11739	42.91665	17.70885	15.66432	55.88309	29.73676	18.83855	40.66497	44.90611	37.26923	13.54382	70.21704	36.79567	25.5552	25.40633	22.71548	13.23138	19.5972	42.43586	51.73489	67.56076	50.67616	42.8571	8.53646	63.78043	34.22587	8.3832	43.38238	20.93273	7.32236	40.16486	26.56198	8.40392	27.55063	77.35453	80.43792	49.64374	26.87095	60.69542	14.22117	56.78061	30.26241	42.47379	39.39713	33.98442	37.93801	53.05896	24.78806	55.67213	19.22376	31.15822	57.3968	50.26237	22.68178	26.06539	9.80028	44.65869	55.00279	23.13574	21.49227	9.17824	9.92228	35.74373	42.68328	48.42298	74.09791	38.2643	6.5706	10.55923	49.97914	15.63886	2.14379	38.27333	10.06487	34.69037	48.53272	23.19985	62.79698	35.37703	18.04632	42.04697	71.17433	75.58488	8.58706	5.37508	25.72215	30.5245	61.27458	12.88638	40.46828	25.02713	11.00282	21.2855	46.80526	7.80016	30.68518	30.99173	46.11875	55.42203	14.14882	21.49276	64.38164	14.65468	50.08201	33.14141	21.96326	47.56934	21.63033	29.48178	61.25263	35.18712	22.80142	15.42898	32.35994	62.7681	40.13725	35.14538	53.51038	50.90894	34.46529	19.42787	28.46018	8.35355	16.7239	23.68918	20.62731	50.02648	25.99868	24.0508	42.66395	22.41838	58.76069	21.469	51.03572	21.85666	9.40946	13.83124
k__Bacteria|p__Bacteroidetes	71.12667	34.3705	85.19979	83.22076	91.58367	48.9227	70.67172	56.82505	30.17014	74.02446	85.16098	69.40409	68.78044	21.48079	59.24779	69.44533	1.2618	30.21182	66.86312	83.77009	62.05827	39.41075	70.82575	83.62194	40.53913	55.72313	50.58826	65.16345	78.89732	48.7036	53.13278	76.13451	2.79282	31.80236	33.80737	49.08502	92.71534	33.81177	61.2808	63.77164	83.09717	88.92171	93.69704	47.38145	49.13829	54.97695	20.47601	47.53067	37.02295	8.31766	46.78358	44.21904	44.39705	67.28129	86.62251	83.48196	74.1021	48.98515	33.24385	63.00347	87.73656	71.75505	77.01817	51.12278	50.02501	35.73644	81.80577	41.52381	63.83611	75.39294	55.75576	48.52129	58.49809	85.54968	27.08187	59.30462	39.17755	72.4656	69.70496	81.33614	77.88625	52.80588	44.35248	1.1211	44.66124	54.34317	91.03813	32.38123	62.97022	87.16663	54.20527	78.21292	86.50761	56.37901	71.47807	90.03876	70.57792	20.90094	11.01279	48.28817	68.75918	35.26402	76.40023	28.13274	46.45997	35.07383	52.6665	36.0249	36.04729	36.13691	74.14458	40.14223	74.12842	67.92919	32.20299	46.64599	59.98694	67.37762	74.80722	1.33245	42.74989	69.73934	76.05119	87.22349	82.9975	57.83319	54.0257	48.31689	23.57883	57.13007	82.29465	84.31534	37.33822	79.66587	95.22896	55.68948	85.6337	53.10526	43.53901	72.86057	14.9571	55.94492	78.76837	54.63209	11.12803	6.7244	24.81271	63.42965	70.39284	38.37085	37.11537	61.9164	56.67082	73.30819	87.57431	74.81418	48.38515	88.58672	62.02966	63.03316	51.82771	40.80775	79.99566	75.49753	33.22869	78.28239	40.92295	54.36802	75.64932	47.00871	77.32291	55.91758	36.35087	55.05861	70.23121	82.51652	65.02711	34.67699	48.84364	59.90723	43.20381	47.13913	61.22505	78.5532	68.34473	85.26282	76.65355	72.12162	76.42587	44.40655	73.12803	67.93761	52.48832	77.02683	38.98148	72.81988	44.16729	71.72207	89.0433	81.60574
k__Bacteria|p__Actinobacteria	0.47814	0.12251	0.09101	0.61842	0.09244	3.84448	0.12298	0.03216	0.12988	0.01719	0.14447	0.03049	0.08712	3.66365	0.45975	0.47257	1.49834	1.88592	0.10344	0.09209	0.58737	3.37577	0.66199	0.20418	0.2741	0.20327	0.49716	0.25448	0.25189	0.6665	0.62442	0.02749	2.09266	0.94176	1.14087	0.45126	0.03714	0.10202	0.20912	1.14845	0.34717	0.10028	0.04399	0.30828	1.85982	3.09561	0.05087	0.15582	4.24136	4.56619	0.40446	0.04954	0.26751	0.0752	0.1288	0.08096	0.03878	0.22075	3.67007	0.63079	0.03555	0.10019	0.07107	0.41695	0.14086	0.10056	0.05339	0.51581	0.16059	0.06206	0.08688	0.09747	0.19199	0.02071	0.17791	1.08059	0.097	0.1511	0.19693	0.16085	0.01381	1.35971	0.47549	0.68282	2.05791	0.73228	0.04891	0.41717	0.11117	0.18676	0.28543	0.06905	0.04649	0.11437	0.03248	0.0081	0.00732	0.07585	7.532	1.15315	0.35418	1.15777	0.35821	7.54866	10.14747	17.41368	0.31141	20.73497	20.521	7.86091	0.02681	0.43219	1.067	0.01622	1.63405	0.42506	0.33073	0.18169	0.01	9.91441	0.37071	0.68849	0.14331	0.03201	0.40494	0.25098	1.29347	0.76442	0.46702	1.17677	0.02871	1.12233	0.3579	3.8883	0.01303	0.20313	0.08172	3.28091	0.51959	0.53708	18.99922	1.6371	0.93707	1.36274	17.03855	17.50769	0.25157	0.13171	0.14534	0.11384	0.07337	1.76829	0.17327	0.04749	0.05476	0.11615	1.01953	0.01822	0.27755	0.16427	0.6838	0.22651	0.78597	0.03584	0.1599	0.26081	1.20324	0.27291	0.47146	0.67013	0.03121	2.58807	0.75065	0.56522	5.2587	0.01356	0.14165	0.46773	0.55657	0.80418	0.12308	0.29151	1.30508	0.07691	1.62353	1.58187	0.18382	0.14911	0.05272	1.25137	0.01214	0.4044	0.25433	0.06581	0.73558	0.68766	0.68489	0.93585	0.04005	0.02823
k__Bacteria|p__Verrucomicrobia	0.00253	0.00243	0.00182	0.00306	0.00244	0.00238	0.00257	0.00256	0.00601	0.0	0.0	0.02002	0.00311	1.21544	0.0	0.0	0.0	2.25984	0.02772	0.0	0.0	0.0	0.0	0.0	0.21974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00507	0.0	0.0	0.0	0.0	0.05388	0.03284	0.45458	0.0	0.0	0.05314	0.0	0.0	0.0	0.0	0.08346	0.0	0.0	0.0	0.00016	0.03302	0.0	0.0	0.0	0.00139	0.13896	0.0	0.0	0.0	0.17196	0.00095	0.0	0.00036	1.70146	0.0	0.00051	0.0	0.16827	0.06251	0.11279	0.0	0.0	0.01093	0.16848	0.0	0.00439	0.00343	0.00762	0.00124	0.0	0.0	0.00271	0.0	0.0	0.82392	0.03241	0.0	0.39262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07945	0.0	0.00111	0.33697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00027	0.00358	0.0	0.00078	4.75312	0.34263	2.0666	0.21594	0.02971	0.00446	0.00822	0.00276	0.00358	0.00355	0.00409	3.69984	0.06139	0.00187	0.00701	0.0	0.0	0.18166	0.0	0.0	0.0	0.0	0.0	0.0	4.10586	0.0	0.0	0.0	0.0	4e-05	0.0	0.00026	0.33039	0.00831	0.00378	27.74769	0.19846	0.66586	0.43292	0.32804	0.0	0.0	0.0	0.0	0.0	0.0	0.00089	0.0	0.00019	0.00177	0.18824	0.00084	3.66322	0.0	0.00121	0.03648	6e-05	4.784	0.00111	0.0	0.0004	0.00024	0.00053	0.02539	0.00081	0.00233	0.0006	0.00166	0.26424	0.86203	0.07582	0.0	0.00018	0.0	0.00152	2.93839	0.00064	0.00039	2.56217	0.00035	0.00027	2.03126	0.04446	0.0	0.0	0.00472
k__Archaea|p__Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07045	0.0	0.0	0.04902	0.0	0.0	0.0	0.07606	0.0	0.17637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.45988	0.0	0.0	0.0	0.0	0.0	0.00069	0.0	0.0	0.2029	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00081	0.00022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0377	0.0	0.0	0.00017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00462	0.0	0.0	0.0	0.00288	0.00231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria	5.40545	2.67119	3.26887	5.98094	0.07535	6.94386	7.55318	1.60649	8.43918	1.04095	1.33765	1.66109	2.62887	3.08331	7.50216	1.37953	86.63591	1.1525	2.87169	1.32308	0.21986	2.47221	5.48091	0.8894	4.27871	11.37188	2.2226	1.72693	4.81685	1.50309	2.78603	1.8747	86.28251	4.76522	1.09118	2.4544	0.41618	2.9676	1.67667	3.10634	3.0739	1.05753	0.94009	0.28947	2.93238	0.09845	63.14686	1.72259	3.02489	1.38861	3.59056	11.9698	1.93681	4.40178	1.71994	3.51315	0.92658	4.21481	10.89052	3.00352	1.52177	3.60435	0.53438	3.32666	5.2584	46.44265	0.75798	2.06916	6.25026	5.68463	3.32105	6.40026	3.90749	0.87162	2.4877	2.78638	11.95255	1.94455	7.37466	5.21682	2.48374	3.37594	3.42587	30.54301	2.56751	2.06338	0.36905	2.54844	2.58573	4.23434	1.58749	0.73038	6.11762	2.98073	1.92209	1.54922	1.86245	1.631	0.99133	0.82944	3.27661	2.51362	7.59858	7.28503	13.13015	4.03665	0.89936	9.16993	5.25647	2.86866	1.03732	3.73768	5.56027	0.88907	3.6656	2.15967	14.92674	5.18529	15.35028	43.95515	1.78943	5.55308	2.20951	3.37851	6.65967	2.28087	1.92498	2.44244	1.80004	3.36383	10.82013	3.58074	11.74561	0.72414	2.08881	5.81057	4.06777	8.91985	3.0868	2.91152	1.24095	6.87706	2.22889	1.33388	0.23554	0.14606	66.01779	21.75806	3.72057	2.68715	1.01622	22.18406	2.19396	1.28182	1.31585	3.72475	3.7857	3.58385	6.93771	5.55267	1.35615	3.53612	4.49398	2.96158	2.0323	5.4536	2.58898	11.07389	1.65603	4.70254	1.01365	3.34029	1.61092	8.35453	1.41804	1.99902	2.41046	2.01164	10.29437	3.91656	3.10897	1.62565	2.3004	1.07454	1.46754	2.42558	6.29883	4.00573	2.78294	1.35042	0.85463	7.22133	2.03004	0.48697	1.51354	2.97431	3.63432	5.39251	1.19895	3.89324
k__Bacteria|p__Candidatus_Melainabacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06581	0.0	1.25188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Lentisphaerae	0.0	0.0	0.0	0.0	0.0	0.0	0.00132	0.0	0.0	0.0	0.0	0.06553	0.0	0.0	0.0	0.24318	0.0	0.0	0.0668	0.00043	0.0	0.02229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12187	0.0	0.0003	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16605	0.0	1.51531	0.0	0.02183	0.0	0.0	0.01919	0.0	0.0	0.00136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00599	0.0	0.0	0.0	0.01146	0.0	0.0	0.0	0.00916	0.0	0.0011	0.00093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00103	0.0	0.0	0.03623	0.079	0.0	0.03233	0.0	0.0	0.01447	0.0	0.0	0.0	0.0	0.0	0.00265	0.0	0.0	0.0	0.0	0.00246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15401	0.0	0.00364	0.0	0.0	0.01318	0.0	0.0	0.0626	0.0	0.00988	0.00291	0.0	0.0	0.0	0.0	0.00773	0.00065	0.0	0.0	0.0	0.0	0.0	0.00346	0.0	0.0	0.0	0.01622	0.0	0.00681	0.0	0.0	0.07752	0.00282	0.0	0.0	0.0	0.0	0.0	0.00055	0.00187	0.0	0.0	0.0	0.00097	0.00058	0.0	0.0	0.0	0.00416
