clade_name	ATZ_IGR_091	ATZ_142_V1	ONCO_ATZ121-26102019-V1	ATZ_IGR_0047_A	ONCOIGR_ATZ144-031219-V1	ONCO_ATZ103-09102019-V1	ONCO_ATZ116-22102019-V1	ATZ_042_V1	ATZ_190_V1	ONCO_ATZ021-30042019-V1	ATZ_IGR_070	ATZ_IGR_0063_B	ONCO_ATZ101-07102019-V1	ATZ_IGR_140	ATZ_IGR_134	ATZ_IGR_071	ATZ_169_V1	ATZ_IGR_104	ATZ_IGR_0087_B	ATZ_IGR_0114_B	ATZ_IGR_092	ATZ_200_V1	ATZ_216_V1	ATZ_186_V1	ONCO_ATZ125-31102019-V1	ATZ_097_V1	ATZ_213_V1	ATZ_202_V1	ATZ_IGR_0089_A	ATZ_161_V1	ATZ_176_V1	ATZ_180_V1	ATZ_196_V1	ATZ_145_V1	ATZ_IGR_0003_A	ATZ_175_V1	ONCO_ATZ033-06062019-V1	ATZ_164_V1	ATZ_IGR_100	ATZ_215_V1	ONCO_ATZ154-19122019-V1	ATZ_206_V1	ATZ_IGR_080	ONCO_ATZ053-05072019-V1	ATZ_171_V1	ATZ_IGR_132	ONCO_ATZ126-05112019-V1	ATZ_IGR_095	ATZ_179_V1	ATZ_211_V1	ATZ_120_V1	ONCO_ATZ155-16122019-V1	ATZ_199_V1	ATZ_129_V1	ATZ_117_V1	ATZ_026_V1	ATZ_IGR_0038_A	ATZ_IGR_051	ATZ_IGR_111	ATZ_IGR_085	ATZ_IGR_0005_B	ATZ_IGR_067	ONCO_ATZ108-16102019-V1	ATZ_168_V1	ATZ_194_V1	ATZ_IGR_041_V1	ATZ_IGR_0107_B	ATZ_189_V1	ATZ_IGR_046_V1	ONCO_ATZ105-14102019-V1	ATZ_IGR_0045_A	ONCOIGR_ATZ124-301019-V1	ATZ_IGR_099	ONCO_ATZ130-05112019-V1	ONCOIGR_ATZ212-160220-V1	ATZ_IGR_143	ATZ_165_V1	ATZ_IGR_149	ATZ_167_V1	ATZ_112_V1	ONCO_ATZ156-16122019-V1	ONCO_ATZ059-12072019-V1	ATZ_122_V1	ONCOIGR_ATZ218-040320-V1	ONCO_ATZ170-27122019-V1	ATZ_187_V1	ONCOIGR_ATZ209-140220-V1	ATZ_198_V1	ONCO_ATZ166-24122019-V1	ATZ_IGR_035	ATZ_IGR_136	ATZ_193_V1	ATZ_197_V1	ATZ_037_V1	ATZ_173_V1	ATZ_IGR_024_V1	ATZ_159_V1	ATZ_IGR_068	ATZ_IGR_039	ATZ_044_V1	ATZ_IGR_138	ATZ_208_V1	ONCOIGR_ATZ128-311019-V1	ATZ_IGR_0019_B	ATZ_IGR_150	ATZ_IGR_109	ATZ_178_V1	ATZ_183_V1	ATZ_158_V1	ONCO_ATZ127-30102019-V1	ATZ_IGR_131	ONCOIGR_ATZ048-300519-v1	ONCOIGR_ATZ106-151019-V1	ONCOIGR_ATZ050-020719-V1	ATZ_188_V1	ATZ_IGR_0008_B	ONCO_ATZ025-09052019-V1	ATZ_IGR_049_V1	ATZ_162_V1	ONCOIGR_SID_GRC_90000040	ATZ_IGR_0064_B	ATZ_IGR_0023_B	ATZ_IGR_110	ATZ_IGR_0093_A	ATZ_IGR_032_V1	ATZ_IGR_084	ATZ_IGR_151	ATZ_204_V1	ATZ_181_V1	ONCO_ATZ061-19072019-V1	ATZ_177_V1	ONCOIGR_SID_GRC_90000002	ATZ_146_V1	ATZ_IGR_0004_A	ONCO_ATZ147-05122019-V1	ATZ_096_V1	ATZ_191_V1	ATZ_IGR_036_V1	ATZ_IGR_0007_B	ONCOIGR_ATZ172-060120-V1	ATZ_IGR_072	ONCO_ATZ058-12072019-V1	ATZ_IGR_0090_B	ATZ_IGR_0123_B	ATZ_IGR_0016_A	ONCO_ATZ020-18042019-V1	ONCOIGR_ATZ182-230120-V1	ONCO_ATZ163-20122019-V1	ATZ_031_V1	ONCO_ATZ034-05062019-V1	ATZ_214_V1	ATZ_203_V1	ONCO_ATZ057-11072019-V1	ATZ_IGR_055	ATZ_184_V1	ATZ_195_V1	ONCO_ATZ139-21112019-V1	ONCO_ATZ054-09072019-V1	ATZ_IGR_0056_A	ONCO_ATZ081-21082019-V1	ATZ_IGR_060	ONCO_ATZ153-18122019-V1	ONCO_ATZ098-27092019-V1
k__Bacteria	100.0	97.67525	100.0	100.0	100.0	100.0	100.0	100.0	100.0	95.1775	99.12853	100.0	100.0	99.44585	99.66496	100.0	95.81387	100.0	100.0	100.0	99.98645	98.29808	100.0	100.0	100.0	99.92511	98.57363	100.0	90.2039	99.82335	100.0	99.7303	99.5076	98.14728	100.0	100.0	99.98078	100.0	100.0	100.0	100.0	97.59939	100.0	99.99719	100.0	100.0	99.84811	99.86752	100.0	98.15977	90.94464	95.34721	100.0	100.0	92.93585	100.0	95.9479	100.0	100.0	99.99096	100.0	100.0	99.91638	85.79015	99.80889	98.25235	99.72702	98.09286	99.06597	100.0	100.0	98.70473	99.39179	99.47518	100.0	99.00104	100.0	99.83238	99.60691	99.50985	99.15458	100.0	100.0	100.0	100.0	99.85682	99.33815	98.63748	99.9825	100.0	98.82561	99.62548	100.0	100.0	99.67564	100.0	99.96079	99.53605	100.0	100.0	100.0	99.40093	100.0	100.0	100.0	100.0	99.85404	99.96323	99.76678	98.65355	98.27427	100.0	99.43394	100.0	98.71818	97.68867	99.98135	100.0	100.0	100.0	99.99845	100.0	97.71032	100.0	100.0	100.0	100.0	98.28614	83.17032	100.0	100.0	99.99282	99.45797	100.0	99.49631	99.87124	99.97001	99.22163	97.71294	99.75444	99.87423	100.0	93.87402	99.87016	99.9511	100.0	99.97561	99.99792	99.3394	100.0	100.0	99.5809	100.0	99.99629	99.99832	97.44443	100.0	100.0	99.82741	100.0	98.46008	100.0	98.51844
k__Archaea	0.0	2.32475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.8225	0.87147	0.0	0.0	0.55415	0.33504	0.0	4.18613	0.0	0.0	0.0	0.01355	1.70192	0.0	0.0	0.0	0.07489	1.42637	0.0	9.7961	0.04641	0.0	0.0	0.4924	1.85272	0.0	0.0	0.01922	0.0	0.0	0.0	0.0	2.40061	0.0	0.00281	0.0	0.0	0.15189	0.13248	0.0	1.79825	9.05536	4.65279	0.0	0.0	7.06415	0.0	4.0521	0.0	0.0	0.00904	0.0	0.0	0.08362	14.20985	0.19111	1.74765	0.27298	1.90714	0.93403	0.0	0.0	1.29527	0.60821	0.52482	0.0	0.99896	0.0	0.16762	0.39309	0.49015	0.84542	0.0	0.0	0.0	0.0	0.14318	0.66185	1.36252	0.0175	0.0	1.17439	0.37452	0.0	0.0	0.32436	0.0	0.03921	0.46395	0.0	0.0	0.0	0.59907	0.0	0.0	0.0	0.0	0.14596	0.03677	0.23322	1.31262	1.72573	0.0	0.56606	0.0	1.28182	2.31133	0.01865	0.0	0.0	0.0	0.00155	0.0	2.28968	0.0	0.0	0.0	0.0	1.71386	16.82968	0.0	0.0	0.00278	0.54203	0.0	0.50369	0.12876	0.02999	0.77837	2.28706	0.24556	0.12577	0.0	6.12598	0.12984	0.0489	0.0	0.02439	0.00208	0.66043	0.0	0.0	0.4191	0.0	0.00371	0.00168	2.55088	0.0	0.0	0.17259	0.0	1.53992	0.0	1.48156
k__Bacteria|p__Firmicutes	38.05154	57.32954	33.76792	48.15443	80.75017	61.75237	11.168	39.45993	41.34524	51.9449	35.4119	33.46508	71.17761	59.69975	57.98731	52.37943	66.17755	73.18354	33.40068	73.54414	54.06806	67.49718	26.12963	74.44611	69.91969	46.73009	36.67901	52.39518	59.23245	44.02392	34.70314	7.61719	49.6262	50.20296	56.73637	49.7615	39.15165	33.13979	87.80233	31.81029	65.8162	65.64442	62.74207	45.26779	57.65598	39.95897	78.10604	76.26393	35.60239	65.75512	31.00576	34.7001	58.96386	28.9581	74.06949	43.05451	60.14826	22.53821	84.19052	47.59361	76.46511	23.76689	54.85285	56.40122	56.29884	55.23761	57.99606	61.51343	48.18848	48.82265	62.74595	67.48208	65.53576	53.20943	28.07468	33.51039	41.17522	47.77381	61.36035	67.96522	62.1939	75.32825	73.84816	69.51452	70.81109	45.60107	70.16029	69.50255	39.99538	64.40491	66.97363	62.84321	69.47057	29.08469	66.30495	41.6948	73.89919	54.5725	63.72621	78.54772	42.84677	56.9128	13.66688	41.07846	52.7064	50.2386	38.57034	25.61083	68.85655	76.96553	72.69982	23.1686	48.511	50.02497	72.70269	70.14395	68.02938	41.13202	49.75757	61.78889	48.42346	61.29984	72.20885	27.11135	66.42694	53.03933	53.95418	44.74366	48.0478	47.76787	60.93427	20.56041	61.71543	82.51901	81.74384	47.43855	59.25677	63.1254	59.45464	44.12791	42.16888	43.65152	54.4943	40.94729	55.32295	37.59341	76.89288	29.56735	60.28419	74.86422	22.90284	32.18306	31.27842	78.57948	65.80243	61.6986	50.57745	66.67983	58.44074	50.67097	56.19309	45.3445	60.35734
k__Bacteria|p__Bacteroidetes	59.58334	25.8279	60.99455	39.57293	14.90661	24.03142	84.39065	0.01314	4.18222	12.07932	37.94045	51.87279	18.13455	28.90133	4.47162	36.24321	8.42577	15.28281	53.15076	17.13927	42.20813	10.84863	56.56157	15.85677	22.16122	32.13621	51.87412	36.47331	18.07595	49.08288	39.25955	55.09068	36.07072	35.19939	39.89995	33.52513	47.92484	55.18188	7.02074	55.99655	20.91804	17.12563	6.5886	49.64293	11.08595	47.37894	18.95629	15.83228	60.06859	26.36887	45.8719	20.53615	0.0	63.31683	7.3365	24.06694	29.21996	74.31202	9.93866	49.39276	14.73488	53.32211	43.22525	20.86279	38.6519	13.85932	38.65025	23.38582	40.21934	26.82869	28.4501	11.8264	25.02066	35.66431	0.42438	58.22714	49.28109	27.96626	31.63181	16.12802	30.00993	20.26946	0.0	18.14429	13.16209	45.70019	20.8388	15.26311	39.19686	7.7832	21.38275	35.07066	13.57007	56.62757	26.95201	48.41583	20.24623	37.50179	29.17834	8.08169	23.83553	31.53989	28.51226	48.16983	40.88229	33.27717	58.44223	50.69241	10.52885	18.00068	16.43154	71.35565	29.45859	20.11132	17.28303	12.62393	26.31488	54.88128	41.99892	18.51204	37.30749	21.35942	15.74012	72.59337	31.62058	38.23963	32.62509	34.34708	28.4589	49.18891	20.95815	3.49831	25.29154	2.06336	9.54645	32.80376	35.93244	31.34759	6.62598	47.64762	54.36817	23.64	29.10756	48.39271	40.54577	46.3997	2.05095	44.53671	31.87109	16.78345	71.06076	49.73623	24.89223	16.69264	27.37917	23.85813	38.63042	22.73369	24.49768	39.11071	28.15145	39.96039	26.38182
k__Bacteria|p__Actinobacteria	0.82031	3.03713	0.47878	3.31985	2.36983	4.99683	2.04524	6.45366	0.75032	22.19856	7.19027	0.31727	4.15671	1.61173	36.51652	1.9363	12.20331	2.28784	8.35354	5.05595	1.63296	4.86751	0.7645	5.40381	1.76861	16.1725	5.59404	4.78161	6.54648	0.66258	21.57164	0.20596	12.26994	9.59888	0.88339	2.49624	11.52501	5.71192	4.15302	1.13624	7.07845	10.51847	26.45892	1.65369	27.64811	0.82488	1.57592	2.2668	1.89367	1.47899	6.99287	4.18611	30.84372	5.17539	0.85013	10.80698	1.11237	0.63031	0.28341	1.74138	6.7666	7.92923	0.42808	6.30519	0.88593	2.2799	1.4999	8.85536	7.83717	20.26686	4.69373	13.56119	2.71971	0.96058	4.50157	3.75864	4.31419	1.04922	5.27562	1.25625	3.68833	1.46598	4.35313	11.27776	13.28801	7.61019	2.17619	12.22704	19.8728	27.06523	8.9199	0.83889	11.54948	4.86152	3.48088	4.522	1.72253	1.34419	3.18643	10.36673	28.84327	2.30802	3.14939	4.88353	2.29071	14.82327	0.48928	2.10075	18.47664	1.23133	2.84087	1.07536	9.76675	17.44294	5.99014	4.67697	2.4253	2.89058	6.83649	15.13141	0.45077	2.51402	1.51051	0.29528	0.46514	1.37954	5.95583	2.29671	1.51269	0.88721	10.89163	25.31577	1.60801	14.83814	6.33282	4.4865	1.99296	2.5207	28.13419	1.41198	1.53095	7.00312	2.02929	5.11209	2.08337	0.90441	11.27284	6.00377	2.41748	7.38509	6.03641	1.34455	31.59832	2.71012	2.2942	1.72246	1.46169	8.86312	3.18333	4.62486	2.17666	11.48456	1.50782
k__Bacteria|p__Verrucomicrobia	0.0	8.39661	0.0	5.61653	0.80754	5.14155	0.0	0.0	0.0	5.12208	10.4624	0.0	3.79952	2.76426	0.01092	5.81563	4.46092	4.5196	0.0	0.0	0.02147	5.92003	0.0	0.0	1.72757	0.0	2.41752	0.0	1.54207	0.00255	0.0	0.0	0.03759	0.00363	0.0	0.9869	0.19913	2.61617	0.00606	0.0	3.17323	2.30906	0.0	0.0	2.25742	5.38423	0.00153	0.71798	0.0	0.17306	1.97255	16.19946	0.0	1.64818	9.6393	19.91017	0.6735	0.0	0.0	0.08879	1.06623	2.96217	0.52802	0.01157	0.00177	22.16877	0.39144	2.27977	0.07685	0.0	0.05042	3.96628	0.65507	6.03935	0.0	0.2951	0.43623	7.66479	0.03491	0.99619	2.52321	0.0	0.0	0.0009	1.60102	0.21151	0.03859	0.5654	0.0	0.03614	0.0	0.0	0.0	0.0	0.18292	4.05517	0.0	4.05213	0.0	0.25575	1.45513	0.57734	0.0	0.0	0.00286	0.77916	0.0	9.41761	0.0	0.48423	0.29227	0.12169	10.9222	0.0	0.93726	8.0505	0.17519	0.0	0.0	0.0	0.15642	0.0	5.18057	0.0	0.0	0.21812	0.59571	8.18168	3.42402	0.37109	3.3301	0.0	0.28159	0.13269	0.88846	7.06195	0.06898	0.05346	0.03222	2.55023	0.01065	0.0	0.3125	1.50138	0.00074	14.13466	8.34097	0.0	3.03792	0.02267	0.0	0.0	6.12966	0.0	0.01602	8.10014	0.00144	0.0	3.83502	0.0	8.26498	0.0	0.62629
k__Archaea|p__Euryarchaeota	0.0	2.32475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.8225	0.87147	0.0	0.0	0.3887	0.33504	0.0	4.18613	0.0	0.0	0.0	0.01355	1.70192	0.0	0.0	0.0	0.07489	1.42637	0.0	9.7961	0.04641	0.0	0.0	0.4924	1.85272	0.0	0.0	0.01922	0.0	0.0	0.0	0.0	1.68807	0.0	0.00281	0.0	0.0	0.15189	0.0	0.0	1.79825	9.05536	4.65279	0.0	0.0	6.24007	0.0	4.0521	0.0	0.0	0.00904	0.0	0.0	0.08362	14.20985	0.19111	1.74765	0.27298	1.90714	0.93403	0.0	0.0	1.29527	0.60821	0.52482	0.0	0.99896	0.0	0.16762	0.39309	0.49015	0.84542	0.0	0.0	0.0	0.0	0.13652	0.66185	1.36252	0.0175	0.0	1.17439	0.37452	0.0	0.0	0.32436	0.0	0.03921	0.46395	0.0	0.0	0.0	0.59907	0.0	0.0	0.0	0.0	0.14596	0.03677	0.23322	0.84421	1.72573	0.0	0.56606	0.0	1.28182	2.31133	0.01865	0.0	0.0	0.0	0.00155	0.0	1.88559	0.0	0.0	0.0	0.0	1.71386	16.82968	0.0	0.0	0.00278	0.54203	0.0	0.37952	0.12876	0.02999	0.77837	2.28706	0.24556	0.12577	0.0	6.12598	0.12984	0.0489	0.0	0.02439	0.00208	0.66043	0.0	0.0	0.4191	0.0	0.0	0.00168	2.55088	0.0	0.0	0.17259	0.0	1.53992	0.0	1.48156
k__Bacteria|p__Proteobacteria	1.54481	2.82257	4.75876	1.53948	1.15772	4.07289	2.39611	53.9058	53.72222	3.58034	1.86434	4.19807	2.27054	3.47915	0.67558	3.62285	0.73543	4.6805	5.09502	3.76159	1.6298	8.74354	16.47941	3.88262	0.36361	4.56916	1.81547	5.21575	3.24149	5.07995	4.4644	36.81648	0.7409	0.65814	2.47154	13.19167	1.14763	3.35025	0.64764	9.06608	2.7327	1.3244	4.1265	3.36411	1.20955	4.46484	0.97722	2.82153	2.29008	2.89507	4.98425	19.61388	9.65814	0.89316	0.32378	1.01019	2.48096	2.51849	5.5874	1.04603	0.96718	11.95548	0.87839	2.05599	2.25272	2.75964	0.90436	1.6065	2.69899	3.86931	3.43848	1.08067	2.38564	1.43083	60.95167	2.80266	4.39839	14.45237	0.93511	12.97005	0.7392	1.8008	21.79703	0.84943	1.04192	0.6728	6.059	1.07938	0.77541	0.71023	0.77396	0.86561	5.40368	1.12675	2.55957	1.3122	2.74985	1.46777	3.8797	1.96713	2.93453	6.19596	54.67147	2.2653	4.11774	0.80652	2.27096	4.85044	1.44382	1.3871	4.08816	4.27871	0.72805	12.4161	1.15659	1.42965	0.99659	1.09475	1.33825	4.47676	4.65527	14.82671	2.53407	0.0	1.43014	5.06324	5.23913	3.98248	1.18694	1.6589	2.84048	50.61833	9.48246	0.44156	0.92174	3.44419	1.75778	1.65273	3.36874	3.99381	1.67855	25.63334	7.02028	3.03006	1.81456	0.96782	1.40802	17.50571	1.40575	0.91457	0.0	15.57321	1.71097	2.01031	4.48856	1.62161	9.26197	1.27019	9.61195	5.1618	2.74923	2.31822	5.51993
k__Archaea|p__Crenarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria	0.0	0.02117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11672	0.0	0.0	0.0	0.00543	0.0	0.0	0.0	0.0	0.0	0.0	0.24764	0.24575	0.0	0.21139	4.05025	0.0	0.0	0.0	0.4624	0.0926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3702	0.0	0.00614	0.38707	0.0	0.0	0.0	1.24557	0.04359	1.21156	0.0	0.20412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11369	0.6813	0.03695	0.07196	0.00774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32601	0.0	0.0	0.0	0.66029	0.0	0.19505	0.0	0.0	0.0201	0.0	0.00507	0.0	0.60185	0.0	0.0	0.0	0.0	0.0	0.11942	0.0	0.0	0.71817	0.0	0.0	0.0	3.3997	0.0	0.0	0.0	0.0	0.19143	0.32985	0.0	0.0	0.03542	0.0	0.01404	0.0	2.03666	0.0	0.0	0.0	1.69234	0.0	0.18851	0.0	0.0	1.99293	0.59915	4.4142	0.03714	0.0	0.01555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00445	0.0	0.00108	0.0	0.0	0.0	0.42293	0.0	0.00127	0.0	0.0	4.38561	0.0	0.0014	0.0	0.0	0.0	0.0	0.0	0.36778	0.0	0.0
