clade_name	Sample_S24761_CC_CRC698_FE_DNA_DIA	Sample_S24770_CC_CRC669_FE_DNA_DIA	Sample_S24951_CC_CRC673_FE_DNA_DIA	Sample_S24763_CC_CRC703_FE_DNA_DIA	Sample_S24768_CC_CRC706_FE_DNA_DIA	Sample_S24764_CC_CRC710_FE_DNA_DIA	Sample_S24699_CC_CRC639_FE_DNA_DIA	Sample_S24702_CC_CRC645_FE_DNA_DIA	Sample_S24704_CC_CRC692_FE_DNA_DIA	Sample_S24947_CC_CRC695_FE_DNA_DIA	Sample_S24762_CC_CRC708_FE_DNA_DIA	CC_CRC752_FE_DNA_DIA	CC_CRC759_FE_DNA_DIA	CC_CRC760_FE_DNA_DIA	Sample_S24757_CC_P151_FE_DNA_DIA	Sample_S24938_CC_P155_FE_DNA_DIA	Sample_S24948_CC_P122_FE_DNA_DIA	Sample_S24936_CC_P127_FE_DNA_DIA	Sample_S24748_CC_P130_FE_DNA_DIA	Sample_S24749_CC_P132_FE_DNA_DIA	Sample_S24750_CC_P133_FE_DNA_DIA	Sample_S24751_CC_P134_FE_DNA_DIA	Sample_S24752_CC_P138_FE_DNA_DIA	Sample_S24753_CC_P140_FE_DNA_DIA	Sample_S24754_CC_P143_FE_DNA_DIA	Sample_S24755_CC_P149_FE_DNA_DIA	Sample_S24758_CC_P160_FE_DNA_DIA	Sample_S24694_CC_CRC627_FE_DNA_DIA	Sample_S24695_CC_CRC633_FE_DNA_DIA	Sample_S24696_CC_CRC634_FE_DNA_DIA	Sample_S24697_CC_CRC635_FE_DNA_DIA	Sample_S24698_CC_CRC638_FE_DNA_DIA	Sample_S24700_CC_CRC641_FE_DNA_DIA	Sample_S24701_CC_CRC642_FE_DNA_DIA	Sample_S24703_CC_CRC652_FE_DNA_DIA	Sample_S24766_CC_CRC671_FE_DNA_DIA	Sample_S24767_CC_CRC691_FE_DNA_DIA	Sample_S24705_CC_CRC693_FE_DNA_DIA	Sample_S24765_CC_CRC694_FE_DNA_DIA	CC_CRC757_FE_DNA_DIA	CC_CRC761_FE_DNA_DIA	Sample_S24742_CC_P118_FE_DNA_DIA	Sample_S24743_CC_P119_FE_DNA_DIA	Sample_S24744_CC_P120_FE_DNA_DIA	Sample_S24745_CC_P126_FE_DNA_DIA	Sample_S24746_CC_P128_FE_DNA_DIA	Sample_S24756_CC_P150_FE_DNA_DIA	Sample_S24769_CC_P154_FE_DNA_DIA	Sample_S24939_CC_P158_FE_DNA_DIA	Sample_S24759_CC_P161_FE_DNA_DIA	Sample_S24760_CC_P162_FE_DNA_DIA	Sample_S24940_CC_P163_FE_DNA_DIA	Sample_S24949_CC_P166_FE_DNA_DIA	Sample_S24795_CC_P177_FE_DNA_DIA	CC_P181_DNA_DIA	Sample_S24950_CC_CRC707_FE_DNA_DIA	Sample_S24937_CC_P145_FE_DNA_DIA	Sample_S24717_CC_IK25_FE_DNA_DIA	Sample_S24787_CC_IK64_FE_DNA_DIA	CC_IK105_FE_DNA_DIA	Sample_S24712_CC_IK2_FE_DNA_DIA	Sample_S24711_CC_IK19_FE_DNA_DIA	Sample_S24793_CC_IK73_FE_DNA_DIA	CC_IK86_FE_DNA_DIA	CC_IK106_FE_DNA_DIA	CC_IK107_FE_DNA_DIA	CC_IK108_FE_DNA_DIA	CC_IK110_FE_DNA_DIA	Sample_S24732_CC_IK5_FE_DNA_DIA	Sample_S24781_CC_IK10_FE_DNA_DIA	Sample_S24707_CC_IK13_FE_DNA_DIA	Sample_S24709_CC_IK17_FE_DNA_DIA	Sample_S24714_CC_IK22_FE_DNA_DIA	Sample_S24779_CC_IK27_FE_DNA_DIA	Sample_S24718_CC_IK28_FE_DNA_DIA	CC_IK33_FE_DNA_DIA	Sample_S24726_CC_IK40_FE_DNA_DIA	Sample_S24729_CC_IK45_FE_DNA_DIA	Sample_S24734_CC_IK52_FE_DNA_DIA	Sample_S24804_CC_IK54_FE_DNA_DIA	Sample_S24780_CC_IK55_FE_DNA_DIA	Sample_S24737_CC_IK57_FE_DNA_DIA	Sample_S24788_CC_IK65_FE_DNA_DIA	Sample_S24796_CC_IK67_FE_DNA_DIA	Sample_S24797_CC_IK68_FE_DNA_DIA	Sample_S24792_CC_IK72_FE_DNA_DIA	Sample_S24794_CC_IK75_FE_DNA_DIA	Sample_S25189_CC_IK76_FE_DNA_DIA	Sample_S24801_CC_IK80_FE_DNA_DIA	CC_IK81_FE_DNA_DIA	CC_IK82_FE_DNA_DIA	CC_IK103_FE_DNA_DIA	CC_IK111_FE_DNA_DIA	CC_IK112_FE_DNA_DIA	Sample_S24725_CC_IK4_FE_DNA_DIA	Sample_S24740_CC_IK7_FE_DNA_DIA	Sample_S24708_CC_IK15_FE_DNA_DIA	Sample_S24782_CC_IK30_FE_DNA_DIA	Sample_S24720_CC_IK32_FE_DNA_DIA	Sample_S24785_CC_IK62_FE_DNA_DIA	Sample_S24798_CC_IK69_FE_DNA_DIA	CC_IK93_FE_DNA_DIA	Sample_S24773_CC_IK3_FE_DNA_DIA	Sample_S24741_CC_IK9_FE_DNA_DIA	Sample_S24775_CC_IK34_FE_DNA_DIA	Sample_S24730_CC_IK47_FE_DNA_DIA	Sample_S24733_CC_IK51_FE_DNA_DIA	Sample_S24784_CC_IK61_FE_DNA_DIA	CC_IK89_FE_DNA_DIA	Sample_S25187_CC_IK1_FE_DNA_DIA	Sample_S24715_CC_IK23_FE_DNA_DIA	Sample_S24771_CC_IK26_FE_DNA_DIA	Sample_S24722_CC_IK36_FE_DNA_DIA	Sample_S24723_CC_IK38_FE_DNA_DIA	Sample_S24777_CC_IK42_FE_DNA_DIA	Sample_S24728_CC_IK43_FE_DNA_DIA	Sample_S24803_CC_IK44_FE_DNA_DIA	CC_IK50_FE_DNA_DIA	Sample_S24786_CC_IK63_FE_DNA_DIA	CC_IK92_FE_DNA_DIA	CC_IK96_FE_DNA_DIA	Sample_S24809_CC_IK77_FE_DNA_DIA	Sample_S24747_CC_P129_FE_DNA_DIA	Sample_S24952_CC_P144_FE_DNA_DIA
k__Bacteria	100.0	99.26278	99.9437	100.0	100.0	100.0	99.94228	99.54704	100.0	100.0	99.49125	99.87514	99.94521	100.0	100.0	99.86611	99.98756	100.0	100.0	100.0	100.0	100.0	99.9069	100.0	100.0	99.97609	99.67445	95.14953	99.99926	98.38512	100.0	98.95586	99.82815	100.0	99.99889	100.0	83.23472	100.0	100.0	99.99897	100.0	82.42357	100.0	100.0	99.52732	99.97326	99.91888	99.92572	99.92816	98.74234	100.0	100.0	100.0	100.0	99.96491	100.0	100.0	100.0	100.0	100.0	100.0	99.97525	100.0	100.0	100.0	100.0	98.5371	99.87978	100.0	100.0	100.0	99.63188	100.0	100.0	99.94771	100.0	99.76403	99.99972	97.74698	100.0	100.0	99.99689	100.0	100.0	99.95677	100.0	100.0	100.0	100.0	99.99945	100.0	100.0	100.0	77.21343	99.87631	100.0	100.0	100.0	99.44793	98.68553	100.0	99.94248	100.0	99.98996	100.0	99.8717	70.60308	100.0	100.0	99.98989	100.0	99.96007	99.94061	72.50363	100.0	99.99284	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Archaea	0.0	0.73722	0.0563	0.0	0.0	0.0	0.05772	0.45296	0.0	0.0	0.50875	0.12486	0.05479	0.0	0.0	0.12557	0.01244	0.0	0.0	0.0	0.0	0.0	0.0931	0.0	0.0	0.02391	0.32555	4.85047	0.00074	1.61488	0.0	1.04414	0.17185	0.0	0.00111	0.0	16.76528	0.0	0.0	0.00103	0.0	17.57643	0.0	0.0	0.47268	0.02674	0.08112	0.07428	0.07184	1.25766	0.0	0.0	0.0	0.0	0.03509	0.0	0.0	0.0	0.0	0.0	0.0	0.02475	0.0	0.0	0.0	0.0	1.4629	0.12022	0.0	0.0	0.0	0.36812	0.0	0.0	0.05229	0.0	0.23597	0.00028	2.25302	0.0	0.0	0.00311	0.0	0.0	0.04323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.78657	0.12369	0.0	0.0	0.0	0.55207	1.28758	0.0	0.05752	0.0	0.01004	0.0	0.1283	29.39692	0.0	0.0	0.0	0.0	0.03993	0.05939	27.49637	0.0	0.00716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes	26.33492	51.94204	37.81214	50.2456	52.82	60.87987	22.2704	54.07655	30.40571	30.72633	57.39061	48.90206	37.4974	32.42241	51.37802	58.83941	42.41125	82.55059	24.10446	36.06217	13.59404	40.47272	55.51776	39.77077	48.83767	31.62925	39.6326	43.62407	35.45508	55.04662	58.61068	60.42986	78.70718	63.20123	25.18746	42.48415	62.01066	23.83886	28.53946	47.83447	33.38485	33.89841	33.43013	86.99655	73.83084	59.82721	17.69762	51.49028	51.93322	56.85418	49.76817	54.54266	62.65059	43.07186	72.64297	37.56399	53.1288	48.65536	43.70182	25.10942	48.69707	38.37498	40.30889	41.23488	46.93114	49.09793	55.37513	33.88984	58.3409	11.39146	46.27189	61.74363	31.37666	49.65216	70.03253	62.67964	60.11133	39.60427	52.23556	28.05037	31.2893	55.4455	38.6932	25.37491	57.67578	23.77621	46.52035	39.38166	35.07928	43.44637	44.63152	51.32588	25.6047	44.87425	50.13621	32.6686	33.51235	56.07953	59.84899	64.90341	39.44579	38.23309	35.39456	32.84244	21.03597	21.79979	21.92138	28.40748	35.83935	55.10563	15.40655	34.66619	77.90262	29.78901	28.53264	49.22336	32.12525	47.15572	45.57844	52.69759	19.34346	19.25178	49.52009	21.25949
k__Bacteria|p__Bacteroidetes	65.81228	38.7471	59.26285	45.57021	44.78654	25.38366	53.47359	32.59771	50.56031	64.76834	31.54389	43.94222	55.82811	61.71992	30.17362	32.57917	55.17722	0.00338	71.91103	44.09974	58.67641	55.14163	34.07337	56.62967	42.03204	59.25194	46.9604	40.99171	53.7918	26.43059	33.60473	28.87174	17.9864	28.84291	71.74206	46.77295	19.43854	69.29403	65.11705	46.60565	54.10159	36.39308	34.35104	7.59761	19.80071	36.01663	73.78763	28.20182	41.81992	39.62806	42.6164	35.32798	32.9531	46.97593	22.97703	51.22493	42.90927	29.68377	53.82267	39.85524	43.72109	56.37966	55.20296	50.89819	25.19059	36.84323	30.92717	57.48509	34.89935	66.72431	47.47288	27.55445	62.34916	34.53467	12.23556	28.25333	36.57028	56.81765	36.92942	63.47904	65.35818	33.39063	57.23487	71.14761	28.99801	74.4817	44.03343	53.0539	54.53119	56.31838	43.77302	30.40665	72.21788	25.0633	45.74339	48.04246	40.97169	31.92604	30.95151	27.03447	53.82866	59.76901	57.62908	59.41522	73.69323	66.15314	44.90654	62.89654	37.46944	39.7428	80.28862	47.27001	16.61407	36.9234	59.89239	42.08456	61.66592	28.97136	44.7122	32.43042	74.4812	70.8309	42.49117	64.77831
k__Bacteria|p__Actinobacteria	0.68076	4.90756	0.08452	1.19365	0.53877	6.66978	0.06627	2.50403	2.06449	2.00189	0.33186	0.53842	3.76412	0.76556	14.9496	2.6005	0.24518	0.49739	1.16332	16.32166	0.48853	2.07393	0.56527	1.6906	1.52773	2.07201	0.55613	1.71208	1.0317	0.68474	4.41444	4.74028	2.31368	1.0037	0.73839	0.5024	0.21295	2.99171	1.7047	0.91827	0.72851	1.99687	4.15784	3.76387	2.41084	2.82544	0.04718	2.70036	0.17438	0.17644	0.50999	9.07725	2.03531	5.9938	0.69267	0.6245	0.82834	9.8587	0.39492	21.45504	4.10909	1.26037	1.53199	1.28045	1.18384	0.68286	3.7915	3.66319	4.77859	3.05483	1.23918	5.75531	3.97344	15.17836	6.52234	4.66913	0.73779	2.48805	3.36877	0.41473	1.17945	5.83933	0.75689	2.52557	7.37863	0.08171	4.78876	2.57803	1.07792	0.23471	10.96504	0.19066	0.32895	0.85378	0.77754	0.42193	2.8844	5.10323	5.99368	1.89563	2.1898	0.24824	0.95595	0.54654	0.34085	0.40487	1.58159	1.62542	2.11737	4.52266	2.8991	10.01185	0.87755	3.71899	0.77009	4.24929	2.55739	20.22067	2.51484	2.16137	2.35761	1.25612	0.85267	0.15109
k__Bacteria|p__Verrucomicrobia	2.36814	1.35727	0.11634	2.23447	0.0	6.50201	0.0	6.13155	0.7796	0.0	2.82108	0.04192	0.32632	0.17416	0.0	4.89782	0.7338	0.0	0.0	0.81467	22.02827	0.0	0.08177	0.0	0.46877	0.0	0.36849	0.05919	0.22435	3.11362	0.16801	2.34611	0.0	1.61795	0.39966	2.0711	0.21131	0.0	0.36175	0.0	3.90153	4.30996	12.19602	0.0	2.44109	0.0	0.02402	8.87584	0.67526	0.0	0.14314	0.25253	0.0	1.11682	0.05595	7.64439	0.0	1.43484	0.0	0.0	0.0	0.11492	0.0	0.0	0.0	2.18298	7.65394	0.31861	0.0	0.1167	0.0	0.05144	0.0	0.0	2.60363	0.0	1.04256	0.00778	0.21594	0.0	0.0	0.7582	0.0	0.0	0.19596	0.0	0.0	0.0	2.79424	0.0	0.0	0.0	0.0	1.44809	0.16541	14.34935	0.03821	0.0	0.12242	3.10439	0.0	0.73531	1.94937	0.01601	0.05814	0.21542	0.0052	0.0	12.52354	0.0	0.08241	0.30728	1.22223	0.00014	0.06049	0.48608	0.0	3.014	0.0	0.64701	0.00082	0.0	1.46943	3.57799
k__Archaea|p__Euryarchaeota	0.0	0.73722	0.0563	0.0	0.0	0.0	0.05772	0.45296	0.0	0.0	0.50875	0.12486	0.05479	0.0	0.0	0.12557	0.01244	0.0	0.0	0.0	0.0	0.0	0.0931	0.0	0.0	0.02391	0.00508	4.85047	0.00074	0.17945	0.0	0.35887	0.17185	0.0	0.00111	0.0	16.76528	0.0	0.0	0.00103	0.0	17.57643	0.0	0.0	0.47268	0.02674	0.0	0.07428	0.07184	0.05809	0.0	0.0	0.0	0.0	0.03509	0.0	0.0	0.0	0.0	0.0	0.0	0.02475	0.0	0.0	0.0	0.0	0.90585	0.12022	0.0	0.0	0.0	0.0	0.0	0.0	0.05229	0.0	0.04618	0.00028	0.0	0.0	0.0	0.00311	0.0	0.0	0.04323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.78657	0.12369	0.0	0.0	0.0	0.55207	0.21929	0.0	0.05752	0.0	0.01004	0.0	0.1283	29.39692	0.0	0.0	0.0	0.0	0.03993	0.03496	27.49637	0.0	0.00716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria	4.42262	2.22424	2.3558	0.52034	1.65749	0.37958	23.63583	3.20049	11.58726	2.48577	4.93247	6.26597	2.23407	3.89485	3.49875	0.68469	1.09303	8.92946	2.62037	2.52224	3.94734	2.3062	9.65071	1.8743	1.98365	6.92985	11.94639	7.17783	6.79626	11.81457	3.18029	1.90488	0.46747	1.97152	1.62679	7.70209	0.84345	2.6183	4.22313	4.53325	7.7558	1.00249	0.40845	1.61586	0.57982	1.16144	8.35505	7.5022	4.02608	2.08366	5.90509	0.76051	2.34225	2.73974	2.34187	1.57695	3.01958	2.88074	1.5838	13.57431	2.37422	3.18319	2.95472	6.58546	2.63018	9.22068	0.69817	3.58979	1.92844	18.47582	4.72583	2.25414	2.29886	0.63482	8.41152	3.82465	0.75732	1.00065	3.56004	5.72202	2.10015	3.0696	3.31504	0.95192	2.71144	1.65971	4.58817	4.73781	1.79596	0.0	0.62984	18.0596	1.84821	4.71401	2.65597	3.90678	19.3004	6.8731	2.36644	0.98252	4.28626	0.84041	4.05029	3.52095	4.86899	10.82009	1.67154	7.07057	7.60405	0.61425	1.29691	7.50975	2.34906	1.75374	8.60316	1.47004	3.29426	0.54267	5.14786	9.73416	3.81509	8.6612	5.59889	7.61169
k__Archaea|p__Crenarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.02646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria	0.32719	0.0	0.0	0.0	0.0	0.0	0.0	0.78442	1.27351	0.0	0.33289	0.0	0.0	0.00201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	1.06181	0.0	0.0	0.0	0.0	0.0	0.0	0.0668	0.0	3.36269	0.0	0.39445	0.10932	0.0	0.0	0.0	0.0	0.0	0.00558	0.0	0.0	0.0	0.0	0.22826	1.18236	0.0	0.0	0.0	0.0	0.0	0.31244	0.0	0.00999	7.42681	0.0	0.00599	1.06493	0.57052	0.0	0.0	1.64788	0.72405	0.00863	0.0	0.0	0.03144	0.0	0.83286	0.0	0.0	0.0	0.0	0.54454	0.04334	0.31574	0.0	0.0	0.0	0.0	0.0	2.74827	0.0	0.0	0.23394	0.00576	0.0	0.0	0.0	0.0	0.156	0.0	0.5864	0.77664	0.0	0.03312	0.00057	0.23466	0.0	0.02054	0.0	0.0	0.0	0.0	0.0	1.63731	0.0	0.0	0.0	0.24838	0.0	2.10285	0.85279	0.05624	0.0	0.0	2.2114	0.0	0.0	0.0	0.0
