Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR30861073,WGS,299,13641537092,PRJNA1167935,SAMN44019356,Metagenome or environmental,4560329384,UNIVERSITY OF TURIN,2021-05-27,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26259295,Turkey,Asia,Turkey,Homo sapiens,Illumina NovaSeq 6000,stool,40.972200 N 29.152200 E,H26_1,PAIRED,other,METAGENOMIC,gut metagenome,ILLUMINA,2024-10-02T00:00:00Z,2024-10-02T08:13:00Z,1,H26_1,SRP536168
SRR30861074,WGS,299,12266487096,PRJNA1167935,SAMN44019355,Metagenome or environmental,4114152355,UNIVERSITY OF TURIN,2021-05-26,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26259294,Turkey,Asia,Turkey,Homo sapiens,Illumina NovaSeq 6000,stool,40.972200 N 29.152200 E,H25_1,PAIRED,other,METAGENOMIC,gut metagenome,ILLUMINA,2024-10-02T00:00:00Z,2024-10-02T08:07:00Z,1,H25_1,SRP536168
SRR30861075,WGS,300,11595929578,PRJNA1167935,SAMN44019379,Metagenome or environmental,3946818633,UNIVERSITY OF TURIN,2022-04-04,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26259293,Turkey,Asia,Turkey,Homo sapiens,Illumina NovaSeq 6000,stool,40.972200 N 29.152200 E,C7,PAIRED,other,METAGENOMIC,gut metagenome,ILLUMINA,2024-10-02T00:00:00Z,2024-10-02T08:06:00Z,1,C7,SRP536168
SRR30861076,WGS,299,15170370735,PRJNA1167935,SAMN44019377,Metagenome or environmental,5069751424,UNIVERSITY OF TURIN,2022-04-03,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26259291,Turkey,Asia,Turkey,Homo sapiens,Illumina NovaSeq 6000,stool,40.972200 N 29.152200 E,C5,PAIRED,other,METAGENOMIC,gut metagenome,ILLUMINA,2024-10-02T00:00:00Z,2024-10-02T08:10:00Z,1,C5,SRP536168
SRR30861077,WGS,300,13448494100,PRJNA1167935,SAMN44019374,Metagenome or environmental,4533941979,UNIVERSITY OF TURIN,2022-03-30,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26259290,Turkey,Asia,Turkey,Homo sapiens,Illumina NovaSeq 6000,stool,40.972200 N 29.152200 E,C4,PAIRED,other,METAGENOMIC,gut metagenome,ILLUMINA,2024-10-02T00:00:00Z,2024-10-02T08:08:00Z,1,C4,SRP536168
SRR30861078,WGS,299,8902601256,PRJNA1167935,SAMN44019405,Metagenome or environmental,3035840573,UNIVERSITY OF TURIN,2023-04-07,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26259289,Turkey,Asia,Turkey,Homo sapiens,Illumina NovaSeq 6000,stool,40.972200 N 29.152200 E,C45,PAIRED,other,METAGENOMIC,gut metagenome,ILLUMINA,2024-10-02T00:00:00Z,2024-10-02T08:02:00Z,1,C45,SRP536168
SRR30861079,WGS,299,5283912019,PRJNA1167935,SAMN44019346,Metagenome or environmental,1791915436,UNIVERSITY OF TURIN,2021-02-18,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26259292,Turkey,Asia,Turkey,Homo sapiens,Illumina NovaSeq 6000,stool,40.972200 N 29.152200 E,H2_1,PAIRED,other,METAGENOMIC,gut metagenome,ILLUMINA,2024-10-02T00:00:00Z,2024-10-02T07:59:00Z,1,H2_1,SRP536168
SRR30861080,WGS,300,14448252935,PRJNA1167935,SAMN44019413,Metagenome or environmental,4974011164,UNIVERSITY OF TURIN,2023-04-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26259288,Turkey,Asia,Turkey,Homo sapiens,Illumina NovaSeq 6000,stool,40.972200 N 29.152200 E,C44,PAIRED,other,METAGENOMIC,gut metagenome,ILLUMINA,2024-10-02T00:00:00Z,2024-10-02T08:11:00Z,1,C44,SRP536168
SRR30861081,WGS,299,11669560324,PRJNA1167935,SAMN44019410,Metagenome or environmental,3947061194,UNIVERSITY OF TURIN,2023-04-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26259287,Turkey,Asia,Turkey,Homo sapiens,Illumina NovaSeq 6000,stool,40.972200 N 29.152200 E,C43,PAIRED,other,METAGENOMIC,gut metagenome,ILLUMINA,2024-10-02T00:00:00Z,2024-10-02T08:07:00Z,1,C43,SRP536168
SRR30861082,WGS,298,11096611706,PRJNA1167935,SAMN44019408,Metagenome or environmental,3674212309,UNIVERSITY OF TURIN,2023-04-13,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26259286,Turkey,Asia,Turkey,Homo sapiens,Illumina NovaSeq 6000,stool,40.972200 N 29.152200 E,C42,PAIRED,other,METAGENOMIC,gut metagenome,ILLUMINA,2024-10-02T00:00:00Z,2024-10-02T08:12:00Z,1,C42,SRP536168
SRR30861083,WGS,298,20368979451,PRJNA1167935,SAMN44019406,Metagenome or environmental,6837902686,UNIVERSITY OF TURIN,2023-04-08,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26259285,Turkey,Asia,Turkey,Homo sapiens,Illumina NovaSeq 6000,stool,40.972200 N 29.152200 E,C40,PAIRED,other,METAGENOMIC,gut metagenome,ILLUMINA,2024-10-02T00:00:00Z,2024-10-02T08:21:00Z,1,C40,SRP536168
SRR30861084,WGS,300,15173272871,PRJNA1167935,SAMN44019409,Metagenome or environmental,5153830228,UNIVERSITY OF TURIN,2023-04-12,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26259283,Turkey,Asia,Turkey,Homo sapiens,Illumina NovaSeq 6000,stool,40.972200 N 29.152200 E,C39,PAIRED,other,METAGENOMIC,gut metagenome,ILLUMINA,2024-10-02T00:00:00Z,2024-10-02T08:18:00Z,1,C39,SRP536168
SRR30861085,WGS,299,20026218413,PRJNA1167935,SAMN44019407,Metagenome or environmental,7062431658,UNIVERSITY OF TURIN,2023-04-09,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26259282,Turkey,Asia,Turkey,Homo sapiens,Illumina NovaSeq 6000,stool,40.972200 N 29.152200 E,C38,PAIRED,other,METAGENOMIC,gut metagenome,ILLUMINA,2024-10-02T00:00:00Z,2024-10-02T08:39:00Z,1,C38,SRP536168
SRR30861086,WGS,298,15878309349,PRJNA1167935,SAMN44019354,Metagenome or environmental,5361361903,UNIVERSITY OF TURIN,2021-05-08,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26259281,Turkey,Asia,Turkey,Homo sapiens,Illumina NovaSeq 6000,stool,40.972200 N 29.152200 E,H19_1,PAIRED,other,METAGENOMIC,gut metagenome,ILLUMINA,2024-10-02T00:00:00Z,2024-10-02T08:25:00Z,1,H19_1,SRP536168
SRR30861087,WGS,296,15746237096,PRJNA1167935,SAMN44019375,Metagenome or environmental,5356393755,UNIVERSITY OF TURIN,2022-03-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26259284,Turkey,Asia,Turkey,Homo sapiens,Illumina NovaSeq 6000,stool,40.972200 N 29.152200 E,C3,PAIRED,other,METAGENOMIC,gut metagenome,ILLUMINA,2024-10-02T00:00:00Z,2024-10-02T08:33:00Z,1,C3,SRP536168
SRR30861088,WGS,299,14206878054,PRJNA1167935,SAMN44019404,Metagenome or environmental,4753908008,UNIVERSITY OF TURIN,2023-04-06,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26259280,Turkey,Asia,Turkey,Homo sapiens,Illumina NovaSeq 6000,stool,40.972200 N 29.152200 E,C37,PAIRED,other,METAGENOMIC,gut metagenome,ILLUMINA,2024-10-02T00:00:00Z,2024-10-02T08:31:00Z,1,C37,SRP536168
