run_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	tax_id	scientific_name	library_name	library_strategy	library_source	read_count	sample_alias	sample_title
ERR2726405	ERP110064	SAMEA4817894	ERS2637788	ERX2739777	PRJEB27928	408170	human gut metagenome	NA	WGS	METAGENOMIC	16186344	CCMD10191450ST-11-0	Meta-analysis of faecal metagenomes reveals global microbial signatures that are specific for colorectal cancer
ERR2726409	ERP110064	SAMEA4817898	ERS2637792	ERX2739781	PRJEB27928	408170	human gut metagenome	NA	WGS	METAGENOMIC	15828813	CCMD18829815ST-11-0	Meta-analysis of faecal metagenomes reveals global microbial signatures that are specific for colorectal cancer
ERR2726411	ERP110064	SAMEA4817900	ERS2637794	ERX2739783	PRJEB27928	408170	human gut metagenome	NA	WGS	METAGENOMIC	9087534	CCMD21593359ST-11-0	Meta-analysis of faecal metagenomes reveals global microbial signatures that are specific for colorectal cancer
ERR2726412	ERP110064	SAMEA4817900	ERS2637794	ERX2739784	PRJEB27928	408170	human gut metagenome	NA	WGS	METAGENOMIC	8886403	CCMD21593359ST-11-0	Meta-analysis of faecal metagenomes reveals global microbial signatures that are specific for colorectal cancer
ERR2726413	ERP110064	SAMEA4817900	ERS2637794	ERX2739785	PRJEB27928	408170	human gut metagenome	NA	WGS	METAGENOMIC	8870598	CCMD21593359ST-11-0	Meta-analysis of faecal metagenomes reveals global microbial signatures that are specific for colorectal cancer
ERR2726416	ERP110064	SAMEA4817901	ERS2637795	ERX2739788	PRJEB27928	408170	human gut metagenome	NA	WGS	METAGENOMIC	9143006	CCMD21703880ST-11-0	Meta-analysis of faecal metagenomes reveals global microbial signatures that are specific for colorectal cancer
ERR2726417	ERP110064	SAMEA4817901	ERS2637795	ERX2739789	PRJEB27928	408170	human gut metagenome	NA	WGS	METAGENOMIC	9228730	CCMD21703880ST-11-0	Meta-analysis of faecal metagenomes reveals global microbial signatures that are specific for colorectal cancer
ERR2726429	ERP110064	SAMEA4817909	ERS2637803	ERX2739801	PRJEB27928	408170	human gut metagenome	NA	WGS	METAGENOMIC	15214899	CCMD29706695ST-11-0	Meta-analysis of faecal metagenomes reveals global microbial signatures that are specific for colorectal cancer
ERR2726430	ERP110064	SAMEA4817910	ERS2637804	ERX2739802	PRJEB27928	408170	human gut metagenome	NA	WGS	METAGENOMIC	19828535	CCMD30626189ST-11-0	Meta-analysis of faecal metagenomes reveals global microbial signatures that are specific for colorectal cancer
ERR2726431	ERP110064	SAMEA4817911	ERS2637805	ERX2739803	PRJEB27928	408170	human gut metagenome	NA	WGS	METAGENOMIC	14986790	CCMD30627121ST-11-0	Meta-analysis of faecal metagenomes reveals global microbial signatures that are specific for colorectal cancer
ERR2726433	ERP110064	SAMEA4817913	ERS2637807	ERX2739805	PRJEB27928	408170	human gut metagenome	NA	WGS	METAGENOMIC	17594211	CCMD31134579ST-11-0	Meta-analysis of faecal metagenomes reveals global microbial signatures that are specific for colorectal cancer
ERR2726434	ERP110064	SAMEA4817914	ERS2637808	ERX2739806	PRJEB27928	408170	human gut metagenome	NA	WGS	METAGENOMIC	14287641	CCMD32288175ST-11-0	Meta-analysis of faecal metagenomes reveals global microbial signatures that are specific for colorectal cancer
ERR2726436	ERP110064	SAMEA4817916	ERS2637810	ERX2739808	PRJEB27928	408170	human gut metagenome	NA	WGS	METAGENOMIC	18242350	CCMD35081859ST-11-0	Meta-analysis of faecal metagenomes reveals global microbial signatures that are specific for colorectal cancer
ERR2726439	ERP110064	SAMEA4817917	ERS2637811	ERX2739811	PRJEB27928	408170	human gut metagenome	NA	WGS	METAGENOMIC	9502480	CCMD35633353ST-11-0	Meta-analysis of faecal metagenomes reveals global microbial signatures that are specific for colorectal cancer
ERR2726444	ERP110064	SAMEA4817921	ERS2637815	ERX2739816	PRJEB27928	408170	human gut metagenome	NA	WGS	METAGENOMIC	18279890	CCMD39157124ST-11-0	Meta-analysis of faecal metagenomes reveals global microbial signatures that are specific for colorectal cancer
ERR2726445	ERP110064	SAMEA4817922	ERS2637816	ERX2739817	PRJEB27928	408170	human gut metagenome	NA	WGS	METAGENOMIC	18519111	CCMD39882286ST-11-0	Meta-analysis of faecal metagenomes reveals global microbial signatures that are specific for colorectal cancer
ERR2726448	ERP110064	SAMEA4817925	ERS2637819	ERX2739820	PRJEB27928	408170	human gut metagenome	NA	WGS	METAGENOMIC	19476673	CCMD42956136ST-11-0	Meta-analysis of faecal metagenomes reveals global microbial signatures that are specific for colorectal cancer
ERR2726453	ERP110064	SAMEA4817930	ERS2637824	ERX2739825	PRJEB27928	408170	human gut metagenome	NA	WGS	METAGENOMIC	9881057	CCMD49461418ST-11-0	Meta-analysis of faecal metagenomes reveals global microbial signatures that are specific for colorectal cancer
ERR2726457	ERP110064	SAMEA4817931	ERS2637825	ERX2739829	PRJEB27928	408170	human gut metagenome	NA	WGS	METAGENOMIC	14491094	CCMD49942357ST-11-0	Meta-analysis of faecal metagenomes reveals global microbial signatures that are specific for colorectal cancer
ERR2726458	ERP110064	SAMEA4817932	ERS2637826	ERX2739830	PRJEB27928	408170	human gut metagenome	NA	WGS	METAGENOMIC	17020285	CCMD50300306ST-11-0	Meta-analysis of faecal metagenomes reveals global microbial signatures that are specific for colorectal cancer
