Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,Experiment,external_id,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,SRA Study,Submitter_Id
ERR3347446,AMPLICON,500,68060053,PRJEB32767,SAMEA5670692,46542229,WEIZMANN INSTITUE OF SCIENCE,house mouse,public,"sra,fastq,run.zq","ena,gs,ncbi,s3","gs.us-east1,ena,s3.us-east-1,ncbi.public",2019-06-26,2019-06-26T08:04:46Z,2019-05-31,2019-05-31T10:39:18Z,ERX3372020,SAMEA5670692,WEIZMANN INSTITUE OF SCIENCE,2019-06-26T08:04:46Z,2019-05-31T10:39:18Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,Mus musculus,ILLUMINA,2019-06-27T00:00:00Z,2019-06-28T01:50:00Z,1,SAMEA5670692,16s_4SOD1D112,Mus musculus,ERP115481,16s_4SOD1D112
ERR3347447,AMPLICON,500,38382522,PRJEB32767,SAMEA5670693,25906394,WEIZMANN INSTITUE OF SCIENCE,house mouse,public,"fastq,run.zq,sra","gs,ena,ncbi,s3","gs.us-east1,ena,ncbi.public,s3.us-east-1",2019-06-26,2019-06-26T08:04:46Z,2019-05-31,2019-05-31T10:39:18Z,ERX3372021,SAMEA5670693,WEIZMANN INSTITUE OF SCIENCE,2019-06-26T08:04:46Z,2019-05-31T10:39:18Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,Mus musculus,ILLUMINA,2019-06-27T00:00:00Z,2019-06-28T01:50:00Z,1,SAMEA5670693,16s_4SOD1D120,Mus musculus,ERP115481,16s_4SOD1D120
ERR3347448,AMPLICON,500,58380194,PRJEB32767,SAMEA5670694,40386601,WEIZMANN INSTITUE OF SCIENCE,house mouse,public,"run.zq,sra,fastq","ena,gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1,ena",2019-06-26,2019-06-26T08:04:46Z,2019-05-31,2019-05-31T10:39:18Z,ERX3372022,SAMEA5670694,WEIZMANN INSTITUE OF SCIENCE,2019-06-26T08:04:46Z,2019-05-31T10:39:18Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,Mus musculus,ILLUMINA,2019-06-27T00:00:00Z,2019-06-28T01:50:00Z,1,SAMEA5670694,16s_4SOD1D125,Mus musculus,ERP115481,16s_4SOD1D125
ERR3347449,AMPLICON,500,51470570,PRJEB32767,SAMEA5670695,35064725,WEIZMANN INSTITUE OF SCIENCE,house mouse,public,"run.zq,fastq,sra","ena,s3,ncbi,gs","s3.us-east-1,ncbi.public,ena,gs.us-east1",2019-06-26,2019-06-26T08:04:46Z,2019-05-31,2019-05-31T10:39:18Z,ERX3372023,SAMEA5670695,WEIZMANN INSTITUE OF SCIENCE,2019-06-26T08:04:46Z,2019-05-31T10:39:18Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,Mus musculus,ILLUMINA,2019-06-27T00:00:00Z,2019-06-28T01:50:00Z,1,SAMEA5670695,16s_4SOD1D142,Mus musculus,ERP115481,16s_4SOD1D142
ERR3347450,AMPLICON,500,34971206,PRJEB32767,SAMEA5670696,23875511,WEIZMANN INSTITUE OF SCIENCE,house mouse,public,"run.zq,fastq,sra","ena,gs,s3,ncbi","ena,ncbi.public,s3.us-east-1,gs.us-east1",2019-06-26,2019-06-26T08:04:46Z,2019-05-31,2019-05-31T10:39:18Z,ERX3372024,SAMEA5670696,WEIZMANN INSTITUE OF SCIENCE,2019-06-26T08:04:46Z,2019-05-31T10:39:18Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,Mus musculus,ILLUMINA,2019-06-27T00:00:00Z,2019-06-28T01:50:00Z,1,SAMEA5670696,16s_4SOD1D63,Mus musculus,ERP115481,16s_4SOD1D63
ERR3347451,AMPLICON,500,68257161,PRJEB32767,SAMEA5670697,46500794,WEIZMANN INSTITUE OF SCIENCE,house mouse,public,"run.zq,fastq,sra","gs,s3,ncbi,ena","ncbi.public,s3.us-east-1,gs.us-east1,ena",2019-06-26,2019-06-26T08:04:46Z,2019-05-31,2019-05-31T10:39:18Z,ERX3372025,SAMEA5670697,WEIZMANN INSTITUE OF SCIENCE,2019-06-26T08:04:46Z,2019-05-31T10:39:18Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,Mus musculus,ILLUMINA,2019-06-27T00:00:00Z,2019-06-28T01:50:00Z,1,SAMEA5670697,16s_4SOD1D71,Mus musculus,ERP115481,16s_4SOD1D71
ERR3347452,AMPLICON,500,74248227,PRJEB32767,SAMEA5670698,50408188,WEIZMANN INSTITUE OF SCIENCE,house mouse,public,"sra,run.zq,fastq","ncbi,s3,gs,ena","gs.us-east1,ena,s3.us-east-1,ncbi.public",2019-06-26,2019-06-26T08:04:46Z,2019-05-31,2019-05-31T10:39:18Z,ERX3372026,SAMEA5670698,WEIZMANN INSTITUE OF SCIENCE,2019-06-26T08:04:46Z,2019-05-31T10:39:18Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,Mus musculus,ILLUMINA,2019-06-27T00:00:00Z,2019-06-28T01:50:00Z,1,SAMEA5670698,16s_4SOD1D84,Mus musculus,ERP115481,16s_4SOD1D84
ERR3347453,AMPLICON,500,173854855,PRJEB32767,SAMEA5670699,117665082,WEIZMANN INSTITUE OF SCIENCE,house mouse,public,"sra,fastq,run.zq","ena,gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1,ena",2019-06-26,2019-06-26T08:04:46Z,2019-05-31,2019-05-31T10:39:18Z,ERX3372027,SAMEA5670699,WEIZMANN INSTITUE OF SCIENCE,2019-06-26T08:04:46Z,2019-05-31T10:39:18Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,Mus musculus,ILLUMINA,2019-06-27T00:00:00Z,2019-06-28T01:51:00Z,1,SAMEA5670699,16s_4SOD1D85,Mus musculus,ERP115481,16s_4SOD1D85
ERR3347454,AMPLICON,500,122917773,PRJEB32767,SAMEA5670700,83972192,WEIZMANN INSTITUE OF SCIENCE,house mouse,public,"sra,run.zq,fastq","ncbi,gs,ena,s3","s3.us-east-1,ena,ncbi.public,gs.us-east1",2019-06-26,2019-06-26T08:04:46Z,2019-05-31,2019-05-31T10:39:18Z,ERX3372028,SAMEA5670700,WEIZMANN INSTITUE OF SCIENCE,2019-06-26T08:04:46Z,2019-05-31T10:39:18Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,Mus musculus,ILLUMINA,2019-06-27T00:00:00Z,2019-06-28T01:51:00Z,1,SAMEA5670700,16s_4SOD1D91,Mus musculus,ERP115481,16s_4SOD1D91
ERR3347455,AMPLICON,500,15491826,PRJEB32767,SAMEA5670701,10571635,WEIZMANN INSTITUE OF SCIENCE,house mouse,public,"sra,fastq,run.zq","ena,ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public,ena",2019-06-26,2019-06-26T08:04:46Z,2019-05-31,2019-05-31T10:39:18Z,ERX3372029,SAMEA5670701,WEIZMANN INSTITUE OF SCIENCE,2019-06-26T08:04:46Z,2019-05-31T10:39:18Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,Mus musculus,ILLUMINA,2019-06-27T00:00:00Z,2019-06-28T01:51:00Z,1,SAMEA5670701,16s_5WTD112,Mus musculus,ERP115481,16s_5WTD112
