Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,broad-scale_environmental_context,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),environmental_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),INSDC_center_name,Instrument,LibraryLayout,LibrarySelection,LibrarySource,local_environmental_context,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,SRA Study,Submitter_Id,ENA_first_public,ENA_last_update,external_id,INSDC_first_public,INSDC_last_update,INSDC_status
ERR11865790,WGS,300,2187156300,PRJEB65297,SAMEA114293217,feces,676862849,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",2023-08-20,2023-08-20,feces,ERX11263908,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T10:08:00Z,1,SAMEA114293217,HC112,human gut metagenome,ERP150421,HC112,,,,,,
ERR11865794,WGS,300,2067240000,PRJEB65297,SAMEA114293218,feces,641048667,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",2023-08-20,2023-08-20,feces,ERX11263912,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T10:08:00Z,1,SAMEA114293218,HC113,human gut metagenome,ERP150421,HC113,,,,,,
ERR11865801,WGS,300,2509102800,PRJEB65297,SAMEA114293219,feces,771504367,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",2023-08-20,2023-08-20,feces,ERX11263919,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T10:08:00Z,1,SAMEA114293219,HC115,human gut metagenome,ERP150421,HC115,,,,,,
ERR11865807,WGS,300,2322425400,PRJEB65297,SAMEA114293220,feces,717187777,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",2023-08-20,2023-08-20,feces,ERX11263925,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T10:09:00Z,1,SAMEA114293220,HC120,human gut metagenome,ERP150421,HC120,,,,,,
ERR11865814,WGS,300,2209785900,PRJEB65297,SAMEA114293221,feces,683150487,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",2023-08-20,2023-08-20,feces,ERX11263932,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T10:09:00Z,1,SAMEA114293221,HC121,human gut metagenome,ERP150421,HC121,,,,,,
ERR11865819,WGS,300,2403967800,PRJEB65297,SAMEA114293222,feces,734407451,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",2023-08-20,2023-08-20,feces,ERX11263937,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T10:08:00Z,1,SAMEA114293222,HC122,human gut metagenome,ERP150421,HC122,,,,,,
ERR11865823,WGS,300,2591175900,PRJEB65297,SAMEA114293223,feces,797844806,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",2023-08-20,2023-08-20,feces,ERX11263941,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T10:08:00Z,1,SAMEA114293223,HC128,human gut metagenome,ERP150421,HC128,,,,,,
ERR11865846,WGS,299,13681212430,PRJEB65297,SAMEA114293147,feces,4451469512,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",2023-08-20,2023-08-20,feces,ERX11263964,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T10:23:00Z,1,SAMEA114293147,CKD018,human gut metagenome,ERP150421,CKD018,,,,,,
ERR11865866,WGS,299,14260573361,PRJEB65297,SAMEA114293148,feces,4716786401,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",2023-08-20,2023-08-20,feces,ERX11263984,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T10:20:00Z,1,SAMEA114293148,CKD019,human gut metagenome,ERP150421,CKD019,2023-08-20T20:22:02Z,2023-08-20T20:22:02Z,SAMEA114293148,2023-08-20T20:22:02Z,2023-08-20T20:22:02Z,public
ERR11865872,WGS,300,3049973400,PRJEB65297,SAMEA114293131,feces,956209379,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",2023-08-20,2023-08-20,feces,ERX11263990,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T10:09:00Z,1,SAMEA114293131,CKD001,human gut metagenome,ERP150421,CKD001,,,,,,
ERR11865898,WGS,299,13380656918,PRJEB65297,SAMEA114293149,feces,4376938175,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2023-08-20,2023-08-20,feces,ERX11264016,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T10:19:00Z,1,SAMEA114293149,CKD025,human gut metagenome,ERP150421,CKD025,,,,,,
ERR11865921,WGS,299,13421418690,PRJEB65297,SAMEA114293150,feces,4371609265,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",2023-08-20,2023-08-20,feces,ERX11264039,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T11:22:00Z,1,SAMEA114293150,CKD026,human gut metagenome,ERP150421,CKD026,,,,,,
ERR11865925,WGS,300,2287700700,PRJEB65297,SAMEA114293132,feces,738063284,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",2023-08-20,2023-08-20,feces,ERX11264043,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T10:09:00Z,1,SAMEA114293132,CKD002,human gut metagenome,ERP150421,CKD002,,,,,,
ERR11865952,WGS,299,12863253483,PRJEB65297,SAMEA114293151,feces,4205759715,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2023-08-20,2023-08-21,feces,ERX11264070,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T11:15:00Z,1,SAMEA114293151,CKD032,human gut metagenome,ERP150421,CKD032,,,,,,
ERR11865974,WGS,299,13568098262,PRJEB65297,SAMEA114293152,feces,4371767013,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",2023-08-20,2023-08-20,feces,ERX11264092,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T11:21:00Z,1,SAMEA114293152,CKD037,human gut metagenome,ERP150421,CKD037,,,,,,
ERR11865976,WGS,300,2037047400,PRJEB65297,SAMEA114293133,feces,653101092,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",2023-08-20,2023-08-20,feces,ERX11264094,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T10:09:00Z,1,SAMEA114293133,CKD003,human gut metagenome,ERP150421,CKD003,,,,,,
ERR11866002,WGS,299,13647501848,PRJEB65297,SAMEA114293153,feces,4455743832,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",2023-08-20,2023-08-20,feces,ERX11264120,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T11:24:00Z,1,SAMEA114293153,CKD041,human gut metagenome,ERP150421,CKD041,,,,,,
ERR11866037,WGS,299,13734945427,PRJEB65297,SAMEA114293154,feces,4522064567,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",2023-08-20,2023-08-20,feces,ERX11264155,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T11:21:00Z,1,SAMEA114293154,CKD046,human gut metagenome,ERP150421,CKD046,,,,,,
ERR11866054,WGS,299,14036607886,PRJEB65297,SAMEA114293155,feces,4613019865,SHENZHEN PUENSUM GENETECH INSTITUTE,2020,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2023-08-20,2023-08-20,feces,ERX11264172,China,Asia,China,31,121,Shenzhen Puensum Genetech Institute,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,feces,human gut metagenome,ILLUMINA,PRJEB65297,2023-08-29T00:00:00Z,2023-08-31T11:22:00Z,1,SAMEA114293155,CKD048,human gut metagenome,ERP150421,CKD048,,,,,,
