Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,organism,Platform,ReleaseDate,create_date,version,Sample Name,Scientific_Name,SRA Study,tissue_type
ERR13717680,WGS,300,6736807200,PRJEB80379,SAMEA116093473,4700392559,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",2024-09-27,2024-09-27,ERX13088139,Latvia,Europe,Latvia,DNBSEQ-G400,FS1,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T10:01:00Z,1,FS1,human gut metagenome,ERP164393,Faecal
ERR13717681,WGS,300,6209781900,PRJEB80379,SAMEA116093474,4280616213,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",2024-09-27,2024-09-27,ERX13088140,Latvia,Europe,Latvia,DNBSEQ-G400,FS2,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T10:04:00Z,1,FS2,human gut metagenome,ERP164393,Faecal
ERR13717682,WGS,300,9186665100,PRJEB80379,SAMEA116093475,6202002609,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",2024-09-27,2024-09-27,ERX13088141,Latvia,Europe,Latvia,DNBSEQ-G400,FS3,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T10:04:00Z,1,FS3,human gut metagenome,ERP164393,Faecal
ERR13717683,WGS,300,9586900800,PRJEB80379,SAMEA116093476,6536747440,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2024-09-27,2024-09-27,ERX13088142,Latvia,Europe,Latvia,DNBSEQ-G400,FS4,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T10:02:00Z,1,FS4,human gut metagenome,ERP164393,Faecal
ERR13717684,WGS,300,8574679200,PRJEB80379,SAMEA116093477,5813175196,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",2024-09-27,2024-09-27,ERX13088143,Latvia,Europe,Latvia,DNBSEQ-G400,FS5,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T10:00:00Z,1,FS5,human gut metagenome,ERP164393,Faecal
ERR13717685,WGS,300,7150239900,PRJEB80379,SAMEA116093478,5072214437,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",2024-09-27,2024-09-27,ERX13088144,Latvia,Europe,Latvia,DNBSEQ-G400,FS6,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T10:02:00Z,1,FS6,human gut metagenome,ERP164393,Faecal
ERR13717686,WGS,300,12870627900,PRJEB80379,SAMEA116093479,9041516659,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",2024-09-27,2024-09-27,ERX13088145,Latvia,Europe,Latvia,DNBSEQ-G400,FS7,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T09:58:00Z,1,FS7,human gut metagenome,ERP164393,Faecal
ERR13717687,WGS,300,17773889400,PRJEB80379,SAMEA116093480,12014516278,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",2024-09-27,2024-09-27,ERX13088146,Latvia,Europe,Latvia,DNBSEQ-G400,FS8,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T10:13:00Z,1,FS8,human gut metagenome,ERP164393,Faecal
ERR13717688,WGS,300,3159474000,PRJEB80379,SAMEA116093481,2189852635,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",2024-09-27,2024-09-27,ERX13088147,Latvia,Europe,Latvia,DNBSEQ-G400,FS9,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T09:51:00Z,1,FS9,human gut metagenome,ERP164393,Faecal
ERR13717689,WGS,300,6235638600,PRJEB80379,SAMEA116093482,4317275965,LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,2023-01,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",2024-09-27,2024-09-27,ERX13088148,Latvia,Europe,Latvia,DNBSEQ-G400,FS10,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,human gut metagenome,DNBSEQ,2024-09-27T00:00:00Z,2024-10-01T09:53:00Z,1,FS10,human gut metagenome,ERP164393,Faecal
