Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,SRA Study,strain
SRR26304309,WGS,299,4868331197,PRJNA1022308,SAMN37595756,Metagenome or environmental,2023546806,UNIVERSITY OF ALBERTA,2021-03-15,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX22012826,Canada,North America,Canada: Alberta,Homo sapiens,Illumina HiSeq 2500,not collected,Stools,missing,LON00010PT02,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2024-10-01T00:00:00Z,2023-10-11T03:17:00Z,1,LON-00010-PT-02,metagenomic assembly,SRP464907,not collected
SRR26304310,WGS,300,5436745074,PRJNA1022308,SAMN37595755,Metagenome or environmental,2295376069,UNIVERSITY OF ALBERTA,2021-03-15,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX22012825,Canada,North America,Canada: Alberta,Homo sapiens,Illumina HiSeq 2500,not collected,Stools,missing,HSC10130HC01,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2024-10-01T00:00:00Z,2023-10-11T03:17:00Z,1,HSC-10130-HC-01,metagenomic assembly,SRP464907,not collected
SRR26304314,WGS,300,5070604334,PRJNA1022308,SAMN37595751,Metagenome or environmental,2091479272,UNIVERSITY OF ALBERTA,2021-03-15,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX22012821,Canada,North America,Canada: Alberta,Homo sapiens,Illumina HiSeq 2500,not collected,Stools,missing,HSC10117HC01,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2024-10-01T00:00:00Z,2023-10-11T03:19:00Z,1,HSC-10117-HC-01,metagenomic assembly,SRP464907,not collected
SRR26304315,WGS,299,6224436163,PRJNA1022308,SAMN37595750,Metagenome or environmental,2570344348,UNIVERSITY OF ALBERTA,2021-03-15,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX22012820,Canada,North America,Canada: Alberta,Homo sapiens,Illumina HiSeq 2500,not collected,Stools,missing,HSC10116HC01,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2024-10-01T00:00:00Z,2023-10-11T03:20:00Z,1,HSC-10116-HC-01,metagenomic assembly,SRP464907,not collected
SRR26304316,WGS,301,301018301,PRJNA1022308,SAMN37595723,Metagenome or environmental,127784034,UNIVERSITY OF ALBERTA,2021-03-15,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX22012819,Canada,North America,Canada: Alberta,Homo sapiens,Illumina HiSeq 2500,not collected,Stools,missing,CHP00028PT02,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2024-10-01T00:00:00Z,2023-10-11T03:16:00Z,1,CHP-00028-PT-02,metagenomic assembly,SRP464907,not collected
SRR26304321,WGS,300,6414954098,PRJNA1022308,SAMN37595745,Metagenome or environmental,2650472801,UNIVERSITY OF ALBERTA,2021-03-15,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX22012814,Canada,North America,Canada: Alberta,Homo sapiens,Illumina HiSeq 2500,not collected,Stools,missing,HSC10099HC01,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2024-10-01T00:00:00Z,2023-10-11T03:23:00Z,1,HSC-10099-HC-01,metagenomic assembly,SRP464907,not collected
SRR26304322,WGS,300,4074892422,PRJNA1022308,SAMN37595744,Metagenome or environmental,1679281289,UNIVERSITY OF ALBERTA,2021-03-15,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX22012813,Canada,North America,Canada: Alberta,Homo sapiens,Illumina HiSeq 2500,not collected,Stools,missing,HSC10088HC01,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2024-10-01T00:00:00Z,2023-10-11T03:18:00Z,1,HSC-10088-HC-01,metagenomic assembly,SRP464907,not collected
SRR26304324,WGS,299,3386252029,PRJNA1022308,SAMN37595742,Metagenome or environmental,1678348600,UNIVERSITY OF ALBERTA,2021-03-15,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX22012811,Canada,North America,Canada: Alberta,Homo sapiens,Illumina HiSeq 2500,not collected,Stools,missing,HSC10085HC01,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2024-10-01T00:00:00Z,2023-10-11T03:20:00Z,1,HSC-10085-HC-01,metagenomic assembly,SRP464907,not collected
SRR26304325,WGS,299,4001525644,PRJNA1022308,SAMN37595741,Metagenome or environmental,1632488007,UNIVERSITY OF ALBERTA,2021-03-15,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22012810,Canada,North America,Canada: Alberta,Homo sapiens,Illumina HiSeq 2500,not collected,Stools,missing,HSC10084HC01,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2024-10-01T00:00:00Z,2023-10-11T03:20:00Z,1,HSC-10084-HC-01,metagenomic assembly,SRP464907,not collected
SRR26304327,WGS,298,298316316,PRJNA1022308,SAMN37595722,Metagenome or environmental,124386121,UNIVERSITY OF ALBERTA,2021-03-15,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX22012808,Canada,North America,Canada: Alberta,Homo sapiens,Illumina HiSeq 2500,not collected,Stools,missing,CHP00027PT05,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2024-10-01T00:00:00Z,2023-10-11T03:18:00Z,1,CHP-00027-PT-05,metagenomic assembly,SRP464907,not collected
