Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,create_date,version
SRR6504845,WGS,300,7637595900,PRJNA429990,SAMN08382841,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3152528147,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",Human gut,gut microbiome,stool,SRX3593528,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,N12F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,N12F,SRP131166,2018-01-23T22:30:00Z,1
SRR6504846,WGS,300,9567552900,PRJNA429990,SAMN08382851,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3856137848,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",Human gut,gut microbiome,stool,SRX3593527,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,U105F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,U105F,SRP131166,2018-01-23T22:33:00Z,1
SRR6504847,WGS,300,9214981200,PRJNA429990,SAMN08382832,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3552340724,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",Human gut,gut microbiome,stool,SRX3593526,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,C256F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,C256F,SRP131166,2018-01-23T22:35:00Z,1
SRR6504848,WGS,300,7407378000,PRJNA429990,SAMN08382831,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3157054891,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",Human gut,gut microbiome,stool,SRX3593525,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,C254F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,C254F,SRP131166,2018-01-23T22:29:00Z,1
SRR6504850,WGS,300,7516099200,PRJNA429990,SAMN08382869,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2932653464,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",Human gut,gut microbiome,stool,SRX3593523,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,U230F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,U230F,SRP131166,2018-01-23T22:30:00Z,1
SRR6504851,WGS,300,8640087300,PRJNA429990,SAMN08382828,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3229261020,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",Human gut,gut microbiome,stool,SRX3593522,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,C250F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,C250F,SRP131166,2018-01-23T22:32:00Z,1
SRR6504852,WGS,300,8342217900,PRJNA429990,SAMN08382827,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3365916894,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",Human gut,gut microbiome,stool,SRX3593521,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,C249F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,C249F,SRP131166,2018-01-23T22:36:00Z,1
SRR6504853,WGS,300,7405686900,PRJNA429990,SAMN08382830,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3000792696,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",Human gut,gut microbiome,stool,SRX3593520,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,C253F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,C253F,SRP131166,2018-01-23T22:31:00Z,1
SRR6504855,WGS,300,7917850200,PRJNA429990,SAMN08382824,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2998989103,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",Human gut,gut microbiome,stool,SRX3593518,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,C245F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,C245F,SRP131166,2018-01-23T22:30:00Z,1
SRR6504856,WGS,300,10655346900,PRJNA429990,SAMN08382823,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4454091138,"NANFANG HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",2015-02,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",Human gut,gut microbiome,stool,SRX3593517,China,Asia,China,Homo sapiens,HiSeq X Ten,23.08 N 113.14 E,C244F,PAIRED,other,GENOMIC,human gut metagenome,ILLUMINA,2018-01-26T00:00:00Z,C244F,SRP131166,2018-01-23T22:41:00Z,1
