Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,ID,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR7124571,WGS,300,11578027200,PRJNA449784,SAMN08918301,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4465187053,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-02-29,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX4045987,China,Asia,China: Beijing,Homo sapiens,KD-192,HiSeq X Ten,39.9 N 116.25 E,KD-192,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T12:11:00Z,1,KD-192,SRP144673
SRR7124572,WGS,300,14772067200,PRJNA449784,SAMN08918089,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",5516821809,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-01-14,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,not applicable,SRX4045986,China,Asia,China: Beijing,Homo sapiens,CON-049,HiSeq X Ten,39.9 N 116.23 E,CON-049,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T12:16:00Z,1,CON-049,SRP144673
SRR7124573,WGS,300,12128907000,PRJNA449784,SAMN08918322,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4838638190,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-03-05,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,not applicable,SRX4045985,China,Asia,China: Beijing,Homo sapiens,KD-213,HiSeq X Ten,39.9 N 116.25 E,KD-213,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T12:10:00Z,1,KD-213,SRP144673
SRR7124574,WGS,300,13638872400,PRJNA449784,SAMN08918309,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",5229450338,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-03-02,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX4045984,China,Asia,China: Beijing,Homo sapiens,KD-200,HiSeq X Ten,39.9 N 116.25 E,KD-200,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T12:17:00Z,1,KD-200,SRP144673
SRR7124575,WGS,300,11446519200,PRJNA449784,SAMN08918318,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4580972942,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-03-04,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX4045983,China,Asia,China: Beijing,Homo sapiens,KD-209,HiSeq X Ten,39.9 N 116.25 E,KD-209,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T12:21:00Z,1,KD-209,SRP144673
SRR7124576,WGS,300,11916592200,PRJNA449784,SAMN08918315,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4736217825,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-03-05,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,not applicable,SRX4045982,China,Asia,China: Beijing,Homo sapiens,KD-206,HiSeq X Ten,39.9 N 116.25 E,KD-206,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T12:16:00Z,1,KD-206,SRP144673
SRR7124577,WGS,300,11508959400,PRJNA449784,SAMN08918316,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4597078700,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-03-03,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,not applicable,SRX4045981,China,Asia,China: Beijing,Homo sapiens,KD-207,HiSeq X Ten,39.9 N 116.25 E,KD-207,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T12:09:00Z,1,KD-207,SRP144673
SRR7124578,WGS,300,11319375900,PRJNA449784,SAMN08918313,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4245147932,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-03-03,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,not applicable,SRX4045980,China,Asia,China: Beijing,Homo sapiens,KD-204,HiSeq X Ten,39.9 N 116.25 E,KD-204,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T12:11:00Z,1,KD-204,SRP144673
SRR7124579,WGS,300,12826588200,PRJNA449784,SAMN08918314,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",5193157586,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-03-03,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,not applicable,SRX4045979,China,Asia,China: Beijing,Homo sapiens,KD-205,HiSeq X Ten,39.9 N 116.25 E,KD-205,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T12:13:00Z,1,KD-205,SRP144673
SRR7124580,WGS,300,11917488300,PRJNA449784,SAMN08918311,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4369818093,PROMEGENE TRANSLATIONAL RESEARCH INSTITUTE,2016-03-03,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,not applicable,SRX4045978,China,Asia,China: Beijing,Homo sapiens,KD-202,HiSeq X Ten,39.9 N 116.25 E,KD-202,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2019-05-31T00:00:00Z,2018-05-07T12:10:00Z,1,KD-202,SRP144673
