Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR8887132,WGS,300,11101713300,PRJNA532538,SAMN11403399,Metagenome or environmental,4445439192,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-10-19,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX5672888,China,Asia,China:Hunan,Illumina HiSeq 2500,Healthy control 12,28.12 N 112.59 E,HC27,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:20:00Z,1,H12,SRP192309
SRR8887133,WGS,300,12534470700,PRJNA532538,SAMN11403404,Metagenome or environmental,4955323491,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-06-09,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX5672887,China,Asia,China:Hunan,Illumina HiSeq 2500,Patient 2,28.12 N 112.59 E,MC2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:27:00Z,1,M2,SRP192309
SRR8887134,WGS,300,10491462300,PRJNA532538,SAMN11403405,Metagenome or environmental,4402019573,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-06-13,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5672886,China,Asia,China:Hunan,Illumina HiSeq 2500,Patient 3,28.12 N 112.59 E,MC3,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:20:00Z,1,M3,SRP192309
SRR8887135,WGS,300,11800308900,PRJNA532538,SAMN11403402,Metagenome or environmental,4820618544,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-10-28,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX5672885,China,Asia,China:Hunan,Illumina HiSeq 2500,Healthy control 15,28.12 N 112.59 E,HC30,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:24:00Z,1,H15,SRP192309
SRR8887136,WGS,300,14933677800,PRJNA532538,SAMN11403403,Metagenome or environmental,5770957771,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-06-08,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX5672884,China,Asia,China:Hunan,Illumina HiSeq 2500,Patient 1,28.12 N 112.59 E,MC1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:29:00Z,1,M1,SRP192309
SRR8887137,WGS,300,11005501800,PRJNA532538,SAMN11403411,Metagenome or environmental,4469250533,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-07-05,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX5672883,China,Asia,China:Hunan,Illumina HiSeq 2500,Patient 9,28.12 N 112.59 E,MC9,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:21:00Z,1,M9,SRP192309
SRR8887138,WGS,300,12018908400,PRJNA532538,SAMN11403410,Metagenome or environmental,4822398854,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-06-27,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX5672882,China,Asia,China:Hunan,Illumina HiSeq 2500,Patient 8,28.12 N 112.59 E,MC8,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:25:00Z,1,M8,SRP192309
SRR8887139,WGS,300,11527946100,PRJNA532538,SAMN11403409,Metagenome or environmental,4571499773,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-06-22,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX5672881,China,Asia,China:Hunan,Illumina HiSeq 2500,Patient 7,28.12 N 112.59 E,MC7,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:30:00Z,1,M7,SRP192309
SRR8887140,WGS,300,13495013400,PRJNA532538,SAMN11403408,Metagenome or environmental,5209423612,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-06-19,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX5672880,China,Asia,China:Hunan,Illumina HiSeq 2500,Patient 6,28.12 N 112.59 E,MC6,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:29:00Z,1,M6,SRP192309
SRR8887141,WGS,300,11772663900,PRJNA532538,SAMN11403415,Metagenome or environmental,4724255360,"XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY",2017-07-29,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX5672879,China,Asia,China:Hunan,Illumina HiSeq 2500,Patient 13,28.12 N 112.59 E,MC14,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-01T00:00:00Z,2019-04-12T09:22:00Z,1,M13,SRP192309
