Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,ID,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR10403495,WGS,200,9663840800,PRJNA588035,SAMN13221591,Metagenome or environmental,7251714129,HUBEI UNIVERSITY,2017-01,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX7102911,China,Asia,China:Xiangyang,Homo sapiens,10,BGISEQ-500,stool,not applicable,CL100071231_L02_75,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-08T19:29:00Z,2,10PD11CL100071231_L02_75,SRP228703
SRR10403496,WGS,200,14438179800,PRJNA588035,SAMN13221590,Metagenome or environmental,10522801242,HUBEI UNIVERSITY,2017-01,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX7102910,China,Asia,China:Xiangyang,Homo sapiens,9,BGISEQ-500,stool,not applicable,CL100071231_L02_74,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T02:21:00Z,2,9PD10CL100071231_L02_74,SRP228703
SRR10403497,WGS,200,10695466000,PRJNA588035,SAMN13221659,Metagenome or environmental,8321250253,HUBEI UNIVERSITY,2017-01,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX7102909,China,Asia,China:Xiangyang,Homo sapiens,78,BGISEQ-500,stool,not applicable,CL100071516_L01_71,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:10:00Z,2,78Spouse56CL100071516_L01_71,SRP228703
SRR10403498,WGS,200,21475175000,PRJNA588035,SAMN13221658,Metagenome or environmental,15750038501,HUBEI UNIVERSITY,2017-01,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX7102908,China,Asia,China:Xiangyang,Homo sapiens,77,BGISEQ-500,stool,not applicable,CL100071516_L01_70,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T02:25:00Z,2,77Spouse52CL100071516_L01_70,SRP228703
SRR10403499,WGS,200,7246505800,PRJNA588035,SAMN13221657,Metagenome or environmental,5736356897,HUBEI UNIVERSITY,2017-01,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7102907,China,Asia,China:Xiangyang,Homo sapiens,76,BGISEQ-500,stool,not applicable,CL100071516_L01_69,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:07:00Z,2,76Spouse51CL100071516_L01_69,SRP228703
SRR10403500,WGS,200,9725622400,PRJNA588035,SAMN13221656,Metagenome or environmental,7591176611,HUBEI UNIVERSITY,2017-01,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX7102906,China,Asia,China:Xiangyang,Homo sapiens,75,BGISEQ-500,stool,not applicable,CL100071516_L01_67,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:10:00Z,2,75Spouse49CL100071516_L01_67,SRP228703
SRR10403501,WGS,200,12837098400,PRJNA588035,SAMN13221655,Metagenome or environmental,9564394161,HUBEI UNIVERSITY,2017-01,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX7102905,China,Asia,China:Xiangyang,Homo sapiens,74,BGISEQ-500,stool,not applicable,CL100071516_L01_66,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:12:00Z,2,74Spouse48CL100071516_L01_66,SRP228703
SRR10403502,WGS,200,14091855800,PRJNA588035,SAMN13221654,Metagenome or environmental,10668304802,HUBEI UNIVERSITY,2017-01,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7102904,China,Asia,China:Xiangyang,Homo sapiens,73,BGISEQ-500,stool,not applicable,CL100071516_L01_65,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:13:00Z,2,73Spouse47CL100071516_L01_65,SRP228703
SRR10403503,WGS,200,9022903200,PRJNA588035,SAMN13221653,Metagenome or environmental,6969147463,HUBEI UNIVERSITY,2017-01,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX7102903,China,Asia,China:Xiangyang,Homo sapiens,72,BGISEQ-500,stool,not applicable,CL100075534_L02_63,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T07:10:00Z,2,72Spouse45CL100075534_L02_63,SRP228703
SRR10403504,WGS,200,5471169200,PRJNA588035,SAMN13221652,Metagenome or environmental,4286186409,HUBEI UNIVERSITY,2017-01,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX7102902,China,Asia,China:Xiangyang,Homo sapiens,71,BGISEQ-500,stool,not applicable,CL100075534_L02_62,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,BGISEQ,2020-11-17T00:00:00Z,2025-09-10T02:13:00Z,2,71Spouse42CL100075534_L02_62,SRP228703
