Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Filename,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR13279582,WGS,300,4624723800,PRJNA686835,SAMN17126167,Metagenome or environmental,1781651920,HANS KNOLL INSTITUTE,2016-04,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX9709534,NL_104,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,NL_104,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:12:00Z,1,NL_104,SRP298654
SRR13279583,WGS,300,4932203100,PRJNA686835,SAMN17126168,Metagenome or environmental,1907829809,HANS KNOLL INSTITUTE,2016-04,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX9709533,NL_111,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,NL_111,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:11:00Z,1,NL_111,SRP298654
SRR13279584,WGS,300,5810597400,PRJNA686835,SAMN17126177,Metagenome or environmental,2365806986,HANS KNOLL INSTITUTE,2016-04,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX9709532,NL_146,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,NL_146,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:11:00Z,1,NL_146,SRP298654
SRR13279585,WGS,300,4662785100,PRJNA686835,SAMN17126267,Metagenome or environmental,1797629762,HANS KNOLL INSTITUTE,2016-04,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX9709531,NO_83,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,NO_83,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:11:00Z,1,NO_83,SRP298654
SRR13279586,WGS,300,4142317800,PRJNA686835,SAMN17126268,Metagenome or environmental,1586949228,HANS KNOLL INSTITUTE,2016-04,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX9709530,NO_84,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,NO_84,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:12:00Z,1,NO_84,SRP298654
SRR13279587,WGS,300,4498233900,PRJNA686835,SAMN17126269,Metagenome or environmental,1747173829,HANS KNOLL INSTITUTE,2016-04,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX9709529,NO_91,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,NO_91,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:11:00Z,1,NO_91,SRP298654
SRR13279588,WGS,300,4234998300,PRJNA686835,SAMN17126270,Metagenome or environmental,1618147243,HANS KNOLL INSTITUTE,2016-04,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX9709528,NO_94,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,NO_94,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:13:00Z,1,NO_94,SRP298654
SRR13279589,WGS,300,4376140200,PRJNA686835,SAMN17126271,Metagenome or environmental,1702625572,HANS KNOLL INSTITUTE,2016-04,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX9709527,TL_106,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,TL_106,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:10:00Z,1,TL_106,SRP298654
SRR13279590,WGS,300,6048969900,PRJNA686835,SAMN17126272,Metagenome or environmental,2420564269,HANS KNOLL INSTITUTE,2016-04,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX9709526,TL_107,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,TL_107,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:12:00Z,1,TL_107,SRP298654
SRR13279591,WGS,300,4838070300,PRJNA686835,SAMN17126273,Metagenome or environmental,1906103471,HANS KNOLL INSTITUTE,2016-04,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX9709525,TL_112,China,Asia,China: Shanghai,Homo sapiens,Illumina HiSeq 4000,feces,31.1883 N 121.4368 E,TL_112,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-05-01T00:00:00Z,2020-12-21T20:13:00Z,1,TL_112,SRP298654
