Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_material_id,SRA Study
SRR13336825,WGS,299,13087886042,PRJNA688881,SAMN17190451,Metagenome or environmental,5303559284,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX9763661,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB018CG,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T09:51:00Z,1,MGHB018CG,MGHB018CG,SRP299890
SRR13336826,WGS,299,10022377908,PRJNA688881,SAMN17190450,Metagenome or environmental,3931912467,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX9763660,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB017CG,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T09:59:00Z,1,MGHB017CG,MGHB017CG,SRP299890
SRR13336827,WGS,299,11639917755,PRJNA688881,SAMN17190449,Metagenome or environmental,4916533847,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX9763659,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB015CG,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T09:48:00Z,1,MGHB015CG,MGHB015CG,SRP299890
SRR13336828,WGS,299,18215150769,PRJNA688881,SAMN17190448,Metagenome or environmental,7273066093,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX9763658,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB013CG,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T10:31:00Z,1,MGHB013CG,MGHB013CG,SRP299890
SRR13336829,WGS,299,11373563755,PRJNA688881,SAMN17190447,Metagenome or environmental,4635240522,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX9763657,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB012CG,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T09:51:00Z,1,MGHB012CG,MGHB012CG,SRP299890
SRR13336830,WGS,299,8607673879,PRJNA688881,SAMN17190446,Metagenome or environmental,3520253435,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX9763656,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB011CG,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T10:18:00Z,1,MGHB011CG,MGHB011CG,SRP299890
SRR13336831,WGS,299,10886792737,PRJNA688881,SAMN17190392,Metagenome or environmental,4231997459,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX9763655,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB014PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T09:54:00Z,1,MGHB014PB,MGHB014PB,SRP299890
SRR13336832,WGS,299,12658503149,PRJNA688881,SAMN17190445,Metagenome or environmental,5112398377,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX9763654,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB009CG,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T10:08:00Z,1,MGHB009CG,MGHB009CG,SRP299890
SRR13336833,WGS,299,11256542155,PRJNA688881,SAMN17190444,Metagenome or environmental,4573021456,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9763653,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB006CG,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T09:45:00Z,1,MGHB006CG,MGHB006CG,SRP299890
SRR13336834,WGS,299,11146888916,PRJNA688881,SAMN17190443,Metagenome or environmental,4580361680,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX9763652,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB005CG,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T10:19:00Z,1,MGHB005CG,MGHB005CG,SRP299890
SRR13336835,WGS,299,11842364616,PRJNA688881,SAMN17190442,Metagenome or environmental,4756707801,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX9763651,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB004CG,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T09:58:00Z,1,MGHB004CG,MGHB004CG,SRP299890
SRR13336836,WGS,299,12412413727,PRJNA688881,SAMN17190441,Metagenome or environmental,5057027967,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX9763650,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB003CG,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T10:18:00Z,1,MGHB003CG,MGHB003CG,SRP299890
SRR13336837,WGS,299,10702010023,PRJNA688881,SAMN17190440,Metagenome or environmental,4226618918,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX9763649,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB126PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T09:56:00Z,1,MGHB126PB,MGHB126PB,SRP299890
SRR13336838,WGS,299,9321509871,PRJNA688881,SAMN17190439,Metagenome or environmental,3661209065,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX9763648,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB125PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T09:48:00Z,1,MGHB125PB,MGHB125PB,SRP299890
SRR13336839,WGS,299,9536811785,PRJNA688881,SAMN17190438,Metagenome or environmental,3733670358,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX9763647,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB124PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T09:47:00Z,1,MGHB124PB,MGHB124PB,SRP299890
SRR13336840,WGS,299,10163744242,PRJNA688881,SAMN17190437,Metagenome or environmental,3989174395,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX9763646,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB123PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T09:44:00Z,1,MGHB123PB,MGHB123PB,SRP299890
SRR13336841,WGS,299,11425913283,PRJNA688881,SAMN17190436,Metagenome or environmental,4441620035,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX9763645,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB122PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T10:09:00Z,1,MGHB122PB,MGHB122PB,SRP299890
SRR13336842,WGS,299,13674293225,PRJNA688881,SAMN17190391,Metagenome or environmental,5426052398,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX9763644,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB013PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T09:56:00Z,1,MGHB013PB,MGHB013PB,SRP299890
SRR13336843,WGS,299,10634859751,PRJNA688881,SAMN17190435,Metagenome or environmental,4124594057,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX9763643,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB120PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T10:08:00Z,1,MGHB120PB,MGHB120PB,SRP299890
SRR13336844,WGS,299,11541840648,PRJNA688881,SAMN17190413,Metagenome or environmental,4571673918,PEOPLE'S HOSPITAL OF SHIJIAZHUANG AFFILIATED TO HEBEI MEDICAL UNIVERSITY,2019,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX9763642,China,Asia,China,Homo sapiens,Illumina HiSeq 4000,feces,38.03 N 114.26 E,MGHB073PB,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-06-01T00:00:00Z,2021-01-01T09:51:00Z,1,MGHB073PB,MGHB073PB,SRP299890
