Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR22135598,WGS,300,5075427000,PRJNA893406,SAMN31421981,Metagenome or environmental,1544543596,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-10-15,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX18115300,China,Asia,China: Changsha,Homo_sapiens47,Illumina NovaSeq 6000,feces47,28.19 N 112.99 E,H47,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:07:00Z,1,H47,SRP405751
SRR22135599,WGS,300,5881044300,PRJNA893406,SAMN31421980,Metagenome or environmental,1825151414,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-09-09,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX18115299,China,Asia,China: Changsha,Homo_sapiens46,Illumina NovaSeq 6000,feces46,28.19 N 112.99 E,H46,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:12:00Z,1,H46,SRP405751
SRR22135600,WGS,300,6363842700,PRJNA893406,SAMN31421979,Metagenome or environmental,2308954505,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-09-09,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX18115298,China,Asia,China: Changsha,Homo_sapiens45,Illumina NovaSeq 6000,feces45,28.19 N 112.99 E,H45,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:08:00Z,1,H45,SRP405751
SRR22135601,WGS,300,5602275300,PRJNA893406,SAMN31421978,Metagenome or environmental,1705273962,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-09-04,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX18115297,China,Asia,China: Changsha,Homo_sapiens44,Illumina NovaSeq 6000,feces44,28.19 N 112.99 E,H44,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:18:00Z,1,H44,SRP405751
SRR22135602,WGS,300,5313852000,PRJNA893406,SAMN31421977,Metagenome or environmental,1629959472,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-09-03,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18115296,China,Asia,China: Changsha,Homo_sapiens43,Illumina NovaSeq 6000,feces43,28.19 N 112.99 E,H43,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:24:00Z,1,H43,SRP405751
SRR22135603,WGS,300,5483984100,PRJNA893406,SAMN31421976,Metagenome or environmental,1667484629,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-09-01,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX18115295,China,Asia,China: Changsha,Homo_sapiens42,Illumina NovaSeq 6000,feces42,28.19 N 112.99 E,H42,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:11:00Z,1,H42,SRP405751
SRR22135604,WGS,300,4847205300,PRJNA893406,SAMN31421975,Metagenome or environmental,1539774095,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-08-17,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX18115294,China,Asia,China: Changsha,Homo_sapiens41,Illumina NovaSeq 6000,feces41,28.19 N 112.99 E,H41,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:08:00Z,1,H41,SRP405751
SRR22135605,WGS,302,8431737018,PRJNA893406,SAMN31421939,Metagenome or environmental,2719010703,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2021-11-20,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX18115293,China,Asia,China: Pingjiang,Homo_sapiens5,Illumina NovaSeq 6000,feces5,28.71 N 113.58 E,H5,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-02T01:44:00Z,1,H5,SRP405751
SRR22135606,WGS,300,6894340500,PRJNA893406,SAMN31421974,Metagenome or environmental,2237516030,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-08-17,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX18115292,China,Asia,China: Changsha,Homo_sapiens40,Illumina NovaSeq 6000,feces40,28.19 N 112.99 E,H40,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:15:00Z,1,H40,SRP405751
SRR22135607,WGS,300,5994369300,PRJNA893406,SAMN31421973,Metagenome or environmental,1900679471,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-08-17,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX18115291,China,Asia,China: Changsha,Homo_sapiens39,Illumina NovaSeq 6000,feces39,28.19 N 112.99 E,H39,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:13:00Z,1,H39,SRP405751
SRR22135608,WGS,300,6160733400,PRJNA893406,SAMN31421972,Metagenome or environmental,1966821302,"SECOND XIANGYA HOSPITAL, CENTRAL SOUTH UNIVERSITY, CHINA",2020-08-17,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX18115290,China,Asia,China: Changsha,Homo_sapiens38,Illumina NovaSeq 6000,feces38,28.19 N 112.99 E,H38,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2023-09-29T00:00:00Z,2022-11-01T23:13:00Z,1,H38,SRP405751
