Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR22133919,WGS,276,5258413043,PRJNA896336,SAMN31542363,Metagenome or environmental,1712994621,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX18113503,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 12 E,Normal_10,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T17:58:00Z,1,Normal_10,SRP405731
SRR22133920,WGS,264,5751129948,PRJNA896336,SAMN31542362,Metagenome or environmental,1818101366,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX18113502,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 11 E,Normal_09,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:03:00Z,1,Normal_09,SRP405731
SRR22133921,WGS,274,5128839042,PRJNA896336,SAMN31542361,Metagenome or environmental,1666042525,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX18113501,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 10 E,Normal_08,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:01:00Z,1,Normal_08,SRP405731
SRR22133922,WGS,272,6098774444,PRJNA896336,SAMN31542360,Metagenome or environmental,1942568292,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX18113500,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 9 E,Normal_07,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:04:00Z,1,Normal_07,SRP405731
SRR22133923,WGS,276,4929647632,PRJNA896336,SAMN31542359,Metagenome or environmental,1568497058,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX18113499,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 8 E,Normal_06,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:04:00Z,1,Normal_06,SRP405731
SRR22133924,WGS,284,5832115664,PRJNA896336,SAMN31542400,Metagenome or environmental,1892213611,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX18113498,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 49 E,RA_25,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:03:00Z,1,RA_25,SRP405731
SRR22133925,WGS,273,5986758063,PRJNA896336,SAMN31542399,Metagenome or environmental,1896945906,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX18113497,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 48 E,RA_24,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:04:00Z,1,RA_24,SRP405731
SRR22133926,WGS,261,6640211280,PRJNA896336,SAMN31542398,Metagenome or environmental,2142146933,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX18113496,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 47 E,RA_23,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:06:00Z,1,RA_23,SRP405731
SRR22133927,WGS,272,7214498172,PRJNA896336,SAMN31542397,Metagenome or environmental,2308500618,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX18113495,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 46 E,RA_22,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:07:00Z,1,RA_22,SRP405731
SRR22133928,WGS,275,8071202268,PRJNA896336,SAMN31542396,Metagenome or environmental,2575660055,CHINA PHARMACEUTICAL UNIVERSITY,2020-01-01,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX18113494,China,Asia,China:NanJing,Homo sapiens,Illumina NovaSeq 6000,32 N 45 E,RA_21,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-25T00:00:00Z,2022-11-01T18:09:00Z,1,RA_21,SRP405731
