"species_taxon_id","genus_taxon_id","genus_name"
"562","561","Escherichia"
"729","724","Haemophilus"
"817","816","Bacteroides"
"818","816","Bacteroides"
"820","816","Bacteroides"
"821","909656","Phocaeicola"
"823","375288","Parabacteroides"
"853","216851","Faecalibacterium"
"856","848","Fusobacterium"
"1304","1301","Streptococcus"
"1318","1301","Streptococcus"
"1322","572511","Blautia"
"1328","1301","Streptococcus"
"1353","1350","Enterococcus"
"1522","1485","Clostridium"
"1547","3025755","Thomasclavelia"
"1685","1678","Bifidobacterium"
"1736","1730","Eubacterium"
"28026","1678","Bifidobacterium"
"28052","28050","Lachnospira"
"28116","816","Bacteroides"
"28117","239759","Alistipes"
"28118","283168","Odoribacter"
"29347","1506553","Lachnoclostridium"
"29361","2005355","Faecalimonas"
"29466","29465","Veillonella"
"33025","33024","Phascolarctobacterium"
"33035","572511","Blautia"
"33038","2316020","Mediterraneibacter"
"35833","35832","Bilophila"
"39485","28050","Lachnospira"
"39778","29465","Veillonella"
"40520","572511","Blautia"
"40545","40544","Sutterella"
"46506","816","Bacteroides"
"47678","816","Bacteroides"
"61171","61170","Holdemania"
"84112","84111","Eggerthella"
"88431","189330","Dorea"
"147207","102106","Collinsella"
"154046","1649459","Hungatella"
"165179","2974251","Segatella"
"216816","1678","Bifidobacterium"
"246787","816","Bacteroides"
"261299","1505657","Intestinibacter"
"291645","816","Bacteroides"
"292800","946234","Flavonifractor"
"301301","841","Roseburia"
"310297","909656","Phocaeicola"
"310298","909656","Phocaeicola"
"315405","1301","Streptococcus"
"328813","239759","Alistipes"
"329854","816","Bacteroides"
"342942","2316020","Mediterraneibacter"
"357276","909656","Phocaeicola"
"358742","2719313","Enterocloster"
"360807","841","Roseburia"
"371601","816","Bacteroides"
"387661","375288","Parabacteroides"
"418240","572511","Blautia"
"536633","572511","Blautia"
"649756","207244","Anaerostipes"
"671267","909656","Phocaeicola"
"673271","2316203","Catenibacillus"
"713054",NA,NA
"871324","816","Bacteroides"
"871665","572511","Blautia"
"1150298","1407607","Fusicatenibacter"
"1217282","375288","Parabacteroides"
"1273103","906","Megasphaera"
"1472417","574697","Butyricimonas"
"1550024","1905344","Ruthenibacterium"
"1628085","2048137","Agathobaculum"
"1653434","1769710","Sellimonas"
"1697794",NA,NA
"1715004",NA,NA
"1737424","572511","Blautia"
"1776391","1501226","Romboutsia"
"1841863","644652","Gordonibacter"
"1851429","990721","Christensenella"
"1870988","1017280","Pseudoflavonifractor"
"1870991","1935927","Massilioclostridium"
"1903263","1929045","Traorella"
"1912855","2005355","Faecalimonas"
"2041842","2126544","Neobittarella (ex Bilen et al. 2018)"
"2093857","2591381","Dysosmobacter"
"2108523","2172004","Lawsonibacter"
"2219695","2813348","Luxibacter"
"2292069","1263","Ruminococcus"
"2292245","1263","Ruminococcus"
"2763667","2944198","Wansuia"
"2763672","2944193","Simiaoa"
"2787103","1485","Clostridium"
"2834113","239759","Alistipes"
"2981769","2815781","Waltera"
"1512","2941495","Otoolea"
"1531","2719313","Enterocloster"
"39482","2005359","Faecalicatena"
"39488","2569097","Anaerobutyricum"
"39490","1730","Eubacterium"
"39777","29465","Veillonella"
"40518","1263","Ruminococcus"
"46228","2316020","Mediterraneibacter"
"84026",NA,NA
"105841","207244","Anaerostipes"
"105843","2569097","Anaerobutyricum"
"166486","841","Roseburia"
"169435","244127","Anaerotruncus"
"187326","906","Megasphaera"
"208479","2719313","Enterocloster"
"239935","239934","Akkermansia"
"253257","2719231","Lacrimispora"
"301302","841","Roseburia"
"333367","2719313","Enterocloster"
"341225","3025755","Thomasclavelia"
"351091","459786","Oscillibacter"
"358743","2719313","Enterocloster"
"446660","447020","Adlercreutzia"
"460384","2719313","Enterocloster"
"487175","577310","Parasutterella"
"871664","572511","Blautia"
"1160721","1263","Ruminococcus"
"1297617","1392389","Intestinimonas"
"1335613","644652","Gordonibacter"
"1337051","1774128","Murimonas"
"1468449","61170","Holdemania"
"1519439","459786","Oscillibacter"
"1673721","1392389","Intestinimonas"
"1720294","1432051","Eisenbergiella"
"1796615","572511","Blautia"
"1796618","1918450","Cuneatibacter"
"1796635","1918536","Longicatena"
"2897707","3028852","Merdimmobilis"
"1852384","2895461","Massiliimalia"
"1855299","459786","Oscillibacter"
"1898203",NA,NA
"1981510","2039302","Monoglobus"
"1982626","2678885","Faecalibacillus"
"2049045",NA,NA
"2126740","1485","Clostridium"
"2211183","2211178","Evtepia"
"2292006","1485","Clostridium"
"2292046","1763508","Lachnotalea"
"2292075","40544","Sutterella"
"2292205","1485","Clostridium"
"2292206","1485","Clostridium"
"2292304","1485","Clostridium"
"2292305","1485","Clostridium"
"2292307","1485","Clostridium"
"2292352","1730","Eubacterium"
"2293024","1485","Clostridium"
"2358141","2039240","Anaerotignum"
"2500537","2527773","Candidatus Cibiobacter"
"2606633","2815777","Oliverpabstia"
"2714355","2892396","Vescimonas"
"2763661","2944146","Bianquea"
"2763663","2719313","Enterocloster"
"2764322","2764317","Hydrogeniiclostridium"
"2764712","2944200","Lentihominibacter"
"2779352","1017280","Pseudoflavonifractor"
"2850323","2918511","Diplocloster"
"2883268","1980681","Colidextribacter"
"2883295",NA,NA
"2981770","2981633","Gallintestinimicrobium"
"2931980",NA,NA
"2939420","33024","Phascolarctobacterium"
"1309","1301","Streptococcus"
"1310","1301","Streptococcus"
"1382","2767353","Lancefieldella"
"1535",NA,NA
"1583","46255","Weissella"
"1590","2767842","Lactiplantibacillus"
"1613","2742598","Limosilactobacillus"
"1660","2529408","Schaalia"
"1681","1678","Bifidobacterium"
"1689","1678","Bifidobacterium"
"2741","2740","Peptococcus"
"28038","2767885","Latilactobacillus"
"28101","28100","Phyllobacterium"
"28125","838","Prevotella"
"28127","2974257","Hoylesella"
"28128","838","Prevotella"
"28130","838","Prevotella"
"29348","3025755","Thomasclavelia"
"31971","2749846","Amedibacillus"
"33032","165779","Anaerococcus"
"33043","33042","Coprococcus"
"39491","1766253","Agathobacter"
"39496","1730","Eubacterium"
"46503","375288","Parabacteroides"
"52769","1654","Actinomyces"
"53443","572511","Blautia"
"55565","1654","Actinomyces"
"56946","1033","Afipia"
"74426","102106","Collinsella"
"82380","33882","Microbacterium"
"97478","2742598","Limosilactobacillus"
"100884","100883","Coprobacillus"
"114527","86331","Mogibacterium"
"131111","2529408","Schaalia"
"143393",NA,NA
"154288","191303","Turicibacter"
"178339","2740557","Pauljensenia"
"187101","168808","Sneathia"
"204516","909656","Phocaeicola"
"270498","990721","Christensenella"
"272548","1654","Actinomyces"
"281920","836","Porphyromonas"
"328814","239759","Alistipes"
"363265","2974265","Leyella"
"363952","283","Comamonas"
"386414","2974257","Hoylesella"
"410072","3569723","Allocoprococcus"
"437897","158846","Megamonas"
"454154","577309","Paraprevotella"
"471189","644652","Gordonibacter"
"474960","596767","Hydrogenoanaerobacterium"
"487174","397864","Barnesiella"
"498718","84108","Slackia"
"507750","162289","Peptoniphilus"
"544580","1654","Actinomyces"
"556499","1743","Propionibacterium"
"592978","2316020","Mediterraneibacter"
"674529","816","Bacteroides"
"712157","1380","Atopobium"
"745368","204475","Gemmiger"
"936548","1654","Actinomyces"
"1219626","1257","Peptostreptococcus"
"1288121","239759","Alistipes"
"1393034","1380","Atopobium"
"1432052","1432051","Eisenbergiella"
"1470347","239759","Alistipes"
"1472416","574697","Butyricimonas"
"1501392","1348911","Coprobacter"
"1653435","2023266","Merdimonas"
"1712515","580596","Butyricicoccus"
"1720194","1485","Clostridium"
"1720313","1929297","Bittarella (ex Durand et al. 2017)"
"1723384","1686313","Fenollaria"
"1776392","1924110","Massiliimicrobium"
"1852361","1654","Actinomyces"
"1870997","1980680","Alterileibacterium"
"1871035","1980693","Negativibacillus"
"1871336","1937664","Criibacterium"
"1898204",NA,NA
"1898207",NA,NA
"1907662","1926677","Raoultibacter"
"2058289","904","Acidaminococcus"
"2161815","644652","Gordonibacter"
"2259133","2494213","Mesosutterella"
"2292182",NA,NA
"2292272",NA,NA
"2293028","1485","Clostridium"
"2293035","1485","Clostridium"
"2293126","841","Roseburia"
"2316025","2316020","Mediterraneibacter"
"2509240","572511","Blautia"
"2582419","39948","Dialister"
"2585118","239759","Alistipes"
"2585119","239759","Alistipes"
"2735723","191303","Turicibacter"
"2830654",NA,NA
"2830657",NA,NA
"2830658",NA,NA
"2841532","1392389","Intestinimonas"
"1851427","216851","Faecalibacterium"
"2881276","1407607","Fusicatenibacter"
"2929491","216851","Faecalibacterium"
"2931401","1918450","Cuneatibacter"
"850","848","Fusobacterium"
"907","906","Megasphaera"
"1680","1678","Bifidobacterium"
"28111","816","Bacteroides"
"33039","2316020","Mediterraneibacter"
"39486","189330","Dorea"
"40519","1263","Ruminococcus"
