"ncbi_taxon_id","scientific_name","rank"
562,"Escherichia coli","species"
729,"Haemophilus parainfluenzae","species"
817,"Bacteroides fragilis","species"
818,"Bacteroides thetaiotaomicron","species"
820,"Bacteroides uniformis","species"
821,"Phocaeicola vulgatus","species"
823,"Parabacteroides distasonis","species"
853,"Faecalibacterium prausnitzii","species"
856,"Fusobacterium varium","species"
1304,"Streptococcus salivarius","species"
1318,"Streptococcus parasanguinis","species"
1322,"Blautia hansenii","species"
1328,"Streptococcus anginosus","species"
1353,"Enterococcus gallinarum","species"
1522,"[Clostridium] innocuum","species"
1547,"Thomasclavelia ramosa","species"
1685,"Bifidobacterium breve","species"
1736,"Eubacterium limosum","species"
28026,"Bifidobacterium pseudocatenulatum","species"
28052,"Lachnospira pectinoschiza","species"
28116,"Bacteroides ovatus","species"
28117,"Alistipes putredinis","species"
28118,"Odoribacter splanchnicus","species"
29347,"[Clostridium] scindens","species"
29361,"Faecalimonas nexilis","species"
29466,"Veillonella parvula","species"
33025,"Phascolarctobacterium faecium","species"
33035,"Blautia producta","species"
33038,"Mediterraneibacter gnavus","species"
35833,"Bilophila wadsworthia","species"
39485,"Lachnospira eligens","species"
39778,"Veillonella dispar","species"
40520,"Blautia obeum","species"
40545,"Sutterella wadsworthensis","species"
46506,"Bacteroides stercoris","species"
47678,"Bacteroides caccae","species"
61171,"Holdemania filiformis","species"
84112,"Eggerthella lenta","species"
88431,"Dorea longicatena","species"
147207,"Collinsella intestinalis","species"
154046,"Hungatella hathewayi","species"
165179,"Segatella copri","species"
216816,"Bifidobacterium longum","species"
246787,"Bacteroides cellulosilyticus","species"
261299,"Intestinibacter bartlettii","species"
291645,"Bacteroides nordii","species"
292800,"Flavonifractor plautii","species"
301301,"Roseburia hominis","species"
310297,"Phocaeicola plebeius","species"
310298,"Phocaeicola coprocola","species"
315405,"Streptococcus gallolyticus","species"
328813,"Alistipes onderdonkii","species"
329854,"Bacteroides intestinalis","species"
342942,"Mediterraneibacter glycyrrhizinilyticus","species"
357276,"Phocaeicola dorei","species"
358742,"Enterocloster aldenensis","species"
360807,"Roseburia inulinivorans","species"
371601,"Bacteroides xylanisolvens","species"
387661,"Parabacteroides johnsonii","species"
418240,"Blautia wexlerae","species"
536633,"Blautia glucerasea","species"
649756,"Anaerostipes hadrus","species"
671267,"Phocaeicola sartorii","species"
673271,"Catenibacillus scindens","species"
713054,"TM7 phylum sp. oral taxon 352","species"
871324,"Bacteroides stercorirosoris","species"
871665,"Blautia faecis","species"
1150298,"Fusicatenibacter saccharivorans","species"
1217282,"Parabacteroides faecis","species"
1273103,"Megasphaera sp. NM10","species"
1472417,"Butyricimonas paravirosa","species"
1550024,"Ruthenibacterium lactatiformans","species"
1628085,"Agathobaculum butyriciproducens","species"
1653434,"Sellimonas intestinalis","species"
1697794,"Clostridia bacterium UC5.1-1D1","species"
1715004,"Clostridiales bacterium KLE1615","species"
1737424,"Blautia massiliensis (ex Durand et al. 2017)","species"
1776391,"Romboutsia timonensis","species"
1841863,"Gordonibacter massiliensis (ex Traore et al. 2017)","species"
1851429,"Christensenella intestinihominis","species"
1870988,"Pseudoflavonifractor phocaeensis","species"
1870991,"Massilioclostridium coli","species"
1903263,"Traorella massiliensis","species"
1912855,"Faecalimonas umbilicata","species"
2041842,"Neobittarella massiliensis (ex Bilen et al. 2018)","species"
2093857,"Dysosmobacter welbionis","species"
2108523,"Lawsonibacter asaccharolyticus","species"
2219695,"Luxibacter massiliensis","species"
2292069,"Ruminococcus sp. AF41-9","species"
2292245,"Ruminococcus sp. AF13-28","species"
2763667,"Wansuia hejianensis","species"
2763672,"Simiaoa sunii","species"
2787103,"Clostridium sp. 1001270J_160509_D11","species"
2834113,"Alistipes montrealensis","species"
2981769,"Waltera acetigignens","species"
1512,"[Clostridium] symbiosum","species"
