Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,host_subject_id,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,SRA Study
DRR305553,AMPLICON,502,19959520,PRJDB11845,SAMD00330960,MIMS.me.human-associated,10187062,KAGOSHIMA,2018-04-16,public,"run.zq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,saliva,DRX294989,Japan,Asia,Japan,Homo sapiens,D01,Illumina MiSeq,missing,D01-saliva,PAIRED,PCR,METAGENOMIC,human oral metagenome,ILLUMINA,Oral and intestinal microbiota analysis of colorectal cancer patients,2021-07-01T00:00:00Z,2021-07-01T19:52:00Z,1,SAMD00330960,D01-saliva,DRP007453
DRR305554,AMPLICON,502,16575036,PRJDB11845,SAMD00330961,MIMS.me.human-associated,8506006,KAGOSHIMA,2018-04-18,public,"run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,saliva,DRX294990,Japan,Asia,Japan,Homo sapiens,D02,Illumina MiSeq,missing,D02-saliva,PAIRED,PCR,METAGENOMIC,human oral metagenome,ILLUMINA,Oral and intestinal microbiota analysis of colorectal cancer patients,2021-07-01T00:00:00Z,2021-07-01T20:01:00Z,1,SAMD00330961,D02-saliva,DRP007453
DRR305555,AMPLICON,502,15697540,PRJDB11845,SAMD00330962,MIMS.me.human-associated,7994825,KAGOSHIMA,2018-04-24,public,"run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,saliva,DRX294991,Japan,Asia,Japan,Homo sapiens,D03,Illumina MiSeq,missing,D03-saliva,PAIRED,PCR,METAGENOMIC,human oral metagenome,ILLUMINA,Oral and intestinal microbiota analysis of colorectal cancer patients,2021-07-01T00:00:00Z,2021-07-01T19:20:00Z,1,SAMD00330962,D03-saliva,DRP007453
DRR305556,AMPLICON,502,14380794,PRJDB11845,SAMD00330963,MIMS.me.human-associated,7240028,KAGOSHIMA,2018-05-11,public,"sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,saliva,DRX294992,Japan,Asia,Japan,Homo sapiens,D04,Illumina MiSeq,missing,D04-saliva,PAIRED,PCR,METAGENOMIC,human oral metagenome,ILLUMINA,Oral and intestinal microbiota analysis of colorectal cancer patients,2021-07-01T00:00:00Z,2021-07-01T19:53:00Z,1,SAMD00330963,D04-saliva,DRP007453
DRR305557,AMPLICON,502,15006286,PRJDB11845,SAMD00330964,MIMS.me.human-associated,7549190,KAGOSHIMA,2018-05-13,public,"run.zq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,saliva,DRX294993,Japan,Asia,Japan,Homo sapiens,D05,Illumina MiSeq,missing,D05-saliva,PAIRED,PCR,METAGENOMIC,human oral metagenome,ILLUMINA,Oral and intestinal microbiota analysis of colorectal cancer patients,2021-07-01T00:00:00Z,2021-07-01T19:20:00Z,1,SAMD00330964,D05-saliva,DRP007453
DRR305558,AMPLICON,502,15123754,PRJDB11845,SAMD00330965,MIMS.me.human-associated,7609683,KAGOSHIMA,2018-05-21,public,"sra,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,saliva,DRX294994,Japan,Asia,Japan,Homo sapiens,D06,Illumina MiSeq,missing,D06-saliva,PAIRED,PCR,METAGENOMIC,human oral metagenome,ILLUMINA,Oral and intestinal microbiota analysis of colorectal cancer patients,2021-07-01T00:00:00Z,2021-07-01T19:56:00Z,1,SAMD00330965,D06-saliva,DRP007453
DRR305559,AMPLICON,502,14664926,PRJDB11845,SAMD00330966,MIMS.me.human-associated,7494006,KAGOSHIMA,2018-05-23,public,"sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,saliva,DRX294995,Japan,Asia,Japan,Homo sapiens,D07,Illumina MiSeq,missing,D07-saliva,PAIRED,PCR,METAGENOMIC,human oral metagenome,ILLUMINA,Oral and intestinal microbiota analysis of colorectal cancer patients,2021-07-01T00:00:00Z,2021-07-01T19:22:00Z,1,SAMD00330966,D07-saliva,DRP007453
DRR305560,AMPLICON,502,15557482,PRJDB11845,SAMD00330967,MIMS.me.human-associated,7966381,KAGOSHIMA,2018-07-18,public,"sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,saliva,DRX294996,Japan,Asia,Japan,Homo sapiens,D08,Illumina MiSeq,missing,D08-saliva,PAIRED,PCR,METAGENOMIC,human oral metagenome,ILLUMINA,Oral and intestinal microbiota analysis of colorectal cancer patients,2021-07-01T00:00:00Z,2021-07-01T19:52:00Z,1,SAMD00330967,D08-saliva,DRP007453
DRR305561,AMPLICON,502,15223652,PRJDB11845,SAMD00330968,MIMS.me.human-associated,7791532,KAGOSHIMA,2018-07-24,public,"sra,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,saliva,DRX294997,Japan,Asia,Japan,Homo sapiens,D09,Illumina MiSeq,missing,D09-saliva,PAIRED,PCR,METAGENOMIC,human oral metagenome,ILLUMINA,Oral and intestinal microbiota analysis of colorectal cancer patients,2021-07-01T00:00:00Z,2021-07-01T19:22:00Z,1,SAMD00330968,D09-saliva,DRP007453
DRR305562,AMPLICON,502,15358690,PRJDB11845,SAMD00330969,MIMS.me.human-associated,7794994,KAGOSHIMA,2018-07-30,public,"sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,saliva,DRX294998,Japan,Asia,Japan,Homo sapiens,D10,Illumina MiSeq,missing,D10-saliva,PAIRED,PCR,METAGENOMIC,human oral metagenome,ILLUMINA,Oral and intestinal microbiota analysis of colorectal cancer patients,2021-07-01T00:00:00Z,2021-07-01T19:20:00Z,1,SAMD00330969,D10-saliva,DRP007453
DRR305563,AMPLICON,502,16524334,PRJDB11845,SAMD00330970,MIMS.me.human-associated,8445483,KAGOSHIMA,2018-08-12,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,saliva,DRX294999,Japan,Asia,Japan,Homo sapiens,D11,Illumina MiSeq,missing,D11-saliva,PAIRED,PCR,METAGENOMIC,human oral metagenome,ILLUMINA,Oral and intestinal microbiota analysis of colorectal cancer patients,2021-07-01T00:00:00Z,2021-07-01T19:23:00Z,1,SAMD00330970,D11-saliva,DRP007453
DRR305564,AMPLICON,502,16066008,PRJDB11845,SAMD00330971,MIMS.me.human-associated,8118195,KAGOSHIMA,2018-09-06,public,"sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,saliva,DRX295000,Japan,Asia,Japan,Homo sapiens,D12,Illumina MiSeq,missing,D12-saliva,PAIRED,PCR,METAGENOMIC,human oral metagenome,ILLUMINA,Oral and intestinal microbiota analysis of colorectal cancer patients,2021-07-01T00:00:00Z,2021-07-01T19:23:00Z,1,SAMD00330971,D12-saliva,DRP007453
DRR305565,AMPLICON,502,15677962,PRJDB11845,SAMD00330972,MIMS.me.human-associated,8001938,KAGOSHIMA,2018-09-24,public,"sra,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,saliva,DRX295001,Japan,Asia,Japan,Homo sapiens,D13,Illumina MiSeq,missing,D13-saliva,PAIRED,PCR,METAGENOMIC,human oral metagenome,ILLUMINA,Oral and intestinal microbiota analysis of colorectal cancer patients,2021-07-01T00:00:00Z,2021-07-01T19:55:00Z,1,SAMD00330972,D13-saliva,DRP007453
DRR305566,AMPLICON,502,16508270,PRJDB11845,SAMD00330973,MIMS.me.human-associated,8365981,KAGOSHIMA,2018-10-01,public,"sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,saliva,DRX295002,Japan,Asia,Japan,Homo sapiens,D14,Illumina MiSeq,missing,D14-saliva,PAIRED,PCR,METAGENOMIC,human oral metagenome,ILLUMINA,Oral and intestinal microbiota analysis of colorectal cancer patients,2021-07-01T00:00:00Z,2021-07-01T19:53:00Z,1,SAMD00330973,D14-saliva,DRP007453
DRR305567,AMPLICON,502,16260784,PRJDB11845,SAMD00330974,MIMS.me.human-associated,8566343,KAGOSHIMA,2018-10-12,public,"run.zq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,saliva,DRX295003,Japan,Asia,Japan,Homo sapiens,D15,Illumina MiSeq,missing,D15-saliva,PAIRED,PCR,METAGENOMIC,human oral metagenome,ILLUMINA,Oral and intestinal microbiota analysis of colorectal cancer patients,2021-07-01T00:00:00Z,2021-07-01T19:21:00Z,1,SAMD00330974,D15-saliva,DRP007453
