Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ena_last_update,Experiment,external_id,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,SRA Study,Submitter_Id
ERR4795893,AMPLICON,584,76156322,PRJEB26531,SAMEA7529307,43303351,"SEOUL NATIONAL UNIVERSITY, KOREA",feces,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",2020-11-05,2020-11-05T04:08:20Z,2020-11-04,2020-11-04T18:23:45Z,ERX4670136,SAMEA7529307,SNU,2020-11-05T04:08:20Z,2020-11-04T18:23:45Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-11-09T00:00:00Z,2020-12-22T07:43:00Z,1,SAMEA7529307,No_1,metagenome,ERP108523,No_1
ERR4795894,AMPLICON,593,66127207,PRJEB26531,SAMEA7529308,37449006,"SEOUL NATIONAL UNIVERSITY, KOREA",feces,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2020-11-05,2020-11-05T04:08:20Z,2020-11-04,2020-11-04T18:23:45Z,ERX4670137,SAMEA7529308,SNU,2020-11-05T04:08:20Z,2020-11-04T18:23:45Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-11-09T00:00:00Z,2020-12-22T07:42:00Z,1,SAMEA7529308,No_2,metagenome,ERP108523,No_2
ERR4795895,AMPLICON,588,71621558,PRJEB26531,SAMEA7529309,40513926,"SEOUL NATIONAL UNIVERSITY, KOREA",feces,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-11-05,2020-11-05T04:08:20Z,2020-11-04,2020-11-04T18:23:45Z,ERX4670138,SAMEA7529309,SNU,2020-11-05T04:08:20Z,2020-11-04T18:23:45Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-11-09T00:00:00Z,2020-12-22T07:43:00Z,1,SAMEA7529309,No_3,metagenome,ERP108523,No_3
ERR4795896,AMPLICON,595,77220817,PRJEB26531,SAMEA7529310,43797681,"SEOUL NATIONAL UNIVERSITY, KOREA",feces,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2020-11-05,2020-11-05T04:08:20Z,2020-11-04,2020-11-04T18:23:45Z,ERX4670139,SAMEA7529310,SNU,2020-11-05T04:08:20Z,2020-11-04T18:23:45Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-11-09T00:00:00Z,2020-12-23T08:13:00Z,1,SAMEA7529310,No_4,metagenome,ERP108523,No_4
ERR4795897,AMPLICON,598,68864911,PRJEB26531,SAMEA7529311,39204415,"SEOUL NATIONAL UNIVERSITY, KOREA",feces,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",2020-11-05,2020-11-05T04:08:20Z,2020-11-04,2020-11-04T18:23:45Z,ERX4670140,SAMEA7529311,SNU,2020-11-05T04:08:20Z,2020-11-04T18:23:45Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-11-09T00:00:00Z,2020-12-23T08:14:00Z,1,SAMEA7529311,No_5,metagenome,ERP108523,No_5
ERR4795898,AMPLICON,594,73769725,PRJEB26531,SAMEA7529312,42158426,"SEOUL NATIONAL UNIVERSITY, KOREA",feces,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",2020-11-05,2020-11-05T04:08:20Z,2020-11-04,2020-11-04T18:23:45Z,ERX4670141,SAMEA7529312,SNU,2020-11-05T04:08:20Z,2020-11-04T18:23:45Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-11-09T00:00:00Z,2020-12-21T02:45:00Z,1,SAMEA7529312,No_6,metagenome,ERP108523,No_6
ERR4795899,AMPLICON,589,61922472,PRJEB26531,SAMEA7529313,35662811,"SEOUL NATIONAL UNIVERSITY, KOREA",feces,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2020-11-05,2020-11-05T04:08:20Z,2020-11-04,2020-11-04T18:23:45Z,ERX4670142,SAMEA7529313,SNU,2020-11-05T04:08:20Z,2020-11-04T18:23:45Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-11-09T00:00:00Z,2020-12-21T02:46:00Z,1,SAMEA7529313,No_7,metagenome,ERP108523,No_7
ERR4795900,AMPLICON,591,60221886,PRJEB26531,SAMEA7529314,34721363,"SEOUL NATIONAL UNIVERSITY, KOREA",feces,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",2020-11-05,2020-11-05T04:08:20Z,2020-11-04,2020-11-04T18:23:45Z,ERX4670143,SAMEA7529314,SNU,2020-11-05T04:08:20Z,2020-11-04T18:23:45Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-11-09T00:00:00Z,2020-12-19T02:11:00Z,1,SAMEA7529314,No_8,metagenome,ERP108523,No_8
ERR4795901,AMPLICON,594,65111612,PRJEB26531,SAMEA7529315,37492345,"SEOUL NATIONAL UNIVERSITY, KOREA",feces,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2020-11-05,2020-11-05T04:08:20Z,2020-11-04,2020-11-04T18:23:45Z,ERX4670144,SAMEA7529315,SNU,2020-11-05T04:08:20Z,2020-11-04T18:23:45Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-11-09T00:00:00Z,2020-12-22T07:43:00Z,1,SAMEA7529315,No_9,metagenome,ERP108523,No_9
ERR4795902,AMPLICON,595,70556185,PRJEB26531,SAMEA7529316,40132579,"SEOUL NATIONAL UNIVERSITY, KOREA",feces,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",2020-11-05,2020-11-05T04:08:20Z,2020-11-04,2020-11-04T18:23:45Z,ERX4670145,SAMEA7529316,SNU,2020-11-05T04:08:20Z,2020-11-04T18:23:45Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-11-09T00:00:00Z,2020-12-23T08:14:00Z,1,SAMEA7529316,No_10,metagenome,ERP108523,No_10
