Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ena_last_update,environment_(biome),environment_(feature),environment_(material),Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),human_gut_environmental_package,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,Sequencing_method,SRA Study,Submitter_Id
ERR3711713,AMPLICON,551,41563373,PRJEB35665,SAMEA6359322,20057674,INSTITUTE OF AGRICULTURAL BIOLOGY AND BIOTECHNOLOG,2018,metagenomes,public,"sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",2020-06-28,2020-06-28T04:05:43Z,2019-12-05,2019-12-04T11:58:39Z,digestive tract environment,intestine environment,fecal material,ERX3715160,SAMEA6359322,Italy,Europe,Italy,43.7874,11.2499,human-gut,Institute of Agricultural Biology and Biotechnology - National Research Council (CNR),2020-06-28T04:05:43Z,2019-12-04T11:58:39Z,public,Illumina MiSeq,metagenome,unspecified,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,Fecal microbiota in early stage melanoma patients,2020-06-30T00:00:00Z,2020-08-11T01:12:00Z,1,SAMEA6359322,C10F-V3-V4,human gut metagenome,Miseq PE 2x300,ERP118751,C10F-V3-V4
ERR3711714,AMPLICON,550,22953224,PRJEB35665,SAMEA6359323,11418724,INSTITUTE OF AGRICULTURAL BIOLOGY AND BIOTECHNOLOG,2018,metagenomes,public,"run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",2020-06-28,2020-06-28T04:05:43Z,2019-12-05,2019-12-04T11:58:39Z,digestive tract environment,intestine environment,fecal material,ERX3715161,SAMEA6359323,Italy,Europe,Italy,43.7874,11.2499,human-gut,Institute of Agricultural Biology and Biotechnology - National Research Council (CNR),2020-06-28T04:05:43Z,2019-12-04T11:58:39Z,public,Illumina MiSeq,metagenome,unspecified,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,Fecal microbiota in early stage melanoma patients,2020-06-30T00:00:00Z,2020-08-11T01:13:00Z,1,SAMEA6359323,C11F-V3-V4,human gut metagenome,Miseq PE 2x300,ERP118751,C11F-V3-V4
ERR3711715,AMPLICON,553,43034069,PRJEB35665,SAMEA6359324,20236271,INSTITUTE OF AGRICULTURAL BIOLOGY AND BIOTECHNOLOG,2018,metagenomes,public,"run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",2020-06-28,2020-06-28T04:05:43Z,2019-12-05,2019-12-04T11:58:39Z,digestive tract environment,intestine environment,fecal material,ERX3715162,SAMEA6359324,Italy,Europe,Italy,43.7874,11.2499,human-gut,Institute of Agricultural Biology and Biotechnology - National Research Council (CNR),2020-06-28T04:05:43Z,2019-12-04T11:58:39Z,public,Illumina MiSeq,metagenome,unspecified,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,Fecal microbiota in early stage melanoma patients,2020-06-30T00:00:00Z,2020-08-11T01:12:00Z,1,SAMEA6359324,C12F-V3-V4,human gut metagenome,Miseq PE 2x300,ERP118751,C12F-V3-V4
ERR3711716,AMPLICON,551,36814808,PRJEB35665,SAMEA6359325,17799247,INSTITUTE OF AGRICULTURAL BIOLOGY AND BIOTECHNOLOG,2018,metagenomes,public,"run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",2020-06-28,2020-06-28T04:05:43Z,2019-12-05,2019-12-04T11:58:39Z,digestive tract environment,intestine environment,fecal material,ERX3715163,SAMEA6359325,Italy,Europe,Italy,43.7874,11.2499,human-gut,Institute of Agricultural Biology and Biotechnology - National Research Council (CNR),2020-06-28T04:05:43Z,2019-12-04T11:58:39Z,public,Illumina MiSeq,metagenome,unspecified,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,Fecal microbiota in early stage melanoma patients,2020-06-30T00:00:00Z,2020-08-11T01:12:00Z,1,SAMEA6359325,C13F-V3-V4,human gut metagenome,Miseq PE 2x300,ERP118751,C13F-V3-V4
ERR3711717,AMPLICON,551,30715494,PRJEB35665,SAMEA6359326,14759358,INSTITUTE OF AGRICULTURAL BIOLOGY AND BIOTECHNOLOG,2018,metagenomes,public,"sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",2020-06-28,2020-06-28T04:05:43Z,2019-12-05,2019-12-04T11:58:39Z,digestive tract environment,intestine environment,fecal material,ERX3715164,SAMEA6359326,Italy,Europe,Italy,43.7874,11.2499,human-gut,Institute of Agricultural Biology and Biotechnology - National Research Council (CNR),2020-06-28T04:05:43Z,2019-12-04T11:58:39Z,public,Illumina MiSeq,metagenome,unspecified,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,Fecal microbiota in early stage melanoma patients,2020-06-30T00:00:00Z,2020-06-30T16:03:00Z,1,SAMEA6359326,C14F-V3-V4,human gut metagenome,Miseq PE 2x300,ERP118751,C14F-V3-V4
ERR3711718,AMPLICON,553,37829783,PRJEB35665,SAMEA6359327,18081552,INSTITUTE OF AGRICULTURAL BIOLOGY AND BIOTECHNOLOG,2018,metagenomes,public,"sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2020-06-28,2020-06-28T04:05:43Z,2019-12-05,2019-12-04T11:58:39Z,digestive tract environment,intestine environment,fecal material,ERX3715165,SAMEA6359327,Italy,Europe,Italy,43.7874,11.2499,human-gut,Institute of Agricultural Biology and Biotechnology - National Research Council (CNR),2020-06-28T04:05:43Z,2019-12-04T11:58:39Z,public,Illumina MiSeq,metagenome,unspecified,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,Fecal microbiota in early stage melanoma patients,2020-06-30T00:00:00Z,2020-08-11T01:12:00Z,1,SAMEA6359327,C15F-V3-V4,human gut metagenome,Miseq PE 2x300,ERP118751,C15F-V3-V4
ERR3711719,AMPLICON,551,59469218,PRJEB35665,SAMEA6359328,28590368,INSTITUTE OF AGRICULTURAL BIOLOGY AND BIOTECHNOLOG,2018,metagenomes,public,"sra,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",2020-06-28,2020-06-28T04:05:43Z,2019-12-05,2019-12-04T11:58:39Z,digestive tract environment,intestine environment,fecal material,ERX3715166,SAMEA6359328,Italy,Europe,Italy,43.7874,11.2499,human-gut,Institute of Agricultural Biology and Biotechnology - National Research Council (CNR),2020-06-28T04:05:43Z,2019-12-04T11:58:39Z,public,Illumina MiSeq,metagenome,unspecified,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,Fecal microbiota in early stage melanoma patients,2020-06-30T00:00:00Z,2020-08-11T01:12:00Z,1,SAMEA6359328,C16F-V3-V4,human gut metagenome,Miseq PE 2x300,ERP118751,C16F-V3-V4
ERR3711720,AMPLICON,552,52500710,PRJEB35665,SAMEA6359329,24976792,INSTITUTE OF AGRICULTURAL BIOLOGY AND BIOTECHNOLOG,2018,metagenomes,public,"run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",2020-06-28,2020-06-28T04:05:43Z,2019-12-05,2019-12-04T11:58:39Z,digestive tract environment,intestine environment,fecal material,ERX3715167,SAMEA6359329,Italy,Europe,Italy,43.7874,11.2499,human-gut,Institute of Agricultural Biology and Biotechnology - National Research Council (CNR),2020-06-28T04:05:43Z,2019-12-04T11:58:39Z,public,Illumina MiSeq,metagenome,unspecified,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,Fecal microbiota in early stage melanoma patients,2020-06-30T00:00:00Z,2020-08-11T01:12:00Z,1,SAMEA6359329,C17F-V3-V4,human gut metagenome,Miseq PE 2x300,ERP118751,C17F-V3-V4
ERR3711721,AMPLICON,553,45119817,PRJEB35665,SAMEA6359330,21464220,INSTITUTE OF AGRICULTURAL BIOLOGY AND BIOTECHNOLOG,2018,metagenomes,public,"run.zq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",2020-06-28,2020-06-28T04:05:43Z,2019-12-05,2019-12-04T11:58:39Z,digestive tract environment,intestine environment,fecal material,ERX3715168,SAMEA6359330,Italy,Europe,Italy,43.7874,11.2499,human-gut,Institute of Agricultural Biology and Biotechnology - National Research Council (CNR),2020-06-28T04:05:43Z,2019-12-04T11:58:39Z,public,Illumina MiSeq,metagenome,unspecified,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,Fecal microbiota in early stage melanoma patients,2020-06-30T00:00:00Z,2020-08-11T01:13:00Z,1,SAMEA6359330,C1F-V3-V4,human gut metagenome,Miseq PE 2x300,ERP118751,C1F-V3-V4
ERR3711722,AMPLICON,552,39627786,PRJEB35665,SAMEA6359331,18801554,INSTITUTE OF AGRICULTURAL BIOLOGY AND BIOTECHNOLOG,2018,metagenomes,public,"sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",2020-06-28,2020-06-28T04:05:43Z,2019-12-05,2019-12-04T11:58:39Z,digestive tract environment,intestine environment,fecal material,ERX3715169,SAMEA6359331,Italy,Europe,Italy,43.7874,11.2499,human-gut,Institute of Agricultural Biology and Biotechnology - National Research Council (CNR),2020-06-28T04:05:43Z,2019-12-04T11:58:39Z,public,Illumina MiSeq,metagenome,unspecified,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,Fecal microbiota in early stage melanoma patients,2020-06-30T00:00:00Z,2020-08-11T01:13:00Z,1,SAMEA6359331,C2F-V3-V4,human gut metagenome,Miseq PE 2x300,ERP118751,C2F-V3-V4
ERR3711723,AMPLICON,551,24896961,PRJEB35665,SAMEA6359332,11949796,INSTITUTE OF AGRICULTURAL BIOLOGY AND BIOTECHNOLOG,2018,metagenomes,public,"run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",2020-06-28,2020-06-28T04:05:43Z,2019-12-05,2019-12-04T11:58:39Z,digestive tract environment,intestine environment,fecal material,ERX3715170,SAMEA6359332,Italy,Europe,Italy,43.7874,11.2499,human-gut,Institute of Agricultural Biology and Biotechnology - National Research Council (CNR),2020-06-28T04:05:43Z,2019-12-04T11:58:39Z,public,Illumina MiSeq,metagenome,unspecified,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,Fecal microbiota in early stage melanoma patients,2020-06-30T00:00:00Z,2020-08-11T01:12:00Z,1,SAMEA6359332,C3F-V3-V4,human gut metagenome,Miseq PE 2x300,ERP118751,C3F-V3-V4
ERR3711724,AMPLICON,552,47695054,PRJEB35665,SAMEA6359333,22522878,INSTITUTE OF AGRICULTURAL BIOLOGY AND BIOTECHNOLOG,2018,metagenomes,public,"sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2020-06-28,2020-06-28T04:05:43Z,2019-12-05,2019-12-04T11:58:39Z,digestive tract environment,intestine environment,fecal material,ERX3715171,SAMEA6359333,Italy,Europe,Italy,43.7874,11.2499,human-gut,Institute of Agricultural Biology and Biotechnology - National Research Council (CNR),2020-06-28T04:05:43Z,2019-12-04T11:58:39Z,public,Illumina MiSeq,metagenome,unspecified,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,Fecal microbiota in early stage melanoma patients,2020-06-30T00:00:00Z,2020-08-11T01:13:00Z,1,SAMEA6359333,C4F-V3-V4,human gut metagenome,Miseq PE 2x300,ERP118751,C4F-V3-V4
ERR3711725,AMPLICON,553,61609882,PRJEB35665,SAMEA6359334,29386028,INSTITUTE OF AGRICULTURAL BIOLOGY AND BIOTECHNOLOG,2018,metagenomes,public,"run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",2020-06-28,2020-06-28T04:05:43Z,2019-12-05,2019-12-04T11:58:39Z,digestive tract environment,intestine environment,fecal material,ERX3715172,SAMEA6359334,Italy,Europe,Italy,43.7874,11.2499,human-gut,Institute of Agricultural Biology and Biotechnology - National Research Council (CNR),2020-06-28T04:05:43Z,2019-12-04T11:58:39Z,public,Illumina MiSeq,metagenome,unspecified,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,Fecal microbiota in early stage melanoma patients,2020-06-30T00:00:00Z,2020-08-11T01:13:00Z,1,SAMEA6359334,C5F-V3-V4,human gut metagenome,Miseq PE 2x300,ERP118751,C5F-V3-V4
ERR3711726,AMPLICON,553,48976079,PRJEB35665,SAMEA6359335,22924321,INSTITUTE OF AGRICULTURAL BIOLOGY AND BIOTECHNOLOG,2018,metagenomes,public,"sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",2020-06-28,2020-06-28T04:05:43Z,2019-12-05,2019-12-04T11:58:39Z,digestive tract environment,intestine environment,fecal material,ERX3715173,SAMEA6359335,Italy,Europe,Italy,43.7874,11.2499,human-gut,Institute of Agricultural Biology and Biotechnology - National Research Council (CNR),2020-06-28T04:05:43Z,2019-12-04T11:58:39Z,public,Illumina MiSeq,metagenome,unspecified,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,Fecal microbiota in early stage melanoma patients,2020-06-30T00:00:00Z,2020-08-11T01:13:00Z,1,SAMEA6359335,C6F-V3-V4,human gut metagenome,Miseq PE 2x300,ERP118751,C6F-V3-V4
ERR3711727,AMPLICON,552,46884483,PRJEB35665,SAMEA6359336,22506845,INSTITUTE OF AGRICULTURAL BIOLOGY AND BIOTECHNOLOG,2018,metagenomes,public,"run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",2020-06-28,2020-06-28T04:05:43Z,2019-12-05,2019-12-04T11:58:39Z,digestive tract environment,intestine environment,fecal material,ERX3715174,SAMEA6359336,Italy,Europe,Italy,43.7874,11.2499,human-gut,Institute of Agricultural Biology and Biotechnology - National Research Council (CNR),2020-06-28T04:05:43Z,2019-12-04T11:58:39Z,public,Illumina MiSeq,metagenome,unspecified,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,Fecal microbiota in early stage melanoma patients,2020-06-30T00:00:00Z,2020-08-11T01:13:00Z,1,SAMEA6359336,C7F-V3-V4,human gut metagenome,Miseq PE 2x300,ERP118751,C7F-V3-V4
