Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),environment_(biome),environment_(feature),environment_(material),Experiment,external_id,human_associated_environmental_package,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,Sequencing_method,SRA Study,Submitter_Id,ENA_first_public,ena_last_update,INSDC_center_alias,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),ena_first_public,ena_last_update,Scientific_Name
ERR9294435,AMPLICON,502,9764904,PRJEB38625,SAMEA6870394,5452670,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",2022-03-18,2022-03-20,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836077,SAMEA6870394,human-associated,European Molecular Biology Laboratory,2022-03-18T00:40:06Z,2022-03-18T00:40:06Z,public,Illumina MiSeq,metagenome,MMPC66234747ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-05-08T09:35:00Z,1,SAMEA6870394,MMPC-3103101-ST-0,Illumina,ERP122062,MMPC-3103101-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
ERR9294436,AMPLICON,502,7486828,PRJEB38625,SAMEA6870396,4226119,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",2022-03-18,2022-03-18,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836078,SAMEA6870396,human-associated,European Molecular Biology Laboratory,2022-03-18T00:40:06Z,2022-03-18T00:40:06Z,public,Illumina MiSeq,metagenome,MMPC94299916ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-05-08T09:35:00Z,1,SAMEA6870396,MMPC-3103102-ST-0,Illumina,ERP122062,MMPC-3103102-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
ERR9294437,AMPLICON,502,5340778,PRJEB38625,SAMEA6870398,3048829,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",2022-03-18,2022-03-18,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836079,SAMEA6870398,human-associated,European Molecular Biology Laboratory,2022-03-18T00:40:06Z,2022-03-18T00:40:06Z,public,Illumina MiSeq,metagenome,MMPC24623808ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-05-08T09:35:00Z,1,SAMEA6870398,MMPC-3103103-ST-0,Illumina,ERP122062,MMPC-3103103-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
ERR9294438,AMPLICON,502,7760920,PRJEB38625,SAMEA6870400,4354674,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",2022-03-18,2022-03-19,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836080,SAMEA6870400,human-associated,European Molecular Biology Laboratory,2022-03-18T00:40:06Z,2022-03-18T00:40:06Z,public,Illumina MiSeq,metagenome,MMPC28450285ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-05-08T09:35:00Z,1,SAMEA6870400,MMPC-3103105-ST-0,Illumina,ERP122062,MMPC-3103105-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
ERR9294439,AMPLICON,502,5001928,PRJEB38625,SAMEA6870402,2874911,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",2022-03-18,2022-03-18,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836081,SAMEA6870402,human-associated,European Molecular Biology Laboratory,2022-03-18T00:40:06Z,2022-03-18T00:40:06Z,public,Illumina MiSeq,metagenome,MMPC64014581ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-05-08T09:35:00Z,1,SAMEA6870402,MMPC-3103106-ST-0,Illumina,ERP122062,MMPC-3103106-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
ERR9294440,AMPLICON,502,9231278,PRJEB38625,SAMEA6870404,5256702,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",2022-03-18,2022-03-18,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836082,SAMEA6870404,human-associated,European Molecular Biology Laboratory,2022-03-18T04:13:25Z,2022-03-18T04:13:25Z,public,Illumina MiSeq,metagenome,MMPC82135016ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-05-08T09:35:00Z,1,SAMEA6870404,MMPC-3103107-ST-0,Illumina,ERP122062,MMPC-3103107-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
ERR9294441,AMPLICON,502,8134910,PRJEB38625,SAMEA6870406,4634849,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2022-03-18,2022-03-19,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836083,SAMEA6870406,human-associated,European Molecular Biology Laboratory,2022-03-18T00:40:06Z,2022-03-18T00:40:06Z,public,Illumina MiSeq,metagenome,MMPC45547467ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-05-08T09:35:00Z,1,SAMEA6870406,MMPC-3103108-ST-0,Illumina,ERP122062,MMPC-3103108-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
ERR9294442,AMPLICON,502,13844658,PRJEB38625,SAMEA6870408,7877066,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",2022-03-18,2022-03-18,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836084,SAMEA6870408,human-associated,European Molecular Biology Laboratory,2022-03-18T00:40:07Z,2022-03-18T00:40:07Z,public,Illumina MiSeq,metagenome,MMPC66174878ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-05-08T09:35:00Z,1,SAMEA6870408,MMPC-3103109-ST-0,Illumina,ERP122062,MMPC-3103109-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
ERR9294443,AMPLICON,502,13419966,PRJEB38625,SAMEA6870410,7513035,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",2022-03-18,2022-03-18,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836085,SAMEA6870410,human-associated,European Molecular Biology Laboratory,2022-03-18T00:40:07Z,2022-03-18T00:40:07Z,public,Illumina MiSeq,metagenome,MMPC91082775ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-05-08T09:35:00Z,1,SAMEA6870410,MMPC-3103111-ST-0,Illumina,ERP122062,MMPC-3103111-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
ERR9294444,AMPLICON,502,1163134,PRJEB38625,SAMEA6870412,738757,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",2022-03-18,2022-03-20,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836086,SAMEA6870412,human-associated,European Molecular Biology Laboratory,2022-03-18T00:40:07Z,2022-03-18T00:40:07Z,public,Illumina MiSeq,metagenome,MMPC29677848ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-05-17T16:40:00Z,1,SAMEA6870412,MMPC-3103112-ST-0,Illumina,ERP122062,MMPC-3103112-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
