Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ena_last_update,environment_(biome),environment_(feature),environment_(material),Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),human_associated_environmental_package,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,Sequencing_method,SRA Study,Submitter_Id
ERR9190635,WGS,115,2578187187,PRJEB42013,SAMEA13321935,1016921451,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2022-03-11,2022-03-11,2022-03-17,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8733438,SAMEA13321935,Germany,Europe,Germany,50.110882,8.67949,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T20:41:15Z,2022-03-11T20:41:15Z,public,Illumina HiSeq 4000,metagenome,264028,PAIRED,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-03-12T00:00:00Z,2022-05-07T02:17:00Z,1,SAMEA13321935,MBJT94530819ST,illumina,ERP125872,MBJT94530819ST
ERR9190636,WGS,136,2717786037,PRJEB42013,SAMEA13321874,927146749,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",2022-03-11,2022-03-11,2022-03-17,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8733439,SAMEA13321874,Germany,Europe,Germany,50.110882,8.67949,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T20:41:15Z,2022-03-11T20:41:15Z,public,Illumina HiSeq 4000,metagenome,264029,PAIRED,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-03-12T00:00:00Z,2022-05-07T02:14:00Z,1,SAMEA13321874,MBJT26681707ST,illumina,ERP125872,MBJT26681707ST
ERR9190637,WGS,118,2596926270,PRJEB42013,SAMEA13321866,1012670954,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2022-03-11,2022-03-11,2022-03-17,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8733440,SAMEA13321866,Germany,Europe,Germany,50.110882,8.67949,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T20:41:15Z,2022-03-11T20:41:15Z,public,Illumina HiSeq 4000,metagenome,264030,PAIRED,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-03-12T00:00:00Z,2022-05-07T02:16:00Z,1,SAMEA13321866,MBJT19739988ST,illumina,ERP125872,MBJT19739988ST
ERR9190638,WGS,134,2146350379,PRJEB42013,SAMEA13321896,744737146,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",2022-03-11,2022-03-11,2022-03-17,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8733441,SAMEA13321896,Germany,Europe,Germany,50.110882,8.67949,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T20:41:15Z,2022-03-11T20:41:15Z,public,Illumina HiSeq 4000,metagenome,264031,PAIRED,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-03-12T00:00:00Z,2022-05-07T02:10:00Z,1,SAMEA13321896,MBJT47759212ST,illumina,ERP125872,MBJT47759212ST
ERR9190639,WGS,134,3085472885,PRJEB42013,SAMEA13321885,1074580458,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",2022-03-11,2022-03-11,2022-03-17,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8733442,SAMEA13321885,Germany,Europe,Germany,50.110882,8.67949,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T20:41:15Z,2022-03-11T20:41:15Z,public,Illumina HiSeq 4000,metagenome,264032,PAIRED,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-03-12T00:00:00Z,2022-05-07T02:13:00Z,1,SAMEA13321885,MBJT40435704ST,illumina,ERP125872,MBJT40435704ST
ERR9190640,WGS,114,2311970322,PRJEB42013,SAMEA13321887,920564271,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",2022-03-11,2022-03-11,2022-03-17,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8733443,SAMEA13321887,Germany,Europe,Germany,50.110882,8.67949,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T20:41:15Z,2022-03-11T20:41:15Z,public,Illumina HiSeq 4000,metagenome,264033,PAIRED,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-03-12T00:00:00Z,2022-05-07T02:25:00Z,1,SAMEA13321887,MBJT40707177ST,illumina,ERP125872,MBJT40707177ST
ERR9190641,WGS,134,2885406980,PRJEB42013,SAMEA13321919,1000601122,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",2022-03-11,2022-03-11,2022-03-17,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8733444,SAMEA13321919,Germany,Europe,Germany,50.110882,8.67949,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T20:41:15Z,2022-03-11T20:41:15Z,public,Illumina HiSeq 4000,metagenome,264034,PAIRED,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-03-12T00:00:00Z,2022-05-07T02:16:00Z,1,SAMEA13321919,MBJT75354344ST,illumina,ERP125872,MBJT75354344ST
ERR9190642,WGS,133,2793835825,PRJEB42013,SAMEA13321872,982269101,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2022-03-11,2022-03-11,2022-03-17,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8733445,SAMEA13321872,Germany,Europe,Germany,50.110882,8.67949,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T20:41:15Z,2022-03-11T20:41:15Z,public,Illumina HiSeq 4000,metagenome,264035,PAIRED,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-03-12T00:00:00Z,2022-05-07T02:10:00Z,1,SAMEA13321872,MBJT24770375ST,illumina,ERP125872,MBJT24770375ST
ERR9190645,WGS,111,2283101326,PRJEB42013,SAMEA13321925,927365287,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",2022-03-11,2022-03-11,2022-03-17,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8733448,SAMEA13321925,Germany,Europe,Germany,50.110882,8.67949,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T20:41:15Z,2022-03-11T20:41:15Z,public,Illumina HiSeq 4000,metagenome,264038,PAIRED,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-03-12T00:00:00Z,2022-05-07T02:16:00Z,1,SAMEA13321925,MBJT83133832ST,illumina,ERP125872,MBJT83133832ST
ERR9190646,WGS,135,2893496970,PRJEB42013,SAMEA13321936,1003920297,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2020,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2022-03-11,2022-03-11,2022-03-17,2022-03-11,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8733449,SAMEA13321936,Germany,Europe,Germany,50.110882,8.67949,human-gut,EMBL,European Molecular Biology Laboratory,2022-03-11T20:41:15Z,2022-03-11T20:41:15Z,public,Illumina HiSeq 4000,metagenome,264039,PAIRED,RANDOM PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Kartal_2021_pancreatic_cancer_Germany,2022-03-12T00:00:00Z,2022-05-07T02:27:00Z,1,SAMEA13321936,MBJT97792954ST,illumina,ERP125872,MBJT97792954ST
