Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolate,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,SRA Study,strain,temp
SRR2034854,CLONE,552,8329960,PRJNA284542,SAMN03701262,"Microbe\, viral or environmental",17565627,MAJORBIO,2012-06,public,"sra,sff,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX1035032,China,Asia,China:Shanghai,missing,454 GS FLX Titanium,missing,missing,533R_27F: C1,SINGLE,PCR,METAGENOMIC,gut metagenome,LS454,2016-05-20T00:00:00Z,2015-05-22T09:14:00Z,1,C1,enviroment sample,SRP058565,missing,1
SRR2034855,CLONE,542,8670834,PRJNA284542,SAMN03701263,"Microbe\, viral or environmental",18112797,MAJORBIO,2012-06,public,"sff,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX1035033,China,Asia,China:Shanghai,missing,454 GS FLX Titanium,missing,missing,533R_27F: C2,SINGLE,PCR,METAGENOMIC,gut metagenome,LS454,2016-05-20T00:00:00Z,2015-05-22T09:13:00Z,1,C2,enviroment sample,SRP058565,missing,2
SRR2034856,CLONE,544,7682757,PRJNA284542,SAMN03701264,"Microbe\, viral or environmental",16349230,MAJORBIO,2012-06,public,"sff,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX1035034,China,Asia,China:Shanghai,missing,454 GS FLX Titanium,missing,missing,533R_27F: C3,SINGLE,PCR,METAGENOMIC,gut metagenome,LS454,2016-05-20T00:00:00Z,2015-05-22T09:13:00Z,1,C3,enviroment sample,SRP058565,missing,3
SRR2034857,CLONE,548,5557743,PRJNA284542,SAMN03701265,"Microbe\, viral or environmental",11791042,MAJORBIO,2012-06,public,"sff,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX1035035,China,Asia,China:Shanghai,missing,454 GS FLX Titanium,missing,missing,533R_27F: C4,SINGLE,PCR,METAGENOMIC,gut metagenome,LS454,2016-05-20T00:00:00Z,2015-05-22T09:12:00Z,1,C4,enviroment sample,SRP058565,missing,4
SRR2034858,CLONE,569,16328118,PRJNA284542,SAMN03701266,"Microbe\, viral or environmental",35097380,MAJORBIO,2012-06,public,"sff,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX1035036,China,Asia,China:Shanghai,missing,454 GS FLX Titanium,missing,missing,533R_27F: C5,SINGLE,PCR,METAGENOMIC,gut metagenome,LS454,2016-05-20T00:00:00Z,2015-05-22T09:12:00Z,1,C5,enviroment sample,SRP058565,missing,5
SRR2034859,CLONE,550,7163028,PRJNA284542,SAMN03701267,"Microbe\, viral or environmental",15281267,MAJORBIO,2012-06,public,"run.zq,sff,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX1035037,China,Asia,China:Shanghai,missing,454 GS FLX Titanium,missing,missing,533R_27F: C6,SINGLE,PCR,METAGENOMIC,gut metagenome,LS454,2016-05-20T00:00:00Z,2015-05-22T09:12:00Z,1,C6,enviroment sample,SRP058565,missing,6
SRR2034860,CLONE,548,8407521,PRJNA284542,SAMN03701268,"Microbe\, viral or environmental",17626465,MAJORBIO,2012-06,public,"sra,run.zq,sff","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX1035038,China,Asia,China:Shanghai,missing,454 GS FLX Titanium,missing,missing,533R_27F: C7,SINGLE,PCR,METAGENOMIC,gut metagenome,LS454,2016-05-20T00:00:00Z,2015-05-22T09:12:00Z,1,C7,enviroment sample,SRP058565,missing,7
SRR2034861,CLONE,535,8425106,PRJNA284542,SAMN03701269,"Microbe\, viral or environmental",17555464,MAJORBIO,2012-06,public,"sff,run.zq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX1035039,China,Asia,China:Shanghai,missing,454 GS FLX Titanium,missing,missing,533R_27F: C8,SINGLE,PCR,METAGENOMIC,gut metagenome,LS454,2016-05-20T00:00:00Z,2015-05-22T09:12:00Z,1,C8,enviroment sample,SRP058565,missing,8
SRR2034862,CLONE,551,8135024,PRJNA284542,SAMN03701270,"Microbe\, viral or environmental",17070382,MAJORBIO,2012-06,public,"run.zq,sra,sff","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX1035040,China,Asia,China:Shanghai,missing,454 GS FLX Titanium,missing,missing,533R_27F: C9,SINGLE,PCR,METAGENOMIC,gut metagenome,LS454,2016-05-20T00:00:00Z,2015-05-22T09:12:00Z,1,C9,enviroment sample,SRP058565,missing,9
SRR2034863,CLONE,562,8109869,PRJNA284542,SAMN03701271,"Microbe\, viral or environmental",17097434,MAJORBIO,2012-06,public,"sra,run.zq,sff","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX1035041,China,Asia,China:Shanghai,missing,454 GS FLX Titanium,missing,missing,533R_27F: C10,SINGLE,PCR,METAGENOMIC,gut metagenome,LS454,2016-05-20T00:00:00Z,2015-05-22T09:12:00Z,1,C10,enviroment sample,SRP058565,missing,10
SRR2034864,CLONE,550,8190876,PRJNA284542,SAMN03701272,"Microbe\, viral or environmental",17331837,MAJORBIO,2012-06,public,"run.zq,sff,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX1035042,China,Asia,China:Shanghai,missing,454 GS FLX Titanium,missing,missing,533R_27F: C11,SINGLE,PCR,METAGENOMIC,gut metagenome,LS454,2016-05-20T00:00:00Z,2015-05-22T09:12:00Z,1,C11,enviroment sample,SRP058565,missing,11
SRR2034865,CLONE,543,6503441,PRJNA284542,SAMN03701273,"Microbe\, viral or environmental",13793767,MAJORBIO,2012-06,public,"sra,run.zq,sff","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX1035043,China,Asia,China:Shanghai,missing,454 GS FLX Titanium,missing,missing,533R_27F: C12,SINGLE,PCR,METAGENOMIC,gut metagenome,LS454,2016-05-20T00:00:00Z,2015-05-22T09:12:00Z,1,C12,enviroment sample,SRP058565,missing,12
SRR2034866,CLONE,538,9567941,PRJNA284542,SAMN03701274,"Microbe\, viral or environmental",20167824,MAJORBIO,2012-06,public,"run.zq,sff,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX1035044,China,Asia,China:Shanghai,missing,454 GS FLX Titanium,missing,missing,533R_27F: C13,SINGLE,PCR,METAGENOMIC,gut metagenome,LS454,2016-05-20T00:00:00Z,2015-05-22T09:12:00Z,1,C13,enviroment sample,SRP058565,missing,13
