Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate?,Sample Name,SRA Study,create_date,version
SRR6456128,WGS,300,5504536200,PRJNA429097,SAMN08335139,Metagenome or environmental,2277724566,"WHEALTHGENE CO., LTD.",2016-02-29,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546862,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02174,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 112,K0000079,SRP128485,2018-01-09T23:04:00Z,1
SRR6456129,WGS,300,5840232300,PRJNA429097,SAMN08335140,Metagenome or environmental,2346864508,"WHEALTHGENE CO., LTD.",2016-03-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546861,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02101,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 113,K0000080,SRP128485,2018-01-09T23:09:00Z,1
SRR6456130,WGS,300,4778163600,PRJNA429097,SAMN08335141,Metagenome or environmental,2014881009,"WHEALTHGENE CO., LTD.",2016-03-13,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546860,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02136,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 114,K0000081,SRP128485,2018-01-09T23:08:00Z,1
SRR6456131,WGS,300,5500262400,PRJNA429097,SAMN08335142,Metagenome or environmental,2205591785,"WHEALTHGENE CO., LTD.",2016-03-15,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546859,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02102,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 115,K0000082,SRP128485,2018-01-09T23:04:00Z,1
SRR6456132,WGS,300,5254809900,PRJNA429097,SAMN08335135,Metagenome or environmental,2089716402,"WHEALTHGENE CO., LTD.",2016-03-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546858,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02123,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 108,K0000074,SRP128485,2018-01-09T23:22:00Z,1
SRR6456133,WGS,300,6523509000,PRJNA429097,SAMN08335136,Metagenome or environmental,2663338728,"WHEALTHGENE CO., LTD.",2016-03-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546857,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02179,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 109,K0000076,SRP128485,2018-01-09T23:08:00Z,1
SRR6456134,WGS,300,5759520600,PRJNA429097,SAMN08335137,Metagenome or environmental,2303103893,"WHEALTHGENE CO., LTD.",2016-03-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546856,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02099,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 110,K0000077,SRP128485,2018-01-09T23:04:00Z,1
SRR6456135,WGS,300,6194281200,PRJNA429097,SAMN08335138,Metagenome or environmental,2479528756,"WHEALTHGENE CO., LTD.",2016-02-29,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546855,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02100,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 111,K0000078,SRP128485,2018-01-09T23:15:00Z,1
SRR6456136,WGS,300,6400563000,PRJNA429097,SAMN08335143,Metagenome or environmental,2574194737,"WHEALTHGENE CO., LTD.",2016-04-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546854,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02103,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 116,K0000083,SRP128485,2018-01-09T23:05:00Z,1
SRR6456137,WGS,300,4648677300,PRJNA429097,SAMN08335144,Metagenome or environmental,1994594529,"WHEALTHGENE CO., LTD.",2016-04-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3546853,China,Asia,China: ChongQing,Homo sapiens,HiSeq X Ten,feces,not collected,DME02104,PAIRED,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,2019-01-01T00:00:00Z,Metagenome of human feacal replicate 117,K0000084,SRP128485,2018-01-09T23:05:00Z,1
