Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_type,SRA Study,create_date,version
SRR6498076,AMPLICON,502,31916658,PRJNA430990,SAMN08381562,Metagenome or environmental,19477634,NATIONAL CHIAO TUNG UNIVERSITY,2015-11-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3587279,Taiwan,Asia,Taiwan,Homo sapiens,Illumina MiSeq,stool,missing,Stool_P064,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-01-24T00:00:00Z,Stool_P064,stool,SRP131074,2018-01-23T17:38:00Z,1
SRR6498077,AMPLICON,502,34878960,PRJNA430990,SAMN08381561,Metagenome or environmental,22115136,NATIONAL CHIAO TUNG UNIVERSITY,2015-11-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3587278,Taiwan,Asia,Taiwan,Homo sapiens,Illumina MiSeq,stool,missing,Stool_P063,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-01-24T00:00:00Z,Stool_P063,stool,SRP131074,2018-01-23T17:38:00Z,1
SRR6498078,AMPLICON,502,32418156,PRJNA430990,SAMN08381554,Metagenome or environmental,19910679,NATIONAL CHIAO TUNG UNIVERSITY,2015-11-18,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3587277,Taiwan,Asia,Taiwan,Homo sapiens,Illumina MiSeq,stool,missing,Stool_P055,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-01-24T00:00:00Z,Stool_P055,stool,SRP131074,2018-01-23T17:38:00Z,1
SRR6498079,AMPLICON,502,33126478,PRJNA430990,SAMN08381553,Metagenome or environmental,20347668,NATIONAL CHIAO TUNG UNIVERSITY,2015-11-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3587276,Taiwan,Asia,Taiwan,Homo sapiens,Illumina MiSeq,stool,missing,Stool_P054,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-01-24T00:00:00Z,Stool_P054,stool,SRP131074,2018-01-23T17:39:00Z,1
SRR6498080,AMPLICON,502,30298210,PRJNA430990,SAMN08381556,Metagenome or environmental,18718432,NATIONAL CHIAO TUNG UNIVERSITY,2015-11-18,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3587275,Taiwan,Asia,Taiwan,Homo sapiens,Illumina MiSeq,stool,missing,Stool_P057,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-01-24T00:00:00Z,Stool_P057,stool,SRP131074,2018-01-23T17:39:00Z,1
SRR6498081,AMPLICON,502,34492420,PRJNA430990,SAMN08381555,Metagenome or environmental,20592192,NATIONAL CHIAO TUNG UNIVERSITY,2015-11-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3587274,Taiwan,Asia,Taiwan,Homo sapiens,Illumina MiSeq,stool,missing,Stool_P056,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-01-24T00:00:00Z,Stool_P056,stool,SRP131074,2018-01-23T17:39:00Z,1
SRR6498082,AMPLICON,502,31272090,PRJNA430990,SAMN08381558,Metagenome or environmental,19240021,NATIONAL CHIAO TUNG UNIVERSITY,2015-11-18,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3587273,Taiwan,Asia,Taiwan,Homo sapiens,Illumina MiSeq,stool,missing,Stool_P059,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-01-24T00:00:00Z,Stool_P059,stool,SRP131074,2018-01-23T17:39:00Z,1
SRR6498083,AMPLICON,502,33489926,PRJNA430990,SAMN08381557,Metagenome or environmental,21696966,NATIONAL CHIAO TUNG UNIVERSITY,2015-11-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3587272,Taiwan,Asia,Taiwan,Homo sapiens,Illumina MiSeq,stool,missing,Stool_P058,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-01-24T00:00:00Z,Stool_P058,stool,SRP131074,2018-01-23T17:40:00Z,1
SRR6498084,AMPLICON,502,31346386,PRJNA430990,SAMN08381560,Metagenome or environmental,19475101,NATIONAL CHIAO TUNG UNIVERSITY,2015-11-18,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3587271,Taiwan,Asia,Taiwan,Homo sapiens,Illumina MiSeq,stool,missing,Stool_P061,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-01-24T00:00:00Z,Stool_P061,stool,SRP131074,2018-01-23T17:40:00Z,1
SRR6498085,AMPLICON,502,37535544,PRJNA430990,SAMN08381559,Metagenome or environmental,23208989,NATIONAL CHIAO TUNG UNIVERSITY,2015-11-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3587270,Taiwan,Asia,Taiwan,Homo sapiens,Illumina MiSeq,stool,missing,Stool_P060,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-01-24T00:00:00Z,Stool_P060,stool,SRP131074,2018-01-23T17:40:00Z,1
