Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_material_id,SRA Study,create_date,version
SRR7212562,WGS,300,11238490500,PRJNA453965,SAMN08993548,Metagenome or environmental,4545800355,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-10-12,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX4119864,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076300,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-06-10T00:00:00Z,WGC076300,WGC076300D,SRP145558,2018-05-24T09:15:00Z,1
SRR7212563,WGS,300,9896632200,PRJNA453965,SAMN08993549,Metagenome or environmental,4225669364,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-10-13,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX4119863,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076308,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-06-10T00:00:00Z,WGC076308,WGC076308D,SRP145558,2018-05-24T09:15:00Z,1
SRR7212564,WGS,300,11274945600,PRJNA453965,SAMN08993519,Metagenome or environmental,4760181422,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-09-29,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX4119862,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076491,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-06-10T00:00:00Z,WGC076491,WGC076491D,SRP145558,2018-05-24T09:19:00Z,1
SRR7212565,WGS,300,9994636800,PRJNA453965,SAMN08993518,Metagenome or environmental,4323049048,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-05-10,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX4119861,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076270,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-06-10T00:00:00Z,WGC076270,WGC076270D,SRP145558,2018-05-24T09:13:00Z,1
SRR7212566,WGS,300,11431222800,PRJNA453965,SAMN08993540,Metagenome or environmental,4821516472,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2016-02-12,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX4119860,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076466,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-06-10T00:00:00Z,WGC076466,WGC076466D,SRP145558,2018-05-24T09:18:00Z,1
SRR7212567,WGS,300,12791345700,PRJNA453965,SAMN08993541,Metagenome or environmental,4983488353,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-10-30,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX4119859,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076527,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-06-10T00:00:00Z,WGC076527,WGC076527D,SRP145558,2018-05-24T09:17:00Z,1
SRR7212568,WGS,300,11644829700,PRJNA453965,SAMN08993542,Metagenome or environmental,5113581525,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-03-26,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX4119858,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076265,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-06-10T00:00:00Z,WGC076265,WGC076265D,SRP145558,2018-05-24T09:24:00Z,1
SRR7212569,WGS,300,8165825700,PRJNA453965,SAMN08993543,Metagenome or environmental,3602677917,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-10-16,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX4119857,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076493,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-06-10T00:00:00Z,WGC076493,WGC076493D,SRP145558,2018-05-24T09:15:00Z,1
SRR7212570,WGS,300,10634704500,PRJNA453965,SAMN08993544,Metagenome or environmental,4466543506,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-03-30,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX4119856,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076485,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-06-10T00:00:00Z,WGC076485,WGC076485D,SRP145558,2018-05-24T09:17:00Z,1
SRR7212571,WGS,300,12179403300,PRJNA453965,SAMN08993545,Metagenome or environmental,4852244891,"CENTER FOR GENOMIC AND PERSONALIZED MEDICINE, GUANGXI MEDICAL UNIVERSITY",2015-11-13,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX4119855,China,Asia,China:Nanning,Homo sapiens,HiSeq X Ten,22.79 N 108.34 E,WGC076518,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-06-10T00:00:00Z,WGC076518,WGC076518D,SRP145558,2018-05-24T09:26:00Z,1
