Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,create_date,version
SRR8266576,AMPLICON,602,25162396,PRJNA507734,SAMN10503050,Metagenome or environmental,15365690,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083560,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-10,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,FY-12,SRP171599,2018-11-30T10:19:00Z,1
SRR8266577,AMPLICON,602,37514834,PRJNA507734,SAMN10503095,Metagenome or environmental,23296884,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083559,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-25,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-71,SRP171599,2018-11-30T10:20:00Z,1
SRR8266578,AMPLICON,602,22937404,PRJNA507734,SAMN10503100,Metagenome or environmental,14279462,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083558,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-30,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-78,SRP171599,2018-11-30T10:20:00Z,1
SRR8266579,AMPLICON,602,23915654,PRJNA507734,SAMN10503045,Metagenome or environmental,14267320,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083557,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,EY-39,SRP171599,2018-11-30T10:20:00Z,1
SRR8266580,AMPLICON,602,26304992,PRJNA507734,SAMN10503046,Metagenome or environmental,15803583,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083556,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-6,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,EY-40,SRP171599,2018-11-30T10:20:00Z,1
SRR8266581,AMPLICON,602,21939890,PRJNA507734,SAMN10503085,Metagenome or environmental,13304926,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083555,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,lc-15,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,SY-57,SRP171599,2018-11-30T10:20:00Z,1
SRR8266582,AMPLICON,602,38384122,PRJNA507734,SAMN10503048,Metagenome or environmental,23618627,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083554,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-8,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,FY-10,SRP171599,2018-11-30T10:20:00Z,1
SRR8266583,AMPLICON,602,20942376,PRJNA507734,SAMN10503041,Metagenome or environmental,12859672,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083553,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,EY-25,SRP171599,2018-11-30T10:20:00Z,1
SRR8266584,AMPLICON,602,37794764,PRJNA507734,SAMN10503042,Metagenome or environmental,22983419,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083552,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,EY-28,SRP171599,2018-11-30T10:20:00Z,1
SRR8266585,AMPLICON,602,32148606,PRJNA507734,SAMN10503043,Metagenome or environmental,19485815,HARBIN MEDICAL UNIVERSITY,2017-09-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5083551,China,Asia,China,missing,Illumina MiSeq,missing,not applicable,hv-3,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-11-30T00:00:00Z,EY-33,SRP171599,2018-11-30T10:20:00Z,1
