Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_material_id,SRA Study
SRR12730841,WGS,241,527722262,PRJNA665854,SAMN16273818,Metagenome or environmental,368055744,KANAZAWA UNIVERSITY,2015-02-06,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX9204252,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,HD46,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-29T00:00:00Z,2020-09-29T00:01:00Z,1,Sample51c,HD46,SRP285652
SRR12730842,WGS,533,254448191,PRJNA665854,SAMN16273817,Metagenome or environmental,148719197,KANAZAWA UNIVERSITY,2015-01-30,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX9204251,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,HD44,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-29T00:00:00Z,2020-09-29T00:00:00Z,1,Sample96c,HD44,SRP285652
SRR12730843,WGS,565,243935892,PRJNA665854,SAMN16273816,Metagenome or environmental,148308268,KANAZAWA UNIVERSITY,2015-01-15,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX9204250,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,HD43,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-29T00:00:00Z,2020-09-29T00:00:00Z,1,Sample95c,HD43,SRP285652
SRR12730844,WGS,537,489084200,PRJNA665854,SAMN16273815,Metagenome or environmental,302463628,KANAZAWA UNIVERSITY,2014-11-20,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX9204249,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,feces,36.55 N 136.67 E,HD39,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:36:00Z,1,Sample202,HD39,SRP285652
SRR12730845,WGS,545,321474541,PRJNA665854,SAMN16273865,Metagenome or environmental,175608667,KANAZAWA UNIVERSITY,2019-06-27,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX9204248,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,saliva,36.55 N 136.67 E,SPK29,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:35:00Z,1,Sample236,SPK29,SRP285652
SRR12730846,WGS,477,388488145,PRJNA665854,SAMN16273864,Metagenome or environmental,217848896,KANAZAWA UNIVERSITY,2019-04-24,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX9204247,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,saliva,36.55 N 136.67 E,SPK27,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:35:00Z,1,Sample221,SPK27,SRP285652
SRR12730847,WGS,451,1418247391,PRJNA665854,SAMN16273863,Metagenome or environmental,717359854,KANAZAWA UNIVERSITY,2019-04-12,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX9204246,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,saliva,36.55 N 136.67 E,SPK26,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:38:00Z,1,Sample259,SPK26,SRP285652
SRR12730848,WGS,512,578552738,PRJNA665854,SAMN16273862,Metagenome or environmental,325315570,KANAZAWA UNIVERSITY,2019-04-11,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX9204245,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,saliva,36.55 N 136.67 E,SPK25,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:35:00Z,1,Sample219,SPK25,SRP285652
SRR12730849,WGS,498,541431436,PRJNA665854,SAMN16273861,Metagenome or environmental,298938306,KANAZAWA UNIVERSITY,2019-04-05,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX9204244,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,saliva,36.55 N 136.67 E,SPK23,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:36:00Z,1,Sample218,SPK23,SRP285652
SRR12730850,WGS,511,498062753,PRJNA665854,SAMN16273860,Metagenome or environmental,279848545,KANAZAWA UNIVERSITY,2019-03-29,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX9204243,Japan,Asia,Japan: Kanazawa,Homo sapiens,Illumina MiSeq,saliva,36.55 N 136.67 E,SPK22,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,2020-09-28T00:00:00Z,2020-09-28T15:35:00Z,1,Sample217,SPK22,SRP285652
