Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,Group1,Group,lat_lon,tissue,isolate,replicate,sample_type,strain
SRR31014814,AMPLICON,285,5905112,PRJNA736821,SAMN44309301,"Microbe\, viral or environmental",2065337,ZHEJIANG CHINESE MEDICAL UNIVERSITY,2023-02-13,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX26402202,China,Asia,China:Hangzhou,not applicable,Illumina NovaSeq 6000,not collected,PCRcontrol5,SINGLE,PCR,GENOMIC,Enterobacteriaceae,ILLUMINA,2025-01-02T00:00:00Z,2025-01-02T15:16:00Z,1,PCRcontrol5,SRP323777,,,,,not collected,PCRcontrol5,Negative control,not collected
SRR31014815,AMPLICON,285,6036077,PRJNA736821,SAMN44309300,"Microbe\, viral or environmental",2083557,ZHEJIANG CHINESE MEDICAL UNIVERSITY,2023-02-13,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX26402201,China,Asia,China:Hangzhou,not applicable,Illumina NovaSeq 6000,not collected,PCRcontrol4,SINGLE,PCR,GENOMIC,Enterobacteriaceae,ILLUMINA,2025-01-02T00:00:00Z,2025-01-02T15:16:00Z,1,PCRcontrol4,SRP323777,,,,,not collected,PCRcontrol4,Negative control,not collected
SRR31014816,AMPLICON,286,5850636,PRJNA736821,SAMN44309299,"Microbe\, viral or environmental",1996442,ZHEJIANG CHINESE MEDICAL UNIVERSITY,2023-02-13,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX26402200,China,Asia,China:Hangzhou,not applicable,Illumina NovaSeq 6000,not collected,PCRcontrol3,SINGLE,PCR,GENOMIC,Enterobacteriaceae,ILLUMINA,2025-01-02T00:00:00Z,2025-01-02T15:16:00Z,1,PCRcontrol3,SRP323777,,,,,not collected,PCRcontrol3,Negative control,not collected
SRR31014817,AMPLICON,285,6046376,PRJNA736821,SAMN44309298,"Microbe\, viral or environmental",2075090,ZHEJIANG CHINESE MEDICAL UNIVERSITY,2023-02-13,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX26402199,China,Asia,China:Hangzhou,not applicable,Illumina NovaSeq 6000,not collected,PCRcontrol2,SINGLE,PCR,GENOMIC,Enterobacteriaceae,ILLUMINA,2025-01-02T00:00:00Z,2025-01-02T15:16:00Z,1,PCRcontrol2,SRP323777,,,,,not collected,PCRcontrol2,Negative control,not collected
SRR31014818,AMPLICON,290,6359494,PRJNA736821,SAMN44309297,"Microbe\, viral or environmental",2161382,ZHEJIANG CHINESE MEDICAL UNIVERSITY,2023-02-13,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX26402198,China,Asia,China:Hangzhou,not applicable,Illumina NovaSeq 6000,not collected,PCRcontrol1,SINGLE,PCR,GENOMIC,Enterobacteriaceae,ILLUMINA,2025-01-02T00:00:00Z,2025-01-02T15:16:00Z,1,PCRcontrol1,SRP323777,,,,,not collected,PCRcontrol1,Negative control,not collected
SRR31014819,AMPLICON,291,5949207,PRJNA736821,SAMN44309296,"Microbe\, viral or environmental",2003861,ZHEJIANG CHINESE MEDICAL UNIVERSITY,2023-02-13,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX26402197,China,Asia,China:Hangzhou,not applicable,Illumina NovaSeq 6000,not collected,DNAcontrol5,SINGLE,PCR,GENOMIC,Enterobacteriaceae,ILLUMINA,2025-01-02T00:00:00Z,2025-01-02T15:16:00Z,1,DNAcontrol5,SRP323777,,,,,not collected,DNAcontrol5,Negative control,not collected
SRR31014820,AMPLICON,291,5955236,PRJNA736821,SAMN44309295,"Microbe\, viral or environmental",2016220,ZHEJIANG CHINESE MEDICAL UNIVERSITY,2023-02-13,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX26402196,China,Asia,China:Hangzhou,not applicable,Illumina NovaSeq 6000,not collected,DNAcontrol4,SINGLE,PCR,GENOMIC,Enterobacteriaceae,ILLUMINA,2025-01-02T00:00:00Z,2025-01-02T15:17:00Z,1,DNAcontrol4,SRP323777,,,,,not collected,DNAcontrol4,Negative control,not collected
SRR31014821,AMPLICON,290,6000901,PRJNA736821,SAMN44309294,"Microbe\, viral or environmental",2034161,ZHEJIANG CHINESE MEDICAL UNIVERSITY,2023-02-13,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX26402195,China,Asia,China:Hangzhou,not applicable,Illumina NovaSeq 6000,not collected,DNAcontrol3,SINGLE,PCR,GENOMIC,Enterobacteriaceae,ILLUMINA,2025-01-02T00:00:00Z,2025-01-02T15:17:00Z,1,DNAcontrol3,SRP323777,,,,,not collected,DNAcontrol3,Negative control,not collected
SRR31014822,AMPLICON,290,6089437,PRJNA736821,SAMN44309293,"Microbe\, viral or environmental",2068162,ZHEJIANG CHINESE MEDICAL UNIVERSITY,2023-02-13,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX26402194,China,Asia,China:Hangzhou,not applicable,Illumina NovaSeq 6000,not collected,DNAcontrol2,SINGLE,PCR,GENOMIC,Enterobacteriaceae,ILLUMINA,2025-01-02T00:00:00Z,2025-01-02T15:16:00Z,1,DNAcontrol2,SRP323777,,,,,not collected,DNAcontrol2,Negative control,not collected
SRR31014823,AMPLICON,290,6082502,PRJNA736821,SAMN44309292,"Microbe\, viral or environmental",2055400,ZHEJIANG CHINESE MEDICAL UNIVERSITY,2023-02-13,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX26402193,China,Asia,China:Hangzhou,not applicable,Illumina NovaSeq 6000,not collected,DNAcontrol1,SINGLE,PCR,GENOMIC,Enterobacteriaceae,ILLUMINA,2025-01-02T00:00:00Z,2025-01-02T15:16:00Z,1,DNAcontrol1,SRP323777,,,,,not collected,DNAcontrol1,Negative control,not collected
