Run,Assay Type,AvgSpotLen,Bases,BioProject,Biosample_accession (run),BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ecotype,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isol_growth_condt,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,No.,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR15324917,AMPLICON,274,18961096,PRJNA751260,SAMN20518905,SAMN20518904,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",10732651,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-16,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",Qinghai,missing,missing,missing,SRX11629364,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,BC10,PAIRED,PCR,GENOMIC,19,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:20:00Z,1,BC10_1.fq,SRP330867
SRR15324919,AMPLICON,274,18834679,PRJNA751260,SAMN20518901,SAMN20518900,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",11284936,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-16,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",Qinghai,missing,missing,missing,SRX11629362,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,BC8,PAIRED,PCR,GENOMIC,15,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:20:00Z,1,BC8_1.fq,SRP330867
SRR15324920,AMPLICON,274,18745586,PRJNA751260,SAMN20519017,SAMN20519016,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",10563122,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-19,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",Qinghai,missing,missing,missing,SRX11629361,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,H20,PAIRED,PCR,GENOMIC,131,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:20:00Z,1,H20_1.fq,SRP330867
SRR15324921,AMPLICON,273,18711587,PRJNA751260,SAMN20519015,SAMN20519014,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",11348515,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-19,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",Qinghai,missing,missing,missing,SRX11629360,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,H19,PAIRED,PCR,GENOMIC,129,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:20:00Z,1,H19_1.fq,SRP330867
SRR15324922,AMPLICON,273,18740098,PRJNA751260,SAMN20519013,SAMN20519012,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",11385629,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-19,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",Qinghai,missing,missing,missing,SRX11629359,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,H18,PAIRED,PCR,GENOMIC,127,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:20:00Z,1,H18_1.fq,SRP330867
SRR15324923,AMPLICON,276,18875519,PRJNA751260,SAMN20519011,SAMN20519010,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",11391781,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-19,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",Qinghai,missing,missing,missing,SRX11629358,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,H17,PAIRED,PCR,GENOMIC,125,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:20:00Z,1,H17_1.fq,SRP330867
SRR15324925,AMPLICON,275,15182978,PRJNA751260,SAMN20519007,SAMN20519006,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",8553960,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-19,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",Qinghai,missing,missing,missing,SRX11629356,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,H15,PAIRED,PCR,GENOMIC,121,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:20:00Z,1,H15_1.fq,SRP330867
SRR15324926,AMPLICON,269,18488018,PRJNA751260,SAMN20518899,SAMN20518898,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",11545502,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-16,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Qinghai,missing,missing,missing,SRX11629355,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,BC7,PAIRED,PCR,GENOMIC,13,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:20:00Z,1,BC7_1.fq,SRP330867
SRR15324927,AMPLICON,274,18837371,PRJNA751260,SAMN20519005,SAMN20519004,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",10641222,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-10,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",Qinghai,missing,missing,missing,SRX11629354,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,H14,PAIRED,PCR,GENOMIC,119,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:20:00Z,1,H14_1.fq,SRP330867
SRR15324928,AMPLICON,275,18874601,PRJNA751260,SAMN20519003,SAMN20519002,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",11395288,AFFILIATED HOSPITAL OF QINGHAI UNIVERSITY,2021-01-10,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",Qinghai,missing,missing,missing,SRX11629353,China,Asia,"China:Qinghai\,Xi'ning",Homo sapiens,Illumina HiSeq 2500,missing,36.38 N 101.55 E,H13,PAIRED,PCR,GENOMIC,117,Prevotella,ILLUMINA,2022-09-23T00:00:00Z,2021-08-05T23:20:00Z,1,H13_1.fq,SRP330867
