Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,reads_tax,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR15647901,WGS,199,5179552505,PRJNA758208,SAMN21015670,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2210536847,REALBIO,2017,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",Human gut,gut microbiome,stool,SRX11945035,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0789,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0789clean,2021-09-02T00:00:00Z,2021-08-27T08:12:00Z,1,LZ-0789,SRP334399
SRR15647902,WGS,199,8661156893,PRJNA758208,SAMN21015669,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3668865169,REALBIO,2017,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",Human gut,gut microbiome,stool,SRX11945034,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0763,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0763clean,2021-09-02T00:00:00Z,2021-08-27T08:16:00Z,1,LZ-0763,SRP334399
SRR15647903,WGS,199,4118076721,PRJNA758208,SAMN21015668,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1749853575,REALBIO,2017,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",Human gut,gut microbiome,stool,SRX11945033,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0761,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0761clean,2021-09-02T00:00:00Z,2021-08-27T08:14:00Z,1,LZ-0761,SRP334399
SRR15647904,WGS,199,4185311542,PRJNA758208,SAMN21015667,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1772028328,REALBIO,2017,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",Human gut,gut microbiome,stool,SRX11945032,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0758,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0758clean,2021-09-02T00:00:00Z,2021-08-27T08:16:00Z,1,LZ-0758,SRP334399
SRR15647905,WGS,199,4699387920,PRJNA758208,SAMN21015666,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2006411670,REALBIO,2017,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",Human gut,gut microbiome,stool,SRX11945031,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0740,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0740clean,2021-09-02T00:00:00Z,2021-08-27T08:12:00Z,1,LZ-0740,SRP334399
SRR15647906,WGS,199,6529585599,PRJNA758208,SAMN21015665,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2761019702,REALBIO,2017,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",Human gut,gut microbiome,stool,SRX11945030,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0739,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0739clean,2021-09-02T00:00:00Z,2021-08-27T08:15:00Z,1,LZ-0739,SRP334399
SRR15647907,WGS,199,10931422205,PRJNA758208,SAMN21015664,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4616312841,REALBIO,2017,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",Human gut,gut microbiome,stool,SRX11945029,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0732,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0732clean,2021-09-02T00:00:00Z,2021-08-27T08:18:00Z,1,LZ-0732,SRP334399
SRR15647908,WGS,199,6825353632,PRJNA758208,SAMN21015583,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2731632327,REALBIO,2017,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Human gut,gut microbiome,stool,SRX11945028,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0148,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0148clean,2021-09-02T00:00:00Z,2021-08-27T08:14:00Z,1,LZ-0148,SRP334399
SRR15647909,WGS,199,5018481086,PRJNA758208,SAMN21015663,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2164167945,REALBIO,2017,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",Human gut,gut microbiome,stool,SRX11945027,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0711,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0711clean,2021-09-02T00:00:00Z,2021-08-27T08:17:00Z,1,LZ-0711,SRP334399
SRR15647910,WGS,199,4170452312,PRJNA758208,SAMN21015662,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1642912155,REALBIO,2017,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",Human gut,gut microbiome,stool,SRX11945026,China,Asia,China:Beijing,Homo sapiens,HiSeq X Ten,39.9 N 116.3 E,LZ-0670,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,LZ-0670clean,2021-09-02T00:00:00Z,2021-08-27T08:18:00Z,1,LZ-0670,SRP334399
