Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,ecotype,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isol_growth_condt,isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,strain
SRR17605893,AMPLICON,602,23006634,PRJNA796956,SAMN24934299,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",13282810,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774787,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S100,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T13:59:00Z,1,HC_SMJie,SRP354914,not applicable
SRR17605894,AMPLICON,602,33128662,PRJNA796956,SAMN24934298,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",18988808,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774786,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S99,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,HC_QSShan,SRP354914,not applicable
SRR17605895,AMPLICON,602,29209642,PRJNA796956,SAMN24934297,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",16488814,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774785,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S98,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,HC_MYShui,SRP354914,not applicable
SRR17605896,AMPLICON,602,28307244,PRJNA796956,SAMN24934296,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",16103369,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774784,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S97,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,HC_MYChao,SRP354914,not applicable
SRR17605897,AMPLICON,602,35839468,PRJNA796956,SAMN24934295,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",20393604,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774783,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S96,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,HC_LMXia,SRP354914,not applicable
SRR17605898,AMPLICON,602,31968608,PRJNA796956,SAMN24934294,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",18201047,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774782,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S95,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,HC_LDan,SRP354914,not applicable
SRR17605899,AMPLICON,602,32618768,PRJNA796956,SAMN24934293,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",18499163,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774781,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S94,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,HC_JCYou,SRP354914,not applicable
SRR17605900,AMPLICON,602,31599582,PRJNA796956,SAMN24934292,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",18462867,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774780,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S93,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,HC_HFan,SRP354914,not applicable
SRR17605901,AMPLICON,602,38973480,PRJNA796956,SAMN24934291,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",21046489,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774779,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S92,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,GJWen,SRP354914,not applicable
SRR17605902,AMPLICON,602,24725946,PRJNA796956,SAMN24934290,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",13339357,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774778,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S91,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,DJNan,SRP354914,not applicable
SRR17605903,AMPLICON,602,31339518,PRJNA796956,SAMN24934209,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",17420136,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774777,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S10,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,18DMHua,SRP354914,not applicable
SRR17605904,AMPLICON,602,28734664,PRJNA796956,SAMN24934289,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",15289920,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774776,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S90,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,CXHua,SRP354914,not applicable
SRR17605905,AMPLICON,602,30867550,PRJNA796956,SAMN24934288,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",16223606,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774775,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S89,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,CTLun,SRP354914,not applicable
SRR17605906,AMPLICON,602,26046734,PRJNA796956,SAMN24934287,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",14232759,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774774,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S88,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,CFeng,SRP354914,not applicable
SRR17605907,AMPLICON,602,24080602,PRJNA796956,SAMN24934286,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",12944097,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774773,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S87,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,c9,SRP354914,not applicable
SRR17605908,AMPLICON,602,26730606,PRJNA796956,SAMN24934285,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",14348607,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774772,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S86,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,c8,SRP354914,not applicable
SRR17605909,AMPLICON,602,25278582,PRJNA796956,SAMN24934284,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",13508149,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774771,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S85,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,c7,SRP354914,not applicable
SRR17605910,AMPLICON,602,43784664,PRJNA796956,SAMN24934283,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",23015396,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774770,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S84,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,c6,SRP354914,not applicable
SRR17605911,AMPLICON,602,20868330,PRJNA796956,SAMN24934282,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",11304757,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774769,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S83,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,C44,SRP354914,not applicable
SRR17605912,AMPLICON,602,22114470,PRJNA796956,SAMN24934281,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",12074102,SHANGHAI TENTH'S HOSPITAL,2022-01-07,public,not applicable,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,ENVO:00000428,ENVO:00000486,ENVO:00010483,SRX13774768,China,Asia,China,Homo sapiens,Illumina MiniSeq,PMID: 17934076,missing,31.35 N 120.31 E,S82,PAIRED,PCR,GENOMIC,Escherichia coli,ILLUMINA,2022-06-01T00:00:00Z,2022-01-13T14:00:00Z,1,C42,SRP354914,not applicable
