"Disease type","Project ID","Assay type","Adjusted variables","No. cases","No. controls","No. taxa"
"Chronic fatigue syndrome","PRJNA379741","Metagenomics","--",50,50,295
"Chronic fatigue syndrome","PRJNA751448","Metagenomics","--",106,91,264
"Chronic fatigue syndrome","PRJNA878603","Metagenomics","Age, Sex",146,92,218
"Chronic kidney failure","PRJEB65297","Metagenomics","--",124,111,234
"Chronic kidney failure","PRJNA449784","Metagenomics","--",223,69,311
"Crohn disease","PRJEB42155","Metagenomics","--",111,18,129
"Crohn disease","PRJEB76677","Metagenomics","--",14,24,255
"Crohn disease","PRJNA398089","Metagenomics","Age, Sex",593,363,179
"Crohn disease","PRJNA429990","Metagenomics","--",41,15,215
"Crohn disease","PRJNA793776","Metagenomics","Sex",41,89,274
"Crohn disease","PRJNA813736","Metagenomics","Age",19,48,226
"Crohn disease","PRJNA993675","Metagenomics","Sex",462,142,242
"Fibromyalgia","PRJEB80379","Metagenomics","--",17,22,284
"Fibromyalgia","PRJNA521587","Metagenomics","--",77,79,220
"IBS","PRJEB37924","Metagenomics","--",343,164,141
"IBS","PRJNA705217","Metagenomics","--",29,21,185
"Liver NAFLD","PRJEB55534","Metagenomics","--",153,20,270
"Obesity","PRJNA1125836","Metagenomics","--",63,28,314
"Psoriasis","PRJNA634145","Metagenomics","--",33,15,305
"Psoriasis","PRJNA938297","Metagenomics","Age",70,25,322
"Rheumatoid arthritis","PRJNA356102","Metagenomics","--",96,72,241
"Rheumatoid arthritis","PRJNA896336","Metagenomics","--",25,22,227
"Type 1 diabetes","PRJNA604850","Metagenomics","--",68,66,291
"Type 1 diabetes","PRJNA893406","Metagenomics","--",154,64,254
"Type 2 diabetes","PRJNA686835","Metagenomics","--",78,104,257
"Ulcerative colitis","PRJEB42155","Metagenomics","--",68,18,137
"Ulcerative colitis","PRJEB76677","Metagenomics","--",10,24,249
"Ulcerative colitis","PRJNA398089","Metagenomics","Sex",368,363,183
"Ulcerative colitis","PRJNA429990","Metagenomics","--",25,15,209
"Ulcerative colitis","PRJNA813736","Metagenomics","Age",20,48,243
"Ulcerative colitis","PRJNA983946","Metagenomics","Age",27,14,204
"Ulcerative colitis","PRJNA993675","Metagenomics","Age",302,142,250
