"Tumor type","Project ID","Assay type","Adjusted variables","No. cases","No. controls","No. taxa"
"Brain metastases","PRJNA626591","16S","Age",12,18,71
"Breast cancer","PRJNA345373","16S","--",47,47,76
"Breast cancer","PRJNA383849","16S","--",144,144,117
"Breast cancer","PRJNA658160","16S","--",395,429,103
"Colorectal cancer","PRJDB11246","16S","Age",669,513,126
"Colorectal cancer","PRJDB11845","16S","--",52,51,120
"Colorectal cancer","PRJEB36789","16S","Country",53,102,137
"Colorectal cancer","PRJEB37635","16S","Age, Sex",434,491,132
"Colorectal cancer","PRJEB50080","16S","--",32,25,93
"Colorectal cancer","PRJEB53415","16S","Age",46,43,131
"Colorectal cancer","PRJEB6070","WGS","Age, BMI, Country, Sex",592,476,48
"Colorectal cancer","PRJNA284542","16S","--",18,13,79
"Colorectal cancer","PRJNA290926","16S","Age, BMI, Sex",127,187,130
"Colorectal cancer","PRJNA430990","16S","--",36,119,94
"Colorectal cancer","PRJNA445640","16S","--",22,21,118
"Colorectal cancer","PRJNA453829","16S","--",85,31,69
"Colorectal cancer","PRJNA763872","16S","--",22,18,65
"Colorectal polyps","PRJEB37635","16S","Age, Sex",668,491,132
"Colorectal polyps","PRJEB50080","16S","--",22,25,89
"Colorectal polyps","PRJEB6070","WGS","Age, BMI, Country, Sex",220,476,50
"Colorectal polyps","PRJNA290926","16S","Age, Sex",225,187,126
"Colorectal polyps","PRJNA430990","16S","--",128,119,98
"Colorectal polyps","PRJNA534511","16S","--",108,76,101
"Colorectal polyps","PRJNA763872","16S","--",22,18,61
"Endometrial cancer","PRJNA833670","16S","--",18,18,132
"Esophageal ESCC","PRJNA698746","16S","Age",15,16,70
"Gastric cancer","PRJNA478252","16S","--",116,88,73
"Glioma","PRJNA626591","16S","--",35,18,68
"Hematologic ALL","PRJNA421352","16S","Sex",29,29,63
"Liver HCC","PRJNA428932","16S","--",57,33,128
"Lung NSCLC","PRJEB26531","16S","Age",96,139,113
"Melanoma","PRJEB35665","16S","--",20,16,95
"Meningioma","PRJNA626591","16S","--",18,18,68
"Pancreatic PDAC","PRJEB38625","WGS","--",134,106,56
"Thyroid cancer","PRJNA477766","16S","--",14,21,94
"Thyroid cancer","PRJNA796956","16S","--",31,10,74
