"CRC stage","Study","Label in Fig. 6","No. cases","No. controls","No. taxa"
"Adenoma","Cohort 3","IIGM_CZ",19,12,260
"Adenoma","Cohort 5","NHSII",435,448,254
"Adenoma","Feng, Q. (2015)","FengQ_2015",47,29,260
"Adenoma","Yachida, S. (2019)","YachidaS_2019",67,60,257
"Adenoma","Zeller, G. (2014)","ZellerG_2014",42,27,258
"Early","Cohort 3","IIGM_CZ",28,18,260
"Early","Cohort 4","IIGM_IT",32,20,259
"Early","Cohort 6","IIGM_TU",10,39,259
"Early","Feng, Q. (2015)","FengQ_2015",33,22,259
"Early","Gupta, A. (2019)","GuptaA_2019",12,12,168
"Early","Vogtmann, E. (2016)","VogtmannE_2016",12,14,260
"Early","Wirbel, J. (2019)","WirbelJ_2019",38,41,260
"Early","Yachida, S. (2019)","YachidaS_2019",184,164,257
"Early","Yang, J. (2020)","YangJ_2020",59,57,253
"Early","Yu, J. (2017)","YuJ_2017",42,31,260
"Early","Zeller, G. (2014)","ZellerG_2014",22,14,260
"Late","Cohort 3","IIGM_CZ",26,16,260
"Late","Cohort 4","IIGM_IT",23,14,251
"Late","Feng, Q. (2015)","FengQ_2015",12,10,259
"Late","Gupta, A. (2019)","GuptaA_2019",18,18,174
"Late","Vogtmann, E. (2016)","VogtmannE_2016",39,44,260
"Late","Wirbel, J. (2019)","WirbelJ_2019",22,24,259
"Late","Yachida, S. (2019)","YachidaS_2019",74,66,260
"Late","Yang, J. (2020)","YangJ_2020",39,38,255
"Late","Yu, J. (2017)","YuJ_2017",32,23,259
"Late","Zeller, G. (2014)","ZellerG_2014",31,20,259
