"application","context","n_studies","n_samples","n_case","n_control","case_frac","pct_female","median_age","sex_reported","age_reported","median_depth","n_countries","top_country","n_platforms","n_feature","cluster"
"pan-disease (GMrepo)","Arthritis, Rheumatoid",2,215,121,94,0.562790697674419,0,NA,0,0,21752504,1,"China",2,225,"C1"
"pan-disease (GMrepo)","Diabetes Mellitus, Type 1",2,352,222,130,0.630681818181818,27.2727272727273,31.9,27.2727272727273,38.0681818181818,21015806,2,"China",1,242,"C1"
"pan-disease (GMrepo)","Diabetes Mellitus, Type 2",1,182,78,104,0.428571428571429,0,NA,0,0,15734029.5,1,"China",1,200,"C1"
"pan-disease (GMrepo)","Fibromyalgia",2,195,94,101,0.482051282051282,80,48,80,79.4871794871795,8586275,2,"Canada",2,237,"C1"
"pan-disease (GMrepo)","Non-alcoholic Fatty Liver Disease",1,173,153,20,0.884393063583815,0,NA,0,0,48142908,1,"France",2,231,"C1"
"pan-disease (GMrepo)","Psoriasis",2,143,103,40,0.72027972027972,46.8531468531469,35,100,99.3006993006993,38585344,2,"China",2,241,"C1"
"pan-disease (GMrepo)","Colitis, Ulcerative",7,1444,820,624,0.56786703601108,48.4072022160665,30,93.1440443213296,84.3490304709141,11686042.5,5,"United States of America",4,243,"C2"
"pan-disease (GMrepo)","Crohn Disease",7,1980,1281,699,0.646969696969697,45.9090909090909,28,93.8888888888889,86.8686868686869,12145431,4,"United States of America",4,244,"C2"
"pan-disease (GMrepo)","Fatigue Syndrome, Chronic",3,535,302,233,0.564485981308411,72.5233644859813,46,100,81.3084112149533,19870731,1,"United States of America",4,233,"C2"
"pan-disease (GMrepo)","Irritable Bowel Syndrome",2,557,372,185,0.66786355475763,6.46319569120287,42.5,8.97666068222621,8.97666068222621,1667088,1,"United States of America",1,187,"C2"
"pan-disease (GMrepo)","Kidney Failure, Chronic",2,527,347,180,0.658444022770398,0,NA,0,0,30185295,1,"China",2,236,"C2"
"pan-disease (GMrepo)","Obesity",1,91,63,28,0.692307692307692,41.7582417582418,41,80.2197802197802,98.9010989010989,19681614,1,"Poland",1,228,"C2"
"pan-tumor (HGMT)","Endometrial Cancer",1,36,18,18,0.5,100,NA,100,0,6451202.72786392,NA,NA,1,132,"C1"
"pan-tumor (HGMT)","Hepatocellular Carcinoma",1,90,57,33,0.633333333333333,0,NA,0,0,7035239.08127682,1,"China",1,127,"C1"
"pan-tumor (HGMT)","Melanoma",1,36,20,16,0.555555555555556,0,NA,0,0,6260894.37566346,1,"Italy",1,95,"C1"
"pan-tumor (HGMT)","Thyroid Cancer",2,76,45,31,0.592105263157895,0,NA,0,0,4536153.79070189,1,"China",2,100,"C1"
"pan-tumor (HGMT)","Brain Metastasis",1,30,12,18,0.4,43.3333333333333,49.5,100,100,3806386.36235735,NA,NA,1,66,"C2"
"pan-tumor (HGMT)","Gastric Cancer",1,204,116,88,0.568627450980392,0,NA,0,0,3580611.69671914,1,"China",1,73,"C2"
"pan-tumor (HGMT)","Glioma",1,53,35,18,0.660377358490566,56.6037735849057,45,100,100,3536923.50249584,NA,NA,1,68,"C2"
"pan-tumor (HGMT)","Meningioma",1,36,18,18,0.5,58.3333333333333,45.5,100,100,3806386.36235735,NA,NA,1,68,"C2"
"pan-tumor (HGMT)","Non-Small-Cell Lung Cancer",1,235,96,139,0.408510638297872,42.5531914893617,60,100,100,7288134.84771072,1,"Korea",1,113,"C2"
"pan-tumor (HGMT)","Pancreatic Ductal Adenocarcinoma",1,240,134,106,0.558333333333333,36.6666666666667,71,100,100,2173923672.52047,1,"Spain",1,54,"C2"
"pan-tumor (HGMT)","Acute Lymphoblastic Leukemia",1,58,29,29,0.5,48.2758620689655,5,100,98.2758620689655,1884068.25112428,1,"USA",1,63,"C3"
"pan-tumor (HGMT)","Breast Cancer",3,1206,586,620,0.485903814262023,31.6749585406302,62,31.6749585406302,23.8805970149254,2652211.08414239,1,"Ghana",1,151,"C3"
"pan-tumor (HGMT)","Colorectal Cancer",13,4278,2188,2090,0.511453950444133,40.5797101449275,64,86.4656381486676,86.4656381486676,9756810.52924953,11,"Japan",6,159,"C4"
"pan-tumor (HGMT)","Colorectal Polyps",7,2785,1393,1392,0.500179533213645,39.2100538599641,64,89.0125673249551,89.0125673249551,11553136.3877039,5,"France",5,159,"C4"
"pan-tumor (HGMT)","Esophageal Squamous Cell Carcinoma",1,31,15,16,0.483870967741935,0,61,100,100,4552250.87258397,1,"China",1,70,"C4"
"colorectal neoplasia","FengQ_2015:Adenoma",1,76,47,29,0.618421052631579,48.6842105263158,67,100,100,NA,NA,NA,NA,259,"C1"
"colorectal neoplasia","FengQ_2015:early",1,55,33,22,0.6,34.5454545454545,68,100,100,NA,NA,NA,NA,258,"C1"
"colorectal neoplasia","IIGM_TU:early",1,49,10,39,0.204081632653061,36.734693877551,55,100,100,NA,NA,NA,NA,259,"C1"
